,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BC-A10Z-01A,0.003,0.000,0.027,0.000,0.000,0.000,0.578,0.000,0.116,0.003,0.046,0.220,0.001,0.000,0.006,0.000
TCGA-DD-AAEK-01A,0.029,0.000,0.056,0.000,0.008,0.000,0.117,0.000,0.216,0.119,0.049,0.396,0.007,0.000,0.004,0.000
TCGA-G3-A3CK-01A,0.001,0.000,0.032,0.000,0.000,0.000,0.184,0.000,0.215,0.011,0.080,0.473,0.002,0.000,0.002,0.000
TCGA-DD-A1EJ-01A,0.002,0.000,0.005,0.000,0.000,0.000,0.657,0.000,0.034,0.012,0.027,0.262,0.000,0.000,0.001,0.000
TCGA-DD-AACU-01A,0.000,0.000,0.012,0.000,0.000,0.000,0.616,0.000,0.094,0.077,0.004,0.195,0.000,0.000,0.001,0.000
TCGA-ZS-A9CE-01A,0.001,0.000,0.012,0.000,0.000,0.000,0.615,0.000,0.088,0.040,0.001,0.232,0.006,0.000,0.006,0.000
TCGA-2Y-A9H2-01A,0.000,0.000,0.003,0.000,0.001,0.000,0.893,0.010,0.022,0.009,0.003,0.055,0.000,0.000,0.004,0.000
TCGA-CC-5261-01A,0.007,0.015,0.019,0.001,0.000,0.001,0.579,0.010,0.100,0.157,0.024,0.085,0.001,0.000,0.002,0.000
TCGA-DD-AADP-01A,0.004,0.000,0.012,0.000,0.000,0.000,0.242,0.000,0.220,0.243,0.016,0.258,0.003,0.000,0.001,0.000
TCGA-2Y-A9H4-01A,0.001,0.000,0.022,0.000,0.000,0.000,0.112,0.000,0.331,0.011,0.116,0.398,0.003,0.001,0.004,0.000
TCGA-DD-A1EA-01A,0.057,0.000,0.024,0.000,0.002,0.000,0.267,0.000,0.159,0.005,0.000,0.483,0.003,0.000,0.000,0.000
TCGA-CC-A3MC-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.471,0.000,0.099,0.102,0.036,0.278,0.001,0.000,0.004,0.000
TCGA-FV-A2QR-01A,0.027,0.000,0.011,0.000,0.000,0.000,0.156,0.000,0.184,0.134,0.137,0.347,0.002,0.000,0.001,0.000
TCGA-EP-A26S-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.481,0.000,0.168,0.073,0.021,0.254,0.000,0.000,0.001,0.000
TCGA-K7-AAU7-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.766,0.000,0.025,0.119,0.000,0.079,0.000,0.000,0.004,0.000
TCGA-G3-A25T-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.869,0.000,0.049,0.026,0.004,0.047,0.001,0.002,0.002,0.000
TCGA-DD-AADB-01A,0.020,0.005,0.039,0.001,0.001,0.000,0.582,0.000,0.091,0.004,0.026,0.226,0.001,0.000,0.004,0.000
TCGA-UB-A7MA-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.821,0.000,0.032,0.021,0.006,0.115,0.000,0.000,0.001,0.000
TCGA-DD-AAD0-01A,0.002,0.000,0.011,0.000,0.000,0.000,0.169,0.000,0.138,0.008,0.000,0.655,0.007,0.000,0.008,0.000
TCGA-BC-4072-01B,0.004,0.000,0.017,0.002,0.005,0.000,0.675,0.000,0.056,0.051,0.017,0.166,0.000,0.000,0.006,0.000
TCGA-DD-AACD-01A,0.008,0.000,0.004,0.000,0.000,0.000,0.190,0.000,0.166,0.014,0.093,0.517,0.005,0.000,0.003,0.000
TCGA-DD-A3A5-01A,0.003,0.000,0.024,0.000,0.000,0.000,0.075,0.000,0.244,0.082,0.279,0.284,0.003,0.000,0.005,0.000
TCGA-ZP-A9D1-01A,0.002,0.000,0.013,0.000,0.000,0.000,0.577,0.000,0.093,0.134,0.051,0.130,0.001,0.000,0.000,0.000
TCGA-ZP-A9D0-01A,0.000,0.000,0.011,0.000,0.000,0.000,0.296,0.000,0.216,0.132,0.016,0.323,0.000,0.000,0.005,0.000
TCGA-CC-A7IK-01A,0.002,0.000,0.006,0.000,0.000,0.000,0.691,0.000,0.081,0.002,0.088,0.127,0.000,0.000,0.003,0.000
TCGA-WQ-AB4B-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.333,0.000,0.243,0.086,0.037,0.297,0.001,0.000,0.001,0.000
TCGA-FV-A4ZQ-01A,0.089,0.000,0.026,0.017,0.056,0.000,0.510,0.000,0.028,0.004,0.001,0.266,0.001,0.000,0.001,0.000
TCGA-G3-A25S-01A,0.000,0.000,0.008,0.000,0.000,0.000,0.791,0.000,0.036,0.000,0.003,0.158,0.000,0.000,0.003,0.000
TCGA-NI-A4U2-01A,0.004,0.000,0.009,0.000,0.000,0.000,0.204,0.000,0.317,0.020,0.057,0.385,0.003,0.000,0.001,0.000
TCGA-RC-A7SK-01A,0.000,0.000,0.020,0.000,0.000,0.000,0.473,0.000,0.164,0.094,0.024,0.219,0.002,0.000,0.003,0.000
TCGA-DD-AADS-01A,0.000,0.001,0.048,0.000,0.000,0.000,0.103,0.000,0.337,0.001,0.000,0.496,0.009,0.001,0.004,0.000
TCGA-DD-A73F-01A,0.052,0.000,0.010,0.040,0.018,0.000,0.052,0.000,0.200,0.013,0.144,0.465,0.004,0.000,0.001,0.000
TCGA-DD-A11C-01A,0.004,0.000,0.014,0.000,0.000,0.000,0.199,0.000,0.273,0.117,0.177,0.215,0.001,0.001,0.001,0.000
TCGA-FV-A23B-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.643,0.000,0.161,0.000,0.000,0.191,0.000,0.000,0.000,0.000
TCGA-DD-AADD-01A,0.000,0.000,0.010,0.000,0.000,0.000,0.792,0.000,0.048,0.001,0.013,0.135,0.000,0.000,0.001,0.000
TCGA-DD-AACO-01A,0.004,0.000,0.008,0.000,0.000,0.000,0.075,0.000,0.294,0.056,0.039,0.501,0.017,0.000,0.004,0.000
TCGA-RC-A6M3-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.919,0.000,0.025,0.000,0.000,0.053,0.000,0.000,0.002,0.000
TCGA-DD-AAED-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.815,0.000,0.000,0.044,0.000,0.139,0.001,0.000,0.001,0.000
TCGA-BC-A10X-01A,0.001,0.000,0.003,0.000,0.000,0.000,0.171,0.000,0.222,0.295,0.009,0.297,0.002,0.000,0.001,0.000
TCGA-DD-AAVP-01A,0.001,0.000,0.006,0.000,0.000,0.000,0.365,0.000,0.172,0.016,0.173,0.263,0.001,0.001,0.003,0.000
TCGA-MI-A75C-01A,0.000,0.000,0.013,0.000,0.000,0.000,0.751,0.000,0.031,0.000,0.001,0.200,0.001,0.000,0.003,0.000
TCGA-DD-A39W-01A,0.001,0.000,0.008,0.000,0.000,0.000,0.096,0.000,0.380,0.033,0.041,0.438,0.001,0.000,0.001,0.000
TCGA-DD-A4NA-01A,0.010,0.000,0.006,0.000,0.000,0.000,0.772,0.000,0.022,0.064,0.002,0.122,0.000,0.001,0.000,0.000
TCGA-DD-AAVY-01A,0.000,0.000,0.012,0.000,0.000,0.000,0.539,0.000,0.158,0.002,0.006,0.279,0.001,0.000,0.003,0.000
TCGA-DD-A1EC-01A,0.023,0.000,0.010,0.007,0.021,0.000,0.555,0.000,0.088,0.012,0.038,0.228,0.002,0.014,0.001,0.001
TCGA-5C-AAPD-01A,0.128,0.000,0.046,0.003,0.001,0.000,0.222,0.000,0.092,0.050,0.071,0.381,0.002,0.001,0.002,0.000
