,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-EL-A3D0-01A,0.000,0.001,0.002,0.000,0.000,0.000,0.695,0.000,0.121,0.126,0.023,0.030,0.000,0.000,0.001,0.000
TCGA-J8-A4HY-01A,0.004,0.000,0.005,0.007,0.000,0.000,0.738,0.007,0.121,0.003,0.033,0.079,0.000,0.001,0.002,0.000
TCGA-L6-A4ET-01A,0.001,0.000,0.001,0.008,0.000,0.000,0.824,0.003,0.119,0.001,0.019,0.020,0.000,0.000,0.002,0.000
TCGA-DE-A4MC-01A,0.000,0.000,0.031,0.015,0.000,0.000,0.718,0.061,0.082,0.048,0.007,0.035,0.000,0.000,0.002,0.000
TCGA-ET-A25K-01A,0.001,0.000,0.003,0.002,0.000,0.000,0.588,0.002,0.249,0.037,0.062,0.051,0.000,0.000,0.003,0.000
TCGA-DJ-A3UU-01A,0.021,0.003,0.010,0.009,0.001,0.000,0.576,0.038,0.116,0.131,0.014,0.077,0.001,0.000,0.002,0.000
TCGA-EM-A1YA-01A,0.029,0.000,0.002,0.001,0.000,0.000,0.685,0.000,0.162,0.000,0.087,0.029,0.000,0.001,0.002,0.000
TCGA-CE-A483-01A,0.000,0.001,0.002,0.002,0.000,0.000,0.797,0.000,0.134,0.003,0.016,0.042,0.000,0.000,0.002,0.000
TCGA-DJ-A3VD-01A,0.040,0.057,0.031,0.016,0.001,0.000,0.387,0.080,0.094,0.179,0.008,0.102,0.001,0.000,0.003,0.000
TCGA-BJ-A28S-01A,0.016,0.001,0.000,0.001,0.000,0.000,0.702,0.000,0.188,0.001,0.072,0.015,0.000,0.000,0.002,0.000
TCGA-FY-A3R9-01A,0.026,0.000,0.001,0.000,0.000,0.000,0.763,0.001,0.143,0.000,0.062,0.002,0.000,0.000,0.001,0.000
