,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-A5-A0R8-01A,0.012,0.000,0.002,0.004,0.001,0.000,0.827,0.042,0.039,0.024,0.005,0.041,0.000,0.001,0.002,0.000
TCGA-A5-A0G3-01A,0.008,0.000,0.002,0.005,0.000,0.000,0.842,0.007,0.016,0.081,0.018,0.016,0.000,0.000,0.003,0.000
TCGA-AP-A054-01A,0.007,0.000,0.006,0.009,0.021,0.000,0.882,0.004,0.021,0.032,0.009,0.004,0.001,0.000,0.002,0.000
TCGA-A5-A0GX-01A,0.018,0.000,0.008,0.003,0.007,0.000,0.715,0.006,0.062,0.135,0.012,0.031,0.002,0.000,0.001,0.000
TCGA-DI-A2QY-01A,0.005,0.000,0.000,0.008,0.000,0.000,0.894,0.003,0.018,0.063,0.000,0.004,0.003,0.000,0.001,0.000
TCGA-EY-A1GC-01A,0.073,0.000,0.041,0.007,0.008,0.000,0.683,0.008,0.020,0.004,0.004,0.148,0.001,0.000,0.001,0.000
TCGA-A5-A0GI-01A,0.008,0.000,0.009,0.005,0.000,0.000,0.878,0.007,0.017,0.059,0.004,0.009,0.001,0.000,0.001,0.000
TCGA-D1-A17S-01A,0.013,0.000,0.000,0.000,0.000,0.000,0.922,0.008,0.015,0.013,0.000,0.027,0.001,0.000,0.001,0.000
TCGA-EY-A5W2-01A,0.015,0.000,0.001,0.014,0.002,0.000,0.897,0.000,0.010,0.022,0.002,0.035,0.001,0.000,0.001,0.000
TCGA-D1-A1NU-01A,0.008,0.000,0.004,0.009,0.000,0.000,0.917,0.002,0.022,0.009,0.002,0.022,0.001,0.000,0.003,0.000
TCGA-BG-A18A-01A,0.009,0.000,0.002,0.005,0.000,0.000,0.777,0.012,0.067,0.087,0.011,0.025,0.000,0.004,0.001,0.000
TCGA-AX-A06B-01A,0.028,0.000,0.011,0.008,0.006,0.000,0.715,0.008,0.064,0.097,0.013,0.047,0.001,0.000,0.001,0.000
TCGA-E6-A2P9-01A,0.017,0.000,0.006,0.014,0.016,0.000,0.884,0.007,0.017,0.019,0.004,0.014,0.000,0.000,0.001,0.000
TCGA-PG-A917-01A,0.020,0.000,0.007,0.048,0.001,0.000,0.760,0.012,0.041,0.031,0.000,0.075,0.002,0.001,0.001,0.000
TCGA-AX-A3FS-01A,0.006,0.000,0.017,0.007,0.002,0.000,0.801,0.003,0.029,0.110,0.015,0.006,0.001,0.001,0.001,0.001
TCGA-A5-A2K4-01A,0.011,0.003,0.002,0.008,0.000,0.000,0.790,0.004,0.061,0.093,0.000,0.026,0.000,0.000,0.001,0.000
TCGA-D1-A1O0-01A,0.009,0.000,0.000,0.012,0.001,0.000,0.898,0.001,0.032,0.011,0.007,0.024,0.001,0.001,0.002,0.000
TCGA-B5-A0JS-01A,0.014,0.000,0.013,0.000,0.000,0.000,0.808,0.023,0.038,0.063,0.000,0.030,0.001,0.009,0.000,0.000
TCGA-AX-A1CE-01A,0.006,0.000,0.004,0.004,0.012,0.000,0.927,0.001,0.015,0.000,0.001,0.027,0.000,0.000,0.001,0.000
TCGA-D1-A17F-01A,0.009,0.000,0.001,0.010,0.000,0.000,0.841,0.033,0.022,0.013,0.000,0.069,0.001,0.000,0.001,0.000
TCGA-EO-A3AV-01A,0.027,0.000,0.008,0.045,0.000,0.000,0.821,0.001,0.019,0.027,0.003,0.043,0.001,0.000,0.005,0.000
TCGA-D1-A17B-01A,0.032,0.000,0.029,0.001,0.001,0.000,0.637,0.038,0.061,0.082,0.000,0.103,0.001,0.005,0.009,0.000
TCGA-E6-A8L9-01A,0.004,0.000,0.004,0.024,0.000,0.000,0.770,0.002,0.048,0.102,0.012,0.021,0.002,0.007,0.002,0.000
TCGA-EY-A547-01A,0.012,0.000,0.000,0.012,0.001,0.000,0.938,0.000,0.019,0.001,0.005,0.008,0.003,0.000,0.001,0.000
TCGA-AJ-A3OJ-01A,0.001,0.000,0.006,0.018,0.001,0.000,0.857,0.000,0.018,0.045,0.000,0.051,0.001,0.000,0.001,0.000
