,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-OR-A5LO-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.842,0.000,0.051,0.000,0.097,0.009,0.001,0.000,0.000,0.000
TCGA-P6-A5OG-01A,0.001,0.000,0.011,0.022,0.000,0.000,0.326,0.000,0.158,0.044,0.246,0.159,0.000,0.001,0.019,0.013
TCGA-OR-A5J6-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.000,0.199,0.000,0.033,0.414,0.026,0.000,0.000,0.000
TCGA-OR-A5LT-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.920,0.000,0.017,0.000,0.005,0.056,0.002,0.000,0.000,0.000
TCGA-OR-A5JY-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.814,0.000,0.058,0.001,0.029,0.087,0.008,0.000,0.000,0.000
TCGA-OR-A5JV-01A,0.000,0.000,0.007,0.000,0.006,0.000,0.483,0.002,0.061,0.000,0.044,0.388,0.006,0.000,0.003,0.000
TCGA-OR-A5JT-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.579,0.000,0.149,0.000,0.158,0.111,0.002,0.000,0.000,0.000
TCGA-OR-A5KX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.000,0.091,0.000,0.063,0.076,0.003,0.000,0.000,0.000
TCGA-OR-A5K3-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.749,0.000,0.032,0.000,0.024,0.194,0.001,0.000,0.000,0.000
TCGA-OR-A5JZ-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.546,0.000,0.192,0.000,0.030,0.174,0.057,0.000,0.000,0.000
TCGA-OR-A5LC-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.662,0.000,0.109,0.019,0.156,0.052,0.003,0.000,0.000,0.000
TCGA-OR-A5LH-01A,0.000,0.000,0.003,0.000,0.009,0.000,0.739,0.000,0.077,0.000,0.047,0.122,0.002,0.000,0.001,0.000
TCGA-OR-A5LM-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.817,0.000,0.067,0.000,0.043,0.061,0.011,0.000,0.000,0.000
TCGA-OR-A5J5-01A,0.000,0.000,0.000,0.000,0.002,0.000,0.815,0.000,0.033,0.000,0.131,0.017,0.000,0.000,0.000,0.000
TCGA-P6-A5OF-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.807,0.000,0.080,0.010,0.040,0.061,0.001,0.000,0.000,0.000
TCGA-OR-A5LD-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.166,0.000,0.764,0.027,0.002,0.001,0.000,0.000
TCGA-OR-A5L3-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.266,0.000,0.085,0.000,0.288,0.353,0.004,0.001,0.002,0.000
TCGA-OR-A5LK-01A,0.015,0.000,0.000,0.000,0.010,0.000,0.448,0.053,0.052,0.000,0.022,0.379,0.019,0.000,0.001,0.000
TCGA-OR-A5LG-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.683,0.000,0.060,0.001,0.038,0.216,0.002,0.000,0.000,0.000
TCGA-OR-A5KO-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.816,0.000,0.106,0.000,0.040,0.036,0.001,0.000,0.000,0.000
TCGA-OR-A5JJ-01A,0.001,0.000,0.005,0.004,0.002,0.000,0.875,0.000,0.036,0.003,0.048,0.023,0.002,0.000,0.000,0.000
TCGA-OR-A5JL-01A,0.006,0.000,0.001,0.000,0.000,0.000,0.608,0.000,0.147,0.000,0.052,0.171,0.014,0.000,0.000,0.000
TCGA-OR-A5KV-01A,0.000,0.000,0.001,0.000,0.004,0.000,0.913,0.001,0.039,0.000,0.016,0.020,0.004,0.000,0.002,0.000
TCGA-OR-A5JE-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.747,0.000,0.075,0.005,0.023,0.140,0.008,0.000,0.000,0.000
TCGA-PK-A5HB-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.702,0.000,0.104,0.000,0.168,0.024,0.002,0.000,0.000,0.000
TCGA-OR-A5JM-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.896,0.000,0.065,0.003,0.025,0.007,0.002,0.000,0.000,0.000
TCGA-OR-A5JD-01A,0.000,0.000,0.000,0.000,0.013,0.000,0.448,0.000,0.074,0.000,0.140,0.322,0.001,0.002,0.000,0.000
TCGA-OR-A5LN-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.076,0.000,0.173,0.000,0.021,0.721,0.002,0.004,0.001,0.000
TCGA-OR-A5K6-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.726,0.000,0.063,0.000,0.041,0.165,0.003,0.000,0.000,0.000
TCGA-OR-A5JR-01A,0.000,0.000,0.000,0.005,0.004,0.000,0.691,0.001,0.074,0.000,0.092,0.127,0.004,0.002,0.000,0.000
TCGA-OR-A5L6-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.000,0.144,0.000,0.384,0.336,0.040,0.002,0.000,0.000
TCGA-OR-A5JI-01A,0.000,0.000,0.000,0.000,0.003,0.000,0.533,0.000,0.112,0.003,0.189,0.158,0.001,0.000,0.000,0.000
TCGA-OR-A5J2-01A,0.030,0.000,0.004,0.000,0.000,0.000,0.719,0.000,0.141,0.002,0.019,0.073,0.012,0.000,0.000,0.000
TCGA-OR-A5LL-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.810,0.000,0.070,0.000,0.037,0.082,0.000,0.000,0.000,0.000
TCGA-OR-A5K1-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,0.211,0.000,0.270,0.111,0.028,0.001,0.000,0.000
TCGA-PK-A5HA-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.000,0.070,0.000,0.073,0.409,0.003,0.001,0.000,0.000
TCGA-OR-A5LR-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.554,0.000,0.140,0.000,0.153,0.122,0.029,0.000,0.000,0.000
TCGA-OR-A5JX-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.620,0.009,0.147,0.000,0.170,0.047,0.002,0.000,0.003,0.000
TCGA-OU-A5PI-01A,0.000,0.000,0.001,0.000,0.005,0.000,0.847,0.000,0.046,0.015,0.039,0.045,0.001,0.000,0.000,0.000
TCGA-OR-A5JA-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.827,0.000,0.046,0.000,0.063,0.051,0.012,0.000,0.000,0.000
TCGA-OR-A5KY-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.772,0.000,0.059,0.000,0.028,0.138,0.002,0.000,0.000,0.000
TCGA-OR-A5L9-01A,0.002,0.000,0.000,0.000,0.000,0.000,0.002,0.034,0.030,0.000,0.413,0.512,0.002,0.000,0.005,0.000
TCGA-PK-A5H9-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.238,0.000,0.339,0.016,0.127,0.260,0.018,0.001,0.000,0.000
TCGA-OR-A5JK-01A,0.021,0.000,0.020,0.000,0.036,0.000,0.591,0.023,0.042,0.015,0.071,0.176,0.002,0.000,0.001,0.000
TCGA-OR-A5LJ-01A,0.000,0.000,0.000,0.001,0.003,0.000,0.846,0.000,0.051,0.000,0.057,0.039,0.000,0.000,0.002,0.000
TCGA-OR-A5K9-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.849,0.000,0.075,0.008,0.022,0.045,0.000,0.000,0.000,0.000
TCGA-OR-A5LA-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.185,0.000,0.068,0.000,0.214,0.477,0.054,0.000,0.000,0.000
TCGA-OR-A5JP-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.843,0.000,0.065,0.013,0.034,0.043,0.002,0.000,0.000,0.000
