,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-KL-8325-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.816,0.000,0.030,0.000,0.034,0.113,0.005,0.000,0.000,0.000
TCGA-KO-8411-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.771,0.000,0.068,0.000,0.065,0.091,0.004,0.000,0.000,0.000
TCGA-KL-8331-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.902,0.000,0.014,0.000,0.033,0.049,0.002,0.000,0.000,0.000
TCGA-KO-8409-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.796,0.000,0.019,0.000,0.044,0.137,0.001,0.002,0.000,0.000
TCGA-KM-8439-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.690,0.005,0.052,0.000,0.049,0.197,0.003,0.002,0.002,0.000
TCGA-KN-8423-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.784,0.001,0.048,0.000,0.055,0.108,0.001,0.003,0.001,0.000
TCGA-KL-8339-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.000,0.022,0.000,0.043,0.073,0.001,0.001,0.000,0.000
TCGA-KN-8434-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.650,0.000,0.101,0.000,0.079,0.158,0.007,0.004,0.000,0.000
TCGA-KL-8342-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.718,0.000,0.071,0.000,0.054,0.149,0.002,0.006,0.000,0.000
TCGA-KN-8428-01A,0.009,0.000,0.002,0.003,0.000,0.000,0.869,0.000,0.016,0.000,0.055,0.043,0.002,0.000,0.000,0.000
TCGA-KO-8416-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.735,0.000,0.023,0.000,0.082,0.159,0.001,0.000,0.000,0.000
TCGA-KL-8344-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.439,0.000,0.169,0.000,0.273,0.111,0.007,0.000,0.000,0.000
TCGA-KM-8441-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.645,0.000,0.092,0.000,0.073,0.186,0.001,0.001,0.000,0.000
TCGA-KM-8442-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.848,0.000,0.032,0.000,0.040,0.077,0.001,0.000,0.000,0.000
TCGA-KL-8346-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.916,0.000,0.018,0.000,0.048,0.011,0.006,0.000,0.000,0.000
TCGA-KL-8341-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.914,0.000,0.016,0.000,0.031,0.038,0.001,0.000,0.000,0.000
TCGA-KL-8330-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.863,0.000,0.025,0.000,0.047,0.063,0.001,0.000,0.000,0.000
TCGA-KN-8431-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.751,0.000,0.063,0.000,0.070,0.113,0.000,0.002,0.000,0.000
TCGA-KO-8403-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.625,0.000,0.072,0.000,0.056,0.242,0.005,0.000,0.000,0.000
TCGA-KO-8405-01A,0.001,0.000,0.002,0.000,0.000,0.000,0.483,0.000,0.028,0.000,0.044,0.438,0.001,0.002,0.000,0.000
TCGA-KN-8435-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.858,0.000,0.037,0.000,0.052,0.053,0.001,0.000,0.000,0.000
TCGA-KN-8419-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.696,0.000,0.060,0.000,0.080,0.163,0.000,0.000,0.000,0.000
TCGA-KL-8337-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.856,0.000,0.030,0.000,0.057,0.056,0.001,0.000,0.000,0.000
TCGA-KL-8332-01A,0.003,0.000,0.000,0.000,0.000,0.000,0.616,0.000,0.131,0.000,0.109,0.139,0.002,0.000,0.000,0.000
TCGA-KO-8413-01A,0.006,0.000,0.000,0.000,0.000,0.000,0.622,0.000,0.063,0.000,0.086,0.215,0.003,0.004,0.000,0.000
TCGA-KM-8443-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.920,0.000,0.022,0.000,0.026,0.026,0.005,0.000,0.000,0.000
TCGA-KL-8333-01A,0.018,0.023,0.013,0.000,0.000,0.005,0.432,0.001,0.216,0.011,0.126,0.152,0.001,0.001,0.001,0.000
TCGA-KL-8334-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.769,0.000,0.038,0.000,0.052,0.132,0.003,0.005,0.000,0.000
TCGA-KN-8427-01A,0.000,0.000,0.018,0.004,0.000,0.000,0.674,0.000,0.066,0.141,0.001,0.090,0.004,0.000,0.001,0.000
TCGA-KL-8338-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.859,0.000,0.020,0.000,0.045,0.073,0.001,0.001,0.000,0.000
