,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BP-4766-01A,0.003,0.000,0.009,0.000,0.000,0.000,0.422,0.000,0.247,0.004,0.111,0.191,0.001,0.009,0.002,0.001
TCGA-A3-3352-01A,0.003,0.000,0.019,0.002,0.000,0.008,0.404,0.009,0.267,0.006,0.087,0.165,0.002,0.023,0.002,0.003
TCGA-G6-A8L7-01A,0.012,0.000,0.008,0.016,0.000,0.000,0.746,0.000,0.031,0.004,0.158,0.015,0.002,0.006,0.001,0.000
TCGA-A3-A6NN-01A,0.001,0.000,0.023,0.006,0.001,0.000,0.167,0.015,0.390,0.094,0.063,0.204,0.002,0.031,0.001,0.001
TCGA-T7-A92I-01A,0.003,0.000,0.001,0.027,0.000,0.000,0.254,0.009,0.083,0.000,0.033,0.584,0.000,0.000,0.004,0.000
TCGA-B0-5713-01A,0.001,0.000,0.010,0.015,0.002,0.000,0.246,0.005,0.425,0.009,0.144,0.127,0.002,0.011,0.000,0.001
TCGA-CZ-4860-01A,0.000,0.000,0.013,0.001,0.012,0.000,0.574,0.000,0.051,0.102,0.011,0.234,0.000,0.000,0.001,0.000
TCGA-A3-3351-01A,0.002,0.001,0.036,0.025,0.074,0.000,0.150,0.075,0.250,0.042,0.109,0.224,0.009,0.001,0.003,0.001
TCGA-B8-4148-01A,0.006,0.000,0.023,0.073,0.073,0.000,0.086,0.069,0.303,0.010,0.119,0.220,0.004,0.011,0.001,0.001
TCGA-BP-4345-01A,0.003,0.000,0.029,0.002,0.010,0.000,0.001,0.014,0.228,0.197,0.295,0.211,0.004,0.005,0.001,0.000
TCGA-BP-5010-01A,0.004,0.000,0.011,0.012,0.007,0.000,0.098,0.009,0.264,0.102,0.395,0.094,0.001,0.003,0.001,0.000
TCGA-BP-4325-01A,0.001,0.000,0.004,0.031,0.049,0.000,0.360,0.001,0.202,0.002,0.065,0.275,0.001,0.006,0.001,0.000
TCGA-B0-5102-01A,0.009,0.000,0.002,0.002,0.010,0.000,0.483,0.001,0.189,0.000,0.078,0.218,0.001,0.005,0.000,0.000
TCGA-BP-5185-01A,0.002,0.000,0.000,0.004,0.001,0.000,0.506,0.000,0.062,0.000,0.246,0.177,0.000,0.001,0.000,0.000
TCGA-CZ-5986-01A,0.000,0.002,0.003,0.011,0.000,0.000,0.341,0.026,0.260,0.022,0.123,0.197,0.003,0.011,0.001,0.000
TCGA-CW-5590-01A,0.001,0.000,0.029,0.015,0.003,0.000,0.360,0.006,0.243,0.059,0.117,0.156,0.002,0.006,0.001,0.000
