,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-TQ-A7RO-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.846,0.008,0.053,0.000,0.023,0.063,0.000,0.001,0.003,0.000
TCGA-CS-6670-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.856,0.000,0.067,0.000,0.030,0.040,0.000,0.000,0.003,0.000
TCGA-QH-A6X5-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.852,0.001,0.043,0.000,0.028,0.071,0.000,0.001,0.003,0.000
TCGA-HW-7493-01A,0.000,0.002,0.003,0.000,0.008,0.000,0.779,0.001,0.046,0.000,0.032,0.117,0.002,0.002,0.008,0.001
TCGA-CS-6667-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.755,0.000,0.102,0.000,0.058,0.084,0.000,0.000,0.001,0.000
TCGA-DU-6406-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.801,0.006,0.082,0.009,0.001,0.096,0.001,0.001,0.001,0.000
TCGA-DU-A7TA-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.757,0.020,0.041,0.000,0.007,0.166,0.000,0.003,0.005,0.000
TCGA-QH-A6X4-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.886,0.002,0.032,0.000,0.016,0.058,0.000,0.002,0.003,0.000
TCGA-TQ-A7RR-01A,0.000,0.002,0.001,0.000,0.000,0.000,0.776,0.003,0.036,0.000,0.026,0.143,0.001,0.007,0.005,0.000
TCGA-HT-8104-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.802,0.001,0.086,0.014,0.006,0.085,0.001,0.002,0.001,0.000
TCGA-HT-A74K-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.811,0.000,0.049,0.000,0.040,0.095,0.001,0.002,0.001,0.000
TCGA-DB-A64X-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.829,0.003,0.065,0.000,0.031,0.065,0.000,0.000,0.004,0.000
TCGA-HT-8107-01A,0.000,0.002,0.011,0.000,0.019,0.000,0.811,0.005,0.056,0.000,0.040,0.040,0.001,0.001,0.013,0.000
TCGA-FG-A710-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.691,0.013,0.076,0.000,0.028,0.182,0.001,0.002,0.004,0.001
TCGA-QH-A6CX-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.000,0.034,0.000,0.011,0.185,0.001,0.001,0.000,0.000
TCGA-CS-6666-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.773,0.000,0.115,0.000,0.034,0.076,0.001,0.000,0.000,0.000
