,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-55-8508-01A,0.142,0.001,0.027,0.008,0.000,0.000,0.607,0.003,0.047,0.082,0.015,0.050,0.001,0.004,0.012,0.000
TCGA-67-3771-01A,0.044,0.002,0.016,0.010,0.013,0.000,0.597,0.008,0.039,0.082,0.019,0.165,0.001,0.000,0.003,0.001
TCGA-55-A4DG-01A,0.057,0.041,0.018,0.015,0.028,0.000,0.654,0.028,0.019,0.056,0.014,0.066,0.001,0.000,0.001,0.001
TCGA-91-7771-01A,0.038,0.012,0.037,0.012,0.026,0.000,0.487,0.041,0.073,0.104,0.029,0.134,0.004,0.000,0.001,0.001
TCGA-91-6849-01A,0.073,0.004,0.009,0.000,0.009,0.000,0.652,0.026,0.069,0.029,0.007,0.117,0.000,0.000,0.003,0.001
TCGA-64-5781-01A,0.056,0.000,0.013,0.050,0.000,0.000,0.691,0.004,0.026,0.103,0.011,0.041,0.002,0.000,0.002,0.000
TCGA-44-6146-01B,0.005,0.003,0.013,0.020,0.004,0.016,0.694,0.012,0.002,0.211,0.007,0.000,0.010,0.000,0.004,0.000
TCGA-97-7552-01A,0.049,0.046,0.049,0.033,0.029,0.000,0.452,0.049,0.068,0.089,0.017,0.107,0.008,0.001,0.002,0.001
TCGA-80-5608-01A,0.023,0.000,0.015,0.009,0.000,0.000,0.814,0.015,0.032,0.015,0.026,0.044,0.000,0.001,0.005,0.000
TCGA-91-6829-01A,0.008,0.000,0.016,0.009,0.003,0.000,0.485,0.000,0.070,0.278,0.016,0.106,0.007,0.000,0.000,0.000
TCGA-49-AARE-01A,0.026,0.002,0.008,0.011,0.000,0.000,0.790,0.024,0.017,0.037,0.013,0.065,0.001,0.001,0.005,0.000
TCGA-97-A4M1-01A,0.007,0.000,0.014,0.000,0.016,0.000,0.547,0.068,0.130,0.039,0.030,0.130,0.009,0.006,0.002,0.001
TCGA-83-5908-01A,0.002,0.001,0.029,0.108,0.009,0.000,0.576,0.041,0.051,0.077,0.010,0.091,0.003,0.000,0.001,0.000
TCGA-97-8179-01A,0.001,0.000,0.008,0.007,0.000,0.000,0.721,0.028,0.064,0.029,0.046,0.093,0.003,0.000,0.001,0.000
TCGA-64-1680-01A,0.018,0.000,0.005,0.001,0.000,0.000,0.823,0.058,0.018,0.016,0.009,0.044,0.007,0.000,0.001,0.000
TCGA-73-4670-01A,0.025,0.000,0.002,0.003,0.000,0.000,0.816,0.000,0.026,0.056,0.015,0.052,0.000,0.000,0.004,0.001
TCGA-44-3396-01A,0.051,0.001,0.037,0.003,0.016,0.000,0.450,0.037,0.056,0.183,0.010,0.141,0.003,0.000,0.012,0.001
TCGA-80-5611-01A,0.004,0.000,0.019,0.018,0.000,0.000,0.646,0.002,0.010,0.024,0.003,0.272,0.001,0.000,0.001,0.000
TCGA-53-7624-01A,0.007,0.000,0.029,0.021,0.002,0.000,0.772,0.002,0.029,0.029,0.011,0.091,0.001,0.001,0.005,0.000
TCGA-91-6835-01A,0.009,0.049,0.049,0.016,0.048,0.000,0.398,0.050,0.076,0.100,0.018,0.177,0.006,0.000,0.003,0.001
TCGA-L9-A50W-01A,0.027,0.000,0.024,0.005,0.000,0.000,0.698,0.073,0.051,0.046,0.007,0.062,0.006,0.000,0.001,0.000
TCGA-86-7713-01A,0.026,0.000,0.010,0.008,0.000,0.000,0.861,0.003,0.022,0.013,0.028,0.025,0.000,0.000,0.002,0.000
TCGA-50-5044-01A,0.033,0.000,0.042,0.003,0.000,0.000,0.595,0.040,0.107,0.087,0.016,0.072,0.003,0.000,0.000,0.000
TCGA-97-7941-01A,0.007,0.002,0.026,0.002,0.009,0.000,0.646,0.039,0.071,0.087,0.021,0.078,0.008,0.001,0.001,0.001
TCGA-86-7714-01A,0.001,0.000,0.012,0.002,0.000,0.000,0.676,0.133,0.011,0.078,0.001,0.079,0.005,0.000,0.001,0.000
TCGA-62-8402-01A,0.024,0.000,0.080,0.038,0.002,0.000,0.695,0.023,0.040,0.014,0.007,0.074,0.000,0.000,0.003,0.000
TCGA-78-7162-01A,0.023,0.004,0.024,0.001,0.015,0.000,0.565,0.044,0.138,0.051,0.054,0.070,0.008,0.003,0.001,0.001
