,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-BQ-7044-01A,0.000,0.000,0.002,0.005,0.001,0.000,0.918,0.000,0.016,0.000,0.002,0.056,0.000,0.000,0.000,0.000
TCGA-SX-A7SR-01A,0.000,0.000,0.002,0.001,0.003,0.000,0.813,0.004,0.004,0.000,0.002,0.152,0.016,0.001,0.002,0.000
TCGA-MH-A854-01A,0.000,0.000,0.002,0.002,0.000,0.000,0.900,0.000,0.028,0.000,0.013,0.052,0.001,0.000,0.001,0.000
TCGA-B3-8121-01A,0.028,0.006,0.009,0.000,0.014,0.001,0.468,0.014,0.073,0.036,0.001,0.323,0.007,0.015,0.006,0.000
TCGA-2Z-A9JJ-01A,0.000,0.000,0.006,0.000,0.000,0.000,0.809,0.000,0.008,0.095,0.000,0.063,0.008,0.000,0.010,0.000
TCGA-B1-7332-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.782,0.000,0.040,0.000,0.000,0.170,0.003,0.000,0.000,0.000
TCGA-WN-A9G9-01A,0.002,0.000,0.000,0.123,0.262,0.000,0.005,0.012,0.034,0.000,0.023,0.538,0.000,0.001,0.000,0.000
TCGA-A4-8310-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.857,0.000,0.006,0.016,0.004,0.115,0.001,0.000,0.000,0.000
TCGA-2Z-A9JT-01A,0.001,0.000,0.001,0.001,0.009,0.005,0.701,0.000,0.022,0.000,0.003,0.256,0.001,0.001,0.001,0.000
TCGA-5P-A9K2-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.921,0.000,0.004,0.000,0.001,0.074,0.000,0.000,0.000,0.000
TCGA-4A-A93W-01A,0.002,0.001,0.002,0.000,0.000,0.000,0.844,0.006,0.032,0.036,0.000,0.072,0.003,0.001,0.000,0.000
TCGA-DW-7837-01A,0.001,0.000,0.000,0.002,0.005,0.004,0.751,0.014,0.056,0.000,0.014,0.143,0.008,0.000,0.001,0.000
TCGA-A4-A5DU-01A,0.000,0.005,0.000,0.003,0.000,0.000,0.896,0.000,0.001,0.001,0.000,0.092,0.000,0.000,0.000,0.000
TCGA-2Z-A9JI-01A,0.042,0.010,0.006,0.009,0.010,0.000,0.673,0.003,0.038,0.004,0.014,0.190,0.001,0.000,0.000,0.000
TCGA-BQ-7050-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.824,0.000,0.046,0.001,0.017,0.108,0.001,0.000,0.000,0.000
TCGA-BQ-5894-01A,0.012,0.001,0.015,0.009,0.005,0.000,0.553,0.004,0.095,0.104,0.061,0.134,0.006,0.000,0.000,0.000
TCGA-BQ-5879-01A,0.012,0.001,0.006,0.000,0.000,0.000,0.671,0.000,0.089,0.076,0.035,0.093,0.017,0.000,0.000,0.000
TCGA-AL-3472-01A,0.000,0.000,0.000,0.001,0.000,0.005,0.933,0.000,0.007,0.006,0.001,0.043,0.003,0.000,0.000,0.000
TCGA-MH-A560-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.841,0.000,0.046,0.000,0.004,0.108,0.000,0.000,0.000,0.000
TCGA-BQ-5891-01A,0.000,0.002,0.003,0.001,0.004,0.000,0.888,0.000,0.032,0.010,0.007,0.051,0.001,0.000,0.000,0.000
TCGA-B9-A5W7-01A,0.000,0.000,0.000,0.000,0.001,0.000,0.864,0.006,0.011,0.000,0.000,0.106,0.011,0.000,0.000,0.000
TCGA-UZ-A9PR-01A,0.000,0.001,0.001,0.000,0.000,0.000,0.867,0.000,0.006,0.016,0.000,0.104,0.005,0.000,0.000,0.000
TCGA-B9-A69E-01A,0.000,0.000,0.008,0.001,0.015,0.000,0.400,0.001,0.117,0.014,0.077,0.365,0.002,0.000,0.000,0.000
TCGA-B3-4104-01A,0.003,0.001,0.001,0.004,0.000,0.002,0.839,0.004,0.045,0.038,0.050,0.010,0.002,0.000,0.000,0.000
TCGA-SX-A71R-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.912,0.001,0.019,0.000,0.000,0.062,0.004,0.002,0.000,0.000
TCGA-MH-A55Z-01A,0.000,0.000,0.001,0.000,0.001,0.000,0.835,0.006,0.052,0.000,0.008,0.093,0.001,0.003,0.000,0.000
TCGA-UZ-A9PO-01A,0.003,0.000,0.000,0.000,0.000,0.000,0.699,0.000,0.039,0.000,0.004,0.255,0.000,0.000,0.000,0.000
TCGA-G7-7501-01A,0.000,0.000,0.000,0.001,0.000,0.000,0.764,0.006,0.045,0.016,0.029,0.132,0.006,0.000,0.000,0.000
TCGA-DW-7836-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.802,0.001,0.071,0.079,0.007,0.034,0.003,0.000,0.000,0.000
TCGA-HE-A5NI-01A,0.000,0.000,0.000,0.002,0.001,0.000,0.787,0.000,0.063,0.000,0.003,0.136,0.008,0.000,0.000,0.000
TCGA-G7-A8LE-01A,0.001,0.000,0.004,0.001,0.000,0.005,0.702,0.007,0.062,0.139,0.011,0.063,0.003,0.000,0.001,0.000
TCGA-Y8-A895-01A,0.001,0.000,0.000,0.000,0.000,0.000,0.935,0.005,0.008,0.000,0.000,0.044,0.004,0.000,0.002,0.000
TCGA-UZ-A9PQ-01A,0.000,0.000,0.000,0.000,0.000,0.000,0.873,0.000,0.053,0.008,0.046,0.019,0.002,0.000,0.000,0.000
TCGA-BQ-5884-01A,0.010,0.000,0.004,0.000,0.013,0.000,0.638,0.004,0.049,0.008,0.016,0.257,0.001,0.000,0.000,0.000
TCGA-BQ-5893-01A,0.000,0.000,0.003,0.001,0.000,0.000,0.838,0.002,0.061,0.035,0.024,0.033,0.003,0.001,0.000,0.000
