,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-IB-AAUW-01A,0.013,0.016,0.009,0.002,0.008,0.000,0.474,0.033,0.121,0.196,0.048,0.066,0.013,0.001,0.000,0.000
TCGA-LB-A8F3-01A,0.000,0.000,0.005,0.000,0.000,0.000,0.713,0.002,0.047,0.196,0.002,0.026,0.002,0.001,0.003,0.000
TCGA-HV-A5A5-01A,0.008,0.000,0.016,0.000,0.001,0.000,0.470,0.022,0.084,0.267,0.020,0.109,0.003,0.000,0.000,0.000
TCGA-US-A77E-01A,0.000,0.001,0.002,0.000,0.000,0.000,0.540,0.000,0.046,0.356,0.000,0.053,0.001,0.000,0.000,0.000
TCGA-3A-A9IX-01A,0.011,0.023,0.023,0.000,0.017,0.001,0.317,0.061,0.083,0.380,0.005,0.069,0.008,0.001,0.001,0.000
TCGA-HZ-A4BH-01A,0.014,0.016,0.021,0.001,0.009,0.000,0.378,0.030,0.127,0.294,0.033,0.070,0.005,0.001,0.000,0.000
TCGA-HZ-A49G-01A,0.008,0.000,0.013,0.000,0.010,0.000,0.387,0.033,0.082,0.284,0.001,0.173,0.008,0.001,0.000,0.000
TCGA-IB-8126-01A,0.020,0.019,0.012,0.001,0.025,0.006,0.353,0.033,0.108,0.315,0.023,0.076,0.005,0.001,0.003,0.000
TCGA-FB-A5VM-01A,0.002,0.005,0.012,0.000,0.003,0.000,0.507,0.043,0.079,0.242,0.024,0.076,0.002,0.001,0.003,0.000
TCGA-HV-AA8V-01A,0.004,0.000,0.004,0.000,0.002,0.000,0.312,0.010,0.042,0.495,0.000,0.124,0.005,0.001,0.000,0.000
TCGA-IB-7891-01A,0.021,0.003,0.020,0.000,0.009,0.000,0.365,0.054,0.074,0.308,0.012,0.126,0.007,0.001,0.000,0.000
TCGA-FB-A545-01A,0.000,0.000,0.003,0.000,0.000,0.000,0.648,0.003,0.065,0.262,0.000,0.012,0.006,0.000,0.000,0.000
