,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-V1-A9OF-01A,0.002,0.000,0.004,0.000,0.001,0.000,0.924,0.007,0.014,0.014,0.016,0.017,0.001,0.000,0.000,0.000
TCGA-ZG-A8QX-01A,0.007,0.005,0.006,0.000,0.003,0.000,0.842,0.008,0.011,0.017,0.084,0.015,0.001,0.001,0.000,0.000
TCGA-YL-A8SC-01A,0.000,0.000,0.007,0.005,0.010,0.000,0.824,0.011,0.032,0.043,0.030,0.035,0.002,0.000,0.000,0.000
TCGA-HC-7817-01B,0.011,0.000,0.008,0.001,0.002,0.000,0.661,0.024,0.090,0.113,0.049,0.039,0.002,0.001,0.000,0.000
TCGA-KC-A7F6-01A,0.008,0.000,0.003,0.001,0.003,0.000,0.829,0.007,0.052,0.047,0.039,0.009,0.001,0.000,0.000,0.000
TCGA-KK-A7B4-01A,0.009,0.001,0.008,0.002,0.004,0.000,0.837,0.015,0.018,0.064,0.021,0.021,0.001,0.000,0.000,0.000
TCGA-G9-6366-01A,0.012,0.000,0.004,0.000,0.005,0.000,0.875,0.004,0.018,0.020,0.055,0.006,0.001,0.000,0.000,0.000
TCGA-KK-A59X-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.879,0.008,0.019,0.032,0.031,0.026,0.001,0.000,0.000,0.000
TCGA-HC-A6AN-01A,0.002,0.000,0.003,0.000,0.003,0.000,0.871,0.004,0.016,0.037,0.039,0.023,0.000,0.001,0.000,0.000
TCGA-G9-6498-01A,0.013,0.001,0.016,0.000,0.006,0.000,0.678,0.015,0.061,0.138,0.063,0.008,0.002,0.000,0.000,0.000
TCGA-J4-AATZ-01A,0.000,0.000,0.004,0.001,0.001,0.000,0.924,0.008,0.020,0.001,0.030,0.009,0.000,0.000,0.000,0.000
TCGA-EJ-7317-01A,0.005,0.000,0.002,0.000,0.000,0.000,0.879,0.005,0.030,0.030,0.040,0.008,0.000,0.000,0.000,0.000
TCGA-SU-A7E7-01A,0.007,0.001,0.007,0.000,0.007,0.000,0.788,0.011,0.065,0.056,0.041,0.015,0.002,0.000,0.000,0.000
TCGA-XJ-A83F-01A,0.001,0.000,0.001,0.000,0.000,0.000,0.854,0.002,0.026,0.047,0.058,0.011,0.000,0.000,0.000,0.000
TCGA-2A-AAYO-01A,0.014,0.018,0.019,0.001,0.004,0.000,0.757,0.014,0.033,0.056,0.052,0.027,0.005,0.000,0.000,0.000
TCGA-EJ-A46B-01A,0.003,0.000,0.004,0.000,0.000,0.000,0.853,0.007,0.032,0.034,0.059,0.007,0.001,0.000,0.000,0.000
TCGA-QU-A6IN-01A,0.006,0.000,0.002,0.002,0.001,0.000,0.952,0.002,0.007,0.001,0.022,0.003,0.000,0.000,0.000,0.000
TCGA-KK-A59Z-01A,0.010,0.000,0.004,0.000,0.004,0.000,0.755,0.011,0.056,0.063,0.069,0.025,0.002,0.000,0.000,0.000
TCGA-XK-AAJT-01A,0.010,0.000,0.004,0.000,0.002,0.000,0.710,0.013,0.069,0.069,0.098,0.022,0.002,0.000,0.000,0.000
TCGA-EJ-7125-01A,0.007,0.000,0.004,0.000,0.004,0.000,0.810,0.007,0.060,0.042,0.042,0.022,0.002,0.000,0.000,0.000
TCGA-J9-A52C-01A,0.002,0.000,0.007,0.000,0.009,0.000,0.595,0.018,0.093,0.137,0.099,0.032,0.006,0.001,0.000,0.000
TCGA-YL-A8HL-01A,0.000,0.000,0.003,0.000,0.001,0.000,0.916,0.004,0.030,0.003,0.033,0.009,0.000,0.000,0.000,0.000
TCGA-ZG-A9LZ-01A,0.007,0.001,0.005,0.002,0.001,0.000,0.852,0.011,0.025,0.045,0.032,0.018,0.001,0.000,0.000,0.000
TCGA-J9-A8CP-01A,0.008,0.000,0.004,0.000,0.000,0.000,0.728,0.004,0.090,0.072,0.044,0.002,0.047,0.000,0.000,0.000
TCGA-FC-A6HD-01A,0.001,0.000,0.002,0.000,0.001,0.000,0.967,0.004,0.005,0.000,0.016,0.004,0.000,0.000,0.000,0.000
TCGA-G9-6351-01A,0.008,0.000,0.003,0.000,0.002,0.000,0.853,0.005,0.017,0.064,0.038,0.008,0.001,0.000,0.000,0.000
TCGA-EJ-5532-01A,0.008,0.000,0.006,0.000,0.001,0.000,0.834,0.006,0.040,0.058,0.037,0.008,0.001,0.000,0.000,0.000
TCGA-EJ-5525-01A,0.000,0.002,0.005,0.000,0.000,0.000,0.735,0.006,0.066,0.142,0.026,0.016,0.000,0.000,0.000,0.000
TCGA-ZG-A9L9-01A,0.000,0.000,0.010,0.001,0.001,0.000,0.587,0.022,0.041,0.196,0.093,0.047,0.001,0.000,0.000,0.000
TCGA-EJ-A65F-01A,0.002,0.000,0.003,0.004,0.006,0.000,0.784,0.008,0.076,0.051,0.050,0.012,0.003,0.000,0.000,0.000
TCGA-2A-A8VX-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.932,0.003,0.003,0.032,0.026,0.001,0.000,0.000,0.000,0.000
TCGA-KK-A8I4-01A,0.010,0.004,0.023,0.001,0.012,0.000,0.554,0.026,0.110,0.141,0.079,0.034,0.006,0.001,0.000,0.000
TCGA-KK-A8IA-01A,0.001,0.000,0.003,0.001,0.000,0.000,0.916,0.005,0.012,0.016,0.034,0.009,0.000,0.000,0.000,0.000
TCGA-Y6-A9XI-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.891,0.008,0.036,0.019,0.031,0.010,0.000,0.000,0.000,0.000
TCGA-VN-A88I-01A,0.009,0.001,0.014,0.001,0.005,0.000,0.384,0.018,0.104,0.290,0.142,0.016,0.011,0.006,0.000,0.000
TCGA-M7-A71Z-01A,0.000,0.000,0.001,0.000,0.000,0.000,0.955,0.002,0.004,0.014,0.022,0.000,0.000,0.000,0.000,0.000
TCGA-EJ-A46E-01A,0.000,0.001,0.006,0.003,0.002,0.000,0.761,0.015,0.056,0.068,0.078,0.007,0.002,0.000,0.000,0.000
TCGA-CH-5788-01A,0.000,0.000,0.002,0.000,0.000,0.000,0.928,0.004,0.010,0.025,0.013,0.017,0.000,0.000,0.000,0.000
TCGA-KK-A7AU-01A,0.000,0.000,0.001,0.001,0.003,0.000,0.949,0.004,0.014,0.000,0.022,0.006,0.000,0.000,0.000,0.000
TCGA-EJ-5531-01A,0.015,0.000,0.009,0.001,0.005,0.000,0.775,0.017,0.032,0.058,0.041,0.042,0.003,0.001,0.000,0.000
TCGA-VN-A88K-01A,0.001,0.000,0.004,0.000,0.000,0.000,0.764,0.001,0.088,0.077,0.053,0.008,0.002,0.000,0.000,0.000
TCGA-VN-A88M-01A,0.009,0.000,0.003,0.000,0.001,0.000,0.916,0.004,0.012,0.023,0.029,0.003,0.001,0.000,0.000,0.000
TCGA-EJ-5506-01A,0.003,0.000,0.010,0.000,0.004,0.000,0.900,0.007,0.003,0.037,0.024,0.010,0.001,0.000,0.000,0.000
TCGA-XK-AAJU-01A,0.004,0.000,0.005,0.002,0.004,0.000,0.799,0.014,0.060,0.043,0.054,0.010,0.003,0.001,0.000,0.000
TCGA-YL-A8SI-01A,0.007,0.000,0.005,0.000,0.003,0.000,0.724,0.009,0.070,0.087,0.074,0.017,0.002,0.000,0.000,0.000
TCGA-G9-6499-01A,0.008,0.000,0.003,0.000,0.001,0.000,0.895,0.007,0.015,0.030,0.028,0.013,0.000,0.000,0.000,0.000
TCGA-QU-A6IL-01A,0.000,0.000,0.002,0.001,0.002,0.000,0.930,0.005,0.014,0.002,0.033,0.010,0.000,0.001,0.000,0.000
TCGA-J4-A67Q-01A,0.013,0.001,0.010,0.000,0.001,0.000,0.670,0.015,0.048,0.135,0.084,0.017,0.005,0.001,0.000,0.000
TCGA-G9-6361-01A,0.000,0.000,0.004,0.000,0.000,0.000,0.744,0.006,0.060,0.093,0.079,0.011,0.001,0.000,0.000,0.000
TCGA-VN-A88L-01A,0.001,0.000,0.003,0.000,0.000,0.000,0.717,0.004,0.073,0.084,0.107,0.009,0.001,0.000,0.000,0.000
TCGA-KK-A8I9-01A,0.000,0.000,0.005,0.000,0.004,0.000,0.725,0.013,0.117,0.066,0.040,0.024,0.004,0.002,0.000,0.000
TCGA-V1-A9ZG-01A,0.011,0.000,0.004,0.000,0.003,0.000,0.749,0.007,0.068,0.112,0.031,0.012,0.002,0.000,0.000,0.000
TCGA-V1-A9OX-01A,0.012,0.000,0.005,0.001,0.002,0.000,0.842,0.010,0.025,0.036,0.049,0.017,0.001,0.000,0.000,0.000
TCGA-G9-6373-01A,0.007,0.000,0.005,0.001,0.000,0.000,0.786,0.009,0.031,0.074,0.074,0.012,0.000,0.000,0.000,0.000
TCGA-VP-A878-01A,0.010,0.000,0.003,0.000,0.004,0.000,0.715,0.013,0.098,0.073,0.058,0.023,0.002,0.001,0.000,0.000
TCGA-YL-A8SB-01A,0.011,0.000,0.005,0.001,0.002,0.000,0.711,0.009,0.059,0.121,0.057,0.020,0.005,0.000,0.000,0.000
TCGA-EJ-A7NN-01A,0.015,0.005,0.007,0.002,0.000,0.000,0.768,0.012,0.080,0.033,0.050,0.023,0.004,0.000,0.000,0.000
TCGA-HC-7212-01A,0.000,0.000,0.004,0.000,0.001,0.000,0.840,0.008,0.051,0.039,0.044,0.013,0.001,0.000,0.000,0.000
TCGA-V1-A9O5-01A,0.000,0.000,0.014,0.003,0.014,0.000,0.815,0.027,0.018,0.059,0.019,0.030,0.001,0.000,0.000,0.000
TCGA-HC-A8D0-01A,0.009,0.003,0.007,0.001,0.001,0.000,0.767,0.015,0.028,0.102,0.050,0.014,0.002,0.000,0.000,0.000
TCGA-2A-A8VT-01A,0.000,0.000,0.006,0.005,0.005,0.000,0.878,0.007,0.044,0.007,0.029,0.018,0.000,0.000,0.000,0.000
TCGA-ZG-A9LB-01A,0.001,0.000,0.003,0.001,0.004,0.000,0.857,0.010,0.008,0.051,0.050,0.012,0.001,0.000,0.000,0.000
TCGA-HC-7079-01A,0.053,0.070,0.070,0.006,0.029,0.006,0.291,0.105,0.087,0.134,0.029,0.104,0.002,0.002,0.013,0.000
TCGA-HC-A6AP-01A,0.013,0.000,0.005,0.000,0.002,0.000,0.775,0.011,0.038,0.046,0.070,0.033,0.002,0.004,0.000,0.000
TCGA-KC-A4BR-01A,0.003,0.000,0.005,0.000,0.000,0.000,0.567,0.008,0.113,0.077,0.211,0.003,0.009,0.001,0.001,0.000
TCGA-V1-A9OA-01A,0.008,0.001,0.006,0.000,0.008,0.000,0.700,0.015,0.061,0.122,0.063,0.015,0.002,0.000,0.000,0.000
TCGA-EJ-A46H-01A,0.011,0.000,0.009,0.000,0.016,0.000,0.542,0.018,0.125,0.164,0.088,0.017,0.007,0.001,0.000,0.000
