,Mixed_N100K_segment_filtered-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_1-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_2-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_3-Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_filtered_4-Mixed_N100K_segment_without_filtering,Mixed_N100K_random,Mixed_N100K_random_1,Mixed_N100K_random_2,Mixed_N100K_random_3,Mixed_N100K_random_4,Mixed_N100K_segment_filtered,Mixed_N100K_segment_filtered_1,Mixed_N100K_segment_filtered_2,Mixed_N100K_segment_filtered_3,Mixed_N100K_segment_filtered_4,Mixed_N100K_segment_without_filtering,Mixed_N100K_segment_without_filtering_1,Mixed_N100K_segment_without_filtering_2,Mixed_N100K_segment_without_filtering_3,Mixed_N100K_segment_without_filtering_4,rep_5_d1d2_mean,rep_5_d1d2_std,rep_5_d0_mean,rep_5_d0_std,rep_5_d1_mean,rep_5_d1_std,rep_5_d2_mean,rep_5_d2_std
HNSC,0.11631585641611922,0.11837569751875682,0.12224019634477702,0.12161541917340454,0.11963584362690508,0.18466806034081842,0.12664144012695733,0.09691319626573962,0.11818863716882132,0.11574676754357828,0.11850541368346493,0.11353483507320739,0.11520470927944153,0.11436460638139356,0.1150016035334336,0.11836276405889924,0.11396125662718971,0.1150450258459163,0.11894609549934017,0.11751531960287331,0.11963660261599254,0.002414107124628397,0.12843162028918298,0.03326025097619407,0.1153222335901882,0.0018948017332080685,0.11676609232684373,0.0021617290011129945
ACC,0.22234171727434848,0.23937290700410296,0.1842765361410722,0.2106316029277153,0.23189035219913304,0.6461573063557836,0.4063068538600732,0.3161297982903361,0.4179516551898669,0.4605110246209838,0.25009403547921427,0.30837487255824925,0.2557687617627901,0.271947265457613,0.2819222466648508,0.30994819289436265,0.35153107970704384,0.32286364053536104,0.2968784284279051,0.3679606834390897,0.2177026231092744,0.021562216212022044,0.44941132766340874,0.12190555373956576,0.27362143638454345,0.023193556271044104,0.32983640500075245,0.02938753205830067
LUAD,0.1294531737823937,0.1333444111481085,0.125968678090715,0.1292831285016537,0.1350897370002679,0.2500095408296183,0.16922596065248044,0.13151426103670708,0.17281709500754908,0.15941612727149423,0.13074247744539763,0.15226459946102783,0.1342058674716319,0.13273154674735588,0.13346896227606844,0.19182151764166133,0.19661953542835525,0.17196069951878054,0.1775732020918903,0.18480200910188554,0.13062782570462778,0.003611930338344584,0.1765965969595698,0.04411818444022919,0.13668269068029631,0.008805626842664794,0.18455539275651459,0.010071968689197141
CESC,0.10407383363594387,0.10602867567891794,0.1085702869966873,0.10825027690648707,0.10691569340694912,0.18218452348107533,0.12579017244381102,0.09543372201697493,0.12686561670518437,0.12571466667504846,0.10236630725452175,0.10054268936181268,0.10091675771027807,0.1019232567420246,0.10098292065939003,0.1045017630321192,0.1010577826318368,0.10380354566543107,0.10650957703418036,0.10543295443453485,0.10676775332499706,0.0018215603979213366,0.13119774026441883,0.031451511268296886,0.10134638634560544,0.0007641392258313193,0.10426112455962047,0.0020589687109841687
UCEC,0.11884422377132817,0.11953821281223977,0.11713352044449792,0.1176556909448991,0.11860340259127099,0.3213611864571889,0.2056953882498408,0.14703058563969984,0.21716235060467207,0.18864795128442163,0.11813813420982555,0.127684797056139,0.12079257824761816,0.11875916498274676,0.11809153524266967,0.1473728224307616,0.15691875969066651,0.14470658730775324,0.1536183489784249,0.16235455277219918,0.11835501011284719,0.0009594375648492418,0.21597949244716466,0.06464021247888145,0.12069324194779982,0.004059858912952803,0.1529942142359611,0.007136041350855932
LIHC,0.14350190415446368,0.15008429527212877,0.12980744914852707,0.12397632697251394,0.13391470210306672,0.5164668725661125,0.24569181657750352,0.19931812941022273,0.22631734452150776,0.2372427629484798,0.15090761083552498,0.17659188715556676,0.1484124352721032,0.1434449592499918,0.1500915524737792,0.2131396357148723,0.2002327681862427,0.2045876050501636,0.1759865813617817,0.20063074059096941,0.13625693553014004,0.010506911134593205,0.2850073852047652,0.13056400422721146,0.15388968899739316,0.013017306943987452,0.19891546618080594,0.01382851554042325
KICH,0.12970717197417597,0.15044115537567915,0.1289804862998812,0.12702170498958648,0.12682351031741226,0.5427221215601675,0.31659979542245203,0.20673389733590453,0.32572696872357093,0.35708728904849024,0.1564684180470738,0.1815779036031727,0.1502447940989842,0.16020123787094973,0.15685216851937614,0.2239913452998369,0.2205166513859249,0.21275833817159426,0.17024566774110694,0.23377284108888532,0.132594805791347,0.010053124289601402,0.34977401441811706,0.12188285394490528,0.1610689044279113,0.01201539214404101,0.21225696873746966,0.024668053715886776
PRAD,0.18147750158902878,0.19794411701674405,0.17927105148011327,0.16597281672216163,0.17748862591145165,0.48113267693409184,0.33983308801903117,0.24976646051375845,0.3441065021146372,0.3081332749995419,0.18565434716007378,0.21130904363769415,0.20277663909921298,0.18053473142587315,0.1754432298575069,0.2644162698188961,0.2849553288735645,0.26316456532233884,0.2558445239302597,0.26961810407414116,0.1804308225438999,0.011476568984259512,0.34459440051621215,0.08512837503994002,0.19114359823607222,0.015257410720399487,0.26759975840384004,0.010877506841458565
READ,0.10575264387591919,0.10574350075445407,0.10590310415601384,0.11436210721329448,0.10792979645980724,0.20259483276989135,0.11568331824633113,0.0866277662156775,0.1268694566715905,0.09319502804877548,0.10527728733642248,0.10112384748475743,0.0994239371434688,0.10338284796334471,0.10474626830055363,0.10714029199453723,0.10202444781427258,0.10459336061307788,0.10917461971704526,0.10733298598062979,0.10793823049189777,0.0037081541885408643,0.12499408039045319,0.04635525291415607,0.10279083764570943,0.0024734334696549388,0.10605314122391254,0.002780506132123333
GBM,0.3824628613721172,0.4074535582996578,0.3737809090370003,0.3780406439615218,0.37808004695817354,0.6086610614269393,0.5079482615203825,0.4440516234361899,0.4936615552363998,0.433059569030575,0.39585776394598576,0.4584690365054226,0.39295927814000753,0.4079159044040689,0.39905605009625034,0.4175495237724881,0.3860068782622785,0.45452930634772865,0.43339175733849317,0.44476875666788324,0.3839636039256941,0.01348531754563543,0.4974764141300973,0.06980325336961571,0.4108516066183471,0.027203510190174782,0.42724924447777435,0.026850898029980478
