,lymph_node_20,lymph_node_25,lymph_node_26,lymph_node_28,lymph_node_5,primary_10,primary_12,primary_13,primary_16,primary_17,primary_18,primary_20,primary_22,primary_23,primary_24,primary_25,primary_26,primary_28,primary_5,primary_6,primary_7,primary_8
CD4 T,0,22.06896552,0.350877193,0.823045267,0,2.298850575,48.63013699,9.756097561,31.57894737,13.4375,22.97297297,0,0,47.05882353,0.81300813,11.3253012,1.587301587,0,5.714285714,0,0,18.81188119
DC,0,0.689655172,0.701754386,0,0,0,0,36.58536585,1.228070175,0,0,0,0.507614213,0,0,1.686746988,0.793650794,0,0,0,0,0
Endothelial Cells,0,0,0,2.880658436,36.36363636,9.195402299,0,3.658536585,7.543859649,2.65625,4.054054054,0.298507463,0.507614213,0,0.81300813,0.240963855,0,3.867403315,5.238095238,18.97810219,0,26.73267327
Fibroblasts,0,3.103448276,3.157894737,10.28806584,1.298701299,27.5862069,0,10.97560976,8.245614035,5.78125,7.882882883,0.895522388,4.568527919,0,53.65853659,17.8313253,14.28571429,43.92265193,17.14285714,29.5620438,14.28571429,24.75247525
Macrophages,0,0.689655172,1.052631579,0.411522634,0,0,0,3.658536585,1.403508772,0.3125,1.576576577,0,0,0,1.62601626,0.240963855,0,0.276243094,27.61904762,2.189781022,0,0.99009901
Mast_cells,0,1.034482759,0,0.411522634,1.298701299,1.149425287,0,6.097560976,4.210526316,1.09375,2.702702703,0,11.16751269,0,15.44715447,2.409638554,0.793650794,0,1.904761905,0.364963504,0,1.98019802
Myofibroblasts,0.292397661,33.10344828,20.35087719,33.74485597,16.23376623,2.298850575,0.684931507,4.87804878,14.73684211,0.9375,3.378378378,2.985074627,22.84263959,0,22.76422764,20.96385542,36.50793651,38.12154696,2.857142857,2.554744526,0,6.930693069
Non-plasma B cells,0,0.344827586,0.350877193,0.823045267,0,4.597701149,0,3.658536585,0.526315789,0,0.225225225,0,0,0,0,0.481927711,0,0,0,0,0,15.84158416
Plasma B cells,0,8.965517241,0.350877193,10.69958848,2.597402597,50.57471264,0,8.536585366,0,1.09375,2.027027027,0,0,0,0,0,0,0,0,1.459854015,0,2.97029703
Cancer Cells,99.70760234,25.86206897,73.68421053,39.91769547,42.20779221,1.149425287,2.739726027,8.536585366,9.824561404,51.5625,31.53153153,95.82089552,60.40609137,0,4.87804878,32.28915663,45.23809524,11.32596685,31.9047619,44.89051095,85.71428571,0
CD8 T,0,4.137931034,0,0,0,1.149425287,47.94520548,3.658536585,20.52631579,23.125,23.42342342,0,0,52.94117647,0,10.60240964,0.793650794,0,7.619047619,0,0,0.99009901
T Cells,0,26.20689655,0.350877193,0.823045267,0,3.448275862,96.57534247,13.41463415,52.10526316,36.5625,46.3963964,0,0,100,0.81300813,21.92771084,2.380952381,0,13.33333333,0,0,19.8019802
B Cells,0,9.310344828,0.701754386,11.52263374,2.597402597,55.17241379,0,12.19512195,0.526315789,1.09375,2.252252252,0,0,0,0,0.481927711,0,0,0,1.459854015,0,18.81188119
Lymphocytes,0,35.51724138,1.052631579,12.34567901,2.597402597,58.62068966,96.57534247,25.6097561,52.63157895,37.65625,48.64864865,0,0,100,0.81300813,22.40963855,2.380952381,0,13.33333333,1.459854015,0,38.61386139
