sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-CV-5442-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.963,0,0.001,0,0.029,0,0,0.003
TCGA-CR-7392-01A,HNSC,simu_bulk_2ds_ref,0.05,0.042,0.03,0.446,0.019,0.058,0.187,0.15,0.001,0.009,0.007
TCGA-UF-A71A-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.78,0,0.034,0.132,0.053,0,0,0
TCGA-CN-A642-01A,HNSC,simu_bulk_2ds_ref,0,0.01,0.026,0.785,0,0.02,0.05,0.109,0,0,0
TCGA-CV-A45U-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0.021,0.855,0,0.02,0.039,0.04,0.001,0.007,0.002
TCGA-CN-6012-01A,HNSC,simu_bulk_2ds_ref,0.017,0.024,0.01,0.684,0.014,0.058,0.057,0.116,0,0.012,0.006
TCGA-CV-A45W-01A,HNSC,simu_bulk_2ds_ref,0.077,0.017,0.02,0.605,0.005,0.055,0.06,0.143,0,0.016,0.001
TCGA-CV-A6K0-01B,HNSC,simu_bulk_2ds_ref,0,0.061,0.018,0.5,0.022,0.06,0.16,0.161,0,0.015,0.002
TCGA-QK-A6VB-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.901,0,0.022,0.05,0.024,0,0,0.003
TCGA-CV-6959-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0.003,0.682,0.003,0.073,0.096,0.115,0,0.009,0.005
TCGA-HD-7832-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0.012,0.859,0,0.016,0.021,0.087,0,0.001,0
TCGA-CV-7255-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.937,0,0.027,0.022,0.008,0,0.004,0.003
TCGA-CR-5243-01A,HNSC,simu_bulk_2ds_ref,0.027,0.047,0.036,0.621,0.011,0.043,0.141,0.061,0,0.01,0.003
TCGA-P3-A6T5-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.815,0,0.015,0.073,0.081,0,0.009,0
TCGA-CV-6952-01A,HNSC,simu_bulk_2ds_ref,0,0.021,0.012,0.789,0.006,0.038,0.036,0.086,0,0.009,0.002
TCGA-D6-A6ES-01A,HNSC,simu_bulk_2ds_ref,0,0.015,0,0.875,0,0.008,0,0.1,0,0.001,0
TCGA-CN-5366-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.018,0.737,0,0.036,0.121,0.085,0,0.001,0
TCGA-CQ-6223-01A,HNSC,simu_bulk_2ds_ref,0,0.021,0.009,0.82,0,0.02,0.011,0.11,0,0.003,0.005
TCGA-F7-7848-01A,HNSC,simu_bulk_2ds_ref,0.024,0.032,0.015,0.685,0.011,0.052,0.068,0.095,0,0.007,0.011
TCGA-CV-A6JM-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0,0.882,0,0.007,0.025,0.073,0,0.005,0
TCGA-CN-5359-01A,HNSC,simu_bulk_2ds_ref,0,0.047,0.031,0.479,0.02,0.049,0.155,0.191,0,0.008,0.02
TCGA-P3-A5QA-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.745,0.002,0.017,0.22,0.01,0,0.004,0.001
TCGA-CN-4734-01A,HNSC,simu_bulk_2ds_ref,0,0.024,0.054,0.651,0,0.035,0.078,0.155,0,0.002,0
TCGA-CV-6441-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.969,0,0.008,0.001,0.021,0,0.002,0
TCGA-CV-A6JY-01A,HNSC,simu_bulk_2ds_ref,0,0.018,0,0.883,0,0.045,0.003,0.041,0,0,0.009
TCGA-D6-6825-01A,HNSC,simu_bulk_2ds_ref,0,0.044,0.056,0.537,0.013,0.052,0.075,0.212,0,0.002,0.008
TCGA-CR-5247-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.777,0,0.015,0.197,0.011,0,0,0
TCGA-CV-7410-01A,HNSC,simu_bulk_2ds_ref,0.192,0.131,0.027,0.286,0.022,0.071,0.095,0.161,0,0.014,0
TCGA-CV-7091-01A,HNSC,simu_bulk_2ds_ref,0,0.023,0.005,0.778,0.002,0.031,0.092,0.064,0,0.005,0.001
TCGA-BA-5153-01A,HNSC,simu_bulk_2ds_ref,0.025,0.053,0.08,0.594,0.02,0.052,0.056,0.087,0,0.03,0.003
TCGA-CV-7428-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0.025,0.75,0.003,0.035,0.053,0.108,0,0.008,0.003
TCGA-CX-7086-01A,HNSC,simu_bulk_2ds_ref,0,0.011,0.001,0.882,0.006,0.034,0.007,0.044,0,0.006,0.009
TCGA-CN-5364-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0,0.773,0,0.029,0.063,0.12,0,0.008,0
TCGA-BA-A6DB-01A,HNSC,simu_bulk_2ds_ref,0.006,0.072,0.036,0.503,0.021,0.042,0.131,0.168,0,0.02,0
TCGA-CQ-5325-01A,HNSC,simu_bulk_2ds_ref,0.042,0.036,0.066,0.398,0.032,0.045,0.131,0.238,0,0.012,0
TCGA-CN-4731-01A,HNSC,simu_bulk_2ds_ref,0,0,0.001,0.844,0,0.015,0.086,0.05,0,0.004,0
TCGA-CV-7427-01A,HNSC,simu_bulk_2ds_ref,0,0.033,0.04,0.63,0.002,0.042,0.013,0.23,0,0.01,0.001
TCGA-CR-6467-01A,HNSC,simu_bulk_2ds_ref,0.081,0.078,0.069,0.573,0.019,0.035,0.04,0.098,0,0.007,0.002
TCGA-CV-7183-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.862,0,0.046,0.06,0.03,0,0,0
TCGA-CV-A6JN-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.005,0.861,0.007,0.018,0.002,0.074,0,0.01,0
TCGA-D6-A6EN-01A,HNSC,simu_bulk_2ds_ref,0,0.015,0.061,0.766,0,0.014,0,0.135,0,0.01,0
TCGA-CQ-A4C7-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.718,0,0.049,0.169,0.049,0,0.007,0.002
TCGA-CV-5435-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.836,0.001,0.03,0.107,0.023,0,0.001,0.001
TCGA-CR-7370-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.006,0.765,0,0.04,0.111,0.064,0.001,0.006,0.004
TCGA-CN-4722-01A,HNSC,simu_bulk_2ds_ref,0.002,0.03,0.001,0.694,0.001,0.075,0.136,0.061,0,0,0
TCGA-F7-8489-01A,HNSC,simu_bulk_2ds_ref,0,0.046,0.031,0.679,0.012,0.05,0.049,0.12,0,0.009,0.002
TCGA-CV-A6K2-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0.002,0.82,0,0.016,0.026,0.115,0,0.01,0.003
TCGA-HD-8634-01A,HNSC,simu_bulk_2ds_ref,0,0.017,0,0.871,0.004,0.033,0.01,0.054,0,0.003,0.007
TCGA-CN-6994-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.765,0,0.019,0.099,0.106,0,0.003,0
TCGA-D6-A4Z9-01A,HNSC,simu_bulk_2ds_ref,0,0.011,0.001,0.818,0.002,0.039,0.046,0.067,0,0.012,0.005
TCGA-CR-7376-01A,HNSC,simu_bulk_2ds_ref,0.004,0.047,0.054,0.205,0.017,0.067,0.28,0.305,0.004,0.016,0.001
TCGA-CR-7391-01A,HNSC,simu_bulk_2ds_ref,0.006,0.067,0.027,0.433,0.014,0.081,0.151,0.208,0.001,0.011,0.001
TCGA-T2-A6X2-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0.022,0.753,0,0.029,0.069,0.113,0,0.011,0
TCGA-BA-4074-01A,HNSC,simu_bulk_2ds_ref,0,0.009,0,0.802,0,0.017,0.102,0.069,0,0,0
TCGA-CN-6022-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.603,0.003,0.035,0.177,0.162,0,0.004,0.003
TCGA-CN-A6V3-01A,HNSC,simu_bulk_2ds_ref,0.002,0.018,0.022,0.834,0,0.03,0.013,0.074,0,0.006,0.001
TCGA-QK-A8Z7-01A,HNSC,simu_bulk_2ds_ref,0.006,0.009,0,0.867,0.001,0.036,0.055,0.024,0,0.001,0.001
TCGA-CN-A497-01A,HNSC,simu_bulk_2ds_ref,0.004,0.028,0.004,0.766,0.004,0.053,0.08,0.055,0.001,0.001,0.005
TCGA-F7-A50G-01A,HNSC,simu_bulk_2ds_ref,0,0.032,0.029,0.637,0.008,0.05,0.055,0.17,0,0.01,0.009
TCGA-IQ-A61I-01A,HNSC,simu_bulk_2ds_ref,0.028,0.042,0.009,0.809,0.01,0.015,0,0.068,0,0.017,0.001
TCGA-CR-7373-01A,HNSC,simu_bulk_2ds_ref,0,0.034,0.032,0.689,0,0.043,0.028,0.158,0,0.016,0
TCGA-CN-A63T-01A,HNSC,simu_bulk_2ds_ref,0,0.027,0.01,0.771,0.001,0.033,0.05,0.098,0,0.009,0.001
TCGA-CN-6019-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.01,0.314,0.004,0.055,0.329,0.259,0.001,0.006,0
TCGA-CR-7386-01A,HNSC,simu_bulk_2ds_ref,0,0.028,0.021,0.364,0.005,0.042,0.28,0.254,0,0.007,0
TCGA-HD-A6HZ-01A,HNSC,simu_bulk_2ds_ref,0.016,0.044,0.006,0.582,0.001,0.067,0.105,0.158,0.001,0.013,0.008
TCGA-QK-A6IH-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.866,0,0.011,0.048,0.07,0,0.005,0
TCGA-CN-6011-01A,HNSC,simu_bulk_2ds_ref,0,0,0.016,0.832,0,0.022,0.035,0.082,0,0.013,0
TCGA-CR-6474-01A,HNSC,simu_bulk_2ds_ref,0,0.022,0.001,0.544,0.005,0.055,0.247,0.11,0.002,0.007,0.006
TCGA-CV-6939-01A,HNSC,simu_bulk_2ds_ref,0.024,0.022,0.029,0.623,0.008,0.078,0.088,0.117,0.003,0.005,0.003
TCGA-D6-8568-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.694,0.006,0.064,0.126,0.076,0,0.006,0.015
TCGA-HD-A634-01A,HNSC,simu_bulk_2ds_ref,0.006,0.005,0,0.937,0.005,0.03,0.015,0.003,0,0,0
TCGA-CV-A45O-01A,HNSC,simu_bulk_2ds_ref,0,0.014,0.011,0.737,0,0.033,0.016,0.162,0,0.001,0.025
TCGA-T3-A92N-01A,HNSC,simu_bulk_2ds_ref,0,0.008,0.008,0.899,0,0.014,0.009,0.061,0,0.002,0
TCGA-CV-7438-01A,HNSC,simu_bulk_2ds_ref,0,0.016,0,0.736,0.008,0.027,0.114,0.089,0,0.009,0
TCGA-CV-A6K1-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0.001,0.863,0,0.027,0.022,0.064,0,0.01,0
