Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-HQ-A5NE-01A,0,0.680424288535213,0.120459421206066,0.151280239297153,0.0478360509615686,0,0,0,0.233730761908724,0.989818135293834
TCGA-FD-A5BT-01A,0,0.121706894956003,0.0329184106833184,0.592325339119712,0.178271675409922,0.0747776798310437,0,0,0.515949012365129,0.875080265099603
TCGA-DK-A3IQ-01A,0,0.0571249553591332,0.0207762546990086,0.922098789941858,0,0,0,0,0.74553494233203,0.716747893834261
TCGA-ZF-AA4X-01A,0,1,0,0,0,0,0,0,0.402894452227949,0.915577966415337
TCGA-GD-A3OQ-01A,0,0.806497306250541,0.0613855909120632,0.112255249794711,0.0198618530426855,0,0,0,0.135378477627904,1.02561860337344
TCGA-ZF-AA51-01A,0,0.474942847004033,0.0910001830051034,0.185369130191025,0.204865231897396,0,0.043822607902443,0.01,0.0963050442499108,1.04227082889767
TCGA-FD-A3SS-01A,0,0.877172058473336,0,0.122827941526664,0,0,0,0,0.231908308462674,0.988540354157669
TCGA-DK-AA71-01A,0.00523231333399001,0.906182046584131,0.030844520563723,0.0509192606141879,0.00682185890396803,0,0,0.01,0.079369609201464,1.04933701144784
TCGA-4Z-AA83-01A,0,0.69786774489383,0.170696779922861,0.0668754036877045,0.0645600714956041,0,0,0,0.118232479217681,1.03934282790207
TCGA-ZF-A9R4-01A,0.0127022801872909,0.957465921712297,0.02809181111138,0,0.00173998698903188,0,0,0,0.262849603791449,0.977547811108487
TCGA-BT-A20P-01A,0.0141958517729878,0.881937401923283,0.0676135151046377,0.0362532311990917,0,0,0,0,0.213244022237838,0.996088867267265
TCGA-HQ-A2OE-01A,0.00966494677488006,0.975948743544318,0.0143863096808016,0,0,0,0,0,0.215141583366712,0.998987408914308
TCGA-R3-A69X-01A,0,0.559187602626982,0.129525645603704,0.21012913257254,0.101157619196773,0,0,0,0.352512836674958,0.939839508774254
TCGA-BT-A3PH-01A,0,0.883439125950435,0.0701740723174961,0.0463868017320692,0,0,0,0,0.145188422083003,1.02432321421167
TCGA-UY-A9PA-01A,0,0.842359304568881,0.0500299850264425,0,0.0676425366987992,0.0399681737058771,0,0,0.213869252113505,0.991885941892463
TCGA-BL-A13J-01B,0,0.542838077929211,0.0423273348049496,0.375165578027054,0.0396690092387858,0,0,0,0.311397646886323,0.969534083130625
TCGA-CF-A3MI-01A,0,0.693405119403106,0.306594880596894,0,0,0,0,0,0.136855291570057,1.0677306909254
TCGA-XF-AAMW-01A,0,0.505135355772344,0.103816705946252,0.254942627435273,0.136105310846132,0,0,0,0.110430002458643,1.04934032161981
TCGA-H4-A2HQ-01A,0.00768351548043103,0.900648310264283,0.0833196954928107,0.0029626858685581,0.00538579289391667,0,0,0,0.280708237550084,0.969013237695002
TCGA-HQ-A5ND-01A,0,0.940141509347038,0.043972222676109,0.0111318602667026,0.00475440771015082,0,0,0,0.234382308217364,0.989087886890334
TCGA-K4-A6FZ-01A,0,0.693954849859584,0.116573816785033,0,0.180518444992913,0.00895288836247057,0,0,0.140753388335985,1.01925491691141
TCGA-DK-A3IV-01A,0,0.871888435663949,0.00104457413642551,0,0.0763880306478261,0,0.0506789595517992,0,0.428048665143239,0.904188896276633
TCGA-E7-A3X6-01A,0,0.738711460889591,0.111507705588207,0.0608287519905919,0.0789409743796173,0.0100111071519926,0,0,0.106063487556919,1.03433934282109
TCGA-BT-A42F-01A,0.00145498880666351,0.505515512860977,0.0366571987104756,0.0189873637007014,0.36399300456114,0.0733919313600429,0,0,0.152193623280141,1.01880442950494
TCGA-UY-A8OB-01A,0,0.848808010519788,0.0114237404270333,0.054100296613749,0.0598261219778002,0.0258418304616291,0,0,0.125008660128663,1.02556907227128
TCGA-DK-A1A3-01A,0,0.649089821524083,0.0461011763579754,0.230125146970754,0.0746838551471876,0,0,0,0.235471016266122,0.988076606790081
TCGA-DK-AA6X-01A,0.0233164313886455,0.669422960309991,0.101637261316674,0.107448360066038,0.0981749869186509,0,0,0,0.396710089043689,0.917777665783847
TCGA-G2-A3IE-01A,0.010920893046831,0.938511325996292,0.0320288573654915,0.0185389235913854,0,0,0,0,0.217985977779392,0.995621921637415
TCGA-FD-A5BU-01A,0,0.447522839231159,0.0387733898158465,0.396252818411654,0.111107839951922,0.00634311258941859,0,0.01,0.0686632974861717,1.09155842455098
TCGA-C4-A0EZ-01A,0.0128938062814965,0.858411086805045,0.0993398030830354,0.0293553038304228,0,0,0,0,0.358708554775392,0.934804070902669
TCGA-FD-A3B3-01A,0,0.40743304305329,0.029614607005983,0.321692334182701,0.190805185945743,0.0504548298122825,0,0,0.21384860497201,1.0062014219823
TCGA-FD-A5BZ-01A,0,0.282360963441899,0.0179490838320809,0.697043467512191,0.00264648521382948,0,0,0,0.707125309138221,0.710679993958809
TCGA-C4-A0F7-01A,0,0.788915530128377,0.111024318898638,0.0870953202868721,0.0129648306861125,0,0,0.05,0.0414922257975505,1.06592146538144
TCGA-XF-AAMR-01A,0,0.359294552153285,0.265446502513967,0.323101805097157,0.0521571402355904,0,0,0,0.405948839685386,0.941527985721305
TCGA-XF-AAN7-01A,0,0.450273583519168,0.377772201852774,0.161732612166003,0.0102216024620554,0,0,0,0.260968354889732,1.04382782367471
TCGA-UY-A8OD-01A,0,0.408918375640333,0.146227404957208,0.407775473730553,0.0361491240456145,0,0.000929621626291249,0,0.443764955319477,0.908388115730385
