Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-CV-5442-01A,0,0.973758348287127,0,0,0.0262416517128727,0,0,0.1,0.0316887253699513,1.07368658078702
TCGA-CR-7392-01A,0,0.281267694263663,0.0430308108264349,0.494858973842364,0.161257437064655,0.0195850840028825,0,0,0.201445786956817,1.05712265019233
TCGA-UF-A71A-01A,0,0.5464171575359,0.0398623036657938,0.410177597857147,0.00354294094115908,0,0,0,0.327895882614236,0.966966138329235
TCGA-CN-A642-01A,0,0.613703662225119,0.0789863028548247,0.158983542410475,0.102040063433691,0.0462864290758903,0,0.01,0.113993579084448,1.03024463708442
TCGA-CV-A45U-01A,0.0255834449110674,0.660459050772672,0.00887557764235852,0.226701658047741,0.0724961834824426,0.0058840851437181,0,0.02,0.0976385926994978,1.04032731106939
TCGA-CN-6012-01A,0,0.628151385184851,0.0756286824950165,0.153201699708774,0.115812408450521,0.0272058241608377,0,0,0.142745815670353,1.01874446528309
TCGA-CV-A45W-01A,0.0801472050237475,0.560871678389711,0.0429747840689354,0.146436635933584,0.151427142139703,0.0181425544443193,0,0,0.2838648047396,0.962294412305659
TCGA-CV-A6K0-01B,0,0.36002314551236,0.0378189773206593,0.420516115617577,0.151935393517039,0.0150988848210794,0.0146074832112858,0.02,0.0972281983462394,1.08601894953901
TCGA-QK-A6VB-01A,0,0.871123239826637,0.00117161916260952,0.124947819154215,0.00275732185653846,0,0,0.02,0.0890676093781587,1.04562155767838
TCGA-CV-6959-01A,0,0.484156113577092,0.104341754010307,0.217002239968473,0.182325174772952,0.0121747176711765,0,0,0.137951374197844,1.03125066625297
TCGA-HD-7832-01A,0,0.797259877339636,0.0234214908724854,0.083046187339891,0.0786851501046132,0.0175872943433743,0,0.02,0.0981420561072406,1.03345378199194
TCGA-CV-7255-01A,0,0.746058370119572,0.110174315223598,0.106242144101192,0.0184920651439719,0.0190331054116659,0,0.03,0.068008561152097,1.05376000918846
TCGA-CR-5243-01A,0,0.476360191009058,0.0572089145863171,0.426235352226752,0.0194776718310238,0,0.0207178703468497,0,0.191265303565499,1.04563217635746
TCGA-P3-A6T5-01A,0,0.559973653507912,0.0744586693029347,0.287070726375273,0.0703357127815273,0.00816123803235375,0,0.05,0.0536861931183346,1.07588730050138
TCGA-CV-6952-01A,0,0.691621180270679,0.0618417827471191,0.108532075390953,0.106766337383823,0.0312386242074267,0,0.03,0.0633864736758376,1.04445312726279
TCGA-D6-A6ES-01A,0.0393298521257855,0.763818492194666,0.0122109489548283,0.0149482205060727,0.159069700212154,0.010622786006494,0,0.03,0.0578065521706083,1.04611485204906
