Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-KL-8325-01A,0.0253764813105769,0.765441400637836,0.209182118051587,0,0,0,0,0,0.220013710884095,1.0036796297647
TCGA-KO-8411-01A,0.0222883528950026,0.600340433586004,0.365584822026413,0,0.0117863914925799,0,0,0,0.214869739952598,1.04514443885036
TCGA-KL-8331-01A,0.0262179278509389,0.742223124520152,0.231558947628909,0,0,0,0,0,0.169819061814756,1.03042820439302
TCGA-KO-8409-01A,0,0.642314128891406,0.34069724923841,0,0.0169886218701841,0,0,0,0.302971921086794,0.988035995301877
TCGA-KM-8439-01A,0.000558121464687711,0.670466326057137,0.190788273733573,0,0.138187278744602,0,0,0,0.382014810170337,0.924948818457105
TCGA-KN-8423-01A,0.0211676169843556,0.57695219315383,0.366836567637772,0,0.0350436222240422,0,0,0,0.349653271896966,0.965978717909777
TCGA-KL-8339-01A,0.0395933364302605,0.709826526358026,0.233813722916553,0,0.0167664142951605,0,0,0,0.279144707824778,0.978178083378286
TCGA-KN-8434-01A,0.00333004646226073,0.419043522645228,0.517719474765626,0,0.0599069561268849,0,0,0,0.309341123435234,1.05065025763687
TCGA-KL-8342-01A,0.00585851029847367,0.402995350009177,0.52481179606212,0,0.0554811311617903,0.0108532124684385,0,0,0.391658216068931,0.992869827872076
TCGA-KN-8428-01A,0.0404528714648925,0.712940075737432,0.226242635366904,0.0203644174307721,0,0,0,0,0.22345442871959,1.00433648070338
TCGA-KO-8416-01A,0,0.523334265375368,0.388927701273087,0,0.0877380333515451,0,0,0,0.249431590960132,1.03130364250329
TCGA-KL-8344-01A,0,0.197100572296966,0.802899427703034,0,0,0,0,0,0.753165402735255,0.758145720819427
TCGA-KM-8441-01A,0.0103679528074977,0.474349781280764,0.332595500301738,0.0229599139106051,0.159726851699396,0,0,0,0.355184777983955,0.95412325215369
TCGA-KM-8442-01A,0.0110917030706629,0.641503776934651,0.328386530390503,0.00488647898385024,0.0141315106203324,0,0,0,0.386258445118972,0.937138990316696
TCGA-KL-8346-01A,0.0139791552027599,0.656894345450893,0.329126499346347,0,0,0,0,0,0.234467943247031,1.02332744377411
TCGA-KL-8341-01A,0.017735440387709,0.739558922007344,0.242705637604947,0,0,0,0,0,0.259336506003247,0.990718810424062
TCGA-KL-8330-01A,0.020006737106008,0.784139691109964,0.195853571784028,0,0,0,0,0,0.279515960907433,0.975013574152339
TCGA-KN-8431-01A,0.00714434436046957,0.555377522958803,0.437478132680728,0,0,0,0,0,0.243479724523495,1.0587372103588
TCGA-KO-8403-01A,0.000138842202314956,0.495666896694868,0.363886576586906,0,0.140307684515911,0,0,0,0.261653024848288,1.01455564323139
TCGA-KO-8405-01A,0.0101619695829452,0.2361922762346,0.281985777686022,0.0565127092523042,0.398699565138986,0.0164477021051421,0,0,0.439930673249539,0.904860623507724
TCGA-KN-8435-01A,0.0234399299124084,0.654317568357765,0.322242501729827,0,0,0,0,0,0.271806305727321,1.0007628839257
TCGA-KN-8419-01A,0.030988468749704,0.437690805132853,0.40247702595598,0,0.0950175088050609,0,0.0338261913564017,0,0.240524892339471,1.04119868389327
TCGA-KL-8337-01A,0.0262579427254542,0.665846298847554,0.307895758426992,0,0,0,0,0,0.207302187555753,1.0309789881663
