Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-BQ-7044-01A,0.0311910968488986,0.776622683011939,0.112298080692074,0,0.0651853799857633,0,0.0147027594613259,0,0.407988349309394,0.912883604573633
TCGA-SX-A7SR-01A,0,0.639418437965758,0.0989138096530623,0,0.208860571721903,0,0.0528071806592773,0,0.411786485670827,0.91180607220446
TCGA-MH-A854-01A,0.00665984728320507,0.845202362600934,0.104508801054198,0,0.0436289890616632,0,0,0,0.351719941148229,0.937450770040417
TCGA-B3-8121-01A,0.00997525172916713,0.323626897862678,0.171880360163478,0.113599650494894,0.368500306765657,0.0100631530589132,0.002354379925213,0,0.476661826087828,0.879358989006368
TCGA-2Z-A9JJ-01A,0,0.574739843511516,0.173736324095144,0.0821288930257759,0.169394939367564,0,0,0,0.231213449602227,0.990773473748409
TCGA-B1-7332-01A,0,0.664740752258776,0.115670825963016,0.00409198955794958,0.159688967769951,0,0.0558074644503073,0,0.299720361264661,0.957110837245219
TCGA-WN-A9G9-01A,0,0.0902468662238942,0.0543278036700496,0,0.365434109674891,0.292068609021436,0.197922611409729,0,0.359758943756218,0.984382975848642
TCGA-A4-8310-01A,0.00966167567411699,0.828446173836549,0.0735219425489366,0,0.0823485799782692,0,0.00602162796212869,0.01,0.192917614265012,1.00055321467713
TCGA-2Z-A9JT-01A,0.0187985626671487,0.582044982983392,0.101973165457181,0,0.263930597526704,0.032870650757865,0.000382040607709913,0,0.279550630460111,0.96518060910039
TCGA-5P-A9K2-01A,0.0159936285189234,0.856955328338906,0.0533131004029371,0,0.0668566687773599,0,0.00688127396187402,0,0.311584684291146,0.953417072942704
TCGA-4A-A93W-01A,0,0.785234636311101,0.116247818785242,0.0551636522926445,0.0433538926110125,0,0,0,0.461169759982301,0.888881153209204
TCGA-DW-7837-01A,0.000998120397054557,0.658394997634475,0.153555549064175,4.70224272335124e-05,0.187004310477062,0,0,0,0.331870158315089,0.945617742167231
TCGA-A4-A5DU-01A,0,0.856297363324616,0.0548270104290714,0,0.0679111346701356,0,0.0209644915761768,0.01,0.216849736069895,0.991632590267504
TCGA-2Z-A9JI-01A,0.108777657560371,0.481942415093413,0.0599633315267196,0,0.327378052012035,0.0219385438074609,0,0,0.248326632857801,0.978524626159721
TCGA-BQ-7050-01A,0.00519242966150303,0.706964640425145,0.113437561600688,0,0.126152883635856,0,0.0482524846768084,0.01,0.167633390974281,1.00850282637211
TCGA-BQ-5894-01A,0,0.415660326416773,0.262875837980992,0.193073952090189,0.114558815093739,0.0138310684183075,0,0,0.459021882978476,0.892441356728602
TCGA-BQ-5879-01A,0,0.410588748194945,0.468269910615735,0.0239078112869183,0.0972335299024016,0,0,0,0.395581916455252,0.968275672355516
TCGA-AL-3472-01A,0,0.851784269315276,0.116707006134563,0.0259818334756262,0.00552689107453452,0,0,0,0.411664542429312,0.911140363769859
TCGA-MH-A560-01A,0.0102114772572842,0.762553131903188,0.134553111544879,0,0.0926822792946487,0,0,0,0.443955591812103,0.896903401538933
TCGA-BQ-5891-01A,0.0131805012467524,0.836836305150387,0.117766355734812,0,0.0322168378680486,0,0,0,0.273635057437244,0.971289065084839
TCGA-B9-A5W7-01A,0.00701967044096605,0.693006488148501,0.0854068925620576,0,0.148870995230121,0,0.0656959536183548,0,0.351623052423733,0.936109746619782
TCGA-UZ-A9PR-01A,0,0.809060627273528,0.076742956510734,0,0.0820477286185818,0,0.0321486875971564,0,0.257332346575174,0.974618270204982
TCGA-B9-A69E-01A,0,0.320277486000164,0.340096125058306,0,0.317738590726743,0.0218877982147878,0,0,0.459910755856911,0.894783654554099
TCGA-B3-4104-01A,0,0.779345759408805,0.168795360262592,0.0503844355564946,0,0,0.00147444477210801,0,0.228808644176829,0.99589448089725
TCGA-SX-A71R-01A,0,0.875712401913246,0.114236263327196,0,0.0100513347595587,0,0,0,0.343843098190014,0.941941804191551
TCGA-MH-A55Z-01A,0,0.827807197057404,0.0888361513639362,0,0.0772124793383784,0.00614417224028086,0,0.01,0.187506733465122,1.00356593568507
TCGA-UZ-A9PO-01A,0.0145484754520691,0.586886277073605,0.097062582288174,0,0.301502665186152,0,0,0,0.259628287522893,0.974014253010672
TCGA-G7-7501-01A,0,0.736670520205303,0.147966847238204,0.00264730538212673,0.112715327174366,0,0,0,0.254078131375359,0.97852664636
TCGA-DW-7836-01A,0,0.690650066342958,0.131708887981095,0.0876261048037319,0.0294342112994066,0,0.0605807295728081,0,0.355509942755607,0.935877465969678
TCGA-HE-A5NI-01A,0.0194123832523358,0.622511846865586,0.160534506084358,0,0.143916849829045,0,0.0536244139686754,0,0.336532692262411,0.94344871178194
TCGA-G7-A8LE-01A,0,0.656395979034836,0.20373406212039,0.0915253069924165,0.0483446518523572,0,0,0,0.490904957609449,0.871861457279929
TCGA-Y8-A895-01A,0.028947339714257,0.793131689751248,0.0701887861329289,0,0.0601073653892559,0,0.0476248190123105,0,0.325807657208039,0.946853487426536
TCGA-UZ-A9PQ-01A,0,0.7419978002349,0.238301422271855,0.0197007774932451,0,0,0,0,0.396188461048249,0.922068620508012
TCGA-BQ-5884-01A,0,0.400770125722863,0.172130913063616,0,0.427098961213521,0,0,0,0.462453501951972,0.886787506414866
TCGA-BQ-5893-01A,0.0246588233189337,0.561125659184587,0.336879201027212,0.0530489364659107,0.0242873800033568,0,0,0,0.599677308797846,0.80109971536838
TCGA-UZ-A9PV-01A,0,0.839520918338588,0.138267314104487,0,0,0,0.0222117675569253,0,0.28003380715831,0.970514002124857
TCGA-B9-4113-01A,0.0282876957455187,0.581451469130553,0.106499666258025,0,0.24690298946764,0,0.0368581793982626,0,0.354796635517647,0.935045221774136
TCGA-B3-3926-01A,0,0.597616463863616,0.116454929079784,0.133214448000563,0.148919972635376,0,0.00379418642066156,0.01,0.223574849444658,0.990069430075525
TCGA-2Z-A9J3-01A,0,0.95137439404673,0.0486256059532701,0,0,0,0,0,0.267642058487436,0.975650134045466
TCGA-Y8-A8RZ-01A,0.0075917977642331,0.764662461712976,0.0730618895744158,0,0.1351544142198,0,0.0195294367285752,0,0.369961522963076,0.928837194724775
TCGA-AT-A5NU-01A,0,0.803371223704534,0.133957384210964,0.0230107415696349,0,0,0.0396606505148665,0,0.371568809204473,0.929256243656522
TCGA-G7-6792-01A,3.44175109021306e-05,0.698716285470066,0.131827628946919,0,0.169421668072113,0,0,0,0.242321348538016,0.981414052230646
TCGA-5P-A9KC-01A,0,0.589821522355069,0.115079196720968,0,0.288854512999791,0,0.00624476792417183,0.01,0.207865895129468,0.995075522661038
TCGA-Y8-A8S0-01A,0.00387428090465748,0.833235423228864,0.0794873536786538,0,0.0250182027312405,0,0.058384739456584,0,0.283569725052575,0.965216866971735
TCGA-B1-A655-01A,0,0.567782058792378,0.101598687597644,0,0.330619253609978,0,0,0,0.305727064978521,0.956312634071306
TCGA-J7-8537-01A,0,0.47456225636299,0.137820917442374,0.0695922507371419,0.25469500902344,0.0633295664340537,0,0,0.318450676114781,0.951408776412036
TCGA-KV-A6GD-01A,0.04074124587293,0.321768836634143,0.133645130818768,0.0361914922005115,0.449242252602837,0.00224594039313448,0.0161651014776759,0,0.45844001663127,0.888706897532416
TCGA-G7-A4TM-01A,0.010448660494332,0.72427757298908,0.127491140352853,0.0234684674989368,0.114314158664798,0,0,0,0.382605074734669,0.923764260874386
TCGA-G7-6790-01A,0,0.730331815081779,0.0778444327995081,0,0.145679724966349,0,0.0461440271523635,0.01,0.204681456025303,0.993023761527719
