Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-EL-A3D0-01A,0,0.503414760919477,0.226763667659068,0.267789707570916,0,0,0.00203186385053914,0,0.265727323373395,1.00880034933537
TCGA-J8-A4HY-01A,0,0.764813809743177,0.209245148558174,0,0.0259410416986493,0,0,0,0.25043996836206,0.989316174563347
TCGA-L6-A4ET-01A,0.00253211122442802,0.82558005385345,0.171887834922122,0,0,0,0,0,0.179618705742834,1.01797203423931
TCGA-DE-A4MC-01A,0,0.732021959420308,0.113807108565231,0.0556568941423285,0.0623268804998951,0,0.0361871573722374,0,0.174253656079694,1.00821905869345
TCGA-ET-A25K-01A,0,0.441300751161673,0.495084148287733,0.0636151005505938,0,0,0,0,0.196096037854156,1.128630375548
TCGA-DJ-A3UU-01A,0.00822504780329055,0.482564722991925,0.164050587347896,0.293175060357787,0.0519845814991014,0,0,0,0.210275222923553,1.0251062057701
TCGA-EM-A1YA-01A,0,0.660676047669857,0.339323952330143,0,0,0,0,0,0.317973317180572,0.979989489714903
TCGA-CE-A483-01A,0.00540305958652078,0.819393197596905,0.175203742816574,0,0,0,0,0,0.213079394851565,1.00352146469413
TCGA-DJ-A3VD-01A,0.0532717462827326,0.249054801360447,0.174495177586784,0.312183266115538,0.164494204193851,0,0.0465008044606482,0,0.4781723977492,0.880974144182355
TCGA-BJ-A28S-01A,0.000920997629818614,0.649485539091489,0.344213402617371,0,0,0,0.00538006066132188,0,0.267610648649445,1.00978890796794
TCGA-FY-A3R9-01A,0.0258457281961809,0.732269288885248,0.241884982918571,0,0,0,0,0,0.208052170615181,1.01474765451862
TCGA-FY-A3R8-01A,0,0.661550607016375,0.119306755657011,0.125615941327093,0.0935266959995203,0,0,0,0.23917515997501,0.984654554908219
TCGA-DJ-A3V2-01A,0.0727915728189948,0.470078739651745,0.221831209413293,0.00931518374133229,0.177851602547575,0.0370969453333111,0.0110347464937501,0,0.259055849314877,0.982310389559134
TCGA-ET-A25L-01A,0,0.411020733195711,0.0969548606826191,0.467627061334119,0.0243973447875509,0,0,0,0.328672102298653,0.985101316453354
TCGA-EL-A3D1-01A,0,0.567267411272521,0.312396259344096,0.0495688866127809,0.0707674427706012,0,0,0,0.144668981216363,1.06447217070934
TCGA-FY-A3I4-01A,0,0.277633337232282,0.363660395248824,0.287040711340758,0.0716655561781368,0,0,0,0.433983115309698,0.943051435514434
TCGA-DJ-A3UV-01A,0,0.417818733973756,0.277436410209791,0.257888847503329,0.0468560083131241,0,0,0,0.318891013404001,0.988596937543403
TCGA-BJ-A28T-01A,0.0696150623132721,0.210748531549411,0.214017844112579,0.170211887017959,0.242296396426887,0.0270051752543446,0.0661051033255472,0,0.40404280879267,0.921216434301424
TCGA-EM-A3FQ-01A,0,0.46144510887337,0.191867403496175,0.094815530299576,0.242893096106293,0.0089788612245859,0,0,0.282947103961316,0.971860612148443
TCGA-J8-A4HW-01A,0,0.610387338494715,0.35671221398008,0.0329004475252053,0,0,0,0,0.374769818501022,0.951713297980272
TCGA-MK-A4N6-01A,0,0.546476387627852,0.113749256707997,0.222181932729833,0.11444291254391,0,0.00314951039040759,0,0.261985923674108,0.980469081787091
TCGA-DJ-A3V8-01A,0,0.696952083578877,0.199118927682523,0.0461445621005476,0.0577844266380515,0,0,0,0.379103270702105,0.927424194942461
TCGA-DJ-A1QI-01A,0,0.66391021330071,0.202660788095726,0.131653225546507,0.00177577305705797,0,0,0,0.159716397806177,1.03672480963302
TCGA-EL-A3H8-01A,0,0.632412471909784,0.269410099828746,0.0981774282614699,0,0,0,0,0.190520958449109,1.03613005116281
TCGA-EM-A3O3-01A,0.0663807674396501,0.51059921073601,0.00464845203227834,0.176844589085037,0.21592172087815,0.0256052598288742,0,0.01,0.0618816074162248,1.04604854513343
TCGA-IM-A3U3-01A,0.0114645282879399,0.730862056356085,0.0974066883028658,0.134583703560863,0.0256830234922464,0,0,0,0.214237850427458,0.995835145561162
TCGA-BJ-A191-01A,0.0397858659926874,0.73036129729911,0.229852836708203,0,0,0,0,0,0.396177502778728,0.920812765105133
TCGA-E8-A3X7-01A,0,0.627897116462347,0.111687274959125,0.239514660861508,0.0209009477170189,0,0,0,0.23634947859051,0.996346455892724
TCGA-FY-A3YR-01A,0,0.592134059232888,0.115770157729805,0.292095783037307,0,0,0,0,0.265926174781237,0.990401995053914
TCGA-KS-A41I-01A,0,0.377778474572387,0.563651741281866,0,0.058569784145747,0,0,0,0.492667815471967,0.927735370978348
TCGA-EL-A3CS-01A,0.0290532402458612,0.716246564290089,0.155605768504465,0.0990944269595849,0,0,0,0,0.234935278293345,0.991821848276843
TCGA-EL-A3GU-01A,0,0.332248715375384,0.12021530694541,0.509971205284293,0.0375647723949133,0,0,0,0.475771413865752,0.898881351130038
TCGA-EM-A1CU-01A,0,0.572402137185969,0.372408500934656,0.030977118771388,0.0242122431079862,0,0,0,0.228865045598868,1.04216759197693
TCGA-H2-A26U-01A,0,0.275192859899517,0.0914729397774199,0.357883143874893,0.252814436433639,0.0226366200145316,0,0,0.279596224282211,0.990450336779594
TCGA-DJ-A2PT-01A,0,0.444628838249933,0.102595607728862,0.23260434584037,0.219817195453934,0.000354012726902328,0,0,0.370356329970035,0.931248895421722
TCGA-DJ-A3V6-01A,0,0.600637309191199,0.158876862590892,0.199372565149795,0.0411132630681146,0,0,0,0.271613839973569,0.981193208445152
TCGA-DJ-A2Q7-01A,0.0344716936789579,0.661443477390103,0.235910348013984,0.0413476660857359,0.0268268148312191,0,0,0,0.229706232180052,1.00240774721026
TCGA-ET-A3BV-01A,0,0.235106197836183,0.0191171497934807,0.715221393247841,0.0305552591224958,0,0,0,0.679078112997079,0.743280878463005
TCGA-EL-A3ZL-01A,0,0.344959526540791,0.499064201484923,0.155976271974286,0,0,0,0,0.412069892270004,0.990698573600253
TCGA-CE-A13K-01A,0,0.500749915404183,0.495291641447455,0.00395844314836203,0,0,0,0,0.184158072978756,1.12720915702617
TCGA-DJ-A3UQ-01A,0,0.35995268206675,0.0489910871161084,0.551963952361696,0.0309700919595746,0,0.00812218649587114,0,0.498787776855988,0.880645466571354
TCGA-BJ-A45H-01A,0,0.559795783073547,0.225012812637081,0.145094261911801,0.0700971423775709,0,0,0,0.243629372403855,0.999890686850958
TCGA-L6-A4EU-01A,0,0.500986671242693,0.147753490826207,0.250772769946164,0.100487067984936,0,0,0,0.265587882440668,0.986617244702444
TCGA-DJ-A3VM-01A,0.0138015504163797,0.674538029616364,0.311660419967256,0,0,0,0,0,0.283219411084796,0.992289597680128
TCGA-H2-A3RH-01A,0,0.64806351712553,0.325039350770853,0,0.0268971321036171,0,0,0,0.308014700088849,0.98087601921445
TCGA-EL-A3ZR-01A,0.0374103445771965,0.700214003196053,0.262375652226751,0,0,0,0,0,0.0756039348326578,1.08066770122021
TCGA-BJ-A291-01A,0,0.342762254803263,0.657237745196737,0,0,0,0,0,0.408415500778377,1.05435074084771
TCGA-MK-A4N9-01A,0.0240143491532307,0.680355363617599,0.21259904376335,0.0830312434658198,0,0,0,0,0.171460163899773,1.02868961686589
TCGA-EL-A3MZ-01A,0,0.532401520012935,0.13557929252545,0.290688819821442,0.0413303676401728,0,0,0,0.227695488824225,1.01048388631771
TCGA-EM-A2CP-01A,0.0994820770641391,0.213621989315505,0.27468679146837,0,0.307588344887429,0.0591582236160754,0.0454625736484816,0,0.397566316689484,0.926859944592585
TCGA-DJ-A2PZ-01A,0,0.616621133569063,0.115422180753971,0.167413702474433,0.100542983202533,0,0,0,0.237149950318123,0.987248469079745
TCGA-EL-A3ZG-01A,0.0115103559113537,0.725500294107327,0.249618907457852,0.0133704425234672,0,0,0,0,0.282548699411241,0.98083578930701
TCGA-FE-A3PC-01A,0,0.605280722060534,0.339007577600524,0.0104823199577001,0.0386154695556891,0.006613910825553,0,0,0.315341381341957,0.979732002255288
TCGA-BJ-A0YZ-01A,0,0.464517578834338,0.521094760417514,0.0143876607481479,0,0,0,0,0.180114657168107,1.14685834721487
TCGA-DJ-A13M-01A,0.0204971621705784,0.730386832216814,0.249116005612607,0,0,0,0,0,0.229892828047616,1.00596736155182
TCGA-EM-A3OA-01A,0.0130152185795599,0.755450689832515,0.231534091587925,0,0,0,0,0,0.274910269515886,0.981690019364679
TCGA-J8-A3YE-01A,0,0.829877384974756,0.170122615025244,0,0,0,0,0,0.28498432107968,0.971118109520057
TCGA-BJ-A0Z9-01A,0,0.77529702582704,0.103210569889481,0.00956018270110276,0.111932221582376,0,0,0,0.32243582850478,0.948726847904565
TCGA-EL-A3CW-01A,0.152339737517374,0.400077916351113,0.243188256081595,0.069669685464989,0.0608697934166433,0,0.0738546111682854,0,0.242814418070665,0.999534213731527
TCGA-FY-A3R6-01A,0.0410939409136787,0.350381457911647,0.313964853268802,0.107697226808865,0.15386027332328,0.0181434458620583,0.0148588019116684,0,0.416702232277299,0.919692374425895
TCGA-H2-A2K9-01A,0.0191652001686793,0.742383666405774,0.238451133425547,0,0,0,0,0,0.170608006885294,1.03187383193752
TCGA-DJ-A2PO-01A,0,0.400620387403082,0.310068550763275,0.0613540603720776,0.227957001461565,0,0,0,0.18137183988087,1.04588124311503
TCGA-FY-A40N-01A,0.0314168985242815,0.753894812837314,0.18499149480219,0,0.0296967938362139,0,0,0,0.254704203174703,0.983199006294056
TCGA-EM-A1YD-01A,0.00171273295666112,0.291201231062958,0.60310447995901,0.103981556021371,0,0,0,0,0.290513102320118,1.13822059104264
TCGA-DE-A69J-01A,0,0.770280782172115,0.163763330513938,0.0421182716598514,0.0238376156540954,0,0,0,0.197609871910054,1.00727732530731
TCGA-EL-A3MX-01A,0.00396533840100667,0.851519254589724,0.0773546812528536,0.0671607257564156,0,0,0,0,0.206216686258669,0.999033184807116
TCGA-J8-A3YG-01A,0,0.642642753135567,0.210960266689386,0.0905533574374284,0.0558436227376188,0,0,0,0.266888361625837,0.982709229817488
TCGA-BJ-A0ZC-01A,0,0.628181033397172,0.371818966602828,0,0,0,0,0,0.132116486338804,1.09524264173582
TCGA-FY-A40K-01A,0,0.424897593829569,0.336343298015768,0.0681835003254258,0.168813186116965,0,0.00176242171227197,0,0.255101136125648,1.01504634786203
TCGA-EL-A4K6-01A,0.0297810264881381,0.842492584293274,0.127726389218588,0,0,0,0,0,0.136500876736222,1.03001996114862
TCGA-EL-A3H3-01A,0.00202778955147788,0.57770438849413,0.0946646386644421,0.0426700277180376,0.250215397225088,0,0.0327177583468246,0,0.240622522794707,0.979868591081189
TCGA-BJ-A290-01A,0,0.599321288979231,0.209319486172509,0.19135922484826,0,0,0,0,0.249406353479408,1.00177850866656
TCGA-BJ-A28Z-01A,0.0795588894040616,0.194180161088431,0.181517325571582,0.139350086152818,0.329975040160146,0.0715875685454907,0.00383092907747022,0,0.301972417197633,0.971898398930702
TCGA-CE-A484-01A,0.0380584736537507,0.433810082204916,0.511434021348499,0.0166974227928341,0,0,0,0,0.409332214459353,0.976815237231069
TCGA-EM-A3FL-01A,0.0424528985925083,0.676321134136614,0.281225967270878,0,0,0,0,0,0.16494430720397,1.04395874313975
TCGA-EL-A3GO-01A,0,0.434859839779325,0.565140160220675,0,0,0,0,0,0.17661789350179,1.17547879047907
TCGA-ET-A39T-01A,0.00608463555817431,0.877374287075549,0.116541077366277,0,0,0,0,0,0.262189699411116,0.978103409937774
