Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-C8-A278-01A,0.00352766915224701,0.00616730439168686,0.536425560373327,0.173062227224464,0.133285695672648,0.00207019042633097,0.00247896594114955,0.0217892646516675,0,0.121193122166479,0,0.388679801666117,0.921757800896289
TCGA-A7-A425-01A,0.00231319603366599,0.000460434150915782,0.576128630547106,0.103647299524311,0.00129219393792245,0.110880892449941,0.00401476206361445,0.00450806437961926,0,0.196754526912904,0,0.31621793592038,0.948667154196438
TCGA-E2-A15H-01A,0,0,0.626090763234806,0.0606024120839792,0.0122894804080773,0.0796474274486781,0,0.00265704838062889,0,0.218712868443831,0,0.258081195871649,0.967590503158519
TCGA-A8-A06N-01A,0,0,0.0891771654049045,0.392099387866315,0,0,0,0,0,0.51872344672878,0.02,0.084178278624557,1.02341358703564
TCGA-E2-A570-01A,0.000629097469946776,0.00272763821170693,0.761402760065135,0.0350443452179465,0.000554349581970502,0.0116479678711823,0.00623490016336314,0,0,0.181758941418749,0,0.279220287171051,0.962607316168028
TCGA-BH-A1FL-01A,0,0.0180420095049141,0.547226032896655,0.0253214555269018,0.0161236782833204,0.00388908868667277,0.0158837528537138,0,0,0.373513982247822,0.01,0.240125882394821,0.973186511136479
TCGA-E2-A56Z-01A,0,0.025960666599331,0.491751744736553,0.0290817591645597,0.00619679514675809,0.00547603088052329,0.000574729217283416,0.000290729811615079,0,0.440667544443377,0.01,0.212391843446501,0.981624293299258
TCGA-E9-A1RI-01A,0,0,0.787680025644473,0.0839035715495077,0.0063098544761934,0.0214170603732461,0.00223449967180908,0,0,0.0984549882847705,0,0.270649631632369,0.965775752186311
TCGA-BH-A0DP-01A,0.00433716959398841,0.0148580876370754,0.607711065808116,0.051604111949578,0.0060906560842378,0.0907094058168722,0.00451234411945879,0.0120833545916635,0,0.20809380439901,0,0.347187626225483,0.938586400844057
TCGA-AR-A0U3-01A,0,0.0178697189190471,0.587433840209978,0.0567609284577731,0.015517715522538,0.0435405847590059,0,0.0211664069481089,0,0.257710805183549,0.01,0.161015552258392,0.996843956405991
TCGA-BH-A18L-01A,0,0,0.361716513288946,0.184350675147895,0.006822041942496,0.000774953134434179,0,0,0,0.446335816486229,0.03,0.0697510803050333,1.02159357401641
TCGA-A7-A3J1-01A,0,0.0585439969422643,0.542946640505526,0.158412976384658,0.00334481264682027,0.00299231077573694,0.00510522457817021,0.0095190196398752,0,0.219135018526949,0,0.307231613468642,0.951691853052532
TCGA-AC-A6IW-01A,0,0.0734257122017121,0.157393039730818,0.504086841426978,0.00470955068478632,0.117594597084553,0,0.0405070975829974,0,0.102283161288155,0,0.333153296376791,0.942908311269756
TCGA-AC-A3YI-01A,0.00039552853431349,0,0.619986510808068,0.0385712201480707,0.00214374510820249,0.153166881841798,0.00526316013804074,0.00319955592975042,0,0.177273397491756,0,0.337132869207262,0.941487628758425
TCGA-D8-A1XG-01A,0,0,0.656381887959054,0.0856034673200345,0,0.206049479319745,0,0,0,0.0519651654011665,0.01,0.185784026878204,0.993867885401525
TCGA-A8-A082-01A,0,0.0313776771673669,0.565678725571593,0.131580988972393,0,0,0.000689285014557519,0,0,0.270673323274089,0.01,0.122304373155246,1.00846621579304
TCGA-OL-A5RU-01A,0.0134857892490865,0.0819729914226664,0.499094436767514,0.111146014957458,0.0556725721366542,0.0499875179578584,0.0020306026188171,0.0170152493246664,0,0.169594825565279,0.01,0.200172133487,0.982731065471662
TCGA-BH-A0HA-01A,0.00659575366239751,0.0233647744621941,0.613136881627704,0.0392646865054346,0.00343152560921798,0.0389717780019589,0.00494713004740156,0.00717241201118715,0,0.263115058072504,0,0.356429741243826,0.935360079542459
TCGA-A2-A3XS-01A,0,0.0569115198296477,0.43151150761875,0.0732076743957498,0.00897520717171582,0.182892049279594,0,0.0183328816328826,0,0.228169160071661,0.01,0.181764073275158,0.988217551551895
TCGA-A2-A0ES-01A,0,0.00902181850186957,0.691669219500401,0.0700325277931121,0.000200892416287386,0.0704315228270459,0.00169264098319115,0,0,0.156951377978093,0,0.324058991832087,0.945912121838159
TCGA-B6-A0RN-01A,0,0.0105284510626266,0.83016512788582,0.0107760895035935,0.00643911987248086,0,0.00381098129366281,0,0,0.138280230381816,0,0.25463161975676,0.973410515658744
TCGA-BH-A2L8-01A,0.0594346038113672,0.0385184441069481,0.56006254458007,0.163761279164319,0.0131225379369378,0.0152970606070567,0.00954472018344345,0.0125752742900912,0,0.127683535319766,0,0.38712333591823,0.927754188587455
TCGA-E2-A108-01A,0.0375592002601538,0.022807419305989,0.526864405223035,0.191628575068326,0.00471258428815309,0.0550230143715654,0.00643090051707497,0,0,0.154973900965702,0,0.476477856560163,0.900222238305829
TCGA-AN-A046-01A,0.0261274381055576,0.0722140885791456,0.575289316939997,0.0968624113569029,0.000669791321366687,0.00766149148546069,0,0.0244488512823404,0,0.196726610929229,0.01,0.184314297385915,0.988116363045941
TCGA-E2-A576-01A,0,0.00345233557830619,0.533177524816631,0.0540772493475391,0.00500236607839361,0.0458031411275059,0.0403414307471504,0,0,0.318145952304474,0.01,0.167829468478348,0.995593094395998
TCGA-A2-A3XX-01A,0.00954108094327194,0.00212056725223143,0.644077171060717,0.0548407995376813,0.018813815201467,0.118365475302274,0,0.0132514254121604,0,0.138989665290197,0,0.31445536168885,0.9491458518007
TCGA-C8-A137-01A,0,0,0.666743769537576,0,0.017720391652507,0.013434420267413,0,0.0231356730423739,0,0.27896574550013,0.01,0.144718867966272,1.0066042481835
TCGA-A7-A4SC-01A,0,0.00669993413781343,0.571107401584058,0.0563934194993848,0.000139404377037197,0.0454814393318801,0.00209731189596222,0.0219596200133019,0,0.296121469160562,0.01,0.243433696179007,0.971662075012278
TCGA-E2-A15M-01A,0,0.0733917244655915,0.450807031940827,0.205648674126501,0.00122782204946228,0.00178678607354015,0,0,0,0.267137961344078,0,0.369075696260484,0.93372800816668
TCGA-A8-A08I-01A,0.0659830826520525,0.11070334785137,0.280912236912717,0.47533372239946,0.0364185203106321,0.000564617052300114,0.0010258066476448,0.0162291709361759,0,0.0128294952376469,0,0.319313802770724,0.947539665141652
TCGA-AC-A2FF-01A,0.0012516412717593,0.00921152878685248,0.609358287161442,0.116988455418023,0.0122875104228239,0.0132703209031516,0.00451124058117936,0,0,0.233121015454769,0,0.346098860013931,0.938812998688998
TCGA-E2-A1L6-01A,0,0.0185204895827602,0.680085214894787,0.0337862015040256,0.000510472184840076,0.0308775173372502,0.00110895407082839,0.0117325751320651,0,0.223378575293443,0,0.282527965041016,0.960104339332613
TCGA-A7-A13E-01B,0,0.364591119442837,0.244346523944064,0.090897015979227,0.011706784803265,0.0868019180942505,0,0.150984244743627,0,0.0506723929927298,0.01,0.179933319643616,0.984310765981487
TCGA-AR-A24S-01A,0,0.0304203203799736,0.513134481639911,0.309647759570702,0.000814942015398944,0.00545444479362034,0.00151497667095036,0.0058007478732316,0,0.133212327056213,0.01,0.221789540050997,0.978058847599406
TCGA-E2-A155-01A,0,0.021066204258667,0.523303213645341,0.0691200632766214,0.00865851917079536,0,0.00532166414213966,0,0,0.372530335506435,0.18,0.0161972134149083,1.04015987151857
TCGA-C8-A12M-01A,0.0172191732999389,0.00495606845307322,0.290940758554396,0.00634655589145225,0.0277326694040478,0,0.00973217256347664,0.00988384740463115,0,0.633188754428984,0.01,0.110160281467787,1.01346617655751
TCGA-E2-A14W-01A,0,0.00218979837661174,0.636880967774219,0.128595767327701,0,0,0,0,0,0.232333466521468,0.02,0.0932876133156301,1.02077787979033
TCGA-B6-A0RQ-01A,0,0,0.596005026173607,0.000137637839197925,0.000507779078641068,0.282817502668648,0.000890150129370163,0,0,0.119641904110536,0.01,0.233916876150714,0.979610204673018
TCGA-EW-A1IW-01A,0,0,0.586949294925914,0.0630976778940581,0,0.142680656006096,0.000301946048599714,0.0106073584993388,0,0.196363066625994,0.01,0.248219990315731,0.970549150883864
TCGA-A1-A0SM-01A,0,0.0103150472899783,0.659859217883382,0.118972923614341,0,0.019436516178247,0.00155450842007508,0,0,0.189861786613976,0.01,0.221123765355895,0.980017553920844
TCGA-E9-A1R6-01A,0,0.033804712266015,0.651378042156515,0.121221817288542,0.000482844503821203,0.00109021910548076,0.00197958613994489,0,0,0.190042778539681,0.01,0.166302508397079,0.997158242791377
TCGA-A2-A0CQ-01A,0,0.0591158889891473,0.536387932646262,0.0705968750004511,0,0.0223804960987867,0.00182387530230483,0.0625202557956258,0,0.247174676167422,0.01,0.249907328852118,0.968638802655623
TCGA-OL-A5D7-01A,0.101346471609427,0.0920864494902216,0.233078650744865,0.219666592322226,0.0443666306148625,0.0340209548802628,0,0.0759191445336731,0,0.199515105804463,0,0.281208798137443,0.9603432944318
TCGA-D8-A143-01A,0,0.0011589439608035,0.365164609829738,0.0769388614679843,0.015591263661661,0.224265165458398,0,0.012416575823543,0,0.304464579797872,0.01,0.195745245430237,0.985804909576985
TCGA-C8-A138-01A,0.024297252118967,0.0023743044638739,0.48426373712829,0.0978667652349432,0.0367517972660605,0.128451839152753,0.00514956687058947,0,0,0.220844737764523,0,0.336726646236038,0.942820066035295
TCGA-E2-A14Q-01A,0,0,0.563083109043443,0.00955205889467764,0.00329473081805135,0.101630393741433,0,0.0108106485252185,0,0.311629058977176,0,0.385087772878556,0.925718142190292
TCGA-A2-A0YL-01A,0.00737066710420059,0,0.642301070729207,0.0596425955247935,0.0039456931236629,0.0584216268984858,0.00360642555030472,0.0112525173693764,0,0.213459403699969,0,0.36197167707676,0.933266802979143
TCGA-PL-A8LY-01A,0,0,0.466180208514662,0.0134385765180961,0.00812235861346703,0.317944821257942,0,0,0,0.194314035095833,0,0.431285942224698,0.905915731910019
TCGA-GM-A2DK-01A,0,0,0.494789988627365,0.134306782867514,0.000842207289358442,0.0413431593281041,0.00113065627651776,0,0,0.327587205611141,0,0.362502689079918,0.93439085600932
TCGA-B6-A0RO-01A,0,0,0.482568793812641,0.0169486538622784,0.021548329350553,0.159338611770978,0,0.0227057204383057,0,0.296889890765244,0.01,0.113480345014623,1.01068736503351
TCGA-D8-A142-01A,0,0.0121569897931076,0.680779196543614,0.150419800861917,0.00569980812600677,0.0425428148971022,0.000105439945668087,0,0,0.108295949832584,0,0.395157579754418,0.921602532023355
TCGA-C8-A8HP-01A,0.0243097117045475,0.0628980179535044,0.499389641287311,0.156850169316206,0.0672489351037394,0.0416675453501081,0,0.0228796331537159,0,0.124756346130868,0.01,0.197130294141443,0.984225429403678
