Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-4T-AA8H-01A,0,0.0378724090737997,0.229022178671402,0.0778667943967628,0.0379847844962123,0.0714478075454171,0,0.0145434393578384,0,0.531262586458568,0,0.100001847749715,1.0108408908852
TCGA-AA-A00Q-01A,0,0,0.301226211982057,0.146027377942972,0.00841426445975586,0.119464369695478,0,0.00238610437086179,0,0.422481671548876,0,0.199845733683989,0.982882143375291
TCGA-AZ-4614-01A,0,0,0.19400461742802,0.158315748103693,0,0.0806296284479535,0,0.00821118703888089,0,0.558838818981453,0,0.142480135815594,1.00024939491635
TCGA-A6-2675-01A,0,0,0.510159706942484,0.241137465928966,0.00298374823543794,0.000254097203077669,0.00166648969338403,0.000113722211185853,0,0.243684769785465,0,0.34881157772913,0.938389863596579
TCGA-AA-A00U-01A,0,0.0178773526095556,0.293677300780295,0.082200936436445,0.0048215160264351,0.177254744121315,0,0.000878587375052595,0,0.423289562650902,0,0.232817360224392,0.973904078899518
TCGA-A6-6781-01A,0,0.0136254737495741,0.643500624951424,0.245707662495199,0.0059701893165303,0.00686745070988979,0,0,0,0.0843285987773824,0,0.229790673225893,0.977101522179302
TCGA-CM-6169-01A,0.00330110505709156,0.0305925498276191,0.462825259807722,0.187232600916191,0.0242631856260274,0,0.00316469982716226,0,0,0.288620598938187,0,0.46903886395836,0.902128142324047
TCGA-AA-3516-01A,0,0,0.166046785992734,0.252163672845946,0.035320308829721,0.194149708864253,0,0.055580430710786,0,0.29673909275656,0,0.164478349675956,0.99303002269306
TCGA-AA-3552-01A,0,0.0651931374575732,0.229291376798595,0.254068021059288,0.0746217331337969,0.0489970785692073,0,0,0,0.327828652981539,0,0.287144951015429,0.95777063823855
TCGA-D5-6931-01A,0,0.0214129426439293,0.358750663890153,0.19161575773095,0.0438334323961939,0.217410811498439,0.00542053983175792,0,0,0.161555852008577,0,0.225377492525619,0.976481434480547
TCGA-SS-A7HO-01A,0.0261993071548516,0,0.237859974503874,0.0687777158909339,9.65251731973772e-05,0,0,0.0369968547606903,0,0.630069622516452,0,0.10292691663478,1.01331421200328
TCGA-AZ-6605-01A,0,0.0261771773635643,0.572789728705938,0.0966761895191781,0.0143825801220529,0.0156972451764713,0.00202085468680719,0.0082432321963747,0,0.264012992229614,0,0.346154648080764,0.939201140228584
TCGA-CA-6717-01A,0,0.0188869552789762,0.667291002917744,0.11169240665689,0.0234211719847829,0,0.004506779689019,0.0108074798616527,0,0.163394203610935,0,0.376713056005512,0.928066804946549
TCGA-NH-A8F7-01A,0,0,0.460609675792374,0.127377531827615,0,0.00527574857360222,0,0.0238353046945457,0,0.382901739111863,0,0.17868636447605,0.990351897122444
TCGA-AD-6965-01A,0,0,0.421953430640686,0.131004970726662,0.00315730262296532,0.0695527234468195,0,0,0,0.374331572562868,0,0.175503265269317,0.990485505538692
TCGA-AA-A02H-01A,0,0,0.424483201368991,0.169978924796765,0.0285272157653321,0.0715246117249691,0,0,0,0.305486046343944,0,0.237689626286973,0.972167695050831
TCGA-AA-A022-01A,0.129657527205315,0,0.295420186227652,0.246251975013946,0.0387271335366282,0.0260712010370386,0,0.0682396170037387,0,0.195632359975681,0,0.256935512684338,0.966308768025255
TCGA-AA-3680-01A,0,0.0240229604173115,0.281224688417359,0.358452099277567,0.0455310405715682,0,0,0,0,0.290769211316194,0,0.230791394120891,0.974969171132647
TCGA-A6-6650-01A,0,0.00893344337271622,0.411956675982082,0.174934490742834,0.00507635223344632,0,0,0.0877635850856744,0,0.311335452583248,0.04,0.0492991277491124,1.02279992529211
TCGA-G4-6311-01A,0,0.0191742169304794,0.473235396290053,0.183116484223749,0.00325635137286318,0.0396076254666108,0.00415781178360048,0.00878864903477526,0,0.268663464897869,0,0.258398419443262,0.966200362937284
TCGA-A6-2677-01B,0,0.148142050377716,0.569204255250769,0.121538488352958,0.000920413254444814,0,0,0.0320317230827388,0,0.128163069681374,0,0.167631505434611,0.991960694546023
TCGA-AA-3815-01A,0.131914468917719,0,0.231180776518988,0.397051699731809,0.018979533286641,0.0236631918842608,0.00303016362925393,0.0662301693512608,0,0.127949996680068,0,0.313679951047827,0.94997339392089
TCGA-CK-4951-01A,0,0.000778396104308684,0.405504140205763,0.247499733571417,0.000444020268111789,0.106570788892028,0,0.0478705387373587,0,0.191332382221014,0,0.3378487653564,0.94324314307963
TCGA-CK-6748-01A,0,0.00919357090337473,0.554092984728268,0.144510263930662,0,0.0535798957060074,0,0,0,0.238623284731689,0,0.287676886510878,0.957646710083466
TCGA-CA-5255-01A,0,0,0.461573098920087,0.191533046175528,0.00282043924455669,0.0433806076190414,0.00337063101281244,0.0217761985372292,0,0.275545978490745,0,0.166902192180371,0.992546149764084
TCGA-CK-4952-01A,0,0.03799437692791,0.148921350561977,0.407561181654258,0.0175889954691861,0.116264099239139,0,0,0,0.271669996147531,0,0.200619519249784,0.983996736592257
TCGA-AZ-4315-01A,0,0.0132397105390883,0.445333604778444,0.287486797252094,0.00817485020594128,0.0447358027102158,0,0.00523121081448701,0,0.19579802369973,0,0.207840277978087,0.981130241018216
TCGA-AA-3869-01A,0,0,0.178816419649594,0.461317087002951,0.0102083291207465,0.101229670929215,0,0,0,0.248428493297493,0,0.307638764891801,0.951384980695704
TCGA-G4-6626-01A,0,0,0.158276395736586,0.127233660045226,0.00473115366105778,0.143422433098612,0,0.0199629201388293,0,0.546373437319689,0,0.157473208407629,0.995952820946592
TCGA-DM-A1D7-01A,0,0,0.240346012342038,0.191814633490232,0.0538891954941778,0.132149546631662,0,0,0,0.38180061204189,0,0.218710936986435,0.97774189542344
TCGA-AA-3531-01A,0,0,0.335406038829675,0.0822789386958421,0.0134480284177602,0.0341335294116762,0,0.00405534452388642,0,0.53067812012116,0,0.233467681610965,0.974113747496887
TCGA-A6-5662-01A,0,0,0.609405316108919,0.0748968377747103,0,0.0150255153247711,0,0,0,0.300672330791599,0,0.10720955443872,1.01614433164106
TCGA-CM-4744-01A,0.100413952246905,0,0.149970323684767,0.333377527930605,0.00351117130836968,0.133097581432959,0,0.0533100702603512,0,0.226319373136044,0,0.260770392017555,0.965310118837266
TCGA-D5-5540-01A,0,0,0.426288809903932,0.231038210268458,0,0.0582300329630298,0,0.0100905825244376,0,0.274352364340142,0,0.217034845988235,0.978184122868638
TCGA-AZ-6608-01A,0,0.0398954206897765,0.203503197446156,0.145497701116512,0.0019393892688807,0.0338356561335461,0,0.000882867353225577,0,0.574445767991902,0,0.115941836253652,1.00745800014622
TCGA-AA-3518-01A,0,0.0101474751750368,0.224742507302801,0.406081373884059,0.0348564449486948,0.0324028127914758,0,0.0175892365304853,0,0.274180149367448,0,0.260673321064734,0.965948029078324
TCGA-CM-5863-01A,0,0.0335399091900636,0.516228575859997,0.217849226451066,0.00486477601638392,0.0340964431819226,0.00167820871449729,0.00353794980665218,0,0.188204910779418,0,0.287663082069742,0.957603471988003
TCGA-A6-5666-01A,0,0,0.318500608887361,0.101235034048137,0.00121529063988543,0.0612018371960476,0,0.0111954745360803,0,0.506651754692489,0,0.202455482023195,0.982833317803762
TCGA-DM-A280-01A,0,0.0301336032393947,0.464366356211785,0.188678993675969,0,0.0330363052000831,0,2.68254626119579e-05,0,0.283757916210156,0,0.231974702219388,0.973929239177593
TCGA-AA-3973-01A,0,0.0434882591334064,0.486985252796904,0.144441537504942,0.0267525210626933,0.00678331533300961,0,0,0,0.291549114169044,0,0.229737241603668,0.974721809152753
TCGA-CM-4748-01A,0,0,0.479933535232713,0.198526019085154,0.0016290126275494,0.0581665111396387,0,0,0,0.261744921914945,0,0.318222706154052,0.948370007257443
TCGA-D5-6530-01A,0.0454441384310995,0,0.211083576971765,0.467202237854461,0.0313521335887259,0.106366208326928,0,0,0,0.13855170482702,0,0.297937952492072,0.954532249197448
TCGA-A6-6137-01A,0,0.099531165974725,0.180112594059103,0.183030660240299,0.0547247132819681,0.00995897492252121,0,0.00124060475328717,0,0.471401286768097,0,0.188761359469506,0.985593036753882
TCGA-DM-A1D6-01A,0,0,0.337737357217429,0.082334471050843,0,0.109597070217124,0,0,0,0.470331101514603,0,0.125786118841196,1.00532561150806
TCGA-D5-6923-01A,0,0.0225819884095545,0.560572112815219,0.069091316020943,0,0.0264328772592516,0,0.015301061315307,0,0.306020644179725,0,0.226703795213382,0.976696434770233
TCGA-A6-2681-01A,0,0.00154029971337715,0.541137967081179,0.147583843297021,0.00499693114244295,0.00637237099500167,0.00199480819062005,0,0,0.296373779580358,0,0.387253513732218,0.925808319321097
TCGA-F4-6463-01A,0.023564742077589,0,0.596045749169079,0.0685481817181524,0.00702375037476584,0.0965602207795129,0,0.00272231704225963,0,0.205535038838641,0,0.257331474424446,0.967302388776164
TCGA-AZ-6599-01A,0,0.0364802855411551,0.243762150322586,0.0906232519510316,0.179493425175449,0,0,0.00173788357026771,0,0.447903003439511,0,0.0850719852805047,1.04435715154311
TCGA-D5-6532-01A,0,0.00825183897693793,0.370718498188609,0.118211604322942,0.0157354690082594,0.00354568951786415,0,0,0,0.483536899985388,0,0.196972741737722,0.984944429334007
TCGA-AA-3489-01A,0.0154323643171572,0.0145416725385748,0.52929439980286,0.2118197469756,0.0330762004283714,0,0.00222938484160447,0,0,0.193606231095832,0,0.426713202771573,0.91386200037092
TCGA-CM-6171-01A,0,0,0.222777875598667,0.253705576007742,0.00229963505135105,0.0107590844289606,0,0.012553248210395,0,0.497904580702885,0,0.170454639642204,0.992378387916918
TCGA-AA-A00R-01A,0.273475576858282,0,0.17439083256854,0.342464382850173,0.00805454502925541,0.0249206025003206,0,0.0440119365343536,0,0.132682123659075,0,0.24051441028808,0.971079018526707
TCGA-DM-A28C-01A,0,0,0.342982586605449,0.0351303162328972,0.00203458040091822,0.0138256847040847,0,0.0166039557952505,0,0.589422876261401,0,0.117108481775038,1.01100399060357
TCGA-AA-A01T-01A,0,0.0134093557027823,0.288145592898549,0.059903902546882,0.000786925898931598,0.0366554043071178,0,0.0201655856933236,0,0.580933232952413,0,0.262512210160198,0.965322286743852
