Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-BC-A10Z-01A,0,0,0.186087733492407,0.124919313572718,0,0,0,0.00432273956577741,0,0.684670213369099,0.04,0.0874178017350852,1.02108966732842
TCGA-DD-AAEK-01A,0.0292548837267522,0.046191911652681,0.354222102692453,0.215661397740685,0.0117988173615055,0,0,0.0108286079175208,0,0.332042278908402,0.03,0.100688459916079,1.00883324943463
TCGA-G3-A3CK-01A,0.0109054155679883,0,0.270038831709512,0.316798498674152,0,0,0,0,0,0.402257254048348,0.01,0.129087211691588,1.00483883364831
TCGA-DD-A1EJ-01A,0,0.0953923617761409,0.171689256606542,0.513127695394393,0.00269178614717408,0,8.42877760737744e-05,0,0,0.217014612299676,0.0600000000000001,0.0534865338481231,1.03369633724102
TCGA-DD-AACU-01A,0,0.0181680166980389,0.365833105870367,0.163656095165874,0.00179297876349613,0,0,0.0133571252406202,0,0.437192678261603,0.01,0.146838225952405,0.99862923318876
TCGA-ZS-A9CE-01A,0,0,0.294824935264345,0.0549765048490659,0.000149346157320951,0.00083457093866559,0,0.00450103995798895,0.00200750570261831,0.642706097129996,0.08,0.0350281545651021,1.03725786891957
TCGA-2Y-A9H2-01A,0,0.0359033753736785,0.364737330677716,0.175646173161529,0.00395579662035134,0,0,0.0050131610567572,0,0.414744163109968,0,0.346378927903727,0.940235021657165
TCGA-CC-5261-01A,0,0.0739957363994225,0.508754943425598,0.0716589584930055,0.00607195947301897,0,0,0,0,0.339518402208955,0,0.190121786235018,0.986748390484337
TCGA-DD-AADP-01A,0,0.059503256449518,0.409684741484084,0.0981078772247834,0.0019790179108357,0.00086275750935826,0,0,0,0.42986234942142,0.04,0.0941547957672711,1.01355277016516
TCGA-2Y-A9H4-01A,0,0.0415295659097297,0.235837262705599,0.164622400803977,0.000851311019209255,0,0.000457461524073154,0.00339218693556521,0,0.553309811101848,0.05,0.0818433829962597,1.01744839419985
TCGA-DD-A1EA-01A,0,0.0327587851235227,0.153612302228441,0.333783076117692,0.0180019789752941,0,0,0,0,0.461843857555051,0.02,0.125195999064098,1.00621022018571
TCGA-CC-A3MC-01A,0,0.0259948756445309,0.539457488284916,0.0974066455700341,0.000539966713000543,0,0,0.000972966554365841,0,0.335628057233153,0.02,0.117435740501024,1.01007402967142
TCGA-FV-A2QR-01A,0,0.0246775787538741,0.462913698309424,0.0643609509525188,0.000218001233014156,0,0,0,0,0.447829770751169,0.01,0.139187319240194,1.00348603458865
TCGA-EP-A26S-01A,0,0,0.292012875054763,0.109425377574213,0,0,0,0,0,0.598561747371025,0.03,0.101495415251828,1.01527092001652
TCGA-K7-AAU7-01A,0,0,0.597826071582503,0.135875398682179,0.00223291351347156,0.0498938848670793,0,0.00737881017825186,0,0.206792921176516,0.01,0.156816019095157,0.998490860771112
TCGA-G3-A25T-01A,0,0.0278059879559807,0.378084461498956,0.112010363009026,0.00112810172886703,0,0,0.00146668372378276,0,0.479504402083387,0,0.223594200063069,0.976918024518939
TCGA-DD-AADB-01A,0.0334382928301677,0.0252536832865879,0.193800171990282,0.220124073936064,0.0309508049696359,0.00363475040476368,0,0.0355107189183115,0,0.457287503664187,0.03,0.102056824558042,1.00872572178252
TCGA-UB-A7MA-01A,0,0,0.551554520760428,0.064430512508624,0.000319075210566986,0,0,0.0298907714910578,0,0.353805120029324,0.0600000000000001,0.0631831463114342,1.02739233846862
TCGA-DD-AAD0-01A,0,0,0.13938123105886,0.338665984474644,0.000740630968297718,0.000960180433361017,0,0.00923509882776134,0,0.511016874237076,0.0600000000000001,0.0620060438728653,1.02689807045351
TCGA-BC-4072-01B,0.0504726217875229,0,0.368995701860349,0.304853407488907,0.00661784065980871,0,0,0.0227691562618005,0,0.246291271941612,0.01,0.162038372562105,0.99359370557959
TCGA-DD-AACD-01A,0,0.0604722686168688,0.321453364272512,0.300818665043929,0.000612319924259719,0.001043576694296,0.000914745314041767,0,0.00264575992337155,0.312039300210721,0.08,0.0344963024399217,1.02866287994468
TCGA-DD-A3A5-01A,0,0.015689189521529,0.401884443395237,0.0465796549171238,0,0.00016280256726153,0,0,0,0.535683909598849,0.04,0.0924529282585451,1.01852670358063
TCGA-ZP-A9D1-01A,0,0.042596496505004,0.519893677977338,0.056598873590402,0.00122607733435524,0.0168053032997587,0,0,0,0.362879571293142,0.01,0.142107096104887,1.00205879185681
TCGA-ZP-A9D0-01A,0,0,0.377544118347948,0.081268436390719,0.000816665534830656,0,0,0.00101935388553143,0,0.539351425840971,0.05,0.0784897529589991,1.02223858570762
TCGA-CC-A7IK-01A,0,0,0.135764726707284,0.079588945220719,0,0.00999964327318745,0,0,0,0.77464668479881,0.0600000000000001,0.0546430524087745,1.03513486052247
TCGA-WQ-AB4B-01A,0,0.0650590112847712,0.452389271770547,0.143539847594069,0.000869265188227312,0.000665727592577124,0.000407889494460432,0,0.000140304254983511,0.336928682820364,0.05,0.0808571418897391,1.01656571608145
TCGA-FV-A4ZQ-01A,0.0144401530351101,0.0553205432614255,0.0588490905192128,0.526600391463118,0.240649680821046,0,0,0,0,0.104140140900088,0.02,0.122023653590417,1.07077856255171
TCGA-G3-A25S-01A,0,0,0.0776758829592525,0.665574958871307,0,0,0,0,0,0.256749158169441,0.01,0.130315193995657,1.02337903331416
TCGA-NI-A4U2-01A,0,0.0196905822342517,0.292212744739949,0.0390451746852566,0.000147972123688571,0.00011225594271482,0,0,0.00024010924471195,0.648551161029427,0.07,0.044303557208058,1.03435729594112
TCGA-RC-A7SK-01A,0,0,0.431566626717344,0.0384803700155223,0.00164851869963165,0,0.000114644378458789,0.000232573531600331,0,0.527957266657443,0.05,0.0815716017319935,1.02315266162804
TCGA-DD-AADS-01A,0.00686401810926166,0,0.0493138302457281,0.446715698046801,0.00491502517955806,0.000607387997431043,0.000417340539874457,0,0.00145954743757324,0.489707152443772,0.0600000000000001,0.0524602645140817,1.03581533940726
TCGA-DD-A73F-01A,0.0102331489270545,0.0673880533228036,0.220867380046171,0.365595690841681,0.0021710972083039,6.41808895656119e-05,0,0,0,0.33368044876442,0.04,0.0953508515225561,1.01345887880216
TCGA-DD-A11C-01A,0,0.0490161025254372,0.402031562989438,0.122638959955404,0.000102375814143515,0,0.00188798394458318,0,0,0.424323014770994,0.03,0.106493477564194,1.01003496914676
TCGA-FV-A23B-01A,0,0.0468854977455284,0.148831258806673,0.166074533774151,1.19589405525632e-05,0,0,0.00578287580215177,0,0.632413874930943,0.05,0.0670681209818792,1.02348273952308
TCGA-DD-AADD-01A,0,0.0797066505322195,0.146225913269358,0.308052254517657,0.000982093969539485,0,0,0,0,0.465033087711227,0.07,0.0429365949074682,1.02781045402383
TCGA-DD-AACO-01A,0,0.0698470654849102,0.279311241172438,0.13161486772637,0.00261140026445565,0.000791937426222726,0.00263116912131025,0,0,0.513192318804293,0.0600000000000001,0.0496911583700496,1.02463657550822
TCGA-RC-A6M3-01A,0,0.0340396998331883,0.408753959395333,0.21133845525843,0.000879327170811567,0,0,0,0,0.344988558342237,0,0.185612538785927,0.987368050389246
TCGA-DD-AAED-01A,0,0.161144873745697,0.0923908215890632,0.404965943085759,0.00969353291679658,0.00128857177606324,0,0.0111740134814212,0,0.319342243405199,0.07,0.0430083838466399,1.02858343042865
TCGA-BC-A10X-01A,0,0,0.530844236921291,0.166924553797352,0.002344792181075,0,0,0,0,0.299886417100282,0.01,0.133077404392782,1.00527219138794
TCGA-DD-AAVP-01A,0,0.0201790552134371,0.278216128097342,0.258334914817848,0.000832938618395089,5.12221366289546e-05,0,0,0.000130373572453022,0.442255367543895,0.01,0.135555725787349,1.00210861778101
TCGA-MI-A75C-01A,0,0.00686000730532947,0.262705763697865,0.307383558958659,0,0,0,0,0,0.423050670038147,0.02,0.122404126778848,1.00686323332144
TCGA-DD-A39W-01A,0,0,0.328766899808788,0.111500096610594,0.00215718334745799,0,0,0.0186625219928211,0,0.538913298240339,0.02,0.124916840178736,1.00662468306652
TCGA-DD-A4NA-01A,0,0,0.362339345875625,0.309866651912955,0.0612232072045617,0,0,0,0,0.266570795006858,0.03,0.102957293348495,1.01384313079022
TCGA-DD-AAVY-01A,0,0,0.152129452246426,0.134138803744296,0.00021733642188349,0,0,0.00367431542375863,0.000695330154296182,0.70914476200934,0.05,0.0766307937657864,1.02518122969546
TCGA-DD-A1EC-01A,0.153197240137443,0.0491305732502337,0.197139292318637,0.38229293820464,0.0256037672975369,0,0,0.00278355331877988,0,0.18985263547273,0.02,0.112621662663203,1.00789630444714
TCGA-5C-AAPD-01A,0.044417207512039,0.0104759534988217,0.400300177096175,0.220165114700041,0.0304700990580868,0,0.000319922393666757,0.042758962412206,0,0.251092563328964,0.01,0.131272138907547,1.0007827265785
TCGA-BC-4073-01B,0.0372609441628244,0.0497257562727077,0.26727986024192,0.399330619127467,0.0532029943251089,0,0,0.0208637805651462,0,0.172336045304826,0.01,0.138691144781215,1.00262027959477
TCGA-WQ-A9G7-01A,0,0,0.40019766887044,0.0261419561111884,0,0.0456355308207281,0,0.0105612419602544,0,0.517463602237389,0.05,0.0646765219863787,1.02593798504631
