Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-C5-A7UI-01A,0.202107673371597,0.225492586597747,0.092255737343684,0.00263005896390588,0.128253695268743,0,0.0540001434953828,0.124779619252622,0.12562653514435,0.00108244694432193,0.0414758257120033,0.00229567790564334,0,0.03,0.0994160278002038,1.02568147333605
TCGA-C5-A902-01A,0.0892561552442062,0.129858668944291,0.315680675900613,0,0.0534178941725537,0,0.0633913410708665,0.0690470512492565,0.166702436095744,0,0.0364224990324982,0.0762232782899709,0,0.03,0.10755085192647,1.03810864002527
TCGA-DS-A1OB-01A,0.104452741570194,0.011115502891515,0,0.10860253925153,0.366754276737567,0,0.0230891173248871,0.161804304275259,0.175497589984615,0,0.0486839279644345,0,0,0.02,0.132516691100019,1.01679576872531
TCGA-Q1-A6DW-01A,0.034876660199457,0,0.0138810547964908,0,0.368432831051206,0.00496495853865568,0.174819403306258,0.330680250557937,0,0,0.0723448415499952,0,0,0.02,0.110048873968094,1.08030439423433
TCGA-EK-A2R7-01A,0.167458530412647,0.0390844625389245,0.0869444437931258,0.105482740467974,0.18907582219593,0,0.0789729404655083,0.153650586949347,0.14923919471785,0,0.0300912784586925,0,0,0.03,0.0985248976794036,1.0270552877893
TCGA-C5-A7X8-01A,0.129970608942183,0.0304388595212478,0.0157388384013453,0,0.00990309191457101,0,0.0284642002252119,0.659594161515541,0.110200482124698,0.00866219426900194,0.00702756308620041,0,0,0,0.552064361323487,0.866443425026077
TCGA-Q1-A5R3-01A,0.155124338548163,0.192217547518144,0.0146517732648545,0.0206205021241754,0.0968229999453593,0,0.036658852329868,0.0911005028483274,0.273617072117441,0.0036810739188301,0.051869086233121,0.063636251151716,0,0.02,0.124765143580785,1.0221029302856
TCGA-C5-A7X5-01A,0.138404268859221,0,0,0.165915970263436,0.130207497064294,0,0.0865175212660262,0.35499105425255,0.119440930875323,0,0.00452275741915089,0,0,0.03,0.0708573929850618,1.09135277272199
TCGA-ZJ-A8QR-01A,0.222573149379759,0.086063663764742,0,0,0.105260614964716,0,0.138396619416181,0.14420659222343,0,0,0.301076685299779,0,0.0024226749513927,0,0.315466384236448,0.999247346512092
TCGA-HM-A3JK-01A,0.0350587918673545,0.0219001486615497,0.0089183516603154,0,0.0883555444811337,0,0.0147331622394848,0.62118226448212,0.206872631288082,0.00297910531996,0,0,0,0,0.499293560152156,0.900287154695919
TCGA-EA-A556-01A,0.0574551508126161,0,0,0.202507388249688,0.0341752004396831,0,0.0698993190963065,0.534664713229312,0.08818024311348,0,0.0131179850589141,0,0,0,0.290198760207989,1.0389745169001
TCGA-VS-A9V4-01A,0.150871437757655,0,0,0,0.302126256857249,0.00194919632366249,0.0910939229002147,0.140706183944622,0.016571763755843,0,0.296681238460753,0,0,0.02,0.153004980433622,1.09316899280096
TCGA-IR-A3L7-01A,0.163290819299109,0,0.0286767209138453,0.036057553601398,0.133532349422335,0,0.0999169419437513,0.401249830644637,0.121328414445512,0,0.0159473697294125,0,0,0.03,0.0999168331280795,1.09322865367422
TCGA-EK-A2RL-01A,0.125438078883435,0,0.0529430660024304,0.159813595643633,0.122015381677115,0,0.167922677067811,0.255879964671936,0.0367578344587437,0,0.0792294015948957,0,0,0.02,0.131091424296768,1.05188744566244
TCGA-VS-A94X-01A,0.166214733373315,0.179871102891653,0.103436492445946,0,0.0769500543223026,0,0.0810374710200741,0.152684138153046,0.108227653066491,0,0.131578354727172,0,0,0.01,0.201010254765101,1.00350241475716
TCGA-VS-A9V3-01A,0.0471484510369414,0.160133737840058,0.0025578025243679,0.0176547099761442,0.285934666027768,0,0.100572060196347,0.128045015019552,0.257953557378822,0,0,0,0,0.04,0.0535838508474291,1.04152812205812
TCGA-EK-A2RO-01A,0.0929979282593138,0,0,0.0256614880875938,0.0909616331221375,0.0197376725775824,0.0121824160043633,0.578592453417565,0.0803448273975716,0,0.0657788163746222,0.0337427647592504,0,0.01,0.202965191468945,1.10125591386901
