Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-BP-4766-01A,0,0.0167055108081153,0,0,0.0406141980043425,0.0179397029220306,0.443079434853246,0.214076666715053,0.267584486697212,0,0,0,0,0,0.383619583000538,0.963687928542282
TCGA-A3-3352-01A,0,0.0613025064151675,0.00668400306181349,0,0.0981056797258551,0.00133148134138415,0.462824229537036,0.172364513470736,0.197387586448008,0,0,0,0,0,0.427416955449575,0.928516052283356
TCGA-G6-A8L7-01A,0.0615258996626269,0.0195404432965242,0.112555446842558,0.164356112939599,0,0,0.146342650733251,0.304640357126535,0.142943710771117,0,0.0268157274425654,0.0212796511852229,0,0.01,0.148165304893879,1.05122251011319
TCGA-A3-A6NN-01A,0,0,0.0282476840762605,0,0,0,0.351576605615937,0.321730790585991,0.288026290268362,0,0,0.0104186294534497,0,0,0.493260873519461,0.888052371109556
TCGA-T7-A92I-01A,0,0.00195828365710873,0,0,0.206452781335305,0.105328945546269,0.110634374175657,0.0924133809200171,0.483212234365642,0,0,0,0,0.03,0.099243679410354,1.05010306817424
TCGA-B0-5713-01A,0,0.00048561858510158,0.0525186379188222,0,0.0768683698564918,0,0.569089129331458,0.191135398904385,0.109902845403742,0,0,0,0,0,0.460933822184741,0.932805830557201
TCGA-CZ-4860-01A,0.0198837089165421,0.00904432089075752,0.00508414969063485,0,0.0110520995598896,0,0.00151738730257002,0.499589649897089,0.435909903776303,0,0.0179187799662138,0,0,0.01,0.292946194259292,1.02441597408848
TCGA-A3-3351-01A,0,0.0192167726328488,0.103096617084654,0,0.128331930399848,0.00570185382889104,0.277202706960966,0.181584795149178,0.266096990627132,0,0,0,0.018768333316481,0,0.380444177982166,0.932901914337675
TCGA-B8-4148-01A,0,0.0385978533670085,0.176739447018117,0,0.0957917598368792,0,0.355845073950753,0.100597323497159,0.232428542330083,0,0,0,0,0,0.373114172074616,0.938609406384426
TCGA-BP-4345-01A,0,0.00194603483064597,0.00973767505393146,0,0.0396484154503078,0.0055697509464082,0.0994528739732974,0.693355837910677,0.136003493774218,0.00154020629128202,0.0127457117692318,0,0,0,0.610482819069878,0.830001420771922
TCGA-BP-5010-01A,0,0.000226701455090424,0.0236043353025165,0,0.0207955791577263,0,0.122360334726156,0.696754879339211,0.126461103858279,0,0.00979706616102179,0,0,0,0.533625933837448,0.910745317778956
TCGA-BP-4325-01A,0,0,0.160167026561988,0,0.0830055632715216,0,0.253035591759103,0.154118190561197,0.34967362784619,0,0,0,0,0.01,0.275318889534142,0.9852562834781
TCGA-B0-5102-01A,0.0748888933398592,0,0.0418774019029662,0.0363768258462936,0.059427794021755,0,0.420490489784864,0.117372319057092,0.246908124581034,0,0.00265815146613612,0,0,0.01,0.244989484264466,1.02393186122806
TCGA-BP-5185-01A,0.0278007086810584,0.00590245027315046,0.0620400045830689,0,0.0484610509769015,0,0.241307797737849,0.351853354131104,0.249674678134097,0.00456993649542909,0.00839001898734118,0,0,0.01,0.29870041150129,1.00066207136889
TCGA-CZ-5986-01A,0,0,0,0,0.0485749649299675,0.0362935233307113,0.490138955388866,0.170532617675411,0.254332886822975,0.000127051852069801,0,0,0,0,0.326767281502172,1.00595829415191
TCGA-CW-5590-01A,0,0,0.0472001828215122,0,0.0198296517615267,0,0.373132903973288,0.319154445872479,0.240682815571194,0,0,0,0,0,0.456166436939864,0.916807620961812
TCGA-CJ-4904-01A,0,0,0.0203340100850998,0,0.0468821072963772,0,0.475433672155847,0.252707344499748,0.204642865962928,0,0,0,0,0,0.497418767958662,0.893796472938416
TCGA-BP-4987-01A,0,0.000378401265400959,0.0890678838350735,0,0.0557433791840181,0,0.429547102873965,0.271686355086287,0.123922605802829,0,0,0,0.0296542719524261,0,0.43170378508432,0.934408238673157
TCGA-B0-4849-01A,0,0,0.0285410106314558,0,0.0616847272461062,0,0.367776441480499,0.254680806102209,0.269446121893036,0.00121375841475848,0.0166571342319355,0,0,0,0.408088849515901,0.938823935244455
TCGA-BP-4329-01A,0,0,0.00844446728333049,0,0.0521155026525937,0.00193622590503294,0.382071453716113,0.246394047406605,0.287769351679768,0.00318962007705613,0.0180793312794999,0,0,0,0.449174841061958,0.913355397815683
TCGA-A3-3328-01A,0.168947580481398,0,0,0.0867021409822349,0.145616611688424,0.0489751629284266,0.423609300009713,0.0527295952089697,0.0734196087008338,0,0,0,0,0.01,0.230505250301077,1.01843757034517
TCGA-CJ-5672-01A,0.0088363362737535,0.00546402888827252,0.13135642064555,0,0.108124556636613,0,0.191692037745187,0.1870606852412,0.366652284724314,0.000813649845109447,0,0,0,0,0.421988152363609,0.908395473174812
TCGA-B0-5104-01A,0,0.0471186729633015,0,0,0.111685249664785,0.0123270913289981,0.438652599670791,0.187314632220155,0.16619977265584,0,0.0367019814961296,0,0,0.01,0.298877487113303,1.00859003597651
TCGA-CW-6097-01A,0,0.00559048386342947,0.0442451802741885,0,0.127117690735497,0.0736408521756632,0.103538414553268,0.384559407639592,0.261307970758362,0,0,0,0,0,0.436743021515466,0.906635319310469
