Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-55-8508-01A,0.372113198336221,0.0133151691285899,0,0,0,0,0.0383810627773788,0.327116261336651,0.109814726832645,0,0.139259581588514,0,0,0,0.341856415580945,0.966328236671284
TCGA-67-3771-01A,0.120622418455411,0,0.0095623534883819,0,0.12807539838751,0.0159063134069855,0.0343682254271753,0.314650322480618,0.350436730705049,0,0.0263782376488691,0,0,0,0.279251873307617,0.983205353486689
TCGA-55-A4DG-01A,0.148693273370689,0,0,0,0.244071184620453,0.0920916110657177,0.0620526556584802,0.214314538327955,0.232182936165848,0.00659380079085663,0,0,0,0,0.275797430402705,0.967708868062308
TCGA-91-7771-01A,0.0741205430252247,0.0214833948697133,0,0,0.162831259507703,0.0833853329481547,0.10044218275867,0.286839428115039,0.26354056398092,0,0.00735729479457704,0,0,0,0.313679590066128,0.960563894197863
TCGA-91-6849-01A,0.207158062792837,0,0,0,0.194325212849116,0.0306368001451303,0.0870328509359555,0.186399515002043,0.248691474712733,0,0.0454331301833166,0.000322953378868027,0,0,0.176271127773285,1.01188904340033
TCGA-64-5781-01A,0.165644481293552,0.0697543456397167,0.0786152259209342,0,0.038975413952249,0,0.0102535135012001,0.344763520005129,0.110859869148401,0,0.168456738507544,0.0126768920312732,0,0,0.32534618133436,0.973481888184909
TCGA-44-6146-01B,0,0,0,0,0.191479105345641,0.113519432367051,0.223008807045323,0.352772253397552,0,0,0,0,0.119220401844432,0,0.294278126330627,0.995499935387987
TCGA-97-7552-01A,0.0835929768581639,0.0269281651701532,0.164795418418158,0,0.228824818214919,0,0.0909890837964433,0.1961016562092,0.200443931777288,0.0047370566808395,0.00185290632360719,0.00173398655122804,0,0,0.223869138367753,0.987796174524238
TCGA-80-5608-01A,0.189224843659474,0.0270344989391693,0,0,0.114273584890491,0,0.118161065558065,0.284080571535911,0.21804896082292,0,0.0491764745939705,0,0,0,0.187731021792144,1.02506947440096
TCGA-91-6829-01A,0.000807253690865001,0,0,0,0.0447198365547444,0,0.017186013881771,0.649114450844892,0.268332366582767,0.0198400784449598,0,0,0,0,0.561580561091798,0.857167843625701
TCGA-49-AARE-01A,0.113123889971877,0.0389496582568782,0,0,0.170114983840589,0,0.0243807987965499,0.483308512594519,0.16797548798522,0.000603793784257264,0.00154287477010977,0,0,0,0.210715158589611,1.05150824388152
TCGA-97-A4M1-01A,0.00353208476841305,0.0233787239593033,0,0,0.136548645422104,0,0.177754302920904,0.233593526244175,0.35607298789154,0.0345918795159956,0.0345278492775649,0,0,0,0.216376322577749,1.01595587505259
TCGA-83-5908-01A,0,0.0784623959614703,0.124359935678535,0,0.299218738517444,0,0.02108585783335,0.302714586954424,0.121553337454316,0,0.0362216913809973,0.016383456219464,0,0,0.346421339501812,0.942421471187534
TCGA-97-8179-01A,0.0459838202288773,0,0,0,0.150203582537761,0,0.143454555298366,0.474166173953837,0.177810815547553,0,0.0083810524336052,0,0,0,0.329145168422717,0.996099985729407
TCGA-64-1680-01A,0.205586951491235,0,0,0.00010878164185297,0.22211883379687,0.00246598523569104,0.115258149639483,0.143299707709404,0.244223855391341,0.0289924977122766,0.0379452373818471,0,0,0,0.160368269551626,1.01478658427367
TCGA-73-4670-01A,0.106677930111165,0,0,0,0.0550183864980378,0.000846946156109383,0.0205786606486365,0.480839705964624,0.20506831065794,0,0.130970059963488,0,0,0,0.300926813873322,1.01826867777086
TCGA-44-3396-01A,0.063919704117579,0.0534813220734095,0.0195775319380152,0,0.0837841632748782,0,0.0176990379720078,0.348911248503808,0.233515258099196,0.0074441075973564,0.171667626423749,0,0,0,0.492848353013121,0.8747082699188
TCGA-80-5611-01A,0.0174236653907105,0.0365957600708307,0.00955968345819647,0,0.256037146436161,0,0,0.108222274643578,0.498462086676661,0.00177525628346404,0.0719241270403983,0,0,0,0.282870930491859,0.977818932805286
TCGA-53-7624-01A,0.0898241871338058,0.00610569519591918,0.0113473746218847,0,0.234202590351604,0,0.103250659878995,0.252307916738037,0.263200146089205,0,0.0397614299905487,0,0,0,0.206457146944162,1.00856395020943
TCGA-91-6835-01A,0,0.0217330909195136,0.137249301923204,0,0.221717415522658,0.0296037090647583,0.00979885045512684,0.264590974737042,0.312910919871085,0.0023957375066129,0,0,0,0,0.362895772019077,0.934654600591682
TCGA-L9-A50W-01A,0.114003123040366,0.0640946570625097,0,0,0.140986730324995,0,0.058834151006006,0.329815275439473,0.237585768289065,0.0382179257127446,0.0164623691248404,0,0,0,0.194806126556381,1.02085505822517
