Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-94-7943-01A,0.064616019363054,0,0,0,0.172600285969847,0.025426409620332,0.0440564020495298,0.36472709220185,0.314684352861215,0,0.0138894379341721,0,0,0,0.140828893348418,1.06006414032985
TCGA-68-8251-01A,0.0206498465049539,0.0270583969289344,0,0.000527901561234848,0.124360150353123,0.0784354085592765,0,0.516671372565788,0.183828678020195,0.0116055228825744,0.0368627226239195,0,0,0,0.505872036025581,0.871874210885989
TCGA-33-A5GW-01A,0.124034029143891,0,0,0.19087192202913,0.158452885867996,0,0.15211009749951,0.191945841315314,0.124783337109528,0.0110575881757375,0.0467442988588931,0,0,0,0.102116483913135,1.04525805224523
TCGA-85-8070-01A,0.195324653532017,0,0,0.517372334809025,0.0801839325369596,0,0.0464296221934058,0.114250540904207,0.038661311943547,0,0.00777760408083765,0,0,0,0.124925377624166,1.04493666397536
TCGA-85-8479-01A,0.0849003769514984,0,0,0.246296010879383,0.0714394193633195,0.000499154299621217,0.08617928340119,0.356693486025537,0.0863285461628586,0,0.0676637229165926,0,0,0,0.142338816587853,1.0688393481901
TCGA-22-5482-01A,0.0254997561549411,0,0,0.111520533927413,0.183797603846667,0.0239490928268382,0.0212814287587278,0.541435130490328,0.0788815051514356,0,0.0136349488436488,0,0,0,0.269863495331563,1.03985260681698
TCGA-21-1077-01A,0.116967021822564,0,0,0.0333961194983442,0.171280165009784,0.0595538275130327,0.0233142378045294,0.337138876337643,0.198106724392328,0.00238819130189883,0.0578548363198763,0,0,0,0.307124783763091,0.967737442045328
TCGA-43-6773-01A,0.188792393442077,0.00573026564393815,0.0397301301965731,0,0.0427786865251538,0.0186613892461803,0.0453942701321869,0.408163640927926,0.219787970573186,0.0058417841376888,0.0251194691750902,0,0,0,0.503450611467468,0.865483476792443
TCGA-34-8455-01A,0.0413369780207745,0.00441367215294857,0,0.0515055219139257,0.0167069790017829,0,0.0586396542510773,0.64711805353644,0.0974780954642353,0.0231704577565707,0.0596305879022446,0,0,0,0.418410250367524,0.984952714523004
TCGA-85-7950-01A,0,0.105908873836946,0.0288829554390485,0.0042171293142557,0.138525688729485,0.017052572915768,0.0127037308945826,0.577739913273386,0.114969135596528,0,0,0,0,0,0.493770886276884,0.890632771044549
TCGA-60-2715-01A,0,0.0289660924983706,0,0,0.0999108680143758,0.0382552556411572,0.0547435769916659,0.400672445675327,0.29674432627301,0.0152271986297245,0.0654802362763683,0,0,0,0.490359018755478,0.875624561182883
