Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Mast Cells,Myeloid cells,T Cells,P-value,Correlation,RMSE
TCGA-55-8508-01A,0.217446201692899,0.575257172371624,0.0305479671135244,0.135783212368693,0.000714599934287124,0.040250846518973,0,0,0.346032789537157,0.956939259884093
TCGA-67-3771-01A,0.158287710178533,0.305288389340368,0.0649624555900409,0.15160319187975,0,0.319858253011308,0,0,0.406394151669645,0.917069253402546
TCGA-55-A4DG-01A,0.113936202860161,0.768926944323176,0,0.0750765520847419,0.000245358594991669,0.041814942136929,0,0,0.474858298159699,0.900428896907686
TCGA-91-7771-01A,0.0486456805996677,0.585172734945345,0.062268056429432,0.121214579017527,0,0.152770421091592,0.0299285279164359,0,0.331067545206304,0.969574881174764
TCGA-91-6849-01A,0.16975932438025,0.643491108868159,0.039042073579034,0.0457586386908081,0.000498216771046367,0.101450637710703,0,0,0.249254549461288,1.02427219152019
TCGA-64-5781-01A,0.137042630041169,0.44582377206426,0.0488744138872901,0.191218315761889,0,0.0929601423217659,0.0840807259236259,0,0.290825926892697,0.97241519006248
TCGA-44-6146-01B,0.0155770013252546,0.640748908716364,0.220858566578251,0.116777156438415,0,0,0.00603836694171531,0,0.236811951869764,1.03314603236669
TCGA-97-7552-01A,0.100357731677926,0.585238334443629,0.0620358813793963,0.0757141922336539,0.00228393811524619,0.109451364753584,0.0649185573965639,0,0.378000995174371,0.939698676024666
TCGA-80-5608-01A,0.0769468447200005,0.848145823492082,0.0235090182271619,0.0121042072678659,0,0.0392941062928897,0,0,0.266525780441741,1.0674194692663
TCGA-91-6829-01A,0.0163304371292338,0.375096965306975,0.0315001578813439,0.45745236027007,0.00628465842339684,0.113335420988981,0,0,0.397570363064971,0.932230624162746
TCGA-49-AARE-01A,0.103936434372338,0.602076591628412,0.0314152443672299,0.11563186805169,0.00223776982747457,0.144702091752855,0,0,0.194739556874917,1.04828588285505
TCGA-97-A4M1-01A,0.0235350456615425,0.826602394480785,0.0622759615975747,0.0413745809046502,0.00260646472897627,0.0436055526264713,0,0,0.746242120470787,0.666565610017336
TCGA-83-5908-01A,0.0285110503660811,0.4874260166081,0.0435564039138106,0.120757516815054,0.000871919086183642,0.181166452020748,0.137710641190023,0,0.342167011562628,0.951479337635073
TCGA-97-8179-01A,0.0263302516041815,0.737240837107761,0.0951378049806069,0.0872926060669784,0.000517026333330384,0.0534814739071421,0,0,0.308022082008102,1.00973528549409
TCGA-64-1680-01A,0.0704455951984423,0.876843172672074,0.00848389894028131,0.0284957281706161,0.00341913748833086,0.0123124675302553,0,0,0.334448064629806,1.02810425820429
TCGA-73-4670-01A,0.052247043697828,0.486265323199122,0.0924648766008324,0.21280867432562,0,0.156214082176597,0,0,0.210184253477988,1.02455502366339
TCGA-44-3396-01A,0.116443395153989,0.397220784188791,0.044650401649571,0.200241794122848,0.00437784018566379,0.237065784699137,0,0,0.472050279863894,0.881653060606105
TCGA-80-5611-01A,0.0118331342567615,0.489733466089433,0.0146905418923388,0.019415523709303,0.00285403605128284,0.461473298000881,0,0,0.495696409348963,0.879111044497792
TCGA-53-7624-01A,0.153538234832911,0.225109577208594,0.0787721952209074,0.160670622813491,0,0.381909369924097,0,0,0.158366224647972,1.04583955205511
TCGA-91-6835-01A,0.0813227777891009,0.511162259535425,0.0193751728799844,0.121136204861766,0,0.221517243949758,0.0454863409839651,0,0.391326639939052,0.929998000501056
TCGA-L9-A50W-01A,0.0582969959206996,0.773540429121921,0.0421314949340596,0.0579838878864531,0.00358465984763352,0.0644625322892333,0,0,0.287242307247064,1.03171346386764
TCGA-86-7713-01A,0.0239593175652755,0.919991581798882,0.0253115450506361,0.0123397056024727,0,0.0183978499827338,0,0,0.202739326846629,1.13653649827118
TCGA-50-5044-01A,0.0489178072536872,0.596516372981589,0.178850555117081,0.113425546695394,0.00324109173327859,0.0590486262189694,0,0,0.406681695064923,0.925520485689002
TCGA-97-7941-01A,0.0382866135489713,0.686983050102225,0.109809126097663,0.117917176114775,0.00159055262611034,0.0454134815102556,0,0,0.406418900621433,0.936706073878366
TCGA-86-7714-01A,0,0.794920502789823,0.00322982628853032,0.0988578588915656,0,0.102991812030081,0,0,0.335541871412431,1.00722362254267
TCGA-62-8402-01A,0.0791022175150412,0.577367104737627,0.072953351747132,0.00806998154962945,0,0.26250734445057,0,0,0.317849639791032,0.984432869828645
TCGA-78-7162-01A,0.0484793108660426,0.758688641826533,0.0782889766601325,0.0517527145760418,0,0.0627903560712501,0,0,0.406859465504073,0.947969695209383
TCGA-49-AAR0-01A,0.0407298665228156,0.71717449601911,0.0242457538005876,0.0424151972117401,0,0.175434686445747,0,0,0.643545339326247,0.765297134738507
TCGA-35-4122-01A,0.0892651748693881,0.50533739911654,0.0562449635582737,0.0751187306243786,0.00132247328735956,0.27271125854406,0,0,0.413336336385638,0.919802503071306
TCGA-55-7726-01A,0.0432938005870197,0.382502126140783,0.0376850509322655,0.444931383405088,0.000809666015047038,0.0907779729197968,0,0,0.308921066683601,0.982227793148292
TCGA-62-A46Y-01A,0,0.81843700811846,0.0228595240691507,0.0167511211308943,0.000475322730224296,0.132905436174646,0.00857158777662444,0,0.370653726720827,0.989557903363474
TCGA-55-6980-01A,0.0228128813460609,0.564112836794247,0.0234197699485523,0.233797967671262,0.00148515570915412,0.137651185535301,0.0167202029954218,0,0.371940952759761,0.946911095446967
TCGA-05-4430-01A,0.0416477027995806,0.657041875224695,0.0602669146560294,0.168621758701388,0.000805334352669776,0.0716164142656368,0,0,0.446093449108272,0.907897365068421
TCGA-67-3772-01A,0.124039948717817,0.593699793802193,0.0403670073904101,0.177804753027386,0.00313412918523449,0.0609543678769591,0,0,0.387509592653885,0.936871013334947
TCGA-MP-A4SY-01A,0.00702726499799555,0.667742473811245,0,0.208500137329134,0.0021903664669388,0.114539757394686,0,0,0.300633690577046,1.00492644064772
TCGA-78-7148-01A,0.0337134839470962,0.850777906907577,0.0551562676490511,0.0333228532837003,0,0.0270294882125758,0,0,0.33245162366164,1.02221040300379
TCGA-35-3615-01A,0.0748712429098849,0.736145182816161,0.0559228816908998,0.051864591784173,0,0.0811961007988816,0,0,0.300537765112588,1.01406097489822
TCGA-55-A493-01A,0.132502501353149,0.535984360733245,0.0335183141024067,0.0986845587538284,0.00124886723804302,0.191533455216305,0.00652794260302325,0,0.360795753459262,0.948458817414425
