Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-OR-A5LO-01A,0,0,0.390173561985747,0.596211969027056,0,0,0.0136144689871972,0,0.125675172223188,1.21427429090328
TCGA-P6-A5OG-01A,0,0,0.316465844907804,0.340534746568059,0.263507774189049,0,0.0794916343350881,0,0.410351499437295,0.948164453731638
TCGA-OR-A5J6-01A,0,0,0.373197052947279,0.0620478535671913,0.564755093485529,0,0,0,0.469596797150312,0.953670943883897
TCGA-OR-A5LT-01A,0.0210948792716742,0.190499133964223,0.487861598931018,0.187195330166992,0.104182212797766,0.00144815987121393,0.00771868499711293,0,0.182814748859459,1.07754949043481
TCGA-OR-A5JY-01A,0.0163626152656266,0,0.501205897777963,0.128651620201773,0.353779866754637,0,0,0,0.27646597342008,1.05591413855635
TCGA-OR-A5JV-01A,0.037459098760404,0,0.165897197968757,0.0795669501747252,0.712887621801432,0,0.0041891312946826,0,0.488658688082185,0.983197889800485
TCGA-OR-A5JT-01A,0,0,0.591482992303544,0.275543975020044,0.132973032676411,0,0,0,0.229104843477012,1.09077516855755
TCGA-OR-A5KX-01A,0.0359702007487572,0.000965924681262497,0.549780838747179,0.102753174643128,0.310529861179673,0,0,0,0.336925477754259,1.00818075247374
TCGA-OR-A5K3-01A,0.00354185108858741,0,0.339847854505175,0.179179124290859,0.470422914406927,0,0.00700825570845158,0,0.386238990543174,0.995611533677662
TCGA-OR-A5JZ-01A,0.0345177907484519,0,0.522370175585534,0.137458612368052,0.305653421297962,0,0,0,0.192242188404516,1.10226842832983
TCGA-OR-A5LC-01A,0,0,0.356081816003239,0.466473443335934,0.177444740660827,0,0,0,0.374856144576735,0.995844465298055
TCGA-OR-A5LH-01A,0,0,0.383981782820861,0.170052167265752,0.445966049913387,0,0,0,0.456270553242556,0.938097637940657
TCGA-OR-A5LM-01A,0.00954038045709474,0.00227909369125626,0.497504796642303,0.209294193038191,0.281381536171156,0,0,0,0.172477502435961,1.11670729164608
TCGA-OR-A5J5-01A,0,0,0.394632686400681,0.38533381201898,0.220033501580339,0,0,0,0.188033316492177,1.11583848190251
TCGA-P6-A5OF-01A,0,0,0.464650076504419,0.322175674190601,0.195665152626481,0,0.0175090966784989,0,0.331853740560643,1.01308337193021
TCGA-OR-A5LD-01A,0,0,0.416442019216978,0.540242783136818,0.0433151976462042,0,0,0.01,0.0665136633434087,1.23684607406729
TCGA-OR-A5L3-01A,0,0,0.339196852291644,0.111599190861562,0.549203956846794,0,0,0,0.259611889363126,1.11372576976415
TCGA-OR-A5LK-01A,0,0,0.371155012536792,0.0891092248443324,0.439617668255372,0.0794630112128069,0.0206550831506964,0,0.476385259506698,0.912754156675815
TCGA-OR-A5LG-01A,0.0143445674687882,0,0.281872493855554,0.297788428324552,0.405994510351105,0,0,0,0.402262425491848,0.973743749123481
TCGA-OR-A5KO-01A,0,0,0.462259636395845,0.521213058780113,0.0165273048240418,0,0,0,0.155692701035315,1.18223610830902
TCGA-OR-A5JJ-01A,0,0,0.443368407011341,0.34983061475503,0.206800978233629,0,0,0,0.425658648736326,0.949810193595894
TCGA-OR-A5JL-01A,0.0276256546763726,0,0.545222749158626,0.121946473180497,0.305205122984504,0,0,0,0.290654968850551,1.04023378905323
TCGA-OR-A5KV-01A,0,0,0.490372995718237,0.41325649211783,0.096370512163933,0,0,0,0.166906036486865,1.14454103901695
TCGA-OR-A5JE-01A,0,0,0.415525845302871,0.170653314058469,0.41382084063866,0,0,0,0.379269448890727,0.992678746676316
TCGA-PK-A5HB-01A,0,0,0.533894152773135,0.414837568625764,0.0512682786011016,0,0,0,0.245283624680066,1.10077661617015
TCGA-OR-A5JM-01A,0,0,0.668964198061358,0.288217636014035,0.0308338190314293,0,0.0119843468931779,0,0.148239993809164,1.15981315885203
TCGA-OR-A5JD-01A,0,0,0.207037065286846,0.186497834108108,0.606465100605047,0,0,0,0.396912855941084,1.02471967483623
TCGA-OR-A5LN-01A,0,0,0.51120723872817,0.106735123416693,0.308037139030999,0,0.0740204988241381,0,0.269242058480631,1.04452591453191
TCGA-OR-A5K6-01A,0,0,0.319496054717999,0.136945289137394,0.543558656144607,0,0,0,0.415733450100623,0.991102562336848
TCGA-OR-A5JR-01A,0.00546645316278153,0,0.358050433960417,0.26136581467325,0.336567451424615,0,0.0385498467789367,0,0.229032263957952,1.07836096878357
TCGA-OR-A5L6-01A,0.0113248142083025,0,0.442335852379789,0.275500003402486,0.252582332685641,0,0.0182569973237813,0,0.334002551139923,1.00715216452324
TCGA-OR-A5JI-01A,0,0,0.476794690944121,0.391827334774188,0.131377974281691,0,0,0,0.217531118777023,1.10411537635945
TCGA-OR-A5J2-01A,0,0,0.661572071018271,0.241764317894404,0.0966636110873258,0,0,0,0.317022809528512,1.0354143142844
TCGA-OR-A5LL-01A,0,0,0.499978538619891,0.346347667832385,0.153673793547724,0,0,0,0.131256510678132,1.15385059135004
TCGA-OR-A5K1-01A,0,0,0.523669998889393,0.305310094393597,0.17101990671701,0,0,0,0.348163671284245,1.00647454292667
TCGA-PK-A5HA-01A,0.0102121812175187,0,0.490437737412676,0.134536012881994,0.355425550176627,0,0.00938851831118443,0,0.325778275756236,1.02124270040202
TCGA-OR-A5LR-01A,0.00930536028435489,0,0.500363812586544,0.360206971853553,0.125599803001035,0,0.00452405227451315,0,0.229961089089473,1.09059555718085
TCGA-OR-A5JX-01A,0,0,0.549028450335044,0.295215558065472,0.155755991599484,0,0,0,0.296297938844406,1.04355790765546
