Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-HQ-A5NE-01A,0.0196598526053309,0.0968993958384653,0.347801709851259,0.349550157780463,0.186088883924481,0,0,0,0.209012115855255,1.07572757385941
TCGA-FD-A5BT-01A,0,0,0.176882626052056,0.42491794233035,0.283156807058626,0.00265822203555779,0.11238440252341,0,0.404018628299771,0.953741350252708
TCGA-DK-A3IQ-01A,0,0.00105054896440944,0.151084029253892,0.779150850821582,0.0534304909852925,0.0152840799748242,0,0,0.261894252096628,1.14089421907207
TCGA-ZF-AA4X-01A,0.0355293727865447,0.317971742251872,0.474715755788605,0,0.142717110647852,0.0290660185251265,0,0,0.153197650186993,1.09655601249658
TCGA-GD-A3OQ-01A,0,0.236806624955672,0.494836149511736,0.19401237117585,0.0726618325130034,0.00168302184373876,0,0,0.128673974959521,1.11724249909043
TCGA-ZF-AA51-01A,0,0.137025247070442,0.107474064990436,0.257221224591151,0.464848498330062,0,0.0334309650179082,0,0.0944504470366566,1.1753848208499
TCGA-FD-A3SS-01A,0,0.259833324305256,0.125319252324135,0.530459269191625,0.0843881541789835,0,0,0,0.171429904694946,1.12031790161155
TCGA-DK-AA71-01A,0,0.190038455422692,0.384178890195339,0.128904490386319,0.295858654084645,0.0010195099110056,0,0,0.12311990511394,1.12058753558208
TCGA-4Z-AA83-01A,0.00283977714614293,0.145824510841369,0.341640126517473,0.364308497927841,0.145387087567173,0,0,0,0.193308745828167,1.08562914096061
TCGA-ZF-A9R4-01A,0,0.216344070239489,0.612328304638415,0,0.171327625122096,0,0,0,0.153620412561584,1.10320648846099
TCGA-BT-A20P-01A,0.0276063207000248,0.0822281466785219,0.524124457822646,0.307103762498429,0.0589373123003777,0,0,0,0.186089687835084,1.10157153537829
TCGA-HQ-A2OE-01A,0.0821297499164782,0.427680260362603,0.390862128582815,0.0266011319016225,0.072726729236481,0,0,0,0.0644688137516507,1.15832559846642
TCGA-R3-A69X-01A,0.0425986245970359,0,0.299028809276674,0.430297655791712,0.203387185628654,0.0246877247059245,0,0,0.314288918465329,1.02169501866097
TCGA-BT-A3PH-01A,0,0.101014614934729,0.449118661187472,0.3031976296016,0.139029946388888,0.0076391478873115,0,0,0.150833189854414,1.11353047546706
TCGA-UY-A9PA-01A,0,0.08617444203107,0.573521630777948,0,0.153740090903274,0,0.186563836287707,0,0.28656669209222,1.00072602062336
TCGA-BL-A13J-01B,0.382311299727227,0.0296009594861306,0.20063973053669,0.324332094307324,0.0631159159426287,0,0,0,0.14285526187675,1.06327070858774
TCGA-CF-A3MI-01A,0,0.194978633935363,0.500554962072296,0.248263467896438,0.0426371336274985,0.0135658024684049,0,0,0.149680671168139,1.11166011688037
TCGA-XF-AAMW-01A,0.0304648866380852,0,0.492085516210424,0.243631258843634,0.189452625587877,0,0.0443657127199792,0,0.223992808453623,1.06890578436195
TCGA-H4-A2HQ-01A,0.00893910450148205,0.196391100723014,0.537457057041142,0.13851065596551,0.118702081768852,0,0,0,0.130128145994668,1.11171573763759
TCGA-HQ-A5ND-01A,0,0.308902242408943,0.266993771304081,0.3677281809242,0.0485935785003907,0,0.00778222686238554,0,0.115254631604523,1.13733064354491
TCGA-K4-A6FZ-01A,0,0.131072718802337,0.462561709993931,0.0212854156996022,0.377875793482167,0.00720436202196277,0,0,0.1496260409203,1.12676319678872
TCGA-DK-A3IV-01A,0.329246051362664,0.155811609698217,0.192161888472209,0.00389846460910622,0.318881985857804,0,0,0,0.369247499889551,0.957262465594965
TCGA-E7-A3X6-01A,0.0723882336074452,0,0.482048787199219,0.170166803031576,0.27539617616176,0,0,0,0.176777884593497,1.1010031614976
TCGA-BT-A42F-01A,0,0,0.0891142418338718,0.0647339797319979,0.759175299429929,0.00508940850350047,0.0818870705007011,0,0.0717900564725634,1.34744165073862
TCGA-UY-A8OB-01A,0.00798138386738186,0,0.343730912087241,0.350039811443635,0.267027827949633,0.00839324023974294,0.0228268244123663,0,0.334656304647634,1.00784063683433
TCGA-DK-A1A3-01A,0,0.180823510082494,0.233084790617309,0.305310422498364,0.261654967246968,0.0191263095548648,0,0,0.0961320693404756,1.13422430852141
TCGA-DK-AA6X-01A,0.0951051023814664,0,0.563522483622736,0.143888048686336,0.189077148076242,0.00840721723321943,0,0,0.402376861218234,0.949078871361846
TCGA-G2-A3IE-01A,0,0.26804475184076,0.292729015083334,0.0914285223328857,0.331060654952503,0.00655085478343909,0.0101862010070785,0,0.12896210834615,1.12373360347367
TCGA-FD-A5BU-01A,0.0599987022722585,0,0.212892479178926,0.490002207173078,0.237106611375737,0,0,0,0.0709960203927189,1.18473596572
TCGA-C4-A0EZ-01A,0,0.253782535130864,0.155030103630783,0.580926594374165,0.0102607668641887,0,0,0,0.143264512691741,1.15856926495885
TCGA-FD-A3B3-01A,0.0295019844406996,0,0.157719792098304,0.344076947198977,0.357906857374709,0.0151089689095667,0.0956854499777439,0,0.232580773653154,1.06727936019097
TCGA-FD-A5BZ-01A,0,0.12171725508733,0.222001945770908,0.579544000686764,0.0604810785224357,0.0162557199325626,0,0,0.261085615566461,1.07770408459992
TCGA-C4-A0F7-01A,0.038649854488704,0,0.443123141583687,0.439747671078031,0.0784793328495779,0,0,0,0.0652932017838234,1.20211279263739
TCGA-XF-AAMR-01A,0,0,0.24735704130289,0.652148958098552,0.0826178855879334,0.0178761150106247,0,0,0.421445183867994,0.985931617121981
TCGA-XF-AAN7-01A,0.0276834000204469,0,0.547517316932927,0.327929246648517,0.0968700363981092,0,0,0,0.405143884694668,0.966825678017949
TCGA-UY-A8OD-01A,0,0.100584025618916,0.147612352915948,0.51312955540131,0.22796004881085,0.0107140172529759,0,0,0.393915889198913,0.968912363683492
TCGA-FD-A3SP-01A,0,0,0.188420833093076,0.526991647962995,0.274913640741037,0.00884973773059841,0.000824140472293797,0,0.349127886512408,1.01769197211786
TCGA-DK-A2HX-01A,0,0.0386689758238184,0.256161483037361,0.638871370705653,0.0602519049783347,0.00604626545483215,0,0,0.26200762962074,1.10382196335524
TCGA-CF-A8HX-01A,0.0403450417414643,0.267883566635788,0.312787733738095,0.25092670782102,0.128056950063633,0,0,0,0.167800197600944,1.0820477117529
TCGA-E7-A85H-01A,0,0.208286132390626,0.0475868098638702,0.236117407236912,0.508009650508591,0,0,0,0.168025399295325,1.14945500628427
TCGA-ZF-A9RL-01A,0,0.314805179339607,0.558196141859815,0.0494086337077197,0.0775900450928583,0,0,0,0.119692920726978,1.1260369418134
TCGA-UY-A9PB-01A,0,0,0.116893592682332,0.282629493134638,0.533881730661,0,0.0665951835220311,0,0.418509704244637,0.979982893471858
TCGA-GV-A3JV-01A,0,0.135265711534507,0.275160895011731,0.281826731489967,0.307746661963794,0,0,0,0.201891940283534,1.08077840761678
