Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-4T-AA8H-01A,0,0.462302599258848,0.378076602596918,0.0468708854123596,0.0340488015372225,0,0.0787011111946519,0,0.122984442842924,1.13575267091658
TCGA-AA-A00Q-01A,0,0.179791677583667,0.375714699140541,0.243870244022968,0.150115786865947,0,0.0505075923868767,0,0.200704903127611,1.0608247188924
TCGA-AZ-4614-01A,0.0112878008467051,0.118508612715512,0.549059203595244,0.143981235826559,0.156297690511564,0,0.0208654565044166,0,0.151827844444163,1.09945134529542
TCGA-A6-2675-01A,0,0.198686971619749,0.154371965038372,0.300441927880659,0.34649913546122,0,0,0,0.29701327393466,1.02483451304233
TCGA-AA-A00U-01A,0.0268227031477539,0.107589835824157,0.457055670619706,0.242477961729851,0.120619155493479,0,0.0454346731850537,0,0.213132049256675,1.05832404828387
TCGA-A6-6781-01A,0,0.133978721531733,0.188731329910271,0.381385159418852,0.295904789139144,0,0,0,0.217462089639145,1.07644325218329
TCGA-CM-6169-01A,0.0351322471235608,0,0.338603259484971,0.376667455953643,0.238842867838192,0,0.010754169599633,0,0.434457661866615,0.936926986686618
TCGA-AA-3516-01A,0,0.193759909657752,0.239362030975261,0.0870326693243286,0.460274703676173,0,0.0195706863664849,0,0.234203894203592,1.08618024822625
TCGA-AA-3552-01A,0,0.234396024231425,0.237979140906535,0.210879189241361,0.316745645620679,0,0,0,0.261173085593813,1.0410383990701
TCGA-D5-6931-01A,0.00492567363294336,0.042652770754267,0.238977509319759,0.292769922860227,0.356269354419273,0,0.0644047690135302,0,0.242170232966961,1.06144548874967
TCGA-SS-A7HO-01A,0,0.180058803138314,0.49199995876137,0.25920334819639,0.068737889903926,0,0,0,0.113358815631837,1.13283505599475
TCGA-AZ-6605-01A,0.0125748412869122,0.103192980349911,0.323832948308525,0.383843819314184,0.176555410740468,0,0,0,0.346558300419311,0.990854233065353
TCGA-CA-6717-01A,0.00231589600439256,0.0992146511255452,0.189925664674651,0.403701406602962,0.268996442996893,0.00525759344931487,0.0305883451462413,0,0.41696152820485,0.941522868998471
TCGA-NH-A8F7-01A,0,0.12428363977381,0.489583034867261,0.223055466124527,0.163077859234401,0,0,0,0.120329414007864,1.12460352353862
TCGA-AD-6965-01A,0.0553100488303037,0.232289190947269,0.334491267179815,0.27723905155997,0.100670441482643,0,0,0,0.178916458358847,1.07492430454669
TCGA-AA-A02H-01A,0.0239767031223278,0.177108445905374,0.302760528189939,0.268573452908367,0.227580869873992,0,0,0,0.198649899248449,1.0689584713822
TCGA-AA-A022-01A,0,0.207696964588187,0.0913408202897917,0.160559931415445,0.426716918574163,0,0.113685365132413,0,0.38712518993299,0.966175976036462
TCGA-AA-3680-01A,0.0155019762292622,0.203269687070558,0.346188614127313,0.179057605635132,0.192107766969572,0,0.0638743499681634,0,0.188203288842865,1.06014211162136
TCGA-A6-6650-01A,0.024839792144983,0.13825776587606,0.483240671758336,0.295320831126956,0.0583409390936645,0,0,0,0.0797973012777724,1.15409944812074
