Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-KL-8325-01A,0.0785610592452365,0,0.654575918476989,0.0767836837352461,0.190079338542529,0,0,0,0.31286419693123,1.01602308006278
TCGA-KO-8411-01A,0.0280009580888964,0.193421204581902,0.651758193011809,0.0324891912872621,0.094330453030131,0,0,0,0.212404570782987,1.0666487688308
TCGA-KL-8331-01A,0.0318736494383727,0.264106876026928,0.445683860962747,0.202834973055856,0.0555006405160969,0,0,0,0.186574539950273,1.0778665809074
TCGA-KO-8409-01A,0,0.00441109818306037,0.580163065467004,0.149731873193614,0.265693963156322,0,0,0,0.396765414882829,0.967961989104437
TCGA-KM-8439-01A,0,0.0707060221756151,0.30912084872838,0.0510328315228942,0.56914029757311,0,0,0,0.317507922286445,1.07045056057487
TCGA-KN-8423-01A,0.0405391616405276,0.206308367302691,0.498553181777149,0.0726992076876235,0.181900081592009,0,0,0,0.299280376763529,1.00456916208697
TCGA-KL-8339-01A,0.0267075567639762,0.261531860114225,0.456192426777879,0.0909408849684473,0.164627271375473,0,0,0,0.174892597578039,1.0792320599787
TCGA-KN-8434-01A,0.0549176533160357,0,0.63299876623553,0.141306694378685,0.170776886069749,0,0,0,0.395379252874501,0.962298581527633
TCGA-KL-8342-01A,0.0705139724565555,0,0.647501260582633,0.095031450419697,0.186953316541115,0,0,0,0.372543851029977,0.97640088661182
TCGA-KN-8428-01A,0.00177939525606277,0.220626503655941,0.33018934211749,0.39296057568603,0.0544441832844758,0,0,0,0.184832062558846,1.09771588921509
TCGA-KO-8416-01A,0.0206901319801708,0.0409207316326977,0.513847438701182,0.154726722258913,0.269814975427036,0,0,0,0.336755246368386,0.999828375762138
TCGA-KL-8344-01A,0,0,0.625175302010513,0.331163776191462,0.043660921798025,0,0,0,0.471011883442742,0.928318201364483
TCGA-KM-8441-01A,0,0,0.448725410757684,0.200384863070417,0.350889726171899,0,0,0,0.206889369016129,1.10325254180169
TCGA-KM-8442-01A,0.0798560488084279,0.0892969701401832,0.4666661593257,0.245934047324949,0.11824677440074,0,0,0,0.312254050338101,1.00048980025668
TCGA-KL-8346-01A,0.036903016902811,0.145362200369041,0.651644684767994,0.166090097960154,0,0,0,0,0.186065876029076,1.0969270051308
TCGA-KL-8341-01A,0.0444571579238766,0.281366346036547,0.526116591818432,0.0909228667870785,0.0571370374340664,0,0,0,0.146563016533848,1.09915814176176
TCGA-KL-8330-01A,0,0.162899610025086,0.69606097811271,0.0901690409933918,0.0508703708688121,0,0,0,0.206367570967659,1.08412729422896
TCGA-KN-8431-01A,0,0.0325797283803528,0.829749800973496,0.0505783817724518,0.0870920888736997,0,0,0,0.153620690111355,1.14330002721475
TCGA-KO-8403-01A,0.055690005244352,0,0.533958490211826,0.105019802580639,0.305331701963184,0,0,0,0.448055284092299,0.925769760445472
TCGA-KO-8405-01A,0.0384012016380113,0,0.224614304634205,0.141024838873282,0.595959654854502,0,0,0,0.67737863241148,0.753827172891153
TCGA-KN-8435-01A,0.0344033427513267,0.0676619459007813,0.741267401244105,0.140542117718746,0.016125192385041,0,0,0,0.266690608169921,1.05912386476616
TCGA-KN-8419-01A,0.0440680996359236,0.095585045647809,0.532799440811853,0.0945480645780436,0.23299934932637,0,0,0,0.308003485620815,1.00720671529875
TCGA-KL-8337-01A,0.0211216422517851,0.148054692144031,0.659851937489469,0.121034279149201,0.0499374489655141,0,0,0,0.191873872940778,1.08826795860329
TCGA-KL-8332-01A,0.0113163490999618,0.034558561440169,0.711756267664453,0.087408645788389,0.154960176007027,0,0,0,0.368794842915988,0.985006066546889
TCGA-KO-8413-01A,0.0400601443154692,0,0.41888906142174,0.157630678345469,0.383420115917321,0,0,0,0.511723779219872,0.882597569569941
TCGA-KM-8443-01A,0,0.182782903540393,0.790856518033827,0,0.0263605784257795,0,0,0,0.217483916301488,1.0850766663248
TCGA-KL-8333-01A,0.0904235448610404,0,0.543681832697911,0.214073713490939,0.151820908950109,0,0,0,0.442605226210767,0.923254237608996
TCGA-KL-8334-01A,0.0435552311595881,0,0.611696801407872,0.156999476902004,0.187748490530536,0,0,0,0.404226664691261,0.956906027651056
TCGA-KN-8427-01A,0,0,0.35755163236633,0.256365590182991,0.386082777450679,0,0,0,0.20333322519134,1.11099104926712
TCGA-KL-8338-01A,0.00982032696437243,0.0633502572237428,0.542962879594616,0.179102570878894,0.204763965338375,0,0,0,0.322561790807885,1.00663852436509
TCGA-KN-8432-01A,0,0.114319489886152,0.669020517711218,0.0740336784130075,0.142626313989623,0,0,0,0.216835617583424,1.07393070304459
TCGA-KO-8410-01A,0.0572018947269614,0.112127405954353,0.560888606516103,0.08960068612501,0.180181406677573,0,0,0,0.331275090700791,0.988478671672203
TCGA-KN-8437-01A,0,0,0.502433152251633,0.05721200386635,0.440354843882017,0,0,0,0.285441571064535,1.06918210043348
TCGA-KN-8430-01A,0.0011161921805422,0.0234323707534895,0.590715196998773,0.118134295385764,0.266601944681431,0,0,0,0.382528002329156,0.975304874256313
TCGA-KM-8477-01A,0.00702505193133395,0.0868551274162468,0.539632922334817,0.182419615437466,0.184067282880137,0,0,0,0.165832449035798,1.10170229648964
TCGA-KO-8414-01A,0,0.204083357815551,0.574501306280588,0.0819051098285498,0.139510226075312,0,0,0,0.20943984461856,1.06736732754919
TCGA-KL-8323-01A,0.0141791122327896,0.159882236011551,0.683415606362169,0.0892229554387368,0.0533000899547542,0,0,0,0.234650107652846,1.06274755802578
TCGA-KL-8328-01A,0,0.158327083631739,0.599256097211879,0.117844856081785,0.124571963074598,0,0,0,0.233563056744421,1.05689834292304
TCGA-KN-8426-01A,0,0.0860205171468014,0.510981589692543,0.0619398375704405,0.341058055590215,0,0,0,0.339182839139691,1.00264676692852
TCGA-KL-8336-01A,0,0.0544702679030286,0.505933689877737,0.0974847436073867,0.342111298611848,0,0,0,0.349910644852033,0.998150559444271
TCGA-KL-8329-01A,0,0.0638019525148614,0.353946062114749,0.128360854502499,0.45389113086789,0,0,0,0.383783153239841,0.987880716983216
TCGA-KN-8429-01A,0.0531005453263948,0.0497751874597419,0.531910766862179,0.120895533781752,0.244317966569932,0,0,0,0.390959457667951,0.956975577359431
TCGA-KL-8326-01A,0,0.176544946998442,0.596117614326652,0.223911866247716,0.00342557242719043,0,0,0,0.188992814510409,1.10041508235292
TCGA-KN-8425-01A,0.0484861250838976,0,0.479359755772537,0.0607619772989385,0.411392141844627,0,0,0,0.433477209231132,0.948837659867676
TCGA-KL-8327-01A,0.0161096607190425,0,0.547679359321293,0.246723444896925,0.18948753506274,0,0,0,0.304131025186578,1.03117578568569
TCGA-KL-8343-01A,0,0.13191465280267,0.59910004476505,0.117554016906737,0.151431285525544,0,0,0,0.211300602180701,1.07179095940556
TCGA-KL-8324-01A,0.0171513916715617,0.202935394772807,0.506241456561881,0.194666403334925,0.0790053536588257,0,0,0,0.2176809132834,1.06201784096678
TCGA-KN-8433-01A,0,0.114961839516535,0.379889903401008,0.193903086193196,0.311245170889261,0,0,0,0.354069022061305,0.984064564867962
TCGA-KO-8417-01A,0.0176482052370044,0.16608210239937,0.692464239488515,0.121110676526862,0.0026947763482477,0,0,0,0.166969811913518,1.11157003478562
TCGA-KM-8639-01A,0,0.116159628846921,0.37653995583995,0.00871076064892669,0.464682370354411,0.0339072843097912,0,0,0.167501944901788,1.13691809488207
TCGA-KL-8340-01A,0.00104333287363246,0.0790304597561968,0.593450087187071,0.236822947140947,0.0896531730421531,0,0,0,0.264588127723372,1.05278014920665
TCGA-KO-8404-01A,0,0,0,0.209783322520889,0.790216677479111,0,0,0,0.436851918008565,1.06808534110151
TCGA-KM-8440-01A,0.0618823747029986,0.0679705332910492,0.64589759020619,0.0812274661565434,0.143022035643218,0,0,0,0.201763989275878,1.07656123863607
TCGA-KN-8436-01A,0.0844673226692676,0.0854685032842041,0.692217792726006,0.134469901956974,0.00337647936354886,0,0,0,0.299395515747579,1.02349824044043
TCGA-KN-8424-01A,0.0111784188920648,0.0597971348856155,0.579045505094151,0.0595703739546808,0.290408567173488,0,0,0,0.265339267311364,1.0497146839358
TCGA-KO-8406-01A,0.0151591814363048,0.200735892214157,0.633159645743902,0.0938904926868993,0.0570547879187373,0,0,0,0.224762217894406,1.06318972488158
TCGA-KM-8438-01A,0,0.0117582801684776,0.804204789161238,0.0810294318593183,0.103007498810966,0,0,0,0.216833656236019,1.10381456333817
TCGA-KN-8418-01A,0.000115643503073714,0.228175308923847,0.650496913902946,0.0691257702202221,0.0520863634499116,0,0,0,0.19878690063245,1.08261271801994
TCGA-KL-8335-01A,0,0.181600279846989,0.421772857021247,0.308843331532885,0.0877835315988795,0,0,0,0.25690434716923,1.04558922509241
TCGA-KL-8345-01A,0.0135639186148229,0.223674711436962,0.567289741254846,0.137685158501929,0.0577864701914403,0,0,0,0.207252419790667,1.07106542810015
TCGA-KO-8407-01A,0.0533334702093414,0,0.670453404331875,0.1002270856504,0.175986039808383,0,0,0,0.352481486133346,0.993604311496274
TCGA-KN-8421-01A,0,0.258881496293917,0.555283653527842,0.184138059317135,0.00169679086110607,0,0,0,0.14599197641255,1.11960059648487
TCGA-KO-8415-01A,0,0.108789078700014,0.375224285989383,0.112945209668868,0.403041425641735,0,0,0,0.333944607898527,1.01044956270152
TCGA-KM-8476-01A,0,0.0522094297077782,0.567649825989923,0.188684689748552,0.191456054553747,0,0,0,0.278874002709721,1.03968155208963
TCGA-KO-8408-01A,0,0.0874400422601322,0.401176315497722,0.428455906443124,0.0829277357990223,0,0,0,0.200351449215723,1.10386590221903
