Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-94-7943-01A,0,0.246461963154723,0.206751793956588,0.203964485752018,0.342821757136671,0,0,0,0.172422263137206,1.10015844423299
TCGA-68-8251-01A,0.141367785919641,0,0.188857845937409,0.324221716010752,0.244436132724613,0,0.101116519407584,0,0.361147155203677,0.962295040587537
TCGA-33-A5GW-01A,0,0.371948166264662,0.507493121449316,0.0257574422667429,0.0889750422553506,0.0058262277639279,0,0.04,0.0488114259584475,1.17204967239793
TCGA-85-8070-01A,0.0837332065464062,0.397737377935598,0.363682942272333,0.0552015385300886,0.0996449347155745,0,0,0.04,0.0467522054794905,1.15822871701962
TCGA-85-8479-01A,0.00497280859515824,0.318340195411902,0.376628115022727,0.187037008823442,0.11302187214677,0,0,0.01,0.10424385573176,1.12765417209764
TCGA-22-5482-01A,0,0.059561390254132,0.14143717815591,0.580082829228121,0.218918602361837,0,0,0,0.226104407815932,1.10109425565175
TCGA-21-1077-01A,0.102100103419046,0,0.227552320596409,0.271731319241311,0.398616256743234,0,0,0,0.301337883761487,1.03379903442179
TCGA-43-6773-01A,0.0772765359762723,0,0.280763672885784,0.217334715922463,0.338690230581583,0.0188938771595775,0.067040967474321,0,0.464862072400548,0.903719144027445
TCGA-34-8455-01A,0,0,0.349147532277624,0.434672008905527,0.160258355616516,0.0239856027451404,0.0319365004551926,0,0.248143537431282,1.06989810907955
TCGA-85-7950-01A,0.207910466133692,0,0.275402270183347,0.23365006996186,0.173583891099596,0,0.109453302621505,0,0.397062795526699,0.930201811970565
TCGA-60-2715-01A,0,0,0.286872035034708,0.21901265133105,0.471849017902375,0.022266295731867,0,0,0.375804742766019,1.00213482161486
TCGA-85-A5B5-01A,0.0424146649701587,0.0921540108786069,0.235447324131518,0.373256734266216,0.2567272657535,0,0,0,0.235812282646204,1.05826660432835
TCGA-33-4583-01A,0.120987463252984,0,0.500494768944818,0.0765183341995523,0.238289301121002,0,0.0637101324816435,0.01,0.110975172938154,1.11555571370431
TCGA-60-2725-01A,0.0623207116401828,0,0.195707302104446,0.148032590897179,0.573557314961938,0.0100572952545826,0.0103247851416717,0,0.413420533714396,0.994702984966058
TCGA-85-8072-01A,0.0568133638756743,0,0.322043531070804,0.109004221877227,0.512138883176295,0,0,0,0.26731428046831,1.0905605999604
TCGA-22-4601-01A,0.0905850030611011,0,0.552240119115384,0.103252753458471,0.253922124365044,0,0,0,0.24113858203921,1.05878802554752
TCGA-66-2781-01A,0.0677514713283447,0,0.275482618976687,0.339606189049044,0.310397331524539,0.00676238912138561,0,0,0.252658718659964,1.05925477994517
TCGA-22-0940-01A,0.0501175009289037,0,0.190730841931191,0.204587940405879,0.469268048905111,0.0131303579381743,0.072165309890741,0,0.453160658347206,0.931599481033008
TCGA-43-6143-01A,0.0970647553890613,0,0.290717986139933,0.363744035004575,0.248473223466431,0,0,0,0.223443768647483,1.0710518285794
TCGA-39-5021-01A,0.0853378104981449,0,0.162020231889113,0.249488100878526,0.503153856734216,0,0,0,0.427855326996308,0.964681580004961
TCGA-22-1012-01A,0.0386293422067333,0,0.228654677173339,0.216592696202427,0.457376416720283,0,0.0587468676972166,0,0.204684672820652,1.10907119472044
TCGA-33-AASL-01A,0,0.109852407034927,0.14447803360968,0.0607272307610023,0.675111585375343,0.00743784898563286,0.00239289423341467,0.01,0.112667353378433,1.26508639073483
TCGA-33-4533-01A,0.0547601366226642,0,0.556343844060256,0.262082482063887,0.106428879288149,0.00954731723339827,0.0108373407316447,0,0.366042054601292,0.982612640288215
TCGA-43-6647-01A,0.0393823162578717,0,0.134671327560569,0.535770069639844,0.25265363684256,0.00764191692032204,0.0298807327788335,0,0.263137051236562,1.06600746796412
TCGA-77-6845-01A,0,0.108931229604028,0.349336658591195,0.254333796881234,0.287398314923542,0,0,0.01,0.113563512581682,1.13302309907543
TCGA-56-8504-01A,0,0.0318196350345602,0.23630998850901,0.166175112789155,0.565695263667274,0,0,0,0.261005988926008,1.11207129221735
