Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-HQ-A5NE-01A,0.00428839516562771,0.0173375750787705,0.69693233841595,0.0080383955252079,0.21508188245749,0.0553515864091189,0.00296982694783455,0,0.429300006664242,0.962272239145998
TCGA-FD-A5BT-01A,0.00453301473773161,0.0381667612213094,0.134203109057879,0.0351865761296747,0.471394982505908,0.299230691771164,0.0172848645763344,0,0.550122386513037,0.878762088265965
TCGA-DK-A3IQ-01A,0,0.0170308284224139,0.315106455418654,0,0.525964309208313,0.139559578248682,0.00233882870193711,0,0.500100769246658,0.940701427638944
TCGA-ZF-AA4X-01A,0.00637112328834228,0.00467690682848573,0.971086721716909,0.00414796792891733,0.00536885349036208,0.00834842674698347,0,0,0.529695632501643,0.928948209528875
TCGA-GD-A3OQ-01A,0.00421661669537135,0,0.809801613882883,0.0111137908108563,0.137734547837624,0.0328277892670432,0.00430564150622186,0,0.355810679022019,1.03840828124441
TCGA-ZF-AA51-01A,0.0357930721800715,0.0428963745000487,0.446112670177409,0.0304086641847023,0.252506433713272,0.188653274447947,0.00362951079654952,0,0.115418918053066,1.12587805466226
TCGA-FD-A3SS-01A,0.0135152458232741,0.0136285306526446,0.774447319958115,0.00340180407548083,0.153389883915194,0.041617215575291,0,0,0.33431915737238,1.04511629832014
TCGA-DK-AA71-01A,0,0,0.8144665047142,0.00723472794777776,0.0980218579403848,0.0802769093976372,0,0,0.229738169957642,1.12828186870909
TCGA-4Z-AA83-01A,0,0.000889563526362165,0.687688571677303,0.00903980620545267,0.204611338223485,0.095350583590096,0.00242013677730088,0,0.265647805480104,1.08070210580535
TCGA-ZF-A9R4-01A,0.0332571565339284,0,0.825189892342065,0.00593805897465921,0.0268713231848185,0.0948193551969866,0.0139242137675421,0,0.407693958710062,0.989312367451698
TCGA-BT-A20P-01A,0.023988338847762,0,0.779975448067985,0.00878554926603565,0.143768595021327,0.0434820687968906,0,0,0.30740100467655,1.06521070058635
TCGA-HQ-A2OE-01A,0,0.00711093769165283,0.89790510966249,0.00739341471798974,0.0372425699277877,0.0488229712357438,0.00152499676433549,0,0.322213395400673,1.08410205834387
TCGA-R3-A69X-01A,0.0113984694573402,0.0152638689111236,0.543214853117149,0.008872116785264,0.26325717956362,0.157375396391726,0.000618115773777575,0,0.455514335713427,0.925980531230905
TCGA-BT-A3PH-01A,0,0,0.803547292145873,0.00770931613281161,0.149315059256949,0.0368041386547485,0.00262419380961803,0,0.34379037313598,1.04820831135444
TCGA-UY-A9PA-01A,0,0.016269719611981,0.852556968547382,0.0138620249270115,0.0577580448276132,0.0567923150500702,0.00276092703594236,0,0.235379379867762,1.13186681367105
TCGA-BL-A13J-01B,0.00672926325470254,0.00279194682047738,0.57580822806633,0.000416833208927593,0.343746157440958,0.0665231250404137,0.00398444616818995,0,0.254630946028678,1.10046106760946
TCGA-CF-A3MI-01A,0.0261345707199954,0.00304818683059329,0.750073213800281,0.0154179489057479,0.100790858995424,0.102281599275278,0.00225362147268066,0,0.127721603596996,1.17005102625684
TCGA-XF-AAMW-01A,0,0,0.458800434157995,0,0.321095181656369,0.215564356239255,0.00454002794638078,0,0.219629462042546,1.10265286116005
TCGA-H4-A2HQ-01A,0,0.0113498362611566,0.816384287793121,0.00773105031199224,0.0823993165796433,0.0806257045991494,0.0015098044549379,0,0.373507058143597,1.01925784635666
TCGA-HQ-A5ND-01A,0,0.0191054571977929,0.875371098603888,0.00756333777942581,0.0731295207338408,0.0248305856850524,0,0,0.309512009677065,1.0881959284728
TCGA-K4-A6FZ-01A,0.00274266062223662,0.01768517978367,0.773582806721589,0.0112678011095772,0.0815039953808306,0.113217556382097,0,0,0.214212143831619,1.12065380395642
TCGA-DK-A3IV-01A,0.0415262617648824,0.0312173149426826,0.846109744204289,0.0251020090531975,0.0122034530876265,0.040525453810775,0.00331576313654661,0,0.587742941946229,0.835473524340764
TCGA-E7-A3X6-01A,0.025411669090053,0.0242953368324992,0.66489264172783,0.00353561532328086,0.167752838249474,0.108989230931156,0.00512266784570744,0,0.265559844421173,1.06275394087827
TCGA-BT-A42F-01A,0,0.060926525921186,0.380836600963048,0.0396318306782697,0.134359905331868,0.371350096467373,0.0128950406382556,0,0.136694696760739,1.11580084349763
TCGA-UY-A8OB-01A,0.00189362186255356,0.0189692117586411,0.661247412962423,0,0.213695008674989,0.104194744741393,0,0,0.218533314628704,1.10647437632052
TCGA-DK-A1A3-01A,0,0.0138469712753877,0.631127049555743,0.00555684243016343,0.236068357910144,0.112697794280158,0.000702984548403334,0,0.23807388900423,1.09129817570486
TCGA-DK-AA6X-01A,0,0.0180603529921549,0.646258320447681,0.0257185159770166,0.19881701878212,0.109244916560003,0.00190087524102558,0,0.47455008950715,0.91413471662318
TCGA-G2-A3IE-01A,0.0410017044812183,0,0.817467463252252,0.00824030228694232,0.0828044742423771,0.0470096069129454,0.00347644882426519,0,0.372885105992498,1.01818927493703
TCGA-FD-A5BU-01A,0.0180118262371521,0.017315649669135,0.38038173849147,0.0111195858467949,0.373541049038889,0.195103643537175,0.00452650717938489,0,0.117508654607855,1.16841421897446
