Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-32-2616-01A,0,0,0.260663609684606,0.00601289039030217,0.280270936876432,0.45305256304866,0,0,0.335719406004267,1.0403253441748
TCGA-32-1980-01A,0,0.0104409562200261,0.0935816924158193,0.0278901927121907,0.222295675469779,0.645791483182185,0,0,0.503893242100459,0.950518301329298
TCGA-28-2514-01A,0,0,0.252236941377775,0,0.346372356980513,0.401390701641713,0,0,0.391112692807765,1.0030554530962
TCGA-06-0644-01A,0,0.00945522413902534,0.0485076408031113,0.00409431145527917,0.41342176623125,0.524521057371334,0,0,0.564518800331609,0.899648630009407
TCGA-06-1804-01A,0,0,0.18254301746631,0,0.245706566191136,0.571750416342554,0,0,0.245445740785269,1.14001629826699
TCGA-41-2571-01A,0,0,0.229466285763675,0.0281937701128795,0.159223986017229,0.583115958106216,0,0,0.451908146167107,0.965068122123283
TCGA-19-2619-01A,0,0,0.210068460958308,0,0.424181113611388,0.365750425430304,0,0,0.36154489792363,1.04332345337836
TCGA-27-1837-01A,0,0,0.192956916058072,0.0302142578413602,0.321187314365252,0.454870945720094,0.000770566015221725,0,0.34766050552584,1.03994162375419
TCGA-27-1832-01A,0,0.0102954446751027,0.0761776718026644,0,0.36063544449668,0.552891439025553,0,0,0.372027421075653,1.06800970399995
TCGA-06-0686-01A,0,0,0.15854479168104,0.00448994774446561,0.251472741199875,0.585492519374619,0,0,0.237432900200081,1.15347745193649
TCGA-06-5856-01A,0,0,0.0473894284061824,0,0.356476311067053,0.596134260526764,0,0,0.284110051883875,1.15939860181695
TCGA-28-1753-01A,0,0.0174180936084096,0.00507179719565775,0.0286420052182698,0.327259211094354,0.621608892883309,0,0,0.506000489337321,0.965807375712539
TCGA-28-5218-01A,0,0.0347162542041405,0,0,0.447728114356473,0.517555631439387,0,0,0.431999579531843,1.03639453310617
TCGA-32-1970-01A,0,0,0.142196853808692,0.00741186754328993,0.37066681671915,0.479724461928869,0,0,0.213751617171824,1.16643747482539
TCGA-28-5204-01A,0,0,0.0817577114274294,0.00651394668972171,0.389387421787464,0.522340920095385,0,0,0.336482380011349,1.09680407407301
TCGA-12-3653-01A,0,0,0.0795837885834817,0,0.312545901007892,0.607870310408626,0,0,0.276697476383994,1.15400015374464
TCGA-06-0187-01A,0,0.00199515333593078,0.104194297386937,0,0.317614147123323,0.576196402153809,0,0,0.37189793831163,1.06354352472094
TCGA-19-2624-01A,0,0,0.301507053432667,0,0.383888701413098,0.314604245154235,0,0,0.270878666412479,1.08900039101441
TCGA-12-3652-01A,0,0,0.193868875391327,0,0.428026649640958,0.378104474967715,0,0,0.330637290939299,1.07161117232115
TCGA-12-5299-01A,0,0.00484038866126608,0.183460648502784,0.00174423297787064,0.305507743082543,0.504446986775537,0,0,0.502425909771617,0.923486154717713
TCGA-06-0749-01A,0,0.000280480111474253,0.0781937760502483,0.0966406355899675,0.0649987334810561,0.759886374767254,0,0,0.441677833960814,1.04409147786291
TCGA-06-0158-01A,0,0,0.188134613253301,0.0135684213305724,0.20866879979432,0.589628165621806,0,0,0.312846976640749,1.08777386680042
TCGA-19-1390-01A,0,0,0.139122816746229,0,0.24807094682667,0.612806236427101,0,0,0.366261735898909,1.064298683902
TCGA-28-2510-01A,0,0,0.159838031339724,0,0.372355879522347,0.467806089137929,0,0,0.347621388087886,1.06194099203508
TCGA-32-2615-01A,0,0,0.14153434914481,0,0.327794681170509,0.530670969684681,0,0,0.351561287901711,1.06547020119576
TCGA-76-4929-01A,0,0,0.293301512592488,0.0141788867085912,0.267731740605026,0.424787860093894,0,0,0.221137633180105,1.11060970215121
TCGA-06-0178-01A,0,0.00565047832235695,0.10999387211863,0.0830485567372068,0.131983209168751,0.669323883653054,0,0,0.390513779878653,1.04827283552208
TCGA-41-5651-01A,0,0,0.344606334471631,0,0.241255512385031,0.414138153143337,0,0,0.243671199664337,1.0900714921645
TCGA-14-2554-01A,0,0,0.149701982411041,0.00132043965761372,0.255374453002686,0.593603124928659,0,0,0.43490799018681,1.00008850245122
TCGA-06-2559-01A,0,0.00145229773004825,0.157548175205689,0,0.328614027580812,0.512385499483451,0,0,0.411050501522386,1.01054609383775
TCGA-14-0787-01A,0,0,0.162684086177358,0.0050403113957331,0.263790084807886,0.568485517619023,0,0,0.508679417931178,0.927498485937289
TCGA-12-0618-01A,0,0,0.34223351379958,0.00422566159699387,0.205892428742395,0.447648395861032,0,0,0.256480154302861,1.08286433753284
TCGA-14-1034-01A,0,0,0.110372084548636,0,0.265387578782085,0.62424033666928,0,0,0.364833818523167,1.07522380938945
TCGA-06-0743-01A,0,4.62565983962935e-05,0.102833808638897,0.0266659195955199,0.313674388959633,0.556779626207554,0,0,0.253665779380232,1.14717226729981
TCGA-16-1045-01B,0,0.0102630023495223,0.0331390008826625,0.00443622966707664,0.268918333353307,0.683243433747432,0,0,0.52996331494037,0.952206585510978
TCGA-76-4927-01A,0,0,0.103749392005567,0,0.361601880378191,0.534648727616242,0,0,0.486296130043765,0.962133166371094
TCGA-32-2638-01A,0,0.00249629831434053,0.106341911122071,0.0036239298169392,0.32985634749831,0.557681513248339,0,0,0.414089164020944,1.02417680170283
TCGA-14-1825-01A,0,0,0.141271030610891,0,0.325665367154696,0.533063602234413,0,0,0.320623552789405,1.09026595914849
TCGA-32-2632-01A,0,0.012560923511295,0.0574952968989111,0.0289835862851643,0.28061191066002,0.620348282644609,0,0,0.370336675663849,1.07272938571125
TCGA-14-1823-01A,0,0,0.0521158553565498,0.00836937465011715,0.282079842793505,0.657434927199828,0,0,0.490723488919858,0.982881449403938
TCGA-12-3650-01A,0,0,0.153531963555324,0.0154813544915888,0.276806769995017,0.55417991195807,0,0,0.366289178679603,1.04712796064098
TCGA-06-0211-01A,0,0.00262517831530756,0.0870736916340013,0,0.333845568614254,0.576455561436437,0,0,0.51657017287882,0.939740261260809
TCGA-06-0238-01A,0,0.00464354752387542,0.138386037661153,0.0589303617475478,0.150530781309596,0.647509271757827,0,0,0.448883199103147,0.989709706329549
TCGA-06-0184-01A,0,0.0134210119580251,0.0249481353753947,0.0341489830950282,0.185513938941838,0.734076548736077,0.00789138189363698,0,0.537197904408831,0.951177063215747
TCGA-76-4925-01A,0,0,0.17342604692125,0,0.431323764529241,0.39525018854951,0,0,0.363810842466844,1.05072548827919
TCGA-12-0616-01A,0,0.0223447280629329,0.0615791313581132,0.0262084523502124,0.386712164752125,0.503155523476616,0,0,0.243658059969476,1.1582426054806
TCGA-26-5132-01A,0,0,0.0982192319468393,0.000374989380219059,0.397824264090389,0.503581514582553,0,0,0.402943814692789,1.03773278665594
TCGA-02-0055-01A,0,0.0119123620043795,0.0381491755126975,0.00923136065729001,0.442806888178884,0.497900213646749,0,0,0.617161166239965,0.846198635746142
TCGA-06-0132-01A,0,0.00824505065931204,0.0492497902836197,0.0283041208722175,0.189926500589173,0.724274537595678,0,0,0.551846386079121,0.931870070779499
TCGA-02-2486-01A,0,0.0222056604312167,0.095465769995286,0.0233014510878082,0.190969643057378,0.668057475428311,0,0,0.540501851445514,0.917842337941183
TCGA-19-1787-01B,0,0.000126354967110725,0.146057388824168,0.0282926483331534,0.305814144674029,0.519709463201538,0,0,0.411028215195352,1.00566530893412
TCGA-06-0211-01B,0,0,0.13008278777769,0,0.336120069705043,0.533797142517266,0,0,0.417421213686439,1.01477447320926
TCGA-06-5859-01A,0,0.00270153945668954,0.0930242878145902,0.00860280830583254,0.197519752705064,0.698151611717824,0,0,0.132598002123685,1.27882312111127
TCGA-06-0139-01A,0,0.024055266211301,0.00770094732609628,0.0171256307463088,0.239055997939602,0.712062157776692,0,0,0.606018258487365,0.877987879471298
TCGA-06-0157-01A,0,0,0.133914787540024,0.0265223168194287,0.248297225784021,0.591265669856527,0,0,0.254292171098581,1.14219319502697
TCGA-12-1597-01B,0,0,0.231971028238386,0.0659225098751412,0.145289463593385,0.556816998293088,0,0,0.383711341629873,1.00910587871334
TCGA-76-4931-01A,0,0,0.219800446326007,0,0.367284465513382,0.412915088160611,0,0,0.362757295604576,1.03349522557043
TCGA-06-5417-01A,0,0,0.102776779639726,0.00590070687740037,0.281877921553131,0.609444591929743,0,0,0.216317561372147,1.19048791554183
TCGA-32-5222-01A,0,2.19695373121995e-05,0.124863625401464,0.0564663484643764,0.185561929588708,0.63308612700814,0,0,0.518552645061816,0.926054122914519
TCGA-76-4932-01A,0,0,0.258227666392702,0.00300139261359494,0.304588491855056,0.434182449138648,0,0,0.37760317857595,1.00993316432362
TCGA-28-5208-01A,0,0,0.0810890984814383,0,0.350841382441626,0.568069519076935,0,0,0.465204361728216,0.989978008630131
TCGA-02-0047-01A,0,0,0.123979845390481,0.00549602179717717,0.30333453151578,0.567189601296562,0,0,0.388246826070923,1.04184238149229
TCGA-28-5207-01A,0,0,0.226937398565922,0.0390052622458308,0.259425235413708,0.474632103774539,0,0,0.310370416307998,1.05754375396551
TCGA-28-5220-01A,0,0,0.113870440322895,0.0755532644664058,0.154986716766297,0.655589578444402,0,0,0.182855221839164,1.20793124285175
TCGA-06-0744-01A,0,0,0.214305606444361,0.0129610402697567,0.259035829889991,0.513697523395891,0,0,0.246872051535223,1.11817642036212
TCGA-27-2524-01A,0,0.0224878250570008,0.066488147964304,0.0108496723718491,0.24855005226338,0.651624302343466,0,0,0.546448323747313,0.916480476601326
TCGA-06-0745-01A,0,0.0199181549555819,0.0451281683183806,0.0115460181502014,0.252210622295813,0.671197036280023,0,0,0.493982383662985,0.977354284777492
TCGA-16-0846-01A,0,0.0325104383902119,0.154692915992329,0.00931279261754207,0.148969815282501,0.654514037717416,0,0,0.243505969315734,1.15748588843162
TCGA-06-0882-01A,0,0,0.0746983848144689,0.00705703837263589,0.217807797493673,0.700436779319222,0,0,0.426794389864419,1.0465702526933
TCGA-06-5411-01A,0,0,0.206885757634311,0.0186647573632164,0.18837238150965,0.586077103492823,0,0,0.496541528927508,0.931044648590402
TCGA-27-1835-01A,0,0,0.246225792111293,0,0.40132227003349,0.352451937855217,0,0,0.269824052556313,1.10178356395864
TCGA-28-2513-01A,0,0.0256389850650311,0.0334713420802446,0.0106679862920628,0.29412411494286,0.636097571619801,0,0,0.534881286361276,0.932900847946814
TCGA-14-0781-01B,0,0.0188257554695589,0.0433000586610886,0.00142830937108227,0.350453441158419,0.585992435339851,0,0,0.516192350470429,0.947861304227283
TCGA-14-0789-01A,0,0.0127854683394594,0.0618426036128038,0,0.227522747351191,0.697849180696546,0,0,0.618240453567752,0.855434413658599
