Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-TQ-A7RO-01A,0,0,0.402398671219844,0,0.237691870406415,0.359909458373741,0,0,0.206650108399859,1.10514500580383
TCGA-CS-6670-01A,0,0,0.480595148523905,0,0.139923937265275,0.379480914210821,0,0.01,0.181498333500073,1.1175979089745
TCGA-QH-A6X5-01A,0,0,0.484477173031249,0.0254538365914371,0.129352681069,0.360716309308314,0,0,0.191565029264688,1.10343423105618
TCGA-HW-7493-01A,0,0,0.31455556610059,0.00186006135607802,0.208548386719679,0.475035985823653,0,0.01,0.171287223426449,1.14811692646873
TCGA-CS-6667-01A,0.00862963946360466,0,0.386876572186211,0.0162638357388538,0.155293746294995,0.432936206316336,0,0.01,0.156909279941539,1.13642735640146
TCGA-DU-6406-01A,0,0,0.1891573779229,0,0.399121494772943,0.411721127304156,0,0,0.346109683318933,1.05677542705404
TCGA-DU-A7TA-01A,0,0.0167172788973747,0.120630720462656,0.0527521416786388,0.123295790493811,0.68660406846752,0,0.01,0.142082336651348,1.24854099658518
TCGA-QH-A6X4-01A,0.076929375802324,0,0.466765082585746,0.0474435710254845,0.00879716723774587,0.4000648033487,0,0.01,0.147466415642398,1.12176733625199
TCGA-TQ-A7RR-01A,0,0,0.264009117935806,0.0130094429599399,0.114526800442238,0.608454638662017,0,0,0.190092090938563,1.17317709464726
TCGA-HT-8104-01A,0,0,0.300878818700167,0,0.333502120563424,0.365619060736409,0,0,0.260595018512144,1.08924372059781
TCGA-HT-A74K-01A,0,0,0.159511475861973,0.0259608640224599,0.327401762439721,0.487125897675846,0,0,0.21061514393714,1.1538812871875
TCGA-DB-A64X-01A,0,0,0.416286610849632,0.0880724861297138,0.238051395515048,0.257589507505606,0,0.01,0.12197447582511,1.1300067450132
TCGA-HT-8107-01A,0.0138356680581804,0,0.496231958640827,0.0115323445372883,0.153688671587549,0.324711357176155,0,0.01,0.11299534053564,1.14809277151033
TCGA-FG-A710-01A,0.0176528179093574,0,0.0619400248173124,0.0440318151429581,0.141615400073941,0.734759942056431,0,0,0.301551661950109,1.15896622752252
TCGA-QH-A6CX-01A,0,0,0.211602332890052,0.0327736659721705,0.34604932892548,0.409574672212297,0,0,0.209197045043182,1.13481601637067
TCGA-CS-6666-01A,0,0.00414641001427063,0.183944092235516,0,0.239809727257926,0.572099770492288,0,0,0.191334894846306,1.17738536671639
TCGA-TM-A7CA-01A,0,0,0.357389348137969,0.0123280370565709,0.0282591764657959,0.602023438339664,0,0.01,0.134429913404007,1.20829362620438
TCGA-HW-7486-01A,0,0,0.228362781083588,0.0525270572737583,0.129667855072126,0.589442306570528,0,0,0.21288559011719,1.14761069600121
TCGA-QH-A6X8-01A,0,0,0.239279086169157,0.0774270318056913,0.0512956115785348,0.631998270446617,0,0,0.234133242627011,1.14625962891613
TCGA-DU-A76K-01A,0,0,0.475051004729209,0.0058076690092105,0.317377229096161,0.20176409716542,0,0.01,0.137694442650812,1.15541454586533
TCGA-DB-A4XD-01A,0,0,0.313109566381194,0,0.0653647620771946,0.621525671541612,0,0.01,0.155834065316238,1.20226263968559
TCGA-DH-A669-01A,0,0.0338619812028494,0.144420746700907,0.0193551394743635,0.202056403825943,0.600305728795937,0,0.01,0.122510192471105,1.22591584758962
TCGA-WY-A858-01A,0,0.00375192905646799,0.108859029554204,0.0176999910162464,0.0950061218582253,0.774682928514856,0,0,0.22492622536591,1.23809245152492
