Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-24-1104-01A,0,0.0166024857810221,0.692060120158366,0.0169371092798417,0.121189997768618,0.144985608637712,0.00822467837443969,0,0.350498714600977,1.00671955788554
TCGA-25-1320-01A,0,0,0.44013664704773,0.00582393751397162,0.378224257773725,0.170537072428065,0.00527808523650885,0,0.50979903068761,0.897263016624545
TCGA-24-1850-01A,0,0.0150267966080289,0.475168703175839,0.0102073404720501,0.257064233311523,0.242532926432559,0,0,0.394909872255387,0.967698129171749
TCGA-61-2101-01A,0,0,0.617354404833812,0.0121433648421241,0.270517945123753,0.0999842852003107,0,0,0.347529181743763,1.02037920857978
TCGA-23-1111-01A,0.0173797011396533,0,0.72811258733085,0.0081991576775939,0.191291904877911,0.0488033375431898,0.00621331143080114,0,0.394845906772504,0.991999933239686
TCGA-25-2396-01A,0.0119503487863862,0.00792669017379322,0.525348024325231,0.0253092071366788,0.249807148218866,0.164024008867117,0.0156345724919284,0,0.327220535817594,1.01066948792468
TCGA-30-1714-01A,0.0347820888513014,0,0.755390467357827,0,0.108684803938753,0.0972146689044394,0.00392797094767942,0,0.311530613735276,1.04868790732288
TCGA-04-1347-01A,0.00376213016872656,0,0.664695117096943,0.00584898684305943,0.229250338787322,0.0945804338890129,0.00186299321493527,0,0.212575161073428,1.11584233101193
TCGA-59-2351-01A,0,0.0199333547908616,0.480863213770109,0.0244249287031978,0.218397206268001,0.256381296467831,0,0,0.463610461305822,0.912240536571825
TCGA-09-1659-01B,0,0,0.572282737464106,0.0159197824894592,0.1947760972823,0.204046591329254,0.0129747914348805,0,0.317137255597205,1.02078968846085
TCGA-24-1431-01A,0,0,0.738344625872203,0.019161751431778,0.0872568983523283,0.153332854477691,0.00190386986600017,0,0.27082788909265,1.07383193320907
TCGA-31-1951-01A,0,0,0.435124626401462,0,0.305053405723754,0.253344185144074,0.00647778273070988,0,0.434680063922866,0.946607493391862
TCGA-29-1769-01A,0,0,0.563623824594316,0.0107122297896952,0.221812992694178,0.198430201882373,0.00542075103943753,0,0.302272842584771,1.03512079087302
TCGA-13-0916-01A,0.00849344077929532,0.0339982545816004,0.547730740808334,0.025248776254465,0.266254382822121,0.117704924923492,0.000569479830692333,0,0.204078667798097,1.09603055204757
TCGA-61-1721-01A,0.0336431663477837,0.004570613223457,0.0731244130030151,0.00426528676708748,0.688265076119382,0.194283717584701,0.001847726954574,0,0.512337479927916,1.00206836473781
TCGA-20-1687-01A,0.0186773822993889,0,0.723300557235134,0.0147619547333892,0.121261433912251,0.115948717697282,0.00604995412255518,0,0.443458965143525,0.943660009353408
TCGA-29-2414-01A,0.0150338988898338,0,0.511551630094547,0.00977582170051914,0.348759584399914,0.110457100787758,0.00442196412742803,0,0.440371050166373,0.950611642630377
TCGA-13-1411-01A,0,0,0.389425017330335,0.0200941601570538,0.218757474225048,0.358347259527366,0.0133760887601976,0,0.446626958786909,0.930417798824429
TCGA-24-1928-01A,0.017468751148121,0,0.519454890725437,0.0103924741106162,0.275320072421023,0.172625490930451,0.00473832066435184,0,0.427477539590387,0.946977735365795
TCGA-31-1959-01A,0,0,0.458754821925706,0.00083424745304294,0.270669741875622,0.263781905070765,0.00595928367486373,0,0.528440186556885,0.869779393733167
TCGA-57-1586-01A,0,0,0.770800271995557,0.0181347869173868,0.0805273037299851,0.126583728737168,0.00395390861990258,0,0.32051584945472,1.04598594067362
TCGA-09-2044-01B,0,0,0.484396005228258,0.01562321494697,0.140616959917142,0.354843313550876,0.00452050635675353,0,0.274538569174931,1.05031936821403
TCGA-13-1506-01A,0,0,0.803580512685249,0.00492922085040576,0.0786736939745378,0.112816572489807,0,0,0.330202532164454,1.04951453234604
TCGA-25-1870-01A,0,0,0.632990753939144,0.0267194751907079,0.206149215518016,0.134140555352133,0,0,0.287418888692028,1.05143304437545
TCGA-09-0366-01A,0,0.0071918015754989,0.60803321924276,0.0146847022729803,0.0314862048426201,0.338604072066141,0,0,0.543615746387286,0.858007182397089
TCGA-30-1892-01A,0.0205550109749112,0,0.581106688549879,0.00915131359735066,0.265370064114201,0.123816922763658,0,0,0.323969322951333,1.02742924028351
TCGA-13-0893-01B,0.0231909601520845,0.0181085249989632,0.65685089421431,0.0225601764874992,0.197171173151436,0.0774189398083768,0.00469933118733051,0,0.294246721608655,1.04502187698273
TCGA-09-2056-01B,0,0.0192213923051261,0.648617147846628,0.0122731317679816,0.148017320516052,0.171871007564213,0,0,0.41771547781988,0.9541906627917
TCGA-29-1781-01A,0,0.0305531703424892,0.419908106723321,0.0364828755764609,0.116861703916922,0.394418404388947,0.00177573905185979,0,0.256206790793391,1.05629269023958
TCGA-29-1699-01A,0,0.00965786125664789,0.491947469148815,0.0241983622847551,0.159637532024954,0.301185786333235,0.0133729889515928,0,0.228892366897162,1.06998789194613
TCGA-04-1364-01A,0.0113488306344361,0.0056463849844493,0.806586957871338,0.00721520234420012,0.153445108852178,0.0157575153133989,0,0,0.225024488139428,1.13679836345919
TCGA-59-2363-01A,0.0482129839411183,0,0.554589168610871,0.00656976625128251,0.294149685755097,0.0964783954416308,0,0,0.404373365076552,0.968662204434096
TCGA-24-1416-01A,0,0,0.774909182950371,0.0161009273353134,0.0810807962550519,0.126393930317598,0.00151516314166625,0,0.4024989238877,0.985823133934556
TCGA-20-1686-01A,0,0,0.793057266249093,0.0114831091727982,0.111227989903088,0.0837476717449629,0.000483962930057896,0,0.254859454331634,1.10367694253294
TCGA-29-1697-01A,0,0,0.806705897613297,0.00520425814063218,0.0866163757873371,0.0980383507545073,0.00343511770422589,0,0.15515657770656,1.17485561347788
TCGA-29-1770-01A,0.0242013059650253,0.000541451636541154,0.569662992595053,0.0107251986801803,0.264918247128161,0.129950803995039,0,0,0.428716404614195,0.948967917085381
TCGA-23-1116-01A,0,0.0064263466053396,0.555631803876066,0.0160471047418396,0.196936937315292,0.223772667507291,0.00118513995417158,0,0.487424957484166,0.897947612069334
TCGA-29-2428-01A,0,0.0316115894737067,0.561302393764403,0.0438847315746065,0.115463140694043,0.242620113840072,0.00511803065316872,0,0.272010455600893,1.03694421202557
TCGA-24-2293-01A,0.00139290407302598,0.00680713492567416,0.365399313429342,0.00345156050101965,0.399899558574548,0.22304952849639,0,0,0.536560571933255,0.876912402465298
TCGA-25-1635-01A,0,0.0132090354185216,0.528053112264974,0.0301546391718159,0.234677371302026,0.190383194070903,0.00352264777176023,0,0.387408025504306,0.969692399409682
TCGA-25-2409-01A,0,0.00476866404508983,0.676584564530953,0.0104193560133682,0.147938271654989,0.152518456611055,0.00777068714454458,0,0.498059631495005,0.896634912502596
TCGA-24-2280-01A,0.0385508022011266,0,0.277685528221006,0.00606757245551544,0.545776325196148,0.128563258988042,0.00335651293816177,0,0.59577980829195,0.850116593858363
TCGA-29-1710-01A,0.0489512739828959,0.00201770435326548,0.566338256668232,0.0236651658113589,0.169285653561795,0.167608010975684,0.022133934646769,0,0.492282801747775,0.886038053131014
TCGA-61-2095-01A,0.00485588486495479,0,0.453239507979218,0,0.272514092838072,0.227289047630217,0.0421014666875382,0,0.571235554702679,0.830486364524826
TCGA-13-1489-01A,0.0143054856199734,0,0.819411343408834,0.00670619717291563,0.0870029870088591,0.0725739867894178,0,0,0.316781077624505,1.06367611935844
