"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.C5.A7UI.01A",0.103048168703203,0.0156932594025069,0.00229483905542136,0.0308920918529333,0.0308864125396882,0.0332346912986582,0.783950537147589
"TCGA.C5.A902.01A",6.73364955294713e-09,0.0163399590687089,9.99976267872715e-08,0.0160293243952313,0.0816176526643373,0.0311436606204898,0.854869296519956
"TCGA.DS.A1OB.01A",1.9497437098114e-08,8.3560242779774e-08,0.0205556089631934,0.0336712632123271,1.23702340408552e-05,0.00460858149823366,0.941152073034525
"TCGA.Q1.A6DW.01A",1.36033120852773e-07,0.0234892610623774,0.0361919442282293,0.0210060911235816,1.25650109179774e-07,0.0245969989091841,0.894715442993398
"TCGA.EK.A2R7.01A",0.0870349063256584,0.000369111348346451,0.0269434230482722,0.0208804003110668,0.012624780812961,0.0311501968013249,0.82099718135237
"TCGA.C5.A7X8.01A",0.211608162142475,0.0450078543421897,0.163272230569696,0.00423170549951462,6.79209919845646e-09,0.00410873071798214,0.571771309936043
"TCGA.Q1.A5R3.01A",0.00216369439130331,0.0948517350173353,0.0073313062225983,0.0289145768337304,7.82816578530756e-09,0.110311624370149,0.756427055336718
"TCGA.C5.A7X5.01A",4.14824711553623e-09,0.00456943359470143,0.0191045865544036,0.0113576702454575,4.70374089590938e-08,0.004366469609698,0.960601788810083
"TCGA.ZJ.A8QR.01A",0.0159998763546706,0.0258066042146133,0.00596013741693975,0.0103463899099138,2.44781894796271e-08,0.00996127255801893,0.931925695067654
"TCGA.HM.A3JK.01A",0.0514284663737624,0.249192945321903,0.403276735839263,0.0385802739657535,8.97003783249765e-09,0.0612582163394826,0.196263353189797
"TCGA.EA.A556.01A",2.53217545627165e-08,3.14540445394201e-09,0.223829027720186,0.0127537315737229,3.87453595801032e-05,7.9414636294183e-09,0.763378458937888
"TCGA.VS.A9V4.01A",0.00658711033873546,0.0244774123298192,0.00702261575591857,0.00246575118392776,1.11643951146861e-09,0.0160787355114297,0.94336837376373
"TCGA.IR.A3L7.01A",1.70968389658122e-07,0.0263050823397209,0.0440868709312138,0.0134879217912005,6.97124777336182e-08,0.00641515809344377,0.909704726163554
"TCGA.EK.A2RL.01A",0.0039519857693186,0.000655603539452299,0.0412306856364578,0.00734273704176947,0.00147774785165636,0.014981332242685,0.930359907918661
"TCGA.VS.A94X.01A",9.80176203685824e-08,0.0429709165185479,0.0152736683662485,0.0558456825182615,0.000156991738432925,0.0241941708464384,0.86155847199445
"TCGA.VS.A9V3.01A",7.28811585595437e-08,0.0107568923802066,0.0134676482479802,0.0499894742451026,8.07816110968049e-05,0.0444761553807181,0.881228975253737
"TCGA.EK.A2RO.01A",0.00123568619113449,9.43081319837333e-07,0.139715371952178,0.00924629620909084,0.000114277949728318,1.09751324686641e-07,0.849687314865224
"TCGA.JW.A5VJ.01A",0.00537329156883695,0.0117237347644963,0.0124915041574961,0.0211996542728356,1.20747714459657e-07,0.00588530782763038,0.94332638666099
"TCGA.MA.AA42.01A",3.28303095315351e-08,0.00018969371559667,8.51509544597697e-11,0.290059371505143,0.341983721353389,7.24761897554828e-08,0.367767108034221
"TCGA.C5.A1MK.01A",3.70300409703471e-08,9.61196251020383e-11,0.133581023382152,0.0178337772837519,6.94304921365645e-08,1.31581516840996e-07,0.848584961195927
"TCGA.UC.A7PG.01A",8.18315139361089e-08,0.0185938542896453,0.0273570065784754,0.0150155132894189,1.77137900403814e-07,0.0102415208324947,0.928791846040551
"TCGA.VS.A9UH.01A",0.0729388823402027,1.46718308029137e-05,0.04100831611447,0.386703175018343,0.119583038606056,2.65399963813223e-08,0.37975188955013
"TCGA.4J.AA1J.01A",6.01560299125767e-05,0.0926394468490847,0.123459948488654,0.0092805057265367,9.78163628388039e-10,0.0238627092227894,0.750697232704859
"TCGA.C5.A1ME.01A",0.0331856724140214,0.0200926314402353,0.00932711108654642,0.0143746019534197,0.00783633865054797,0.0391075353124839,0.876076109142745
"TCGA.C5.A8YR.01A",1.87317874137398e-08,0.000395274205708717,0.00686380507303354,0.0800248069288389,0.0440157463309502,1.77345404842637e-08,0.868700330995141
"TCGA.EA.A5FO.01A",3.63521732039842e-08,0.0154106691087495,0.00424218040559003,0.00834935944232541,1.1817050382123e-07,0.0133700997879766,0.958627536732681
"TCGA.MA.AA3Z.01A",1.55926575052995e-08,0.0173356511627097,6.99355503800585e-06,0.0266980132161379,0.0306820287199181,0.0584404139281211,0.866836883825418
"TCGA.C5.A8XJ.01A",0.0215074920754987,0.0805314377720799,0.111070559794317,0.0218474992623602,0.00757972297718054,0.0262306418630622,0.731232646255502
"TCGA.R2.A69V.01A",0.000443356372021335,1.49682526292234e-07,1.09972424390473e-09,0.57782763358039,0.298277812712191,0.000475722006697197,0.12297532454645
"TCGA.C5.A1BM.01A",2.15097384297554e-09,0.00652609600287888,0.00117356010592045,0.104715826677183,0.00615839006686751,0.00563577737439475,0.875790347621781
"TCGA.ZJ.AAXD.01A",3.12308516547246e-07,0.059271489500633,0.0916209021789318,0.0115528524477626,1.72411272662796e-09,0.0192483408273513,0.818306101012692
"TCGA.HM.A4S6.01A",4.58760541453553e-09,0.0227591341455872,0.0518485055112848,0.0738592126874539,0.0377367891183215,3.77724333018256e-07,0.813795976225414
"TCGA.EA.A5ZF.01A",2.15989817439738e-08,0.0130675301247537,0.160522791871703,0.0198054236740182,1.53408848867211e-05,2.27682729499574e-07,0.806588664162928
"TCGA.C5.A1M6.01A",1.10268690184043e-05,0.0368606330022707,0.0426621925970536,0.013056389592411,6.31249764653003e-09,0.00925974536108276,0.898150006265666
"TCGA.DG.A2KK.01A",9.17547738399503e-08,0.0385822633724768,0.0128695675515661,0.0357141898372128,0.000973776182878939,0.0415657217412063,0.870294389559885
"TCGA.HG.A2PA.01A",0.0293537572986893,0.00522189931952156,0.0659224634820192,0.0246571891441981,0.0103460611857365,0.0312896743012991,0.833208955268536
"TCGA.VS.A8EH.01A",8.43754070707076e-07,0.0331292988884499,0.0107909340268448,0.0407436855257119,5.05152606240682e-08,0.0126677126160302,0.902667474673632
