"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.BP.4766.01A",1.1609092020157e-06,0.259639624996013,1.66054054193641e-08,0.0319356837602418,0.00194536481631323,1.67295763331734e-08,0.706478132183248
"TCGA.A3.3352.01A",2.5422368497998e-08,0.284055838233022,9.63340606440752e-06,0.0423811854197486,0.00991091366257334,6.53247884066415e-09,0.663642397323744
"TCGA.G6.A8L7.01A",4.15920665125416e-08,0.105796662562744,1.52114650186044e-08,0.0199759147892189,0.0308798630146644,5.4236941024648e-07,0.843346960460431
"TCGA.A3.A6NN.01A",4.38775073457107e-08,0.490279399797649,6.69768922071038e-06,0.0681920740889194,0.01746873140147,4.87079863779906e-08,0.424053004437247
"TCGA.T7.A92I.01A",4.943764364132e-07,0.0717209440652853,0.0146401463896604,0.0306926257789219,0.000103242075849864,0.0403126901168708,0.842529857196975
"TCGA.B0.5713.01A",1.15619425199207e-07,0.445195601566299,1.23494473904489e-08,0.0293891085568569,0.0168697553119888,7.11444598335367e-10,0.508545405884539
"TCGA.CZ.4860.01A",9.65663972197338e-08,0.0458984327553311,0.109907899620366,0.124411220110547,1.89018510260734e-07,0.00595140164836357,0.713830760280485
"TCGA.A3.3351.01A",4.51369406144287e-08,0.283097517879453,2.03157258246028e-09,0.0920417865690374,0.0948094981288781,4.27196344710215e-06,0.530046878290671
"TCGA.B8.4148.01A",2.96586042695136e-08,0.193717005199484,2.61520752593317e-05,0.0895007191892471,0.141674361928489,1.71546376051449e-08,0.575081714794279
"TCGA.BP.4345.01A",1.78487241019067e-07,0.540457012168653,0.1611271097236,0.0508790336461634,1.74737507805703e-08,0.080188244577974,0.167348403922617
"TCGA.BP.5010.01A",0.00998238367277505,0.294863527494029,0.0701311242379345,0.00896168929047275,7.03258326083918e-09,0.0576171485028051,0.5584441197694
"TCGA.BP.4325.01A",6.74629333624122e-09,0.100242100178172,6.06809379389287e-08,0.0482362875452584,0.0681145248224192,1.39028132121052e-07,0.783406880998787
"TCGA.B0.5102.01A",4.96980340549778e-08,0.108399326625931,1.22581640977191e-08,0.0360179512342197,0.0183148253513769,2.65045794435856e-07,0.83726756978648
"TCGA.BP.5185.01A",1.81186364761589e-07,0.0870710255002933,5.26805800149596e-05,0.00808369863932999,0.00901604605586694,0.0135059403807322,0.882270427657398
"TCGA.CZ.5986.01A",9.88440105440025e-09,0.312562535414017,2.00638830745406e-09,0.0271922919965062,0.00086844989470654,7.97018112375009e-05,0.659297008992744
"TCGA.CW.5590.01A",9.39168437677175e-08,0.387769225613963,1.5650124644295e-06,0.0570967074562269,0.0158688503380437,7.75064513170254e-09,0.539263549911813
"TCGA.CJ.4904.01A",8.61142606244984e-08,0.43699260411953,1.61170518162622e-09,0.0369804198567393,0.00222932618294462,1.37321349608544e-05,0.52378382997986
"TCGA.BP.4987.01A",1.7527817026766e-08,0.281334444861572,7.1055703470031e-09,0.0429569103010142,0.0237121304017122,2.97718604884274e-08,0.651996460030454
"TCGA.B0.4849.01A",9.83257431407416e-08,0.272479306522933,1.91635683777895e-05,0.035735232409128,0.0119291051420645,8.73443794172418e-08,0.679837006687374
"TCGA.BP.4329.01A",3.09948710491642e-07,0.251382665257572,0.00722457001988563,0.0373884908196541,0.0130081560266807,8.04113535954062e-07,0.690995003813961
"TCGA.A3.3328.01A",4.86337479807441e-07,0.0438978841850612,2.07827973855559e-07,0.00979243123141732,1.47807321754591e-07,1.14587330065869e-07,0.946308728023416
"TCGA.CJ.5672.01A",4.34057146501616e-09,0.280436454850092,1.03910186359411e-07,0.13627039108402,0.141170231608785,5.78672743299121e-06,0.442117027478912
"TCGA.B0.5104.01A",4.84262789606656e-08,0.144966876205956,1.16988104322471e-08,0.0100761590873314,0.00127137706998847,4.90855527207098e-09,0.843685522603079
"TCGA.CW.6097.01A",0.00705849648719453,0.44042595876711,0.0904458632627523,0.126785438717499,0.000546543058888623,0.145561978634766,0.189175721071789
"TCGA.B0.4700.01A",4.05056066467193e-08,0.289354634526074,0.0987027160456771,0.153163012242971,0.246099937760663,1.97508646922562e-09,0.212679656943921
"TCGA.B0.5095.01A",2.73050794030588e-08,0.485906577735463,0.203294849150571,0.0328800497933663,0.0106877451781024,0.00645541652772622,0.260775334309692
"TCGA.B0.4810.01A",6.86239625200161e-08,0.573999273668933,0.00105787420026013,0.151961865237957,0.150779664953388,0.00150241613087532,0.120698837184624
"TCGA.CJ.4901.01A",6.91544655217463e-07,0.152317871015928,3.78021776721743e-09,0.102916852697656,0.133874102206287,2.42096276109767e-08,0.610890454545629
"TCGA.CJ.4643.01A",8.50695844467306e-08,0.411721348103027,8.31583137145993e-08,0.0424700175548521,0.0101017325341461,2.57190232451717e-08,0.535706707861053
"TCGA.B8.A54H.01A",5.85501339432939e-08,0.430647449190954,4.1763483374814e-05,0.0271760547932244,0.0453033382787655,2.3162136374969e-06,0.49682901948991
"TCGA.AK.3429.01A",1.37565205952163e-07,0.166284925199096,1.79843254502658e-09,0.066906643673024,0.168869160950063,2.67827635692716e-07,0.597938862986544
"TCGA.B0.4834.01A",7.80234999044571e-08,0.0770022520128172,1.08027000093977e-05,0.00291361446197834,8.52201902560674e-09,1.18029803648187e-07,0.920073126249873
"TCGA.B0.4843.01A",0.00766207274197227,0.335865610958361,0.0433056363977119,0.00850235934786906,3.04640813676219e-10,0.0391155767944099,0.565548743455035
