"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.55.8508.01A",0.534559318472287,0.0364215424635883,0.0657011880699639,1.43800250282654e-10,1.2234384401289e-08,6.64942560686846e-09,0.36331793196655
"TCGA.67.3771.01A",0.205226972571851,1.32759093345578e-09,0.151414605501007,0.132269325140414,0.00582582625243908,3.83036787352498e-07,0.50526288616991
"TCGA.55.A4DG.01A",0.107274295124938,1.63488847716164e-09,0.0656915219473517,0.0161571533268425,0.00143326904264399,0.0172854434378815,0.792158315485454
"TCGA.91.7771.01A",0.0180423171928314,3.95237284675539e-09,0.162433259516677,0.0689400445254426,0.00199606646199382,0.0435393233437362,0.705048985006946
"TCGA.91.6849.01A",0.158656932000105,7.92423098671299e-08,0.0572461473718767,0.0226702944235175,0.00498534955041164,7.50240438180332e-09,0.756441189909375
"TCGA.64.5781.01A",0.131118555706605,9.09362133185104e-09,0.223240602224091,0.0219908308143391,0.0461868146159178,0.0196745514934613,0.557788636051964
"TCGA.44.6146.01B",1.37192583573762e-06,1.58545537362136e-08,0.138061953311616,0.0029980034503811,0.00103918718764506,1.43769235267883e-07,0.857899324500733
"TCGA.97.7552.01A",0.21043566061939,0.0391064623890786,0.0671605140969889,0.0554279615606954,0.0569399807240807,0.0529517769519856,0.517977643657781
"TCGA.80.5608.01A",0.0129850477486825,0.0352167421875901,0.0201741213585202,0.0227789346027683,0.00220522970537926,0.0239845430310545,0.882655381366005
"TCGA.91.6829.01A",8.12051083689771e-06,3.21938166097536e-05,0.580593309110234,0.0465656401131659,3.27783580732415e-07,3.11168427069692e-10,0.372800408354405
"TCGA.49.AARE.01A",0.0336814253459798,0.0284896391138967,0.0787615239624956,0.0183045539153443,3.56567841182058e-09,0.0263251995394212,0.814437654557184
"TCGA.97.A4M1.01A",1.90691891241099e-08,0.115489873200039,0.0431354530418887,0.0594553421997187,2.50542191099468e-07,0.0248296806944748,0.757089381252498
"TCGA.83.5908.01A",1.4076311333233e-08,3.92658088356642e-08,0.124816939471408,0.151875651273329,0.1179421583213,2.52690014669547e-07,0.605364944901828
"TCGA.97.8179.01A",3.36685542777803e-09,0.123364637887411,0.062777164982327,0.046064371756308,9.21901037849623e-09,0.00329030523151465,0.764503507556573
"TCGA.64.1680.01A",1.42476042858673e-07,5.54095582750166e-09,0.0502851276458315,0.0214236788940211,8.64296861697397e-08,0.00500921024093239,0.92328174877253
"TCGA.73.4670.01A",0.0128583955021175,0.0448917502582366,0.138924230757869,0.0314889259195958,2.27708117340064e-08,0.00205469186689475,0.769781982924474
"TCGA.44.3396.01A",0.192061508364092,8.61006426466612e-09,0.358220703306608,0.0898013491114491,6.13083738286544e-07,8.03225960516463e-06,0.359907785264443
"TCGA.80.5611.01A",6.50439345265821e-08,4.54421166287629e-08,0.0258101227483708,0.139668984124023,0.00107585845391749,0.024289766557293,0.809155157630344
"TCGA.53.7624.01A",0.00475772409441716,0.00703007779691894,0.032349684097947,0.0421662647238443,3.01088604582376e-09,0.0332489221724648,0.880447324103522
"TCGA.91.6835.01A",0.0360840199115977,2.03994463502122e-08,0.140194442033486,0.146429768920218,0.0181447007030822,0.142164651370759,0.516982396661411
"TCGA.L9.A50W.01A",0.0132949469076928,0.0301646638824894,0.0466797757745606,0.0221203733109497,1.13280283319163e-08,0.0203320210667213,0.867408207729558
"TCGA.86.7713.01A",0.0211413278205051,0.0101038463831494,0.0370089800663022,0.0130116562215439,8.98089474039722e-08,0.00373928519366957,0.914994814505883
"TCGA.50.5044.01A",0.0289223076100641,0.0941236273351692,0.0505111325035648,0.0670167784644072,0.0135294183386921,0.0087384409442322,0.73715829480387
"TCGA.97.7941.01A",0.00283813695375163,0.0785670938497254,0.086381158903283,0.0379649341537889,3.92703703882038e-07,0.0108801301519731,0.783368153283774
"TCGA.86.7714.01A",3.62786081371682e-08,5.83822701312761e-08,0.144072758301293,0.0321587833339652,4.67309993771146e-07,9.14302589349807e-09,0.823767887250844
"TCGA.62.8402.01A",1.91347668224468e-06,0.0159962287857414,4.84971951605584e-07,0.0817570183941035,0.0134816015315684,0.0860520785109519,0.802710674329001
"TCGA.78.7162.01A",0.0478068743908496,0.130219184651279,0.0617749927640789,0.0280996752886704,0.01189222058342,0.0277358043989926,0.69247124792271
"TCGA.49.AAR0.01A",0.060843326878706,0.074281589841276,0.0349933393149594,0.104186916701189,0.000561233843998708,0.0519258356710459,0.673207757748825
"TCGA.35.4122.01A",0.0178107638790184,3.01171244838137e-08,0.223515939713008,0.263308873683406,0.0401608857111079,2.98204433169437e-08,0.455203477075891
"TCGA.55.7726.01A",1.32747659028314e-07,4.48247336188429e-08,0.302425778909727,0.0138853348167363,1.65799910418189e-05,2.4192845456631e-08,0.683672104517257
"TCGA.62.A46Y.01A",1.3475381232178e-09,0.013134664319204,0.019455436998199,0.0781409264618723,0.00492752286049952,0.0337247350326955,0.850616712979992
"TCGA.55.6980.01A",7.85992253621976e-08,0.0361054967731812,0.240219147578184,0.0323856719201442,5.89502188146334e-08,0.0516976130222076,0.639591933156839
"TCGA.05.4430.01A",1.36390035229513e-07,1.5764678409059e-07,0.349750015280437,0.0861277892173121,0.000174097169703753,5.0300231682537e-07,0.563947301293411
"TCGA.67.3772.01A",0.0641217924947109,3.55689854841664e-09,0.293385758882343,0.0286016160041197,3.34466571938657e-08,2.02683397827962e-08,0.613890775346931
"TCGA.MP.A4SY.01A",5.33086255511246e-08,5.00465829724335e-10,0.278706184092577,0.0869534788199072,7.78426234945674e-05,2.98896733465282e-08,0.634262410765256
"TCGA.78.7148.01A",3.58688989915663e-09,0.00848490813194761,0.0696064300788965,0.0242384811916881,0.0111014546513425,0.00256822704078908,0.884000495318446
"TCGA.35.3615.01A",0.00723390348752719,8.85979049685703e-09,0.0541579728468549,0.0296459951264444,0.00330519601882982,2.00426027543793e-08,0.90565690361795
"TCGA.55.A493.01A",0.0208959600984472,0.0131457725704643,0.0806017699840503,0.0733310160011287,0.0235538993530892,0.0634960314016434,0.724975550591177
"TCGA.49.6744.01A",0.084955755809967,1.32895326368165e-07,0.244341163206036,0.103579421023406,0.000217877394564296,0.0637912392777341,0.503114410392967
"TCGA.49.4494.01A",3.36260369768833e-07,3.62781016475724e-08,0.0621950249020432,0.0644942768181631,0.0146834233097832,0.0138708272853409,0.844756075146198
"TCGA.78.7143.01A",3.87608422767799e-08,0.0068205735073429,0.0365262586015508,0.0427076260841755,6.26452813256172e-08,0.0319244789448254,0.882020961455982
"TCGA.99.AA5R.01A",0.159679350141182,0.243221671002705,0.068269436795909,0.0534797741867304,0.0187295665795633,0.0853673620171691,0.371252839276741
"TCGA.55.8085.01A",0.0472374164847092,0.0104124393455233,0.0434243221795978,0.06027538111279,0.00921793584189799,0.049987388048403,0.779445116987079
"TCGA.44.8117.01A",0.00486677870098364,1.47878580490052e-08,0.137448391688555,0.0337148841125728,1.34828249635555e-05,5.42324015681755e-08,0.823956393652665
"TCGA.55.8506.01A",0.0154438895494349,0.0207410350893897,0.085596629396494,0.0462389401883678,5.03812731227092e-06,0.0249103480426613,0.80706411960634
"TCGA.NJ.A7XG.01A",0.000185711150193196,0.032233945530752,0.0109413178224913,0.00939925821049222,9.58110439263491e-09,0.0165026838707045,0.930737073834262
"TCGA.05.4384.01A",5.04630343567586e-09,0.0352260268626085,0.0752136792582199,0.0602024086699578,1.79139560538322e-07,8.51335469109702e-05,0.829272567476439
"TCGA.64.1679.01A",3.59588448209641e-05,2.49902893519449e-07,0.3090323125612,0.0586910677232986,1.31786516025588e-08,4.58019273701913e-07,0.632239939769862
"TCGA.73.4666.01A",1.36602804129177e-08,1.79306801196277e-07,0.0232711258653414,0.313308389763902,0.108096052452407,4.87049277658161e-07,0.55532375190199
"TCGA.55.8616.01A",0.0331090948840963,4.4738482412908e-08,0.0799696735223649,0.0165560684299844,4.42181254202469e-08,0.0143988617494104,0.855966212457536
"TCGA.38.6178.01A",0.00693274408095247,3.84084376440207e-08,0.252376453385291,0.036273458880079,9.07057523205517e-08,3.16488037417232e-05,0.704385565735746
"TCGA.93.7348.01A",0.16788634806014,4.76236015609886e-09,0.170919840137278,0.0103992197598307,1.95889954797976e-05,5.59270610744063e-09,0.650774992692205
"TCGA.55.1594.01A",0.0734758151296711,1.40959830494748e-07,0.0695479833312279,0.048826953084646,0.00453640569482206,0.0120147112887992,0.791597990511003
