"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.A5.A0R8.01A",5.60419321247881e-07,0.0771912698788439,0.0255582469574174,0.0252894439548091,1.20525773251612e-07,0.0376859007615801,0.834274457502255
"TCGA.A5.A0G3.01A",0.0195537584447595,0.146856873340054,0.0207493782429519,0.00702473127388101,3.23690247679607e-09,0.055394341706616,0.750420913754835
"TCGA.AP.A054.01A",0.00743269442845985,0.0368800495285405,0.0174991280966405,0.00674193074708618,0.00428092527430343,0.0167134988629305,0.910451773062039
"TCGA.A5.A0GX.01A",5.27306003577067e-07,0.333220989988749,0.0241245908202724,0.0244402930444563,5.02308208088588e-07,0.0420182134587952,0.576194883073516
"TCGA.DI.A2QY.01A",0.00998738495789312,0.0621110240657286,0.0141443777590757,0.00320986186460619,3.78693294148028e-10,0.0255618308478131,0.88498552012619
"TCGA.EY.A1GC.01A",0.136774128312858,1.38675863465437e-07,2.08788068188704e-08,0.0930716178356776,0.0209845499294306,0.00507528769911868,0.744094256668245
"TCGA.A5.A0GI.01A",0.000283676260696874,0.0720450275997932,0.0194219096879608,0.0138036359496542,1.27784219988615e-08,0.0291396508087116,0.865306086914761
"TCGA.D1.A17S.01A",0.0235412006102282,0.0124280921947011,0.0151182723991829,0.00612138358113448,2.16370299022533e-08,0.0195899635281826,0.923201066049541
"TCGA.EY.A5W2.01A",0.0293396069763039,0.0700786741115885,0.0552089189613388,0.0228989574637266,4.45766372209688e-08,0.0685503064524268,0.753923491457978
"TCGA.D1.A1NU.01A",2.18655618203634e-08,0.0527037744921771,0.00857953496413742,0.0282518526228121,3.58897238132837e-05,0.0263703706731511,0.884058555658347
"TCGA.BG.A18A.01A",2.15441850608231e-06,0.28018879167495,0.0682993079291646,0.0214292040817925,3.32327490335761e-08,0.0509143987973479,0.57916610986549
"TCGA.AX.A06B.01A",0.0182007632451663,0.166519034412767,0.111735955697694,0.0191591012525889,1.75158948126191e-09,0.0571570561266969,0.627228087513497
"TCGA.E6.A2P9.01A",1.04853837822115e-07,1.45929419782727e-05,0.08525944919582,0.014966980071213,0.0166488007740942,2.03411617226075e-06,0.883108038046885
"TCGA.PG.A917.01A",0.00877053385406805,0.0588640788988697,0.0436901550978774,0.0455329632702168,0.00572784323901327,0.0846975275419123,0.752716898098042
"TCGA.AX.A3FS.01A",0.00633457575183419,0.107125998738518,0.124291206379939,0.00953619943400248,4.80404893650631e-09,0.0219344382871379,0.73077757660452
"TCGA.A5.A2K4.01A",1.17673463909625e-07,0.0282904823142774,0.0772887788767295,0.0281736987487959,1.28229284911015e-07,0.0136124838961677,0.852634310261281
"TCGA.D1.A1O0.01A",0.010707436288302,0.0215722288206022,0.0220717508121383,0.0126910942723362,7.48357024923163e-07,0.0175879806356696,0.915368760813927
"TCGA.B5.A0JS.01A",0.0122892736861611,0.0486853024132461,0.0574891867444416,0.0247264502110348,0.0720395906971243,4.20205007307258e-07,0.784769776042985
"TCGA.AX.A1CE.01A",6.54519472399599e-09,0.0260515357531467,0.0166156428117338,0.0114979771129633,0.00041668573339317,0.014865839556027,0.930552312487541
"TCGA.D1.A17F.01A",2.8740897404787e-08,0.0178238475156804,0.00258532271090675,0.0241861316029541,3.21609021154918e-08,0.0285465110050322,0.926858126263627
"TCGA.EO.A3AV.01A",0.110320680055676,0.101997807144325,0.0365911060102292,0.0292096101434246,0.0728624953256857,0.014652822656477,0.634365478664183
"TCGA.D1.A17B.01A",0.0123565589444974,0.140756052324058,0.0233329285537728,0.0703827912608191,0.0189364386916145,0.00962945606184621,0.724605774163392
"TCGA.E6.A8L9.01A",1.26344319576196e-07,0.0138582035752783,0.169351409518999,0.0426884434581359,0.0454497743644687,1.81728389082978e-08,0.72865202456596
"TCGA.EY.A547.01A",0.0111103042224554,0.0232990046935335,0.00121450822984369,0.014068024670618,3.32410712420652e-09,0.0355807301352514,0.914727424724191
