"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.C5.A7UI.01A",0.0102722374851188,0.0669260081997276,0.0466184383135627,0.0136914990488299,0.0298580476188674,0.000553480211013719,0.054270208373735,0.777810080749145
"TCGA.C5.A902.01A",2.04031678008776e-08,0.0973657615836108,0.0472803413915886,0.00579023198994598,0.0141920550228828,0.000259716624482234,0.101517269346703,0.733594603637619
"TCGA.DS.A1OB.01A",8.22480817948097e-09,0.0815434316902318,0.0262338922891077,0.0142510130600759,0.027974081638098,0.00014199281297772,0.0037175340975695,0.846138046187131
"TCGA.Q1.A6DW.01A",1.57415597195584e-07,0.253040347273603,0.0754791562761931,0.0226072204595509,0.0166129805148599,0.000138591436540032,0.00749758085529242,0.624623965768364
"TCGA.EK.A2R7.01A",0.00749076977528175,0.237654708819595,0.0510387321694069,0.0239216012699318,0.0188919514232122,0.000476127074117838,0.0311821673385051,0.629343942129949
"TCGA.C5.A7X8.01A",0.054617829493763,0.131180899075044,0.108493195617332,0.098373935191848,0.0117049089963777,0.00160739588746617,0.0120753788485857,0.581946456889583
"TCGA.Q1.A5R3.01A",1.44558196010375e-08,0.315310088071032,0.0707541667819072,0.0130062317052097,0.0230066478822299,0.00170525886519525,0.0414279994587375,0.534789592779869
"TCGA.C5.A7X5.01A",2.5145855843712e-10,0.0803505840316034,0.0287492891379093,0.0126944808325429,0.00930736124722276,2.17706330359067e-05,0.00262278324348347,0.866253730622744
"TCGA.ZJ.A8QR.01A",0.00599124982850254,0.15208317356626,0.0473681281833595,0.00600265633073018,0.00831018028133265,0.000325010399537642,0.00210724952855938,0.777812351881719
"TCGA.HM.A3JK.01A",0.0127916751588113,0.292266758732349,0.154158042088813,0.178659804632664,0.0405440468811689,0.000907664406551694,0.0173986550662425,0.3032733530334
"TCGA.EA.A556.01A",1.05400193277886e-07,0.104292840361736,0.0578319459083715,0.13111700832288,0.0122862823075112,0.000246942186717119,0.00261168286459115,0.691613192648001
"TCGA.VS.A9V4.01A",0.000616073453169672,0.0554151170179717,0.0234208260731951,0.00542232425944377,0.00243011902283139,9.2967306770145e-05,0.0037663011778985,0.90883627168872
"TCGA.IR.A3L7.01A",6.76359546295883e-08,0.220075587855403,0.04291382146099,0.0237374062153975,0.0102011794162399,0.00014815459035242,6.82139031283374e-08,0.70292371461176
"TCGA.EK.A2RL.01A",5.11402966512024e-08,0.125844677873002,0.0304608743799346,0.0229896390015506,0.0058676382844804,3.60151278217741e-05,0.00995764560910406,0.80484345858381
"TCGA.VS.A94X.01A",9.05757824871162e-08,0.832254366893192,0.115723555963683,0.0131005328006828,0.0385529783073787,0.000122521967758929,0.00024589382748326,5.96640394225282e-08
"TCGA.VS.A9V3.01A",1.35466442295301e-07,0.198013861778784,0.056285145370243,0.015970217883992,0.0419380113696556,0.00061874242449141,0.0191928596708003,0.667981026035591
"TCGA.EK.A2RO.01A",3.46465108162654e-07,0.0397139946139104,0.0405257214337069,0.0745070125175515,0.00895862033236325,6.9185460676122e-05,0.00563891459698929,0.830586204579694
"TCGA.JW.A5VJ.01A",2.85164109677582e-08,0.132079207948326,0.0334495497773284,0.00942259416659054,0.0169066560435745,0.000165682270413136,0.00201205867428145,0.805964222603075
"TCGA.MA.AA42.01A",0.0475311325047211,1.99722638130326e-08,0.012190039680888,0.00915192455198758,0.225368861786659,0.000221218708109602,0.294766882208293,0.410769920587078
"TCGA.C5.A1MK.01A",2.44075865619175e-08,0.0659853458551404,0.0451590555106229,0.0808545104405205,0.0162982918441791,0.000109795460833222,0.00844950927818483,0.783143467202932
"TCGA.UC.A7PG.01A",2.34099991512544e-08,0.174919642459721,0.0514501490548253,0.016087747544996,0.0117937674416922,0.000533562420926781,0.00398518636310119,0.741229921304738
"TCGA.VS.A9UH.01A",0.0102133793698674,0.348298778339536,0.14133558886855,0.0550100720235468,0.282361220658926,0.000489248541733291,0.0882718813189843,0.0740198308788569
"TCGA.4J.AA1J.01A",2.30948239379661e-08,0.138579100516334,0.0662998908136088,0.0626201661728696,0.00942621535400633,0.000566656730688962,0.00454428901447255,0.717963658303196
"TCGA.C5.A1ME.01A",1.25984979556254e-07,0.162182011504541,0.044124816192559,0.011374911346269,0.0122498007288452,0.00151186954994584,0.0259145312428587,0.742641933450001
"TCGA.C5.A8YR.01A",2.04888084984314e-08,0.0674179749896267,0.0527246700655917,0.0156412615346379,0.0670511566686591,0.000186328949573355,0.0377598862550169,0.759218701048086
"TCGA.EA.A5FO.01A",3.74016205120767e-08,0.167115409432792,0.0337951722267742,0.00376377887550456,0.00587244683140185,3.64750539384386e-05,0.0019173432366705,0.787499336941298
"TCGA.MA.AA3Z.01A",2.35224514412597e-08,0.192236004558259,0.0398945572353886,0.00578887833143115,0.0225644050016407,0.000129350041607782,0.0614716322435706,0.677915149065651
"TCGA.C5.A8XJ.01A",0.00436356786974003,0.137390390127327,0.121299624708876,0.0568060103262457,0.0208531269153963,0.000176140032581241,0.0234943622929498,0.635616777726884
"TCGA.R2.A69V.01A",0.0437456189275256,0.0392618132939881,0.0689823180386432,0.0370217811796982,0.37773544768289,0.00188281149078828,0.221546093410609,0.209824115975858
"TCGA.C5.A1BM.01A",5.01626070928568e-08,0.187300893580604,0.0490069748153084,0.0117606625349847,0.0842465373441936,0.000112809572996803,0.00587009624515206,0.661701975744153
"TCGA.ZJ.AAXD.01A",3.89917884682301e-08,0.233003950064785,0.0656434035880988,0.0433954249053144,0.00955564768713152,0.000420265575549048,0.00623470538844007,0.641746563798893
"TCGA.HM.A4S6.01A",5.8162789197159e-09,0.237028588021746,0.0649134468401454,0.0280673326447809,0.061296726419909,0.000124530368236487,0.0288791954039777,0.579690174484925
"TCGA.EA.A5ZF.01A",2.91354054461318e-08,0.250876176236072,0.0943981874885593,0.0826407101347588,0.0164481089615891,0.000218131475047873,3.62478735452577e-07,0.555418294089832
"TCGA.C5.A1M6.01A",2.0606736825463e-10,0.280482861789916,0.0723187092874152,0.0245412534325495,0.00933756437847614,0.000155910219717034,9.90701994185674e-08,0.61316360161566
"TCGA.DG.A2KK.01A",4.57664210256499e-10,0.436666372727332,0.0779476955718262,0.0132099928262676,0.0270902673541107,3.8709535698928e-05,0.00828880948877142,0.436758152038328
"TCGA.HG.A2PA.01A",4.06767829635326e-07,0.357757295744303,0.0850162043853987,0.041862030754585,0.0196188257774804,0.00192767149180018,0.0293242820539294,0.464493283024673
"TCGA.VS.A8EH.01A",1.02567468068398e-07,0.646285909589125,0.0976951151425786,0.0105560416309142,0.0278901023492827,0.000544510977389994,3.30394221591501e-08,0.21702818470382
"TCGA.FU.A5XV.01A",2.25214690868058e-07,0.311616589449623,0.0568060449156735,0.0424588269817999,0.015391609413942,0.00133722642288295,0.0033709703622199,0.569018507239168
"TCGA.C5.A1MF.01A",0.00817426164837256,0.083108099972134,0.0366733803714798,0.0147608248677914,0.0244080627532026,0.00118072380877275,0.0209429464937603,0.810751700084487
"TCGA.EX.A449.01A",2.47725425067926e-07,0.331894128359847,0.0352854467593206,0.0100390230141255,0.0070053680592881,7.00741553004449e-05,0.0113450112306217,0.604360700696072
"TCGA.C5.A2LX.01A",0.0188612176204498,0.0533763061777708,0.0368029693067654,0.0172160880146343,0.051071602562266,0.00550963833991804,0.1321460375572,0.685016140420995
"TCGA.HM.A3JJ.01A",2.33138927198218e-08,0.246591239603598,0.0917391412411828,0.0863223301023622,0.0425094481247578,0.000974631620055143,0.0142328927505966,0.517630293243555
"TCGA.LP.A4AW.01A",0.0166034162617533,0.129134147475556,0.20244532745049,0.146513579625351,0.0107953696277613,0.00100838511656834,0.0149125737208594,0.478587200721661
"TCGA.C5.A8XH.01A",1.9140152847698e-08,0.133387545487509,0.035417050002685,0.0105490317341454,0.0311062030810681,0.000320950280878469,0.0187276494560923,0.770491550817469
"TCGA.EK.A2RE.01A",5.09903658725568e-08,0.165222654999822,0.0329472086281323,0.0132863980044135,0.0059937182002888,6.82566016809588e-05,2.41261347463111e-08,0.782481688449162
"TCGA.EK.A2RC.01A",3.70626759614917e-08,0.198355998729849,0.0482519755116052,0.0480273614673643,0.0341835772235693,0.00083894499597355,0.0340867902618581,0.636255314747104
"TCGA.EA.A3HU.01A",0.0141138725059739,0.126145149737539,0.0599716259030942,0.0186426963480008,0.0825129897250079,9.96819846694715e-05,0.165741604864477,0.532772378931238
"TCGA.EK.A2PI.01A",2.39030758927061e-08,0.139555326689623,0.0375048901294655,0.0363275647948932,0.00848596417113407,0.000346405068074751,0.0048705508025331,0.7729092744412
"TCGA.EX.A8YF.01A",0.0321296208072391,0.16195148607863,0.0445744709116714,0.0131353995724445,0.0268764735852774,5.79991714878122e-08,0.045380508565767,0.675951982479799
"TCGA.C5.A7UC.01A",1.75721657025032e-08,0.265595486329582,0.0596815015264531,0.0189937834822999,0.00924131854089469,0.000188806241626086,4.59605908158664e-06,0.646294490247897
"TCGA.EA.A3QE.01A",0.0112568553492599,0.153569713947075,0.040364841189956,0.0163288541280107,0.0345979930512562,0.000453585326121293,0.0722576799712831,0.671170477037038
"TCGA.EA.A4BA.01A",4.80132564124186e-08,0.12726916712419,0.0734576612943367,0.0408101875572273,0.00584916753711723,0.000489344367379359,0.000312659651127411,0.751811764455366
"TCGA.EA.A411.01A",0.0106789968670805,0.109193998197174,0.0936253735808293,0.0946087870133663,0.0136357309915635,0.000811088065900761,0.0100902312031306,0.667355794080955
"TCGA.IR.A3LL.01A",0.00234366421898153,3.10824568793318e-08,0.0141763551265498,0.00402575170381769,0.0991808388838228,0.00655836183268345,0.0732532448921467,0.800461752259541
"TCGA.IR.A3LF.01A",0.00492744399739866,0.0834637060470465,0.0419272025804766,0.0277003154635677,0.00930647074245206,0.000708394239711646,0.0214920500290631,0.810474416900284
"TCGA.EK.A3GJ.01A",1.6863891715767e-08,0.0546969668042165,0.0187902182670616,0.00581592975799036,0.0673381350592804,0.000103875129639203,0.0402625706805365,0.812992287437384
"TCGA.ZJ.AAXI.01A",1.52708463579851e-08,0.155778295902385,0.0227895943173486,0.00356527552474926,0.00717753344686032,2.26891669824242e-05,0.00392993071378629,0.806736665657042
"TCGA.C5.A1BI.01B",0.00406473873878188,0.185468865889701,0.0486238331557422,0.0305132645117343,0.0322433061151999,0.000487880303095894,0.0295133751021095,0.669084736183635
"TCGA.EK.A3GK.01A",7.00191511807492e-09,0.138312745573925,0.0272154546130592,0.0058876989373051,0.0136528628865069,0.000323524173023884,0.019855859799194,0.79475184701507
"TCGA.EA.A3HT.01A",5.58668266170566e-09,0.380933257650803,0.0920207995895188,0.0891647667996581,0.029048265951534,0.000663782700824953,0.00202287759894121,0.406146244122038
"TCGA.C5.A2M1.01A",3.79494635966927e-08,0.286145602165053,0.0564025854526464,0.0102034788159872,0.0556129059208248,0.00024071286160366,0.0393896179533167,0.552005058881105
"TCGA.VS.AA62.01A",1.78007991029724e-07,0.427185092920137,0.0874550492989261,0.0244670281451281,0.0537106801855698,0.000495408003591741,0.0551143279225485,0.351572235516108
"TCGA.JW.A5VL.01A",1.34018477916063e-08,0.0977219276409319,0.0379607238469258,0.00695602855229074,0.0644737601270534,3.67820744298066e-06,0.0379535712526396,0.754930296970868
"TCGA.EK.A2IR.01A",8.78376589047739e-08,0.0338068392773227,0.0212438971525545,0.00631648134985903,0.00417719269869254,5.06679575293772e-05,0.00207685527093314,0.93232797845545
"TCGA.VS.A9UD.01A",0.0102059991239514,3.6551530553841e-08,0.0254714493081341,0.00282519563276769,0.188093528153922,0.00081340714473003,0.168664372089502,0.603926011995462
"TCGA.VS.A9UR.01A",3.99615342905776e-09,0.252680449020291,0.0499242864917374,0.011579551917523,0.00851410658566808,0.00015268909429393,0.00543287330517323,0.67171603958916
"TCGA.FU.A3EO.01A",1.16348866914297e-07,0.197494584037153,0.0448418667800723,0.0177999233851704,0.027926801719423,0.00046335846086926,0.00582627471089571,0.705647074557549
"TCGA.JX.A3Q0.01A",4.82516745869318e-07,0.0810408216079462,0.0338323643687128,0.00829541519286171,0.0452813956472705,4.48008381008103e-05,0.0261857836282113,0.805318936200151
"TCGA.VS.A8QH.01A",2.51683967334909e-08,0.0546597383060295,0.0177026180797557,0.00788238907682461,0.00278476958994395,8.87178472330069e-05,0.00200783785468181,0.914873904077135
"TCGA.EK.A2RM.01A",4.57981133694226e-08,0.170517037411426,0.0684573777594919,0.0758340702395119,0.0132868798817333,9.10000052692463e-05,0.00242435983401342,0.66938922907044
