"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.CV.5442.01A",1.1581764566942e-08,0.243223775511393,0.0382038378608685,0.00340709488414433,0.00921041783911093,7.80933031479118e-05,7.66596697468644e-06,0.705869103052596
"TCGA.CR.7392.01A",0.0251380905859957,0.32037011871882,0.165966046668404,0.119424423616383,0.0358952688043387,0.00245007275938926,0.0262932146651449,0.304462764181525
"TCGA.UF.A71A.01A",1.43915857400665e-08,0.139963985829062,0.0831688769341794,0.053208339860546,0.012266236680205,0.000226201760953214,0.00470764742818834,0.70645869711528
"TCGA.CN.A642.01A",4.77810361132003e-09,0.255020716464147,0.078743165801325,0.0256837689522205,0.0515520566054615,0.00106195321595211,0.0205040270428634,0.567434307139927
"TCGA.CV.A45U.01A",2.67802270918003e-08,0.26760092557448,0.0490161320341574,0.0229322053556571,0.0177709431302039,0.000548369227406107,0.0240188188783657,0.618112579019503
"TCGA.CN.6012.01A",0.0276619729125164,0.193188260270634,0.139728723270569,0.0357603782893252,0.0379079129695053,0.00029389892568304,0.018292863155172,0.547165990206595
"TCGA.CV.A45W.01A",0.161286132504241,0.278189257954723,0.116715640771722,0.0347040510776157,0.042286214837044,0.000835129624683314,0.0234625093150561,0.342521063914915
"TCGA.CV.A6K0.01B",0.00191616926160455,0.108986035902442,0.0873486001221703,0.0476069152632375,0.0224871189307389,0.00034173359817515,0.0325905674521324,0.698722859469499
"TCGA.QK.A6VB.01A",8.4035935348921e-09,0.0862849472210454,0.0516759114259343,0.0280856487518217,0.00621419471631054,2.76938817593849e-05,0.00317322370238158,0.824538371897154
"TCGA.CV.6959.01A",5.72964761516149e-07,0.160540386304466,0.0799559851629673,0.020657394140371,0.0222700619566846,0.00039564115198012,0.00468432047421031,0.711495637844559
"TCGA.HD.7832.01A",7.05224787593628e-10,0.126781288881871,0.0423794474359053,0.0168279003653299,0.0401437001371385,3.41464429560474e-05,0.00429850045297759,0.769535015578597
"TCGA.CV.7255.01A",1.66627533117677e-08,0.19090902988906,0.0584287341368532,0.0100133531534369,0.00716691226124199,0.000168494765288987,2.2956934416722e-07,0.733313229562021
"TCGA.CR.5243.01A",0.0322373006089754,0.106385731451885,0.0913383951191584,0.0536863285651711,0.0108887282008464,0.00123738858362849,0.0375876456076993,0.666638481862636
"TCGA.P3.A6T5.01A",3.68333384241275e-08,0.123201073569579,0.0546069338042778,0.0278874984707609,0.010441211353829,0.00024087177084369,0.00506533396016864,0.778557040237203
"TCGA.CV.6952.01A",9.78171838386059e-09,0.0789808732542323,0.0382789058394295,0.0102309325821674,0.0148155482878886,0.000310376596246433,0.00836005825378941,0.849023295404528
"TCGA.D6.A6ES.01A",8.31987514257739e-09,0.0468982293163962,0.0218967570732161,0.00452782763396129,0.00611347946210834,0.000173203412788929,0.00357758282273392,0.91681291195892
"TCGA.CN.5366.01A",9.44246211503667e-09,0.158679683882427,0.077878626212268,0.0469895733716738,0.0297881357764203,0.000275607901673749,0.0131461112011423,0.673242252211933
"TCGA.CQ.6223.01A",5.03810655509277e-08,0.306157521436222,0.0525458938415895,0.0133275772167496,0.0179349982367038,0.000853799681532828,1.54687520248179e-07,0.609180004518617
"TCGA.F7.7848.01A",0.0268278425416528,0.0965445932023902,0.0908786491988485,0.0354191581916671,0.0214183043129141,0.000373426987888322,0.0237808922748465,0.704757133289792
"TCGA.CV.A6JM.01A",2.2243774931469e-08,0.175766409734132,0.0457733929378897,0.0107907290192171,0.0166540879047136,0.000250294647019701,0.00720486440145946,0.743560199111793
"TCGA.CN.5359.01A",5.29916978562461e-08,0.528587002764117,0.209037965713904,0.121306494118378,0.0669755207803717,0.000645114658503342,0.0279710423856732,0.045476806587355
"TCGA.P3.A5QA.01A",4.89143885130773e-08,0.435522077145745,0.11982278927928,0.0799199650998067,0.0130702029899162,0.000137613991952607,7.85925875734454e-07,0.351526516653036
"TCGA.CN.4734.01A",2.20841323230807e-07,0.329159277244135,0.0871006831969929,0.0301131861832147,0.026549787724979,0.000389665460661435,0.0212685359489482,0.505418643399745
"TCGA.CV.6441.01A",4.82636426770425e-09,0.081636765698589,0.0127279003712485,0.0660838113561103,0.0103340290217289,0.000123207914555693,0.00772740337603174,0.821366877435372
"TCGA.CV.A6JY.01A",6.08130271120281e-09,0.106594473685782,0.0439311030008617,0.0111524550714187,0.00559079053176661,0.000670062079269214,0.000945963319743018,0.831115146229856
"TCGA.D6.6825.01A",6.7658563876217e-08,0.120093234435788,0.0894760050998531,0.0394271388616771,0.041506164796325,0.000829852504620319,0.0382272019843958,0.670440334658777
"TCGA.CR.5247.01A",4.47913045959157e-07,0.147865732362431,0.079888961648983,0.134803917565624,0.00667900004920885,0.00045841076551581,4.20986476861329e-09,0.630303525485327
"TCGA.CV.7410.01A",0.203034135179193,0.176931066848597,0.124266101303476,0.0394616055399004,0.0371738414416872,0.000445562855768467,0.0588770212423194,0.359810665589058
"TCGA.CV.7091.01A",3.03508012747387e-08,0.201138305219447,0.069707638766927,0.0416236224619874,0.0140953866680106,0.00032664374863203,0.0131901952699769,0.659918177514217
"TCGA.BA.5153.01A",0.0351448362922657,0.0735037696164922,0.0876248217380831,0.0213356089042217,0.0226398933362752,0.000413372731037655,0.077008579786092,0.682329117595532
"TCGA.CV.7428.01A",1.13266744891045e-08,0.152470593286901,0.0616434046446328,0.0174163619068847,0.0270270758959332,0.000290054202013879,0.0223405607204555,0.718811938016504
"TCGA.CX.7086.01A",3.14909754327802e-08,0.132554365124096,0.0485202073013055,0.0277169875594236,0.0118493540438734,7.45920624575304e-05,0.00317625231124508,0.776108210106624
"TCGA.CN.5364.01A",2.01836662273181e-07,0.106774418261819,0.0677186552698319,0.0190554232773188,0.025240702229995,0.000276330461767823,0.0047197871537567,0.776214481508849
"TCGA.BA.A6DB.01A",0.00413431667795266,0.147247561671618,0.0624292886576731,0.0462185577097229,0.0247228163802752,0.00222567404045726,0.0528506166595282,0.660171168202773
"TCGA.CQ.5325.01A",0.0890445620406853,0.0857173634717387,0.0884568230526508,0.0701069951377779,0.0859764170148398,0.00141361106954961,0.0570148257997682,0.52226940241299
"TCGA.CN.4731.01A",1.14876960112623e-07,0.266894698771322,0.0473628103400097,0.120704253311163,0.0120582030716334,0.000226135722800015,0.0039290751914373,0.548824708714674
"TCGA.CV.7427.01A",9.75121352529458e-09,0.0923304690781854,0.0438080952284952,0.00832087291062652,0.0376208457716378,0.000217193487189089,0.0261930915909417,0.791509422181711
"TCGA.CR.6467.01A",0.0844583872474028,0.150733113600887,0.0638802075471095,0.017804401308162,0.0302736625803665,0.000594546559262073,0.0925179742855876,0.559737706871223
"TCGA.CV.7183.01A",3.83216858661518e-09,0.059297186433093,0.0583716710458283,0.0151582018151792,0.00262229785574072,9.21247316405897e-05,7.04802187053865e-05,0.864388034067644
"TCGA.CV.A6JN.01A",1.307406285894e-08,0.0371967559742912,0.0260336936072421,0.00482401055920966,0.0135263062908161,0.000182683022344423,0.0109162471020353,0.907320290369998
