"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.V1.A9OF.01A",0.000895462740249331,0.0462757578217124,0.0553650267722378,0.0131159466712534,0.0103349163715879,0.000465397636539946,0.00255157325328165,0.870995918733138
"TCGA.ZG.A8QX.01A",0.0218612007887743,0.0307235487172019,0.0610184693354882,0.0659503333187532,0.00456929836072373,0.000279295094298898,0.00685782458494899,0.808740029799811
"TCGA.YL.A8SC.01A",0.00411231259193355,0.0587924207162517,0.0715524818752657,0.0299164633717091,0.0269740732859246,0.000731045987990677,0.0107222287381905,0.797198973432734
"TCGA.HC.7817.01B",0.0144470240600068,0.112405972892221,0.143648800842867,0.107855365604739,0.018879807485794,0.000679289296692096,0.0130815934948366,0.589002146322844
"TCGA.KC.A7F6.01A",0.00873378967860653,0.0463629799182668,0.0779492348721592,0.0421950082362059,0.00597959807961496,0.000446093807624008,0.00733080470175072,0.811002490705772
"TCGA.KK.A7B4.01A",0.00755815001425425,0.0319089520528452,0.054460589047707,0.0334141766810509,0.00971754135833574,0.000225528560763965,0.0103442286825353,0.852370833602508
"TCGA.G9.6366.01A",0.00307733614094184,0.0763377132958662,0.0654860931464129,0.0220220584254516,0.0033845416251371,0.000356688268523509,0.00412174992139422,0.825213819176273
"TCGA.KK.A59X.01A",0.00306513818604979,0.0394008358410841,0.0658650462540718,0.0446302959633662,0.00844855599404348,0.000270707566209619,0.00235576389454335,0.835963656300632
"TCGA.HC.A6AN.01A",0.00762940625573836,0.0253287436993633,0.0689090999098684,0.0376497537904939,0.00952871471210117,0.00035827557297899,0.0047893004992468,0.845806705560209
"TCGA.G9.6498.01A",0.0224821655363707,0.0127629713823717,0.0949600302025792,0.065206284131773,0.00539235653591457,0.00145964594776778,0.0156899083088255,0.782046637954397
"TCGA.J4.AATZ.01A",0.00136577963732603,0.0398958783025442,0.0454952251814456,0.0152099384646767,0.00562335179381905,0.00011457909504545,0.00370018598779544,0.888595061537347
"TCGA.EJ.7317.01A",0.00419104910462452,0.0361181414230998,0.0692068148119437,0.034694946854724,0.0040702575161025,0.000466206313488226,0.00155171759798578,0.849700866378032
"TCGA.SU.A7E7.01A",0.00733146797310195,0.0566244448084848,0.0822797272028447,0.0384390888427364,0.0117992211270652,0.000538068213631775,0.00982922430042509,0.79315875753171
"TCGA.XJ.A83F.01A",0.0085254467550667,0.0198908779458179,0.0868832332403929,0.0442324055676967,0.0035306458904627,0.000331066006382921,0.00219116441573649,0.834415160178444
"TCGA.2A.AAYO.01A",0.0369843918831855,0.0111218141537825,0.0866015347130516,0.0703890809784905,0.013469797884898,0.00226944613477357,0.015431453714815,0.763732480537003
"TCGA.EJ.A46B.01A",0.0150370712434803,0.0677725410100538,0.113601438053949,0.0711568260839885,0.00521300285330782,0.000339026931413901,0.00377851289528545,0.723101580928521
"TCGA.QU.A6IN.01A",0.00749704916237323,0.0835478107451,0.0419942736283891,0.0292791306583168,0.00155081725090498,0.000194727301459853,0.00199572324156521,0.833940468011891
"TCGA.KK.A59Z.01A",0.00968733325763708,0.0378216196662228,0.0909010789110054,0.0541703526593549,0.00789129704348264,0.000407392429621781,0.00345903977702435,0.795661886255651
"TCGA.XK.AAJT.01A",0.0225347898753468,0.0304457088328231,0.137393259506068,0.0889414636619215,0.0132951305132509,0.000434550441538592,0.00616374673321203,0.700791350435839
"TCGA.EJ.7125.01A",0.00476916288000205,0.0675971704027656,0.0785560345821203,0.0548331447523885,0.0101323943467426,0.00134085024600921,0.00282348429202639,0.779947758497945
"TCGA.J9.A52C.01A",0.0214474930467529,0.0966055068018579,0.215256235309647,0.143390929203888,0.0185465961615733,0.00145878336627062,0.0155727721165676,0.487721683993443
"TCGA.YL.A8HL.01A",0.000643721782638976,0.050776793874858,0.060937061279661,0.0152634259739668,0.00457625670731483,9.62478446085051e-05,0.000523236830992414,0.867183255705959
"TCGA.ZG.A9LZ.01A",0.00482461361301409,0.0419310063061743,0.0497923094673745,0.0312445166408951,0.00981948664869158,0.000260248981388067,0.00762898750041536,0.854498830842047
