"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.HQ.A5NE.01A",0.0398267450860332,0.00971341824931542,8.7317092921567e-07,0.232218526043287,0.00115143743261304,0.0483930357700699,0.000129827812875787,0.00105807543750198,0.117847374090462,0.00109406241754112,0.44316770772859,0.105398916760782
"TCGA.FD.A5BT.01A",0.179861440200029,0.0419457486549205,0.0433262230019275,0.245934948929791,0.00328564846164762,0.267760183071979,0.164994871690446,0.00399814866583269,3.63741413424742e-06,0.0473371167114406,0.00155197308648255,6.01113703295768e-08
"TCGA.DK.A3IQ.01A",0.00142646518370271,0.0022368628278922,0.000224179730240074,0.000612345049489993,0.00111505324949438,0.263494845978822,0.000485198594254764,0.00328684207579734,0.0307635797331365,4.55583514660799e-06,0.696349879900344,1.9184167924383e-07
"TCGA.ZF.AA4X.01A",0.0426299339458947,0.00944393501323201,2.785418261388e-07,0.0579683480167599,0.000189704763117356,0.00506782361956705,2.95422540351801e-06,0.000668073592369198,0.110399434176611,0.000705386996788717,0.0522134801056978,0.720710647002733
"TCGA.GD.A3OQ.01A",0.0256258967010383,0.00590009569906069,5.34844555266566e-05,0.0378600018617773,0.000219929399275773,0.0253586485566307,4.95668553839652e-09,0.000557840587620778,0.17023292726787,0.000675992168917166,0.31001830020516,0.423496878140437
"TCGA.ZF.AA51.01A",0.176855068289083,0.0276620486873888,1.20194121262555e-05,0.370581337997053,0.000482950593878374,0.0344122439618855,0.0145516291560049,0.000838242251299425,0.0296514247704569,0.00715166255941436,3.48375180365014e-07,0.337801023946229
"TCGA.FD.A3SS.01A",0.0385186839281917,0.00329714310712156,0.000549332437865712,2.46355114792346e-05,4.06478756005339e-05,0.030601275601736,1.72581753939005e-08,5.14218739468793e-05,0.191451282887141,0.000873147051539145,0.337946661468666,0.396645750998537
"TCGA.DK.AA71.01A",0.0315573066693028,0.00602955392902715,7.32173764536762e-07,0.131547321191387,0.00100639326993995,0.0162259636068113,0.0023748109365643,0.000114377301839712,0.0682311814332686,0.0018034373925745,0.283339955269804,0.457768966825716
"TCGA.4Z.AA83.01A",0.0243355559573845,0.0125695012246588,5.65573598523818e-05,0.103712863039434,0.000389588914020735,0.0223658626398003,0.0069110474267223,0.000551309654781509,0.129533189635558,0.00130159502306175,1.6380095660094e-06,0.69827129111516
"TCGA.ZF.A9R4.01A",0.0728785180722292,0.0133124240969504,8.07477495104524e-08,0.179832809376282,0.000297303121819457,0.00493025326795639,0.00614385660480454,7.60662763688395e-05,0.103012390652635,0.00705683834814054,0.000409279387285544,0.612050180047779
