"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.32.2616.01A",0.0210112763365824,0.00413375390537951,0.000259840685654842,1.08406538593063e-05,0.00575778268898382,0.0111356834536166,0.0537519856634344,0.000231853981701198,0.1706806406092,0.00145441943755886,4.28372084246703e-06,0.731567638863187
"TCGA.32.1980.01A",0.0251323640248567,0.00751877635399319,0.00403098816815467,0.183357695088065,0.0146681521964109,0.0273422242253726,0.108413039582344,0.000436986627885545,0.222185522337509,0.00587843514817899,8.76487280105937e-08,0.401035728598501
"TCGA.28.2514.01A",0.0190593792074907,0.000281397638449103,0.000375106556364703,8.55825053654312e-06,0.0183240826848917,0.0262112679483102,0.0247147109500224,8.03647146643116e-05,0.0841636188670501,0.00177337529949508,5.78565614572501e-07,0.82500755931711
"TCGA.06.0644.01A",2.73796830740346e-08,1.34269996130295e-06,2.81945447777983e-07,1.36737243507663e-08,0.000203475760530099,0.0245851291252164,0.0202208615618086,8.79209695555308e-06,0.000428881406603455,3.59386754119815e-09,0.954551160071885,3.06843167712824e-08
"TCGA.06.1804.01A",0.0209036326665019,0.000506791735847422,0.000368488761223931,1.28398102005196e-05,0.00628457057613948,0.00661646514618854,0.0231559338726161,1.94466350347425e-05,0.0530365121027115,0.0021208948947958,3.57671705571995e-07,0.886974066127034
"TCGA.41.2571.01A",0.0322184017154347,0.00026139789576302,0.00193020340981747,0.0202312503485308,0.00566939596216527,0.0279022669716781,0.0531498963777643,0.000359800914115081,0.425019560622793,3.97490104942634e-06,0.000143849770565939,0.433110001110323
"TCGA.19.2619.01A",0.0192945996982509,0.000226878916716994,5.2945126935752e-05,0.487096263116292,0.0323180390493631,0.0277109195643864,0.0218293677213474,7.06499739393267e-05,0.409603412064343,0.0012123782623263,0.00057094693190086,1.35995741982124e-05
"TCGA.27.1837.01A",0.0206396699934152,0.00121206539605881,0.000945560659227111,8.12478567065205e-06,0.00574874671910562,0.0138969981112542,0.0434102017366499,2.48839530511805e-05,0.0994320426820568,0.00122746299607284,7.40955364606322e-07,0.813453502012073
"TCGA.27.1832.01A",0.116540939603429,0.0171355402721889,0.000790842447197767,4.04876720941772e-06,0.00693727538376235,0.0373255324064352,0.159091438734255,0.000203178454593732,0.36427444903259,0.0096090313814863,8.32314586284081e-07,0.288086891202265
"TCGA.06.0686.01A",0.011334583726183,0.000394906611844556,0.0010006109542511,2.40286704413692e-06,0.0151012214248632,0.02018986769132,0.0655347420102746,0.000118554189682877,0.0792964805974116,0.000502190206284787,8.37542336601078e-07,0.806523602178503
