"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.BQ.7044.01A",0.0487945249726454,3.67798836554893e-07,0.00309828624543677,0.103002093727821,0.000264569559544746,0.00150853919045624,0.00286735410134346,0.000172867703766412,0.132003845645765,0.00218301893068356,0.297348097197906,0.408756434925795
"TCGA.SX.A7SR.01A",2.82823090529292e-06,0.0147634174877166,0.00261367643608088,0.0020469928462442,0.000984434567603122,0.0059071128179792,0.0143318420730417,0.0254697598771234,0.57372458577569,0.00412489456731624,0.356029694960056,7.60360243602446e-07
"TCGA.MH.A854.01A",0.0670344530881343,0.0193687182605637,0.00148053793502428,0.245533339832319,0.00128223628130444,0.0369161407527905,0.0047567228094255,0.00409429275967975,0.320980294001384,0.0032184340875322,0.179855530454468,0.115479299737374
"TCGA.B3.8121.01A",4.47491658168654e-07,1.03280092221473e-07,1.73976332139418e-08,1.2115664643142e-07,5.96210594955643e-06,0.00433883866743897,0.0154496806065141,0.00139993706060364,0.0345539601694814,0.00140706476212307,0.942843732896672,1.34405186917167e-07
"TCGA.2Z.A9JJ.01A",0.000222734934312166,0.00132981521504067,0.000391063475129587,3.00826466639533e-06,0.000117981515622104,0.0119928423215729,0.000588078697352693,0.00114443096735728,0.0399869666900013,8.63522020981896e-05,0.944132231849796,4.4938670504474e-06
"TCGA.B1.7332.01A",0.000294404771834167,0.000126138837076888,0.00387321297597975,0.281541710264731,0.000673062145623371,0.0129326932473348,0.00954463123110624,0.0027899663549743,0.189245481514451,0.00133312717640068,0.497642078912518,3.49256796991055e-06
"TCGA.WN.A9G9.01A",0.0408375713509373,1.65423748208159e-06,0.301502245551016,2.3290383250393e-07,0.000331145598636758,0.000796314048881275,0.127286637053076,0.00026659290443984,1.43445258319362e-05,0.403035866127199,0.000124517658257925,0.12580287804041
"TCGA.A4.8310.01A",0.00328627509923769,4.51682793777073e-07,3.1039744154493e-05,0.133580974263417,8.45805914873042e-05,0.00429390581028522,0.00129232789486729,3.06604791584034e-05,0.039109335563267,8.04238124115902e-05,0.818209948268074,7.67908468354507e-08
"TCGA.2Z.A9JT.01A",0.0421019715393783,0.0064551619651391,0.00970438938846699,0.759630484147387,0.000975325916969528,0.00628035439973866,0.0317380074884328,0.00344273397249179,0.0622190540745827,0.00892699669577844,0.0684821211090037,4.33993026310577e-05
"TCGA.5P.A9K2.01A",0.0235776565908913,0.00131630715227525,0.000116461643595936,0.0584495779294577,0.000342644216484714,0.00272804757724791,0.00256356161843871,0.00133923353312552,0.0936706140535342,0.000324944466268638,3.68367559438452e-08,0.815570914381924
