"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.55.8508.01A",0.445735811573493,6.9481625573415e-06,6.55537917136744e-07,5.80450358866212e-06,0.000903413956629751,0.0347200067599543,0.00228466189718503,0.00056658327892785,0.0851392925221255,0.00114839523264854,0.42948821250412,2.14070853095434e-07
"TCGA.67.3771.01A",0.0879913613374778,0.000226231205859217,0.00825377110176032,4.05175264600361e-06,0.000277383656320401,0.0233007571363139,0.0201468838789037,0.0003424898277126,0.00202739204212965,0.00420620876712192,0.853222294313917,1.17497983783228e-06
"TCGA.55.A4DG.01A",0.375632440738273,0.033426833750337,1.52149778039974e-08,0.380067866392911,0.000800308666307177,0.0320435611238722,0.00980993770937258,0.00356683809510403,0.0644473784448817,0.0034817695725915,0.0967205056831401,2.54460823173944e-06
"TCGA.91.7771.01A",0.0501742275120599,0.0377351172359573,2.85133448472032e-06,1.66509344717814e-06,0.000921259205546912,0.0368774277568135,0.0132214695558011,0.00069575636669322,0.0536087627312902,0.00433884374657286,0.80241399601265,8.62344868302789e-06
"TCGA.91.6849.01A",0.356198792557591,0.00813249021761001,0.000965935285329767,1.13565298249318e-07,0.000599757561170724,0.0159589177366825,0.00380044151664851,0.000409605068778559,0.0333072957091748,0.00330566940699078,0.577320935052661,4.63220638087656e-08
"TCGA.64.5781.01A",0.427791453525914,0.0541327511467467,0.00759114933406133,3.51827624176663e-06,0.000734101412494617,0.0694666918567439,0.00968382948413033,0.00246596891255255,0.0370827342744632,0.0250267173377205,0.366021072621543,1.18173872415387e-08
"TCGA.44.6146.01B",0.105717766795934,0.0424271437822472,2.33924759745647e-05,0.571654598803872,0.000803856797479855,0.0589087969934225,3.19221849332091e-06,0.00180449967341755,0.153878972034188,0.00138529283462273,1.87940231031224e-06,0.0633906081880383
"TCGA.97.7552.01A",0.312935374567187,0.0477754360893878,0.0142427339342384,3.20706280376177e-08,0.00145370310649717,0.0350245823576251,0.0201656605787646,0.00461450857697445,0.0294582393415101,0.0253055105779154,0.509024215166772,3.63250042813668e-09
"TCGA.80.5608.01A",0.267022707808192,0.0314296432106147,8.12816938307783e-08,0.43527875956404,0.00394555228027542,0.0207898859214608,0.0162189582047545,0.00126543119459497,0.215028278933615,0.00901940912072169,1.21855266463755e-06,7.39273724825227e-08
"TCGA.91.6829.01A",0.00155842855019497,0.00351186517853661,0.000181558320863237,0.040771958042797,0.000812627468794187,0.0706949906568965,0.00320548166871364,0.00438398256469033,0.0011229324517788,0.000801461251483143,0.872903035300168,5.16785450836739e-05
"TCGA.49.AARE.01A",0.387405846195566,0.0356941832904457,8.82730232801264e-06,0.0713910995966706,0.00165100077924026,0.0517370068090195,0.0126071592272096,0.00229777929087188,0.264228174520817,0.00749264850836469,0.1653583049615,0.000127969517966556
"TCGA.97.A4M1.01A",0.053619502122018,0.0214714166939422,4.27322331610477e-06,0.821343213659906,0.00715872449416325,0.0499525780917605,0.0295202814663511,0.00963538068865329,0.00100241312557315,0.00625253207291422,3.91749994820548e-05,5.09361920547448e-07
"TCGA.83.5908.01A",9.5878287950306e-06,0.0545687233723603,0.0138510105212334,5.27494520329653e-06,0.000882628841050377,0.0302914292496805,0.0472945911249123,0.00178051898471719,0.0880952143407129,0.0439882456891795,0.719232630820768,1.44281387209373e-07
"TCGA.97.8179.01A",0.0539073661657048,0.017115455360688,7.88405763290827e-07,0.137951534307006,0.00417748134770928,0.0547027161507309,0.0316832966797083,0.00139490999716843,0.0822239678275539,0.0026602495876513,2.41403033076384e-07,0.614181992767283
"TCGA.64.1680.01A",0.164197553755899,0.0144546821374086,4.92843728553237e-08,0.046827479745429,0.00148096975404853,0.0315470800689721,0.00680486940040131,0.00861055268863986,0.2504449121543,0.00109621091894251,0.47453004925596,5.59083562687096e-06
"TCGA.73.4670.01A",0.150712370213088,0.00386207389769647,5.37584608250742e-05,7.96406645893139e-06,0.000903875170743468,0.0508027074073237,0.00805126657013793,0.000323918570483189,0.136872413614132,0.0017916289660639,0.646617357613424,6.65449623522658e-07
"TCGA.44.3396.01A",0.150960227844312,0.00261532602832458,0.010415888871476,6.36961136530165e-07,0.00125370202375064,0.0546660960242355,0.0196000673618736,0.00312360303125097,0.009560031502886,0.0062697008535854,0.741525824422564,8.89507460499355e-06
"TCGA.80.5611.01A",6.22627365427124e-07,0.00854532847121469,0.00334996036088653,7.06937824337946e-07,7.59788249556085e-07,0.00560401292220955,0.0216709774946357,0.00140929498369988,0.0409944706239385,0.00326418762996635,0.915159676751364,1.40864557808367e-09
"TCGA.53.7624.01A",0.179574364233744,0.028217798632732,4.52879948315501e-05,0.486380919058391,0.000233801680558072,0.026497287315028,0.0284282177740173,6.22841394653765e-05,0.1375295451863,0.0104201796653942,6.8562000877797e-07,0.10260962869953
"TCGA.91.6835.01A",0.00921391938305313,0.0401573381307992,0.0471619831077567,0.000566796949006597,0.00159521656129936,0.0469791550904566,0.0557581861637663,0.00404422918885038,0.116054087115552,0.0113793128442381,0.667089772189275,3.2759473492747e-09
"TCGA.L9.A50W.01A",0.200402866299914,0.0296167079389947,3.17391689330934e-07,0.314099902561989,0.00215126405310068,0.0249878671597353,0.0115932133114682,0.0128138411436218,0.186371159671759,0.00195278768669843,0.216009692854242,3.79926787309703e-07
"TCGA.86.7713.01A",0.289972904653543,0.0160673271741949,7.33306646034768e-08,0.473504523949638,0.00146193863431068,0.0188774711749212,0.00741515809013658,0.000298550113508104,0.188966988241138,0.00305034884212124,1.37350684732656e-05,0.000370980727349942
"TCGA.50.5044.01A",0.394287087518018,0.044357765204116,1.36384739457553e-07,0.308053563903516,0.0144969262233952,0.0438031440258822,0.04614953384833,0.00543865570390591,0.124210432350864,0.0191321456778907,3.29758177069819e-06,6.73115775718863e-05
"TCGA.97.7941.01A",0.0821447216440927,0.0221735356416696,0.00281450438895554,0.293165551097662,0.00547459264296226,0.046455286297469,0.016307525724131,0.0071932477051424,0.127673514274189,0.00550542363991084,0.391074545230688,1.75517131280934e-05
"TCGA.86.7714.01A",0.00762183149803161,0.055788094880001,3.11848696645283e-07,0.329736293475948,0.00180176865927624,0.0905026311100409,0.0358830264725545,0.00551183079903011,0.472343922564198,0.000774285046803497,1.50705442774062e-07,3.58529399762734e-05
"TCGA.62.8402.01A",0.0838363968054467,0.0596333546791054,0.00032385576134337,5.1828750271456e-06,0.000312262425925393,0.00732870512728194,0.0244553499948759,6.50971942016477e-05,0.101437690473004,0.0136372391163526,0.708964861110197,4.43723876522389e-09
"TCGA.78.7162.01A",0.271226848065938,0.0358874996182388,6.80002810609552e-07,0.257719385767855,0.0034424694075902,0.0423190667521629,0.0111152574517625,0.00628082663333788,0.0387990592886692,0.0144307227653377,0.31877733890681,8.45339487936977e-07
"TCGA.49.AAR0.01A",0.389171181996284,0.0422429280351789,0.00682931272626305,0.367826886198157,0.00500263049759448,0.0376324041248808,0.0623195882803139,0.00415251227375441,0.0675064443397805,0.0173101619257158,5.91694273591223e-06,3.26593415840778e-08
"TCGA.35.4122.01A",0.340445230938219,0.000232408058665414,0.0782446029838293,0.000201531277952056,0.00233903656154288,0.136697583925421,0.187702233140889,0.00356175367873445,0.210429202148979,0.0367111390346897,0.00343518161493456,9.66361436529078e-08
"TCGA.55.7726.01A",0.11298594019581,0.0127740226093786,5.41798955600433e-07,0.00608119686674916,0.000235827983604434,0.0754750148971312,3.61232051665296e-06,0.00148280800844072,0.11995792410274,0.00146669577893352,0.669512629071281,2.37863664582783e-05
"TCGA.62.A46Y.01A",0.223264569883096,0.0569138230826062,0.00290639193325334,0.388799040104697,0.00187904665083271,0.0250938693049602,0.0605139005156215,0.00410215776640929,0.221146566313975,0.0153010821911937,6.24169582284317e-06,7.33105575330159e-05
"TCGA.55.6980.01A",0.0340792961603177,0.0517526573493324,2.32921035639771e-07,0.295592121760162,0.00146441064816173,0.0868951584624571,0.0119791832025659,0.00282051477927945,0.0883769557995202,0.00295842632395302,0.424079896866934,1.1457262809194e-06
"TCGA.05.4430.01A",4.19141837951115e-05,0.00945067974431336,0.00789505006331277,0.000242751003050839,0.00268722490802264,0.0795197903297443,0.0193321776584191,0.00634929257067456,0.0627596474451611,0.00424074530834713,0.807463580304424,1.7146480734986e-05
"TCGA.67.3772.01A",0.424504243306433,0.021208860028124,3.29686238571601e-05,0.000339299205067168,0.000845522955220355,0.104234931840403,0.0122043217117189,0.00625347335705231,0.0473865257185075,0.00337532732954071,0.379607369281091,7.15664298454333e-06
