"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.24.1104.01A",0.0585369713652753,0.009202147591889,0.00325384124971734,2.92964109186685e-06,0.000488828663208543,0.0204099198083154,0.0202873210378714,0.000485775885028888,0.0469590046203335,0.00809851886008411,2.97081424186677e-07,0.83227444419576
"TCGA.25.1320.01A",0.0747029183713865,0.0108045109058173,0.000524682886433533,9.78672461456661e-05,0.000612178158099592,0.129618339710513,0.0256961339702622,0.00131915419071159,0.200079923662145,0.00448072920662009,4.2163793134896e-07,0.552063140053934
"TCGA.24.1850.01A",0.283655199269496,0.0193014003263791,0.000147126269538923,0.164614022161286,0.00165192412418101,0.0810436368454123,0.0793809537288239,0.000113353461451828,0.358701839950003,0.0112102320728777,3.47499496020314e-05,0.000145561840948425
"TCGA.61.2101.01A",0.054157085253977,0.0026192022895093,0.000294076708922145,0.000116483785502661,0.000516275238564992,0.0497770143021096,0.0101755200074482,0.000795246322148163,0.0788772664454849,0.000991026679447031,5.72556760856298e-07,0.801680230410125
"TCGA.23.1111.01A",0.0413896225883597,0.00020569798430849,0.000610696562535962,0.100724741468244,0.000766297692940374,0.0318965948901495,0.000944903690415988,7.67323219283935e-05,0.134631554093604,0.000131510988428609,0.145373039057226,0.543248608661859
"TCGA.25.2396.01A",0.0542956491367014,0.000957852577297687,0.0083658764449069,1.10424137386345e-06,0.000344069216500632,0.0426018762714206,0.0310657579529819,1.10383474366079e-05,0.0633965220587967,0.0141218689121056,1.6832948495968e-08,0.784838368007529
"TCGA.30.1714.01A",0.00077397619146126,0.00205685546961656,9.71066553929545e-06,1.14138598102048e-05,0.000245383138902538,0.0156926176580542,8.3556460926995e-09,0.000147025274387096,0.30537397098485,7.31192720632887e-06,0.315422545301341,0.360259181173185
"TCGA.04.1347.01A",0.0487487468272964,1.17310948757407e-05,0.000680442329682335,0.155780638165026,0.000651922445901643,0.0278102080324604,0.00246031573028024,0.000165467275407187,0.106415727663377,0.000902912672048851,0.0391214384973096,0.617250449266335
"TCGA.59.2351.01A",0.688337536845212,0.0102339577727364,0.0051815597472997,0.000336372916666923,0.000289185252030033,0.0392573932457113,0.0430986940383024,0.000339062468742503,0.0812836856555217,0.00554755623511688,9.13384914203999e-06,0.126085861973519
"TCGA.09.1659.01B",0.0443222034454401,0.000114798945710266,0.00468445915191286,0.000105533215120944,0.00222949388845841,0.0317914984239613,0.02248091387412,0.000223287055387375,0.108583923576641,0.00744674469245914,3.96844912493467e-06,0.778013175281664
"TCGA.24.1431.01A",0.020499956151936,0.00252553571424676,0.000640931549347076,1.42991229140812e-07,0.000327819150069085,0.0112238353967424,0.0124192692124319,0.000117302826137125,0.0366725683962713,0.0023250104459221,2.91703656126732e-07,0.913247336462011
"TCGA.31.1951.01A",0.00510460523846775,0.0330671041709176,0.00314152525695898,0.2238740045423,0.00074883188709443,0.0991480770568867,0.0732789457194008,0.000624770801165075,0.535474707052176,0.0254774521844,5.9924602874604e-05,5.14873580104556e-08
"TCGA.29.1769.01A",0.0594863849532449,0.000582389533162553,0.00743538509753762,0.18226896150116,0.000401245190749805,0.0467362434602363,0.0362104943189446,0.000197540117088125,0.243013720691665,0.00631593236681614,6.63194268068218e-06,0.417345070826714
"TCGA.13.0916.01A",0.142871082697562,0.0170540159491681,6.43879261257422e-08,6.59219300439563e-06,0.000945061132202445,0.0369382635004291,0.0340458565213197,0.000221991955356278,0.0836143992032757,0.015007389048258,1.02331283354777e-07,0.669295181080215
"TCGA.61.1721.01A",0.0237711573108519,0.00400083809157568,0.00430459346393335,4.49503054831412e-05,0.0156223616201485,0.195701039530229,0.0268979276549411,0.0046593491726195,0.000267942353372241,0.00401939688863696,2.431254673873e-08,0.720710419295662
"TCGA.20.1687.01A",0.0417002377176798,0.00579650601143406,0.00202687592480643,0.0992422651042323,0.000534418904291942,0.0467472064230343,0.0214074754769288,0.000372972127759807,0.323385053875954,0.00333656794831379,8.41949881076845e-09,0.455450412066066
"TCGA.29.2414.01A",0.0640175608561424,0.00147369255773037,0.00036794906813111,0.148121426414864,0.000372082423271445,0.0721082649511977,0.00547597283893599,0.000220639994346611,0.0613874712856716,5.67041223728372e-05,2.07625634503697e-08,0.646398214724773
"TCGA.13.1411.01A",0.0433993771169316,0.0331315460809478,8.11953945492117e-06,4.58338193038045e-05,0.000709545535571132,0.0619106999723043,0.0931160549718911,0.000334881453940312,2.84541665752879e-06,0.0657776258381994,4.61052791548895e-07,0.701563009202007
"TCGA.24.1928.01A",0.0439533139751755,0.00513504614180837,0.00215786866302732,1.25369045952042e-06,0.0010928456578677,0.0425154751226016,0.031854961021964,0.00046905102364336,1.44170195949133e-06,0.00580768773370281,2.46424780472014e-08,0.867011030625312
"TCGA.31.1959.01A",0.074104903358666,0.035733114883432,0.000304552933321929,3.17852802312524e-05,0.00180813725252845,0.147438770644198,0.10134127106084,0.000443474621856277,0.277818225427483,0.0174585263667613,5.49014515638144e-07,0.343516689156166
"TCGA.57.1586.01A",0.0867210121869847,0.00452462606727243,5.01752591198362e-05,0.00530817314581752,0.000242080507145209,0.00994569679624954,0.0122118774098087,5.54426456316559e-05,0.0922808191468019,0.00238672666445456,2.21630771774121e-07,0.786273148539942
"TCGA.09.2044.01B",0.0370020339716827,0.0117546302925974,0.00246883371585377,0.000184587035687083,0.000941579507928074,0.0195463616353471,0.06581964370198,0.000121372667579179,0.252893729922811,0.00693887935458242,3.92417207717504e-08,0.60232830895223
"TCGA.13.1506.01A",5.01211588177842e-05,0.00454963674411246,9.43734548361248e-06,1.31620101145346e-05,0.000438755869705195,0.0113947734366818,5.8402142182869e-08,3.28279069689391e-05,0.387413199212612,0.00148032772515614,0.594607099377069,1.06008111356223e-05
"TCGA.25.1870.01A",0.0185273070878103,0.00165937336889559,0.000800770153065785,0.00042572041151156,0.000385740245928591,0.0143814325166545,0.0259146012199812,0.000876426395711056,0.168726096870857,0.00227401349917993,2.2271915875023e-06,0.766026291038817
"TCGA.09.0366.01A",2.70638105795108e-05,0.00653874822083241,0.000526694823100591,2.2096534880514e-05,0.0002444185229642,0.0147396892032775,0.219991289719148,0.00021126854765282,1.41866763550662e-07,0.00896820758472614,5.07472764416946e-06,0.748725306438431
"TCGA.30.1892.01A",0.0404752814557444,0.0038776749500128,0.00201083207442584,0.384015998577841,0.0012349551904584,0.183538095517073,0.014012301076897,0.000393733397216239,0.153090943747497,0.00425227043015615,7.52015204474185e-06,0.213090393430634
"TCGA.13.0893.01B",0.0196353519896782,0.0118742385745313,0.000122389819163365,4.44738575458442e-06,0.000466720436468157,0.0752886148303949,0.0281590492453409,0.000160878522998651,2.65929604037451e-05,0.00940446103199902,8.40677462228265e-07,0.854856414525805
"TCGA.09.2056.01B",0.0304545558500833,0.0114427624993972,0.00038303391364675,0.110309752449243,0.000742541913087019,0.0203045934059427,0.015858480953772,0.000311128975114936,0.14434922031533,0.0104694725575943,3.22632935998968e-07,0.655374134533853
"TCGA.29.1781.01A",0.813662598479365,0.000375396499087064,0.0263094497770423,0.00304313289609304,0.000101831594406175,0.0247211966872287,0.101912068790007,5.45019916559998e-06,1.22431385704283e-05,0.0298564425059692,7.45844302745393e-09,1.81974622533842e-07
"TCGA.29.1699.01A",0.0512743012940314,0.00290870679141729,0.00503921108777971,2.36881177354441e-07,0.00137464172434656,0.0191017782640832,0.0842677795565671,0.000309230488593998,1.66880658227399e-08,0.012885227699693,3.48561367781935e-08,0.822838834668108
"TCGA.04.1364.01A",0.0639192194925802,6.16694898485775e-05,0.000138577485054924,0.0839192265523258,0.000536640698702174,0.0358028647347695,0.000532558767696046,9.21788197160503e-05,0.0558113766077939,0.000163850670536104,0.00150043759825758,0.757521399082719
"TCGA.59.2363.01A",0.020913043627006,0.00115569023759159,0.000384633575475213,0.196120390428306,0.000623531247794464,0.0114202696222199,0.00490101084477688,0.000237080772612255,0.161372317436404,0.00114033545653279,0.0281475588223451,0.573584137928936
"TCGA.24.1416.01A",0.0275562984736531,0.00132785789767784,0.000475259802152897,0.000158446696486049,0.000743710488801534,0.00713806076002653,0.0151136632102427,0.000342067843449754,0.1517888410775,0.00436686675829654,2.59611406401746e-07,0.790988667380306
"TCGA.20.1686.01A",0.0677614225662354,0.00273241841809609,2.25536105033782e-05,0.0948815451998644,0.000838662281631432,0.0149709449995611,0.00364983619228374,0.00026093667980278,0.0184997333211967,0.0010819223422175,1.94895117289799e-08,0.795300004899096
"TCGA.29.1697.01A",0.0249187943693228,0.00106771814212938,0.00127480977882658,0.131410662403979,0.000567284482774882,0.00733904370083564,0.0101908787732406,0.000208178006202121,0.211180630991557,0.00198856031649802,8.99905210271372e-07,0.609852539129424
"TCGA.29.1770.01A",0.0459487608900908,0.000284434521432241,0.000912533165998539,0.120192103370924,0.000736623432880784,0.179019514137552,0.0142102302075804,0.000300050881741954,0.17967435445093,0.00319520857365627,0.000171209642391484,0.45535497672482
"TCGA.23.1116.01A",0.0355207119538455,0.013149079182567,2.59456779137225e-06,4.93945494593678e-05,0.000927790150561586,0.0893336458607041,0.0406636574178811,0.0026163252256015,0.10817598294712,0.00861307144662898,3.5931386231821e-06,0.700944153559216
"TCGA.29.2428.01A",0.212117306734346,0.0220185978204461,0.0123595252665599,5.88182240740961e-06,0.000451151258987064,0.0195193319527548,0.040938272429241,5.76749234593193e-05,0.0960768179099604,0.020540848786804,2.60446605667834e-08,0.575914565050373
"TCGA.24.2293.01A",0.120260405771985,0.0214185132004118,8.26484671403669e-07,1.33130690982341e-05,0.00225567591204279,0.123965122552505,0.040277602146782,0.000457446064692311,0.081329015556369,0.0116635113880195,1.71862465036428e-07,0.598358395990957
"TCGA.25.1635.01A",0.0387222333576764,0.0349387438026071,3.54235377047305e-07,4.28048746092443e-06,0.000572395197660026,0.104417618936301,0.0403636650660253,0.0003632959850299,0.267260000724132,0.00503947088501762,0.000126256605067049,0.508191684717646
"TCGA.25.2409.01A",0.0388885256200566,0.0128415662595414,0.00129638090536043,1.80792444728813e-05,0.000283039529906616,0.0663963963917246,0.0791328544423243,0.000492310458867776,0.426049573937722,0.0233437576290683,1.0468933756392e-06,0.35125646868758
"TCGA.24.2280.01A",0.176202544815825,0.00621466844071649,0.000952869376678328,2.81274683729031e-05,0.00146008013840929,0.0883134712560939,0.0335755976004593,0.000267353724845291,0.0403749039754224,0.00459588738262568,6.96204822102554e-09,0.648014488858503
"TCGA.29.1710.01A",0.261792611433119,0.0281442109440538,0.00340752375696257,4.18594029627858e-05,7.35334419057608e-05,0.0669094501028065,0.0553203941445085,0.000235469740382096,0.0425171801910882,0.0246333705585066,1.53238978819427e-06,0.516922863893916
"TCGA.61.2095.01A",0.0133138362956958,0.01943641452246,1.8452304087062e-06,0.236697258474501,0.000961510767023075,0.0788280798886867,0.0571442712238026,0.00113463302834111,0.562295632133679,0.030136298794208,9.47881111673274e-07,4.9271760081913e-05
"TCGA.13.1489.01A",0.0292610833217656,0.000243559751945246,0.000306874108597372,0.204200604615499,0.000248169359093445,0.0168890095955363,0.00101371677725762,6.53650795536665e-08,0.0808387474148078,0.000518129356994944,0.0993712572947302,0.567108783038693
"TCGA.23.1023.01A",0.175249748692122,0.113657035100367,0.106145572248656,0.303654891378032,0.0143802084993754,0.113060556526114,0.0455354682899941,0.00305668821130713,0.072196606121144,0.0425820072067299,0.00406687156382116,0.00641434616233736
"TCGA.29.2425.01A",0.149325090658198,0.000319546605613314,0.00324224080713585,9.48363430555466e-06,0.000166410389399853,0.0259001949743701,0.0129642029266222,0.000389627226057684,0.112470065788992,0.00517936895848792,1.05863588559941e-06,0.690032709394931
"TCGA.36.1574.01A",0.107055130122366,0.00136338544702536,0.0102028399093382,0.00650133396802503,0.00100097495207558,0.131368630990452,0.0424086228955123,0.000877402091701248,0.525950690702283,0.00934111566027869,0.163801372683239,0.000128500577702939
"TCGA.30.1853.01A",0.0222356301617041,1.22499980585199e-06,0.000241100299714385,0.0247294934298381,0.000134944960493952,0.0233698892733031,0.000591004796214216,5.35780710727236e-05,0.0413006087543796,0.000151442199834198,2.59420475382633e-05,0.887165141006101
"TCGA.04.1648.01A",0.0196234709819393,0.00620027088070923,5.30274445174547e-07,0.183370273320998,0.000817039351919147,0.0106169262183216,0.012251686610209,0.000293438751260377,0.292184427775342,0.00448316722106791,0.470150469564216,8.29904957198316e-06
"TCGA.13.1409.01A",0.0324745093637902,5.74202249711541e-05,0.000227185326306604,5.84106038929993e-06,7.78253557166942e-05,0.0289454115552093,0.000748786952027231,0.000219064043323738,0.0943188230175137,5.67152826184076e-06,1.59969355776939e-06,0.842917861878932
"TCGA.OY.A56Q.01A",0.000186121734362109,0.00137872862562784,1.66891901877705e-05,4.94640148193931e-06,0.000416369919362163,0.019140421419988,5.04650799025421e-08,6.077922735211e-05,0.408489861314004,0.000186024588631897,0.279006558568705,0.291113448545217
"TCGA.24.1471.01A",0.0173639645805056,0.00192342520010929,0.000489918787019228,4.32679678249548e-06,0.000188491565509028,0.00835423390352586,0.00831231623491641,2.523085573867e-05,0.0293752311062426,0.00134600393668068,4.8394035359942e-07,0.932616373092617
"TCGA.59.2350.01A",0.0426382148390229,0.00156368239538267,0.00278528113681307,0.000438178833072023,0.000284971561675356,0.0253867182603299,0.0146638086243312,1.85595858426357e-05,0.166068448023918,0.00315170100695993,3.5227634033189e-06,0.742996912969249
"TCGA.29.1688.01A",0.0242979496464841,0.0245508766353089,0.00479773621700455,1.21292878618502e-06,0.000318416876024491,0.081986540958834,0.128187208333426,0.0243230944326122,0.683985355970093,0.0274330568177196,7.41892824803142e-07,0.000117809290881717
"TCGA.61.1724.01A",0.039281899639602,0.00253621749679846,0.0018912826392982,2.19232767700356e-07,0.000738427303818592,0.159350040401841,0.0145758989349282,9.42756203170839e-05,0.267725874246672,0.00399717966302192,0.509796557249572,1.21275713632636e-05
"TCGA.25.1628.01A",0.112193545882097,0.059020623124373,0.0155880371401668,3.93623994390103e-06,0.00142343298182747,0.204885340220035,0.0999692313394514,0.000973690390812258,0.470033836491704,0.0357706700918047,8.39676264704874e-07,0.000136816421519737
"TCGA.09.1669.01A",0.32909190133811,0.0122261680028692,0.00604956204562457,7.10415852163623e-06,0.000802981717759477,0.050532974887016,0.0211151757826738,2.59624241558821e-05,0.0843893617914646,0.00834631956506602,2.18675967775527e-07,0.487412269610772
"TCGA.13.1405.01A",0.127729128976471,0.024797268892705,0.000113579914926361,3.44792719562813e-06,0.00151883749491596,0.104505658236741,0.0481819988336612,0.000314999894403473,0.509796410012259,0.0190721474671448,3.60813531889732e-06,0.163962914214258
"TCGA.24.2024.01A",0.0914756184559985,0.00532938115149528,6.45758670632918e-06,0.13864893811015,0.000515671276719072,0.0677026398468572,0.0183178501900164,6.8857245742178e-07,0.187672611070824,0.00341920466386321,0.000737899672861517,0.486173039402052
"TCGA.24.1422.01A",0.0843767994742783,0.01495194876414,1.39634764745684e-05,3.61716705147825e-05,0.000675847048036409,0.0844578320057398,0.0311213823539629,0.000317307503452938,0.0948362099349344,0.0309764329583973,7.06324357962121e-08,0.658236034177633
"TCGA.61.1740.01A",0.309169172318405,0.00129606160347159,0.0187115857596145,2.06393581230317e-08,0.00047346102373811,0.0204783427472918,0.0848905968771519,0.000153995485455939,6.8187875288242e-06,0.0118064291967506,7.39875100291899e-08,0.553013441573723
"TCGA.13.0891.01A",0.0185814213901299,0.00148599569875473,0.000311554035280233,0.149494249571364,0.000353990672932108,0.0231158332197874,5.78394889509059e-08,0.000104599479365207,0.103093340459584,0.00412496466900365,0.177609638381419,0.52172435458289
"TCGA.61.1728.01A",0.0211636010121138,0.00289163520752255,0.000325560679056767,0.0889025533373406,0.000796074562959415,0.0681271210834453,0.0204236258457491,0.00040043915261719,0.225658366031158,0.00373169902361046,5.22111423396923e-06,0.567574102950193
"TCGA.61.1733.01A",0.0186632876931577,0.00283480937418211,5.46446275505607e-05,2.0278022115606e-05,0.000325282068902614,0.0559807202543918,0.0254536362285715,0.000229373968593664,0.00291560785623071,0.00234428568353248,1.07313824173766e-06,0.891177001084529
"TCGA.13.0720.01A",0.0461481031417901,0.00241437035075747,0.000925726277183959,8.0570811159772e-06,0.000273194539305129,0.0058594420742006,1.69183057932773e-09,5.7829115612111e-05,0.279862501797921,0.00111372300354053,0.166459000920128,0.496878050006615
"TCGA.29.1698.01A",0.0582886369781074,0.00686300555233215,0.00194886345182489,0.0898004146036692,0.00107043650453077,0.0567194210159696,0.0150628124725771,0.000271609717377997,0.0643423356571759,0.00361460734393914,1.47495590063006e-06,0.702016381746595
"TCGA.24.2288.01A",0.462916877276728,0.0135665221614068,0.00384961496672092,1.67505177315112e-06,0.000108568870707877,0.0580330282014027,0.045499663909373,0.003523963646845,1.07511233352513e-07,0.0138796611290595,1.3274493660894e-06,0.398618989825384
"TCGA.25.1630.01A",0.0217730226672871,0.00898657638694939,6.20161591858298e-05,6.43402295945849e-07,0.000718746891801938,0.0236317888019359,0.032641486932673,0.00044396088917626,0.0746943931917165,0.00901957230627512,1.10763117465102e-08,0.828027781294391
"TCGA.13.0901.01B",0.0384922767355283,0.00227421635777278,4.10351582175476e-06,2.20448074432115e-06,0.000689753325569415,0.0304174831200525,0.00863685692631806,4.12524308025052e-05,0.00918263748402745,0.000968473765931715,1.75078963238115e-07,0.909290566778468
"TCGA.24.1567.01A",0.0361384493443401,0.00053381656350067,0.00036492420774291,0.199556098238908,0.00114066073037707,0.0197015030813264,0.00611808049745507,0.000121574219389356,0.116804616585961,2.69982708564699e-07,9.91065345161119e-05,0.619420900013775
"TCGA.23.2084.01A",0.0552819688665261,0.00175038674167876,0.00528147437723604,4.66256209270049e-05,0.000665684049447461,0.132924492281563,0.0528823194000184,0.00066144261525124,0.362521539761781,0.00316826646251396,1.68283648846307e-06,0.384814116986569
"TCGA.36.1576.01A",0.00167212572949662,0.0357802925731753,0.000859838287526638,0.535031796722362,0.000942582795073384,0.140798937885992,0.057233458848557,0.00191274736012995,0.0864065080713521,0.0131868677014667,0.126127370607187,4.74734176814586e-05
"TCGA.13.0730.01A",0.0289703123823329,0.000906084629273866,0.00165100780175745,3.5919463391016e-06,0.0029425091406219,0.030391789842057,0.0244757826040433,1.69243317251585e-05,1.62474399861622e-06,0.00241016745788936,2.78112457857935e-07,0.908229927007504
"TCGA.04.1517.01A",0.033054176555764,0.000624743049217264,0.000207111799101454,0.0651174732089772,0.000284305947158166,0.0281483192193202,0.00595045946468061,0.00016406721642087,0.0699523150066414,8.86987054542062e-08,1.23059064058443e-07,0.796496816774949
"TCGA.29.1778.01A",0.211975886965489,0.0119646671349348,0.00355782393058777,0.000113834359265733,0.000550391967644234,0.0362915762863252,0.0190630229148705,3.86702726419633e-05,0.0759875924691679,0.0132683643434525,1.20967941750077e-06,0.627186959676203
"TCGA.24.1413.01A",0.0408967275320148,0.00173081171251013,0.00169112526020291,7.66105696864457e-05,0.000175419736099516,0.0169783130998188,0.0139710910944485,3.93520584661848e-05,0.172501560728797,0.00165823049019298,5.37544760627593e-06,0.750275382270156
"TCGA.24.2023.01A",3.95458875449266e-07,0.00338516915531068,0.000408679977632622,3.06904558713513e-07,0.000111755019252993,0.0122918535611571,0.0028776131328145,0.00180195112448612,0.192091699530811,0.00344017026914611,0.783589155331981,1.25053397345183e-06
