"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.V1.A9OF.01A",0.15346956959465,0.00840901717840349,1.30740097296461e-06,0.0117529352264148,0.00206140646215888,0.0353859856109169,0.00756237476222121,0.00243981569958929,0.107563391708623,0.00078555224907715,1.4593567906541e-05,0.670554050539065
"TCGA.ZG.A8QX.01A",0.153409776591546,0.00577707107119819,0.00106308056309015,0.355904567552146,0.000976247249818506,0.162639878559529,0.00156604231988167,0.00121136440767076,0.056256417757326,0.000860852505769022,4.81987086800471e-06,0.260329881551158
"TCGA.YL.A8SC.01A",0.459262130079871,0.0189663748115383,0.00204379126969265,3.43965684073386e-05,0.000634294025684925,0.0555406709360315,0.0195390456695157,0.0036871516524838,0.0569837019385945,0.00642079406759177,3.56855893777519e-06,0.37688408042165
"TCGA.HC.7817.01B",0.158265025149899,0.0141488738334777,0.000563573766602223,0.172832626718003,0.00216006762402598,0.185103235066918,0.00622787342334716,0.00309562744585013,0.0765994590987527,0.00301048969302774,0.377818316240874,0.000174831939221363
"TCGA.KC.A7F6.01A",0.157238880184081,0.00822144467184248,0.00180134110083178,0.125531198961364,0.00147057495851336,0.119895270325237,0.0033148873384733,0.00235270216663142,0.111560498432149,0.00160770493824937,2.17724128203568e-07,0.467005279198498
"TCGA.KK.A7B4.01A",0.171573176980305,0.000324654357526299,0.013782023859026,1.69221398735726e-07,0.000796037466797566,0.0618835195598895,0.00673508598599714,0.00154936346841283,0.0718508727676306,0.00244998107097561,1.19314165256672e-06,0.669053922120389
"TCGA.G9.6366.01A",0.595259972197486,0.00371992572530759,0.00282245000999572,5.73067373600634e-05,0.000638443835646083,0.0515652230368247,0.00157828380040061,0.00153034044712019,0.0708638398784604,0.00144210618413347,1.54917130631389e-06,0.270520558975959
"TCGA.KK.A59X.01A",0.171864025189726,0.000293180396043391,0.00228829424707606,0.226269399733548,0.000968264915125222,0.0769151883620688,0.00503171311631906,0.00164453578737357,0.0796220135698695,0.000872667567672186,0.000161359226582159,0.434069357888596
"TCGA.HC.A6AN.01A",0.128880163194067,0.00580055289232099,0.000297500986107571,0.219951745836861,0.00110276476513046,0.0883007279070251,0.00583761175819101,0.0014499729387039,0.0520043763921227,0.00238225216737954,1.26983615713e-06,0.493991061325933
"TCGA.G9.6498.01A",0.138465516826472,0.0206682680475869,6.06887562374598e-05,0.385600771271425,0.00188503274149969,0.107816373161654,0.0023178782486159,0.00457980567912125,0.0161509134515503,0.00300346959915224,2.63045612872095e-05,0.319424977655398
"TCGA.J4.AATZ.01A",0.145446934275752,0.00566952396604209,0.000652815646352351,4.81372380140731e-06,0.000836777297532881,0.039455155176351,0.00343992031995424,0.000780813761995823,0.0898524541811976,0.00100754646130852,8.10441266083644e-08,0.712853164145586
"TCGA.EJ.7317.01A",0.140247496633613,0.00181153670229179,4.15385065237469e-07,0.170490288436092,0.000881827244395846,0.0784294602095408,0.00175823373385833,0.00217786002246463,0.0788124461243407,0.000501927539411635,0.000584401777724558,0.524304106191201
"TCGA.SU.A7E7.01A",0.155553142753597,0.0211904115734064,4.64601386500181e-07,0.0189136160852359,0.00154923279670426,0.0947884669982827,0.00910204592516302,0.00342660444337659,0.157697907017806,0.00402989893667628,1.62487248454285e-07,0.533748046381117
"TCGA.XJ.A83F.01A",0.161531917123129,0.00034999488573602,0.000930529035064207,0.030169615549964,0.00138706010486688,0.117012182619174,0.00194971653985401,0.00146606047343021,0.0483848478562965,0.000542719630579054,1.16404326273999e-06,0.636274192138643
"TCGA.2A.AAYO.01A",0.235193190780728,0.0244796707464398,3.23059598212473e-05,0.290372245633913,0.00104842795156566,0.15871398855437,0.00818532224591094,0.00809092394910303,0.0210012285390534,0.00300811264058671,4.24766852227644e-05,0.249832106313285
"TCGA.EJ.A46B.01A",0.157679714346062,0.00534624010351986,9.00149389662861e-05,0.38299826204924,0.0030101849998249,0.236829042612038,0.00173668951209167,0.00164101364145893,0.159608664485019,0.00115056193585535,1.97269941459407e-06,0.0499076386765092
"TCGA.QU.A6IN.01A",0.598458035313749,0.00299654115105376,4.2182764586658e-06,9.76718331317201e-06,0.000944795411488752,0.0806824239942645,0.000232262124940732,0.000854826906515279,0.0481575754936386,0.00136275858393544,0.000105607186471728,0.26619118837417
"TCGA.KK.A59Z.01A",0.0970522093613784,0.00449882379818405,0.000184151973952044,0.475534439476272,0.000689190277987862,0.133347160747058,0.00384693226435934,0.00182076852139839,0.055537426817423,0.00115355211944247,1.50044878703217e-06,0.226333844193758
"TCGA.XK.AAJT.01A",0.0986996016886984,0.00344029865798692,0.00434427967896206,0.568141670299635,0.00176965514216061,0.260469334739975,0.00758007921851637,0.0017571949132355,0.0498447976054202,0.00263202438748992,0.000110765128485785,0.0012102985394342
"TCGA.EJ.7125.01A",0.0439841731412582,0.00798348919029522,0.000723954823885566,0.257195297687577,0.000967004825841324,0.118812306139049,0.00708367176386832,0.00731452580591409,0.184610939526052,0.000958075618859298,1.37527899693017e-07,0.3703664239495
"TCGA.J9.A52C.01A",0.109483243208121,0.00598820790977222,0.00447842372820148,0.15303393070703,0.00159936065429241,0.232961701212397,0.00364327747334937,0.00413871468039006,0.0216028079264463,0.00299079462498956,0.459802308337438,0.000277229537572822
"TCGA.YL.A8HL.01A",0.146498913989222,0.000340193542000782,0.00138448848683152,6.10241755404602e-07,0.000566325545484159,0.0395648362839029,0.00248134792151278,0.000741734208806027,0.130632718810367,0.000528669306408821,5.33316062326142e-07,0.677259628347647
"TCGA.ZG.A9LZ.01A",0.119659633635817,0.000781052592810574,0.00826522488884469,0.155534233736072,0.000917983877867677,0.0723742780035879,0.00637466079550592,0.0012652567739112,0.0908592373222182,0.00297469042899155,7.87715492381576e-06,0.540985870789449
"TCGA.J9.A8CP.01A",0.294030764460692,0.00330247031159518,0.000745693746248342,0.0657417363478276,0.00171749279941559,0.101190318041055,0.00319503155591831,0.0677020314079463,0.128345083922709,0.00173461117820225,1.57828786688935e-06,0.332293187940523
"TCGA.FC.A6HD.01A",0.13153021704764,0.00179591247340878,0.00211415108253503,7.16805476115666e-07,0.000745886809078385,0.0355526002411688,0.00255571634759585,0.00392675796271024,0.0564122017748197,0.000657165979817158,1.49218811477429e-06,0.764707181287635
"TCGA.G9.6351.01A",0.228625747423042,0.000376741479926134,0.00544677623140016,0.359359012669097,0.00109778517815347,0.172590325804735,0.00101831320587627,0.00182095722710245,0.156060192913935,9.08267232548531e-06,1.01062123959736e-05,0.0735849589820111
"TCGA.EJ.5532.01A",0.236359523110776,0.00690646820037697,0.000759678780495895,0.0229913092623462,0.000865385814295275,0.103198359142187,0.00375092077382894,0.00240611933363471,0.086764856708497,0.00115655714672085,3.19866658518394e-05,0.534808835060989
"TCGA.EJ.5525.01A",0.108806299856054,0.00735231219536185,2.87396844185255e-07,0.368651717342052,0.00168356510550804,0.111607644897905,0.00591055999739253,0.00118330369183822,0.154667571620386,0.000466336269056272,0.00040421998844873,0.239266181639153
"TCGA.ZG.A9L9.01A",0.0885264414015844,0.0111239795691911,0.00103298301235924,0.558200481458853,0.00147470248865565,0.323108899756205,0.0105814084496899,0.00263299641964048,1.36166338842016e-05,0.00320146304580345,3.20113949427013e-06,9.98266246391422e-05
"TCGA.EJ.A65F.01A",0.110616512348218,0.0140726512826945,5.6952148787474e-05,0.166945909323218,0.00170164709533437,0.0613418765847283,0.00499266420825592,0.00486062180121801,0.0370309862663414,0.00222692828747696,5.00951281604793e-07,0.596152749702445
"TCGA.2A.A8VX.01A",0.11177970617687,1.36391638054357e-05,0.000638022794887536,4.98331697547022e-06,0.000280608352589378,0.0885897095290093,0.000950577840419834,0.000857097013831785,0.04195736509097,0.000125587798809933,4.60807792511734e-07,0.754802242114039
"TCGA.KK.A8I4.01A",0.540943976493876,0.0448616947158235,2.92496275313859e-06,0.0387871097017531,0.00339151573947296,0.229739711134682,0.0152809448873698,0.00634174450682276,0.11147380238455,0.00882634546039264,0.000348647483680145,1.58252882378993e-06
"TCGA.KK.A8IA.01A",0.0746941370964567,0.00101314892906989,0.00219719321652609,2.12439695632945e-06,0.000549779303994652,0.0443669903762803,0.0026788432071938,0.00126472700769855,0.066667033536784,0.00101583063109129,2.17322677419745e-06,0.805548019071174
"TCGA.Y6.A9XI.01A",0.200951131698097,0.00628749094695287,0.000410210245092118,2.2517126839377e-05,0.000864351914089486,0.0432921722783047,0.00446968015234612,0.0028705200797331,0.110321196323633,0.000596010141330228,3.1485738568271e-06,0.629911570519725
"TCGA.VN.A88I.01A",0.0149890518447625,0.00553833221412296,0.00200031721398774,0.0565128941429748,0.00262004809630394,0.420263671801549,0.000461693013740108,0.00725774561655941,0.013337288305888,0.00396170561455829,0.473057054836502,1.97299051165671e-07
"TCGA.M7.A71Z.01A",0.174466152501835,1.73902724289134e-05,9.21169678239877e-07,0.211459813258684,0.000458011910443404,0.0230908810454176,0.000480778295360819,0.000244585278281005,8.33560356129617e-08,0.00013689048552411,8.57438987060734e-07,0.589643634987324
"TCGA.EJ.A46E.01A",0.0308229988898814,0.00323700431183687,0.00431910566045977,0.315146032763504,0.00120847030756646,0.207973448229027,0.00101343320476195,0.00215835297447147,0.127173398723416,0.000784785636308501,0.306161026546181,1.94275258585441e-06
"TCGA.CH.5788.01A",0.113932473199946,0.0026584180723299,0.000546271961600307,5.89466203192236e-08,0.000403369719023415,0.0293515180250811,0.00336114327062259,0.000577629608599442,0.118124596312605,0.000426119934291285,7.00861386130546e-07,0.730617700087895
"TCGA.KK.A7AU.01A",0.10627250576173,0.0027419535920721,0.000876219477820347,4.79178812245656e-07,0.000397976523695735,0.0124361743412744,0.00330936193680824,0.000977185395269948,0.0714724365498753,0.00157688294741991,1.87554284446119e-06,0.799936948752378
"TCGA.EJ.5531.01A",0.164800222989704,0.0159585166807554,0.000772284629547602,0.132305727365151,0.000965176417632907,0.175875226676275,0.0100666945605289,0.00591836145426992,0.115795468213873,0.00310810673985096,0.374433694896428,5.19375983713918e-07
"TCGA.VN.A88K.01A",0.280606254014445,0.00166788467756242,0.00275708990345314,7.1648826073096e-05,0.00509211676651784,0.0970291201620858,0.00422880604256774,0.00523327567260444,0.063887549109511,0.00158239493824762,2.3348100859404e-05,0.537820511786072
"TCGA.VN.A88M.01A",0.226762889306057,0.00077704736383257,0.00291225220018728,3.32281383941795e-06,0.00141726050942042,0.034278341602109,0.00099447482092755,0.00259626217041919,0.0357374689377713,0.000717938779293702,1.15358087745387e-06,0.693801587915265
"TCGA.EJ.5506.01A",0.0709686158865373,0.00211308707242693,0.00582980001873238,0.562835638339534,0.00111364708961655,0.106606795315608,0.00238915770409778,0.00177627303188724,0.157373289690429,0.000459025132728084,0.088425117090451,0.000109553627951257
"TCGA.XK.AAJU.01A",0.106557946196586,0.0113939746261053,0.00286308272447668,0.298491910371664,0.00326982221825943,0.218947015997397,0.00392045111860162,0.00371640909714605,0.180136078561114,0.00391025605620548,0.166778609027661,1.44440047826242e-05
"TCGA.YL.A8SI.01A",0.111923932792659,0.00896813876119175,1.88893166729118e-06,0.406919485706875,0.0024438412120035,0.300253832772958,0.00557052162099307,0.00292384229259902,0.159553769174667,0.00140715176193094,4.81862656984982e-06,2.87763458854497e-05
"TCGA.G9.6499.01A",0.20446647255344,0.00716524394304258,0.000147955275626645,0.379162981431206,0.000914348318628455,0.131728729462814,0.00383749303041834,0.000797571281732867,0.127341630900025,0.00168752960690586,4.12392561850082e-06,0.142745920270542
"TCGA.QU.A6IL.01A",0.125643140568084,0.0063107890210651,9.15667286139696e-06,0.344876917419132,0.00136383728565833,0.112416145710076,0.00233059725182963,0.00178063058018476,0.0424412715096652,0.00222323535499663,4.02681397435997e-06,0.360600251812472
"TCGA.J4.A67Q.01A",0.28445365696985,0.0118429406223828,0.00325525718733673,0.00967241948693701,0.00542617695997619,0.404836621642994,0.0061205559525562,0.00834316175726089,0.014290823886626,0.00359237757131841,0.248159931915449,6.07604731320152e-06
