"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.AG.3896.01A",0.2313295986981,0.0121777011042639,0.000747421367892558,0.383585888369225,0.00172877658251979,0.0370230512111443,0.0134156976487825,0.000570991315336535,0.144875661061347,0.00364418211489424,1.21214472818595e-05,0.170888909079213
"TCGA.DC.4745.01A",0.0611693164961328,0.00999887243895911,4.21672115496943e-07,0.796970959081019,0.00045669197716919,0.0317243715272776,0.00314863822220549,0.00102467070031226,0.0439197699629429,0.00125950343514111,0.0503267103081025,7.41786220274863e-08
"TCGA.AH.6903.01A",0.0741133529713171,0.00721364635238346,5.01026008725641e-08,0.260382692758791,0.000726572377391296,0.0114900980412693,1.8766088175711e-08,0.000363180300315659,0.110462624587858,8.26268591716931e-07,0.159513846000799,0.375733091472595
"TCGA.AG.3599.01A",0.111441025236056,0.0225705717928981,0.00203574834280874,0.563684627258425,0.00062289536088323,0.0196905310067831,0.0176677799986934,0.0017685114500116,0.237431279802046,0.0110640604041105,0.0120229255247051,4.38225793738947e-08
"TCGA.AG.3581.01A",0.137283995152598,0.0026143724404496,0.00488251976548688,0.0688717340245454,0.00107112905886658,0.0178418099805334,0.000634471082604372,0.00133354993742127,0.105685983679753,0.00166787080603199,0.658111919686613,6.44385096248896e-07
"TCGA.AG.3881.01A",0.269018574629713,0.0125472268404911,0.00106645078087106,1.62388375971856e-06,0.0108345098840013,0.199422856971218,0.0586414694638155,0.00559628914142063,0.406348157003867,0.0125515122788255,2.79542453529544e-06,0.0239685336974814
"TCGA.CL.5917.01A",0.0709551249596244,0.00284722421560901,8.14221454384087e-06,0.20353467065372,0.000134163612967078,0.0289510675749664,2.45987199522424e-07,0.000159097715731551,0.102296239626854,1.96889168969424e-05,0.226437973638379,0.364656360883508
"TCGA.AG.3902.01A",0.312482542907193,0.0469800861108011,3.59796275847933e-06,0.429986846408506,0.000788108727483788,0.0192696101331226,0.0321120595457568,0.0025600667302943,0.137869919233379,0.0179463046129237,1.28213454856393e-07,7.29414326565195e-07
"TCGA.CI.6624.01C",0.193243630143029,0.0246056903509604,0.00205303712860148,0.507445351283196,0.000706444106545393,0.0401463672059317,0.00921646820382347,0.00255212271166069,0.100740037593154,0.0034990907044553,2.09170942491978e-07,0.1157915513977
"TCGA.AF.2692.01A",0.0905641628756003,0.0111850470706745,1.70905561125137e-07,0.199638568089472,0.0006236965522511,0.0287565672892984,0.00454692095107339,0.000995277666904023,0.13192067342051,0.00174160772647105,4.74136871235253e-06,0.530022566083472
"TCGA.DC.6683.01A",0.0568711073359881,0.00826749153610522,8.27506005258117e-07,0.704731663548673,0.000288103872802042,0.0284710726671291,0.00227682366316949,0.000649173307810195,0.0724106246622324,0.000541765614627585,0.125483159393641,8.18689181628841e-06
"TCGA.DC.6682.01A",0.0499343072554203,0.00839948119478086,6.46595258084439e-05,0.396118443863782,0.000216384636317699,0.00956486724918469,0.00197864998762127,0.000201405464150426,0.0215852236736458,0.00181243814646512,1.56529910618596e-06,0.510122573703717
"TCGA.F5.6702.01A",0.0528369420200855,0.0181320104012582,2.63537091131893e-06,0.0955106196863166,0.0010089219181556,0.193492866070349,0.0139575551192579,0.00250604354994893,0.183616895846918,0.00122574055178362,0.437291987919433,0.000417781545582219
"TCGA.AF.4110.01A",0.342904264709309,0.00745552553449186,0.00168906378801131,6.01978355526053e-08,0.000764447947137577,0.0303563105426213,0.00344063584176404,0.00117504745399741,0.0169907986438488,0.00212787811769075,0.593094076582209,1.89064108337282e-06
"TCGA.F5.6861.01A",0.0235571016198355,0.00485516321611825,0.000211536804007131,0.558630643498062,0.000443021388894963,0.0339040896018739,4.02510878910633e-08,0.00013218686696567,0.108093418142153,0.00119429843026815,0.268972785660247,5.71452048668438e-06
"TCGA.G5.6235.01A",0.0722867978341264,0.00641669075046813,3.07631315522758e-08,0.211817786084746,0.0001835981576818,0.00469146533599706,1.7524701169403e-09,6.18332631087064e-05,0.199338191433014,0.00113175843502424,0.0799293506577338,0.424142495532498
"TCGA.AG.3999.01A",0.085527550737574,0.0043312751290398,4.31613919341798e-08,0.525539899892637,0.000574482562474983,0.0257537189419314,0.00149942701582778,0.0028623165256773,0.0973046758227924,0.00040178388230199,0.256199362329481,5.46399887063768e-06
"TCGA.AG.A02N.01A",0.0865703059336844,0.00108352488764801,0.0120654109880832,0.633729713159083,4.58129417369531e-05,0.0054221624010966,0.0055218713036275,0.00270759131024355,0.119352426104899,0.00937484904923573,1.69208467538025e-08,0.124126314999815
"TCGA.AF.6136.01A",0.157236652761073,0.00623848076957912,0.00116277121606513,0.627907684959106,0.000666265397427992,0.0203224115841841,0.00241141533263823,0.00262688135506147,0.0522878116245942,0.00115187258498538,1.9292158125104e-07,0.127987559493704
"TCGA.AG.3580.01A",0.095054555142124,0.0180744240804741,3.34329973930164e-06,0.39921114905813,0.000189793428800811,0.0101474205524807,0.000636696244228648,0.000595322989952208,0.0767422892043402,0.00467858135902165,0.394665959893338,4.64747370287953e-07
"TCGA.DY.A1H8.01A",0.0483781227975158,0.00536827280354659,0.000184107211876866,0.0581131970580964,0.000968027975977032,0.00249331627430261,0.0010614109310468,3.29007118788639e-05,0.0533385158771038,0.000445509955968903,0.00431628717226157,0.825300331230425
"TCGA.AG.A032.01A",0.0911583083545065,0.00956539556472607,1.1062159420486e-06,0.181287088927337,0.000477113228621836,0.0136769448859634,0.000934488025433842,0.000751679627131658,0.11424921574937,0.00174117824552344,0.219999672384478,0.366157808790966
"TCGA.EI.6512.01A",0.0409078194096942,0.0071137949745717,3.53170416094364e-07,0.562353332029688,0.000340330801822823,0.0157222249255073,0.00347421464728767,0.00125530915799847,0.111272110779101,0.00199987436716724,0.255557233219069,3.40251767728092e-06
"TCGA.AG.3575.01A",0.00195863105118052,0.0164629843698889,2.62385605668181e-06,0.250016435685246,0.000436112729337356,0.0832884152694164,0.00561397146351024,0.00102420579538097,0.109788515049168,0.00373456992891938,0.52767238218305,1.15261884552502e-06
