"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.EL.A3D0.01A",1.58451104112022e-05,1.28812522655677e-06,2.23567925638175e-09,2.67855367999423e-07,5.20098385305655e-07,0.000879017981829272,1.20793294369884e-06,4.03263091644674e-06,8.55153856365812e-06,1.08727969793915e-07,0.999088478618702,6.79144004458572e-07
"TCGA.J8.A4HY.01A",0.000194026637497069,5.60826391497867e-05,2.5109029496942e-07,4.13458032877339e-05,8.66476417322358e-06,0.010371054708507,0.00732162660649482,2.051390383557e-05,0.000420838749343917,6.29130383529731e-05,0.981502637046673,4.50123900488656e-08
"TCGA.L6.A4ET.01A",5.36366468517592e-06,1.05658564852427e-06,4.43670143731236e-07,3.6281583150392e-06,2.61753584425631e-06,4.23821041504987e-06,1.55846014815188e-05,4.07388457438948e-05,1.7881134401718e-07,1.31721828468819e-06,0.999924621060877,2.11637216976215e-07
"TCGA.DE.A4MC.01A",1.03621721427737e-05,1.61443349603632e-08,1.34319738038691e-07,1.86927925491326e-07,1.77707922731716e-06,5.61935328372316e-05,0.00267351674040398,8.67972072826786e-07,8.69326491483079e-06,1.00781141440326e-06,0.997246317449208,9.26585780040133e-07
"TCGA.ET.A25K.01A",1.63664747136153e-08,1.30164502339874e-05,1.14479369667871e-06,0.000104991918145323,0.00164890554338793,0.000140018768204987,1.0336088127196e-08,3.71829351469002e-05,0.0129176035806506,3.10684814255674e-06,0.985133472895131,5.29564697667618e-07
"TCGA.DJ.A3UU.01A",8.85351533208367e-08,2.81989790156145e-06,4.08020446693569e-07,1.56278013980617e-08,1.07362703515353e-08,9.75829098173313e-06,0.000134333034383135,5.00379616475744e-07,1.39957723297643e-06,2.76178250330699e-06,0.999847853537389,5.05803201153951e-08
"TCGA.EM.A1YA.01A",6.03571266624852e-06,2.52475019885676e-08,2.7434635834696e-07,3.90300533225636e-08,2.24591471696679e-05,2.12125543829544e-05,2.87637834227256e-05,3.0907923334298e-06,0.00150881588561986,3.84437676311941e-09,0.998409183028328,9.66277864896118e-08
"TCGA.CE.A483.01A",1.37822620259256e-05,3.52693519597334e-08,1.30178888422808e-05,7.88791479030863e-05,2.07186781805862e-05,1.43030854460222e-08,0.00684880311106716,1.66321205858905e-06,0.0191197546799676,3.13633086243064e-08,0.973903117217321,1.82866888022352e-07
"TCGA.DJ.A3VD.01A",8.52776712006933e-07,6.35626714621113e-06,1.29895203923604e-06,1.80318387627007e-07,1.88017388706823e-06,0.000368861510013179,0.00186064063429017,9.06072990555294e-08,1.14069659453962e-06,1.36939321026119e-07,0.997758561080396,4.39135470482995e-11
"TCGA.BJ.A28S.01A",8.92821415324964e-06,1.40894551457657e-05,1.93269357650818e-06,0.000620984171076562,0.000123592229327884,2.80653946778559e-06,0.0073507478020723,3.76257567718014e-06,6.4597254041702e-07,2.22990306156109e-06,0.991869529412301,7.51031599749643e-07
