"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.C8.A278.01A",0.0504798301621814,0.0325799771608205,8.22433805832617e-05,0.714402635838883,3.88055057198273e-05,0.154428158051762,0.0446195697009838,0.00101145333327182,2.84839100284625e-05,0.00214977256174711,0.000157964364065139,2.11060299545351e-05
"TCGA.A7.A425.01A",0.00311695633234228,0.00142557452460635,0.0174096867651007,7.59374517253218e-05,0.328525967181564,0.0445961943966891,0.0431414197558467,0.00134826414655134,7.58172312059128e-05,7.18350608745465e-05,0.00086389434295757,0.559348452810537
"TCGA.E2.A15H.01A",0.000143621522164204,6.64845954758158e-06,8.50020550727485e-07,0.117005340497725,0.0814712466090862,0.0220934699091587,0.00389518547462464,0.000149320791589781,5.73789700679304e-06,2.09507801641015e-05,0.775183349300175,2.4278738207574e-05
"TCGA.A8.A06N.01A",0.000152946362436076,0.00287672879143259,0.000120950441504293,0.162055357740309,0.0228134196075321,1.9409438173633e-08,0.00515636537599918,1.33583455919678e-05,3.16542514314315e-09,0.000113724240823378,0.480361454899912,0.326335671619597
"TCGA.E2.A570.01A",0.000138101670416728,0.00273674637021,3.45443705608518e-07,0.166768670228846,0.105373714818347,0.123989007518731,0.00347847327773147,0.00115205713522298,1.52373874330544e-07,0.000119889993018796,0.596218651612673,2.4189557222357e-05
"TCGA.BH.A1FL.01A",0.0055667595731983,0.00890065537978959,0.00154434752731204,0.246594284634938,0.0577467435040486,0.0341956927203503,0.00445391318598587,0.00189260213269955,5.47732254487847e-07,0.000416168552679528,0.529429560981219,0.109258724075525
"TCGA.E2.A56Z.01A",0.00072676322986821,0.0097408947095448,9.43896816773748e-06,0.179176996057518,0.0570329956945988,0.0187655162591017,0.00493928123428687,0.000153001161537671,3.75684899208142e-07,0.000430442491510402,0.459493080876009,0.269531213632958
"TCGA.E9.A1RI.01A",3.42713744531377e-06,0.000220909454328913,2.52293201782042e-06,0.148516208871457,0.0715396458445577,0.163787448731876,0.00953877080755088,0.000574635499743658,7.88783730530062e-06,0.000163619667162772,0.605644318957329,6.04259225591931e-07
"TCGA.BH.A0DP.01A",0.00183949628362091,0.0127323322457119,1.60493857850134e-05,0.169601082731081,0.103283290464609,0.0684679264820216,0.011090169305206,0.000755731783794581,1.03616440698907e-07,0.000947447471811736,0.63125905587903,7.3143508875978e-06
"TCGA.AR.A0U3.01A",2.6396792784744e-07,0.00635066109681582,1.45782354176931e-06,0.369424309149675,0.0240142530396048,0.0127154292348398,0.0038071147335253,9.97788835291512e-05,8.61222789024577e-07,0.000135177463808894,0.583448375589661,2.31779428104816e-06
"TCGA.BH.A18L.01A",0.00083125318551115,0.00177193921018137,0.00471826166691444,0.172757398029979,0.0268978120003234,0.00451002514600609,0.00868218608979157,0.00033159726269904,3.13126441910356e-08,7.46786598067086e-06,0.246749959563565,0.532742068666404
"TCGA.A7.A3J1.01A",0.036278021122704,0.0303029041859503,0.0728757732453944,0.18034931208474,0.064787786480785,0.0814650388365137,0.0396098059025928,0.00215196791858023,1.09370129098439e-05,6.8690024746848e-08,2.15956920043731e-05,0.492146788827801
"TCGA.AC.A6IW.01A",0.0266004761126708,1.79368186110495e-05,0.235479797900287,1.29386284220779e-07,0.0509869699351529,0.00492316360368751,0.421248581183377,1.48318586274883e-06,2.22327076163545e-07,0.00308542603244344,0.000719263781061031,0.256936549733487
"TCGA.AC.A3YI.01A",0.000154652879044831,0.000108535936901139,2.32270935740502e-06,0.236119821604913,0.389031073621899,0.071888560300873,0.0130932411022791,0.00179103285171949,1.31208377464746e-06,0.000767545150469299,0.287041874371822,2.73869464673031e-08
"TCGA.D8.A1XG.01A",1.80108632664248e-07,5.45425328585598e-06,2.17967932520938e-06,0.124699346940543,0.280361721956324,0.00563899324623214,0.00903185660696469,7.39914172835421e-05,1.4332205007535e-07,5.84262103763527e-08,0.580185651597652,4.22445496432219e-07
"TCGA.A8.A082.01A",9.74452810486067e-07,2.24365708710019e-05,1.877488300957e-07,0.42848778739826,0.0265278889601241,0.0279201986738842,0.013404092895028,6.34471890529493e-05,4.91232563720064e-06,1.0066016711838e-06,0.50356472408809,2.34309574042322e-06
"TCGA.OL.A5RU.01A",0.0990670144943425,0.0227410623052224,0.0817200260687643,0.410700751409732,0.191734785322319,0.0461795424538587,0.026651501397857,0.001220678616464,0.000256327663369713,7.48992300881189e-05,4.22437365567954e-06,0.119649186664327
"TCGA.BH.A0HA.01A",0.00278222804525101,0.0311669251743746,6.72056675722908e-05,0.363876527936082,0.158505947015277,0.150595649071955,0.017716005497689,0.00125100540516875,6.54709627131083e-06,0.0013603832998948,0.27267001985027,1.55594019503422e-06
"TCGA.A2.A3XS.01A",0.00987115778150225,0.0117001751166867,0.0117948576258626,0.312862421061345,0.114200083874694,0.0172542193040429,0.00919362450171417,6.61778996775128e-05,2.67860316670218e-07,3.74191231585736e-06,0.512528291770325,0.000524981291517639
"TCGA.A2.A0ES.01A",0.000419189077094612,0.0140448077958452,0.000405612378922264,0.199212730982579,0.318304905441449,0.0445483217417275,0.0154306150004903,0.000667347201714958,2.94789457422155e-06,0.000472862192648897,0.406472155534645,1.85047583100106e-05
"TCGA.B6.A0RN.01A",0.00575694936913904,3.3161992056996e-06,9.48414515249564e-06,0.190886502324391,0.153629935447778,0.0978872857101962,0.0029364297964833,0.000799327315772451,7.51571960013528e-06,0.000368545464411298,0.547712867768749,1.84073912150906e-06
"TCGA.BH.A2L8.01A",0.0275434317593799,2.27618805678501e-06,0.189998254544664,0.37165054952232,0.241298228667694,0.10964502226143,0.0567982246601615,0.00250758330462246,9.48641623365282e-06,0.000437162057533522,0.000108975567251541,8.05050652790146e-07
"TCGA.E2.A108.01A",0.0256364828988855,0.138934630504809,0.0519090613493169,0.138988971813317,0.325611377224522,0.196347334156308,0.105008150669854,0.00413854514333928,8.31230948526894e-06,0.0121172304353785,0.00128560544250281,1.4298052281326e-05
"TCGA.AN.A046.01A",0.000613594918344119,0.0159104686871611,0.0195274668856371,0.245783382290009,0.0240106382725258,0.0368604222507861,0.0147961830858041,4.06279730717009e-05,2.83172591647888e-08,0.000668150943653539,0.641787531376966,1.50499878224491e-06
"TCGA.E2.A576.01A",0.00258914393360593,0.0214786312554141,1.09327925279839e-07,0.0557326884272977,0.104978840048629,0.0117256907034632,0.00765799601516601,0.00414682648238548,7.1711303897239e-08,0.000513318616698382,0.51806885879272,0.273107824685391
"TCGA.A2.A3XX.01A",0.0231862433844948,0.00491478580265939,0.0030566397458779,0.208395863018782,0.410193903809808,0.00594654019930056,0.0162040216524189,8.48378922617548e-05,8.73303919576224e-08,0.0005064785972046,0.327508273095812,2.32547098768301e-06
"TCGA.C8.A137.01A",6.37070915979885e-07,2.75919280119814e-05,8.77889562825552e-06,0.257265636192288,0.0559466777192373,0.0275880240229497,0.000942336582316378,9.17132999670627e-05,1.00433388785226e-06,2.80692676908642e-09,0.658123476969284,4.1201785876242e-06
"TCGA.A7.A4SC.01A",0.00361548001380476,0.00890219593512403,0.00949633075397433,0.328937580506365,0.0763580664310692,0.0390145585130491,0.00708100251870801,0.000519980319062587,8.35498743191413e-06,0.000284369499277646,0.495358537344139,0.030423543177995
"TCGA.E2.A15M.01A",0.000711237020327701,0.0564348215513661,0.0114616912563471,0.13725552578516,1.68630838864406e-06,0.109712703468809,0.0211278526211562,0.000198717733278819,0.00032506482579088,0.000746162058411393,0.662024062373748,4.74997216066382e-07
"TCGA.A8.A08I.01A",0.0167103992190733,0.0417179863546062,0.0965807638955316,0.668567595149737,0.0118108435986464,0.0245628324115087,0.13079182025953,0.000603253208570744,0.000106780607801845,0.00854308430397845,2.83416425147586e-06,1.80682676504023e-06
"TCGA.AC.A2FF.01A",0.0229395447937626,0.0225269108487715,0.0124770004740778,0.171211445466315,0.0572636320957418,0.137404323089378,0.0145363827338598,0.000878093154261161,4.11625680442389e-07,0.000778931385005732,0.559913438173702,6.98861594442504e-05
"TCGA.E2.A1L6.01A",0.00267179331687403,0.00115548869006128,0.00286497181179629,0.455221127277593,0.152916019452817,0.0377637014997103,0.0059321571034784,0.00020890778287735,3.34289306663352e-06,0.000269974412753266,0.340990223098059,2.29266091356602e-06
"TCGA.A7.A13E.01B",0.00313289468440215,0.0116766878483336,0.0073491838373774,0.320663935508898,1.24493268241949e-08,0.0561332145870388,0.000209770865553499,1.91170911252214e-07,3.26804046260494e-06,8.13098147231235e-09,0.600822751831707,8.08104500697318e-06
"TCGA.AR.A24S.01A",1.1503563576298e-05,0.00577684775096657,0.00028915341866366,0.747023455030239,0.0537106670417495,0.136739354960479,0.0480669395625661,0.000439359716481825,0.000500579536077017,0.000648917542059649,0.00679314310568396,7.87714580295635e-08
"TCGA.E2.A155.01A",0.00060644644089733,7.81183789590862e-07,6.92139650166047e-06,0.485753409989453,0.0249603110308354,0.00962003879241345,0.00190372604287203,0.000249737617298233,1.22418196094612e-06,1.169141502988e-05,0.476885561281868,1.5062708048869e-07
"TCGA.C8.A12M.01A",0.00544226152511556,0.0116501820439367,0.00318049065937507,0.176468867977789,0.0306643874688225,0.0100561213729462,0.00496894463247215,0.000798657515430593,1.59528626323115e-09,0.00101404795764567,0.366652221655516,0.389103815595665
"TCGA.E2.A14W.01A",0.000409148054793759,0.000809445260313923,0.000123351819736708,0.180577347139839,0.0197506063025065,0.0217665599001667,0.000805975569263437,7.46032733075622e-05,4.99367285646298e-09,2.75398617814783e-05,0.614354947456187,0.161300470368432
"TCGA.B6.A0RQ.01A",1.49570271709391e-07,0.000147967213578531,4.40628408846896e-07,0.251805253897565,0.4840594904911,1.14835387858063e-08,0.00703048376648839,0.000577840783814759,3.68708756161041e-08,0.000225550581057107,0.256150691363944,2.08334935704857e-06
"TCGA.EW.A1IW.01A",0.00045761142826594,0.0111412564541449,0.0017435727316328,0.37742710211498,0.205452662777576,0.0584352475520762,0.0121430298731274,0.000305954538059953,4.41737707343094e-05,0.000852038830678978,0.331997345562903,4.36582025321739e-09
"TCGA.A1.A0SM.01A",1.62579588818349e-06,1.15158396815987e-05,1.17533457917393e-06,0.370205860791045,0.0260790831635531,0.109683125167967,0.0104109361171373,0.000347362903849229,1.36626793561805e-06,2.69311511290685e-09,0.483253183241944,4.7626833046011e-06
"TCGA.E9.A1R6.01A",9.97299878590778e-06,7.26236133111469e-05,5.96595952569326e-06,0.306728702714924,0.0952700175003533,0.0328175207201535,0.0112461744843628,0.000393668707871226,2.50248603987917e-05,7.07954466074104e-05,0.553358187581923,1.34541178359678e-06
"TCGA.A2.A0CQ.01A",4.2859991780045e-05,0.0107044744680807,8.0042316214123e-07,0.239898977130608,0.0490916476180777,0.0155445467697064,0.01519084053323,0.000398611199210847,1.53316145441816e-06,0.000157415272139995,0.205950354411502,0.463017939021048
"TCGA.OL.A5D7.01A",0.0391276820024069,0.0362137256642087,0.0780679957637389,0.0177148273936092,0.0401332311219867,0.00740405942052847,0.0441421742115206,5.82479229661994e-05,0.000391519208100974,0.00324248664320933,6.06682346699451e-06,0.733497983824257
"TCGA.D8.A143.01A",0.0161763147842462,0.00936034370415169,0.00333434923344773,0.279877869117486,0.0176064612892175,0.0143648524460747,0.00579933290496303,6.40544905573838e-05,1.61566956588652e-09,0.000630135003396086,0.65278628166893,3.74186059972677e-09
"TCGA.C8.A138.01A",0.0182472778466053,0.00861106570752708,0.0899122119743631,0.385971371987433,0.206314142936243,0.0731401362583292,0.0211016626649214,0.00159856104787612,2.21658712376488e-05,0.000733374477219594,0.000112755252628206,0.194235273975616
"TCGA.E2.A14Q.01A",0.000926812498487928,0.00974876706309193,1.92404582081127e-06,0.221468266700705,0.112438376535927,0.0247234918106316,0.00282908483047739,0.000310157864530016,1.04227935803201e-08,0.000485511680638853,0.627066171446147,1.42510074872099e-06
"TCGA.A2.A0YL.01A",0.000259976801979656,0.0101607783537823,0.00732683775994562,0.343332428005189,0.159019060466662,0.0606084519254245,0.00963716950249493,0.000703130527060454,2.76287802434262e-05,0.000730649756002374,0.408120412230967,7.34758902486621e-05
