"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.BQ.7044.01A",0.000774908053313118,1.10824778208418e-09,6.27880399088697e-06,0.0923149250746684,0.00225354518837344,6.77018932327036e-05,0.00196953034077693,7.92230249219724e-06,1.54074439197225e-08,0.000194618412104405,0.902409887923178,6.65492177843849e-07
"TCGA.SX.A7SR.01A",1.49849218000271e-06,2.47725485944061e-06,3.5912196047391e-05,0.385799590619813,0.00608416638488674,7.05969680394701e-06,0.00695533054322565,0.00183833247673312,0.000173069478507328,0.000323228118513927,0.59877850881213,8.25926299563003e-07
"TCGA.MH.A854.01A",3.43364492756534e-05,0.00364451754914793,0.00303957758971491,0.344249078141601,0.0592703898820156,3.92275820227873e-06,0.00320354305918178,0.000333634858930364,1.79144558451772e-06,9.88649170539347e-05,0.586119244362317,1.09898697501435e-06
"TCGA.B3.8121.01A",2.69877790085726e-06,1.70027451917211e-05,1.07964693127538e-06,0.339507084709032,0.0589139795896956,0.0023960359220421,0.0569267395003466,0.000559475103090479,1.0675245113157e-05,0.0034987482948621,0.538165736239282,7.44226512217619e-07
"TCGA.2Z.A9JJ.01A",5.48989136299757e-06,0.000610501719849856,0.000108534345232987,0.0991072577932121,0.0416679966430716,0.00469793865272778,0.0155365046165878,0.000236265333470216,1.97483426365022e-06,1.34126307937656e-06,0.838026193758723,1.14841832787032e-09
"TCGA.B1.7332.01A",5.97333002536761e-08,5.90157720000445e-07,5.72574721196539e-08,0.305591035379541,0.0241127399473456,0.00163398632890313,0.010028461479316,0.000312400248692111,1.77225022530573e-07,0.000231726954576948,0.658088731267401,3.40207099917239e-08
"TCGA.WN.A9G9.01A",0.000101366967209734,0.137522859618303,0.568955666761389,9.88527870566056e-06,1.20715401300117e-05,1.28741028978306e-05,0.185590734538371,1.36500965707157e-05,1.13265687343462e-05,0.107726385415141,3.67519429751508e-05,6.42716957301602e-06
"TCGA.A4.8310.01A",1.79857771133904e-07,2.25353080705367e-08,7.87891979294764e-07,0.235257070542253,0.00834849336687337,0.00123716763943811,0.0133779182114888,2.71910143193312e-06,8.24640881999383e-09,2.54590979537614e-07,0.741774824151761,5.53864307050283e-07
"TCGA.2Z.A9JT.01A",0.000569075526887611,0.0103169631805154,0.0244476222677287,0.0769517482716125,0.0259365529830908,0.000784987387442125,0.0479431149335756,0.000735727018818658,0.001868627890883,0.00140514929462588,9.31738582801977e-07,0.809039499506237
"TCGA.5P.A9K2.01A",0.000234344460328025,0.000401166515568175,0.000175891781730684,0.119659722768029,0.0068594683113938,8.48202052879246e-06,0.00153796561147837,0.000251342181291889,7.19541865798209e-10,4.16597980479e-05,0.537895289420074,0.332934666411987
