"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.V1.A9OF.01A",0.000548201662487597,0.00322591129368415,0.00104554748747945,0.189637368416785,0.112337985263859,8.54925568222615e-09,0.00514537934633218,0.000304601227118461,7.4567088772135e-08,0.000214926760752315,0.385799461690466,0.301740533734692
"TCGA.ZG.A8QX.01A",0.00891148184300141,0.00169178314150443,0.0014929950241428,0.0231240217368841,0.697456496198885,2.27980379623643e-08,0.00263433927243598,0.000184084710972265,2.53590860249682e-06,9.05628415931896e-05,0.264410520973762,1.15555017895816e-06
"TCGA.YL.A8SC.01A",0.00223472538367702,0.0167781477760126,0.00858352708341453,1.57206590681418e-06,0.272061191559259,0.000633880269026946,0.0248425101745585,0.00062031206607215,0.000129889033889812,0.00130757254407581,2.42525412303621e-05,0.672782419502877
"TCGA.HC.7817.01B",0.000109733865324299,9.5876812677697e-06,3.30471181853282e-06,0.000254630952293194,0.980347221970785,3.80318799872118e-06,0.0153530283758071,0.000219491460775051,0.000460634715192048,6.0898441437096e-06,0.00323059096237468,1.88227221986323e-06
"TCGA.KC.A7F6.01A",0.0101987500443586,0.00103336075794944,0.00179241617083689,0.0255743699633362,0.306079550548693,5.39579177805744e-07,0.0019048427224297,0.000215547566972037,2.96617602579532e-07,7.61251414940127e-05,0.653117628922027,6.57196512238085e-06
"TCGA.KK.A7B4.01A",0.00461049903888596,0.00895989170824215,0.0092286561209256,0.0918930920971235,0.244742764090497,0.00258657674057907,0.00689132904269281,0.000141257220979688,1.73988540983052e-06,0.00018806857137132,0.185759094066562,0.444997031416731
"TCGA.G9.6366.01A",0.000770381949439014,0.0018138807220128,0.00303264263382401,0.0951036735932701,0.182074562366318,4.12530505645203e-10,0.000835503624784711,0.000203238723575438,1.15464696616437e-07,0.000208242283139991,0.447488681726742,0.268469076499667
"TCGA.KK.A59X.01A",0.000160139333035104,0.000449615579909854,0.000779911550186167,0.127567723908009,0.264079577523768,0.00166089413465301,0.00414846840136881,0.000147856391820575,7.77758051735756e-09,0.000116956676103698,0.407004227413034,0.193884621310532
"TCGA.HC.A6AN.01A",0.00121837353967896,0.00188518606132217,0.00449500919302048,0.0210311740321309,0.353089197076244,3.06844578026377e-08,0.00674589389526859,0.000331505705929478,4.43158622542286e-07,0.000277277295840246,0.294363117995312,0.316562791362173
"TCGA.G9.6498.01A",0.0134756899650511,0.0144125059518479,0.00933198055511503,3.15201822551407e-05,0.458261232602158,0.00795579812390796,0.00452376367890152,0.00115135102624298,3.95195558419357e-08,1.34390802302108e-05,0.198446630178712,0.292396049136022
"TCGA.J4.AATZ.01A",0.000481308297771355,0.00295321014253497,0.000441615204615126,0.119837553964689,0.132179115425007,2.27112732661468e-09,0.00188740950106333,0.000173959506526268,2.0972898319808e-07,0.000385364762154836,0.450286471737465,0.291373779458062
"TCGA.EJ.7317.01A",0.000125908279887992,0.000285788627377637,3.87105992924113e-07,0.114719175823775,0.252431745045785,5.33457239445592e-08,0.00100467339148998,0.000175957620376123,7.15158132081333e-07,7.3609940009961e-05,0.473163669377412,0.158018316284036
"TCGA.SU.A7E7.01A",0.00208177575950248,0.00262120877173926,0.00911867952842551,0.150798144563761,0.238270440387271,7.48254525191644e-05,0.00494338480196822,0.000195864528572286,2.35527144900621e-07,8.40752777802729e-05,0.551438424768761,0.0403729406325546
"TCGA.XJ.A83F.01A",3.37694749462725e-05,0.00329429724199662,0.00115015766211773,0.000130575911760047,0.517551105007449,1.54188026160483e-07,0.00256540747764139,0.000223909207761464,1.71462440758785e-05,7.13745459531604e-05,0.206682764537374,0.268279338500898
"TCGA.2A.AAYO.01A",0.0222039332714744,0.0216326728161512,0.00291199184364337,3.86527975537133e-05,0.839804068617094,4.83080630384132e-07,0.0120376711649328,0.00200014898153628,0.000145388581193604,0.000533783230473271,0.000160222731039369,0.0985309828842772
"TCGA.EJ.A46B.01A",8.3304157747873e-05,8.54388675842431e-06,2.14405493446838e-05,0.000494106869302458,0.992585539100274,1.66396512624888e-08,0.00517960763447802,0.000233377053581545,0.00022599189007859,0.000228015623135237,0.000939878146765112,1.78448882766104e-07
"TCGA.QU.A6IN.01A",0.00113235862966461,0.00227262294633678,0.000326084676991826,0.0096607645684737,0.314419568626913,3.96588018710291e-08,0.000192667450892811,0.000192670644868358,9.26868301162862e-06,0.000421539490736042,0.361498397217028,0.309874017406282
"TCGA.KK.A59Z.01A",0.000969547798437532,0.000687061385925967,0.000902766906807619,0.0772476617666301,0.515045915638832,2.96485158946284e-08,0.00425817285388517,0.00038084894162895,1.01297757844709e-05,1.24506348717441e-05,0.379513625396386,0.0209717892522943
"TCGA.XK.AAJT.01A",7.88194648868948e-07,3.90927651045884e-06,5.85049020478002e-08,5.58894805788891e-07,0.991859820757258,1.56225991828476e-07,0.00810837353626025,2.24263068684668e-05,5.81160195217564e-07,5.28505812410832e-07,1.91062627769664e-06,8.88010469390539e-07
"TCGA.EJ.7125.01A",0.000225815101770669,2.95120035428853e-06,0.00220103716558282,0.214407653094338,0.27029122120337,0.00643515556772601,0.00403585700502998,0.000758997655395138,8.5286311606059e-07,4.00454054630599e-07,0.501640048714329,9.97493331209027e-09
"TCGA.J9.A52C.01A",2.4665946747587e-05,2.20535159874011e-06,7.40093591651353e-09,6.06608157473642e-08,0.991341166405433,6.16497064410362e-07,0.0081381138326057,0.000484809051881242,1.22655817291268e-07,6.68908891322918e-06,9.93492433112483e-07,5.49615753776083e-07
"TCGA.YL.A8HL.01A",0.000123154814429736,1.78203980336813e-06,0.000321959088088514,0.136929756444514,0.104298211898721,1.66666683688417e-08,0.000715514021376875,3.23064698500813e-05,1.75439703757864e-09,6.61086118601368e-06,0.583356388837388,0.174214297103577
"TCGA.ZG.A9LZ.01A",0.000378648168150022,0.000978869646534455,0.0101118226153434,0.13353604252555,0.255059973046576,2.23835095542853e-07,0.00511419366287798,0.000172418245192858,1.85720012213762e-07,6.67519759904259e-09,0.393353258245107,0.201294357614363
"TCGA.J9.A8CP.01A",0.000439959274412041,0.00020657600744169,0.000132266553880447,0.151415790606218,0.244531090336771,0.00116670625975867,0.00146736767570804,0.00819641603958787,7.96222486057737e-08,0.000167119279045291,0.579593678817168,0.0126829495277611
"TCGA.FC.A6HD.01A",0.0022910127771964,0.00286472754276273,0.00130249146617944,0.0601474229965608,0.137573164241174,1.45012682517243e-08,0.00231624070854254,0.000823540579885137,9.2813979942659e-07,0.000167237050055172,0.338447144197218,0.454066075799358
