"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.A5.A0R8.01A",6.66988058193989e-07,0.00377831753122957,3.81849714826377e-06,0.406890619705367,0.0591457901120505,0.00518543196423333,0.0112690898416977,6.92565591694584e-05,9.21471759382473e-05,0.00120165358136545,0.512363206822191,1.22155128904689e-09
"TCGA.A5.A0G3.01A",0.000235956501746715,0.000220124463551346,2.42083005807269e-06,0.17577627645314,0.0931019407948437,2.70844651449616e-08,0.0025721101509105,7.12208830309064e-06,3.75494592510421e-07,1.45494529743368e-06,0.663564641977926,0.0645175492151657
"TCGA.AP.A054.01A",0.000300886117069434,0.00135399201327806,0.00944700252584045,0.182555240839006,0.0241683551163871,0.00487119342908813,0.00129175626631784,5.9009090217095e-07,7.44472170388361e-09,0.000641815726607331,0.633088210303295,0.142280950127487
"TCGA.A5.A0GX.01A",5.65395956820618e-07,0.00055141878128493,0.00554008470386979,0.155630566636289,0.0834313800241696,0.0157536254619502,0.0100147403129643,0.000261342706476683,3.74389462329949e-06,0.000887889224361907,0.727912015706062,1.26271519911627e-05
"TCGA.DI.A2QY.01A",0.000135930867665607,0.00182939779091866,0.000139398400837842,0.170995819963147,0.0318367385092875,0.00540565239337362,0.000122141473806325,2.35342706809734e-05,3.51407237914757e-10,0.000302420429304944,0.627917470386759,0.161291495162812
"TCGA.EY.A1GC.01A",0.0518813966422431,0.026444733795936,0.00139789809111248,0.397992794242162,1.88535787002157e-07,0.017161903327853,0.0478201631990607,4.82728582475025e-07,1.68917681641607e-06,0.00383167375558797,0.453457241979817,9.83452504199914e-06
"TCGA.A5.A0GI.01A",0.000364127087110156,0.00902983159322532,5.83282480982383e-06,0.326193776510908,0.0216265452537739,0.00840975644482195,0.0038652220890171,6.1984771307812e-06,3.30233062162317e-06,0.000632170969929168,0.629862627966747,6.08451906101658e-07
"TCGA.D1.A17S.01A",0.000703842965074912,0.00104968535537893,0.000654317101323646,0.163729026819529,3.47018331029191e-08,0.0176669614881699,0.00127337640618967,5.61291663757483e-05,1.99726108927444e-07,1.03932492228929e-06,0.6266614055778,0.188203981367294
"TCGA.EY.A5W2.01A",2.18416775545589e-05,0.0127960619257036,0.00163775446297047,0.311122176573392,0.0692355117360214,0.0224341201472017,0.00995342523401395,4.35579568917597e-05,1.50226214241339e-06,0.00212885266956908,0.570624658692267,5.36662271375173e-07
"TCGA.D1.A1NU.01A",3.65691538027797e-08,1.11109756397254e-06,3.72260447557819e-07,0.0660136139428568,0.0105331367344506,0.00309238802189572,0.00781022243915259,4.62102405389862e-06,3.67945400183689e-07,0.000781264432700275,0.911762674272585,1.91259739750557e-07
