"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.EL.A3D0.01A",0.000131133161985609,4.92418307975672e-05,0.000654069247453665,0.625670781202383,0.00347256580325688,0.0920770303894675,0.209600409970616,0.000653479095744179,0.00736712530480088,0.0023542656288718,0.0579698772012231,2.1163400455024e-08
"TCGA.J8.A4HY.01A",2.03185067153562e-06,7.1586446241191e-06,7.2328340997493e-06,0.357331083215329,2.24413208262976e-05,5.19223782670897e-06,0.641873181887904,1.24981018778985e-05,4.61343424997876e-06,5.50165969578279e-05,0.000679512994616066,3.68810161663999e-08
"TCGA.L6.A4ET.01A",4.47902284384461e-06,2.62473085444589e-09,2.06213924713902e-05,0.610092359901319,0.000194374169505484,0.0597198035167936,0.27304349112694,1.11876636450866e-07,0.0569233756423933,1.750100572942e-07,1.15889933128944e-06,4.68169769217151e-08
"TCGA.DE.A4MC.01A",7.28446711359186e-07,2.36068165031424e-07,7.79080526347053e-05,0.328945376584079,6.47282103057924e-08,1.77408057606343e-07,0.63523813441268,5.6391048276235e-07,0.0353718778442479,7.09674647753003e-07,0.000362689844165959,1.53302591695222e-06
"TCGA.ET.A25K.01A",0.000235705163933463,8.19366525033186e-06,1.05066498480494e-06,0.583441478014123,0.239724814835096,0.0776312200246985,0.0952026635936692,2.43106091971433e-07,0.0037392454724834,4.9502742278257e-07,1.48468062283225e-05,4.36260179271423e-08
"TCGA.DJ.A3UU.01A",0.000446343432824173,0.00047546999677485,2.00190333004588e-07,0.647945019441136,0.000127298581408235,0.0625625604753007,0.217230795943301,0.000254548759336564,0.0699939104668769,0.000166509359057997,0.000794249366869754,3.09398678095652e-06
"TCGA.EM.A1YA.01A",5.84443250014522e-06,3.60415495029793e-06,9.47868076617367e-05,0.638351706734664,0.0741010617307128,0.00384810674302223,0.228116764006946,0.000132898377733512,0.0549554471431645,0.000173221348488282,0.000216530696356852,2.78238001544456e-08
"TCGA.CE.A483.01A",9.32436270688983e-06,0.00127997068228897,0.000110666648837388,0.253816714083851,0.000327033759195764,0.0198894422672602,0.638243522239311,0.000103336535356327,0.0778939832556796,3.19195485297315e-06,0.00832281243019598,1.78046394479199e-09
"TCGA.DJ.A3VD.01A",5.6312256070322e-06,7.3133500969494e-07,1.24403457446645e-05,0.42338693689403,2.52374907653788e-06,0.115544826078855,0.244462745051345,5.09726271098129e-09,0.216437038104318,5.67109983923051e-05,6.62507880635492e-05,2.41603322948632e-05
"TCGA.BJ.A28S.01A",2.82530418459483e-06,1.86297163744141e-05,0.00118617974299148,0.385603180605733,0.000257861488580581,0.0110470314425531,0.576043095486702,1.54346745355196e-05,0.0139713544616822,5.44925525470231e-05,0.0117964501648502,3.46435926614786e-06
"TCGA.FY.A3R9.01A",0.000172270395144893,0.00523556768805453,5.45656855856892e-05,0.587490967771684,0.00956613917190643,0.00182904069709271,0.389867687899379,0.000792018150669082,0.000394659308552103,0.0043586549916121,0.000208759643543367,2.96685967757979e-05
