"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.HQ.A5NE.01A",0,0,0,0,0.527700737917268,0.232454655922077,0.239844606160655
"TCGA.FD.A5BT.01A",0,0,0.183257974303561,0,0.0431402488232433,0.0133643455629518,0.760237431310244
"TCGA.DK.A3IQ.01A",0,0,0,0,0.0203246115853812,0,0.979675388414619
"TCGA.ZF.AA4X.01A",0,0,0,0,0.219159650376854,0.780840349623146,0
"TCGA.GD.A3OQ.01A",0,0,0,0,0.556351043375005,0.304140926624289,0.139508030000705
"TCGA.ZF.AA51.01A",0,0,0.0790664857144626,0,0.438897116644129,0.398542861080995,0.0834935365604135
"TCGA.FD.A3SS.01A",0,0,0,0,0.365423732716173,0.586756328144828,0.0478199391389988
"TCGA.DK.AA71.01A",0,0,0,0,0.342365898823528,0.594276574127747,0.0633575270487251
"TCGA.4Z.AA83.01A",0,0,0.0107064254654646,0,0.610356217583843,0.378937356950693,0
"TCGA.ZF.A9R4.01A",0,0.10674845108927,0.014093452113931,0,0.294115864026155,0.585042232770644,0
"TCGA.BT.A20P.01A",0,0,3.95874190329333e-05,0,0.372405918788437,0.627554493792531,0
"TCGA.HQ.A2OE.01A",0,0,0,0,0.146315830660542,0.853684169339458,0
"TCGA.R3.A69X.01A",0,0,0.168277309938486,0,0.459642854855521,0.165278727400923,0.20680110780507
"TCGA.BT.A3PH.01A",0,0,0,0,0.376229323116802,0.588373055770845,0.0353976211123533
"TCGA.UY.A9PA.01A",0,0.0368233863474359,0.110078511162944,0,0.58985329189771,0.26324481059191,0
"TCGA.BL.A13J.01B",0,0,0,0,0.580341302177957,0.0797151822311852,0.339943515590858
"TCGA.CF.A3MI.01A",0,0,0,0,0.496260022628785,0.503739977371215,0
"TCGA.XF.AAMW.01A",0,0,0.0188215052809115,0,0.714644904627003,0.121130380103142,0.145403209988943
"TCGA.H4.A2HQ.01A",0,0,0,0,0.494881830161853,0.505118169838147,0
"TCGA.HQ.A5ND.01A",0,0,0,0,0.373365287026179,0.626634712973821,0
