"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.TQ.A7RO.01A",0,0,0,0,0.749949982437219,0.250050017562781,0
"TCGA.CS.6670.01A",0,0,0,0,0.645875130254372,0.354124869745628,0
"TCGA.QH.A6X5.01A",0,0,0,0,0.652348189832577,0.347651810167423,0
"TCGA.HW.7493.01A",0,0,0.0135450543270493,0,0.765162223584612,0.221292722088338,0
"TCGA.CS.6667.01A",0,0,0,0,0.700389172306355,0.299610827693645,0
"TCGA.DU.6406.01A",0,0,0.0846726093968355,0,0.885550520926051,0.0297768696771133,0
"TCGA.DU.A7TA.01A",0,0,0.0657228926282003,0,0.642275883039079,0.29200122433272,0
"TCGA.QH.A6X4.01A",0,0,0,0,0.546574290688837,0.453425709311163,0
"TCGA.TQ.A7RR.01A",0,0,0.0365664969189062,0,0.68118970871146,0.282243794369634,0
"TCGA.HT.8104.01A",0,0,0.0517964342862239,0,0.859243389897687,0.0889601758160895,0
"TCGA.HT.A74K.01A",0,0,0.0165493380344173,0,0.64147230156724,0.341978360398342,0
"TCGA.DB.A64X.01A",0,0,0,0,0.571895269114208,0.428104730885792,0
"TCGA.HT.8107.01A",0,0,0,0,0.680102969866755,0.319897030133245,0
"TCGA.FG.A710.01A",0,0,0.0792170637509872,0,0.691680428878175,0.229102507370838,0
"TCGA.QH.A6CX.01A",0,0,0.10682605635901,0,0.641622944915029,0.251550998725961,0
"TCGA.CS.6666.01A",0,0,0,0,0.681012697880069,0.318987302119931,0
"TCGA.TM.A7CA.01A",0,0,0,0,0.547116781585342,0.452883218414658,0
"TCGA.HW.7486.01A",0,0,0,0,0.667225214940576,0.332774785059424,0
"TCGA.QH.A6X8.01A",0,0,0,0,0.546480488776432,0.453519511223568,0
"TCGA.DU.A76K.01A",0,0,0,0,0.555657876295814,0.444342123704186,0
"TCGA.DB.A4XD.01A",0,0,0,0,0.640979039669971,0.359020960330029,0
"TCGA.DH.A669.01A",0,0,0.0619204240809924,0,0.724256322043926,0.213823253875082,0
"TCGA.WY.A858.01A",0,0,0.141639590144238,0,0.644479954923154,0.213880454932608,0
"TCGA.DU.7294.01A",0,0,0,0,0.665627665474617,0.334372334525383,0
"TCGA.TM.A7C3.01A",0,0,0,0,0.709003132268711,0.290996867731289,0
"TCGA.WY.A85E.01A",0,0,0,0,0.572571771738206,0.427428228261794,0
"TCGA.FG.A6J1.01A",0,0,0,0,0.652222207478399,0.347777792521601,0
"TCGA.QH.A65Z.01A",0,0,0,0,0.596109247732596,0.403890752267404,0
"TCGA.VM.A8CD.01A",0,0,0.133320627588328,0,0.757106184210799,0.109573188200873,0
"TCGA.HT.8019.01A",0,0,0,0,0.513366942319099,0.486633057680901,0
"TCGA.QH.A6CV.01A",0,0,0.175260520567201,0,0.684639721856575,0.139807985835494,0.000291771740729748
"TCGA.FG.A6IZ.01A",0,0,0,0,0.612068155269662,0.387931844730338,0
"TCGA.P5.A5F1.01A",0,0,0.115560521065123,0,0.706292212518158,0.178147266416719,0
"TCGA.P5.A72U.01A",0,0,0.0464484468599156,0,0.826521175405791,0.114906127813632,0.0121242499206621
"TCGA.CS.4943.01A",0,0,0.00121058804039615,0,0.487644707948292,0.511144704011312,0
"TCGA.P5.A5EW.01A",0,0,0,0,0.719731226276186,0.280268773723814,0
"TCGA.E1.5322.01A",0,0,0.115510961609459,0,0.645032888833261,0.23945614955728,0
"TCGA.HT.A4DS.01A",0,0,0.199821520115052,0,0.509334836343428,0.29084364354152,0
"TCGA.FG.7634.01A",0,0,0.045796157128566,0,0.856640433152129,0.0975634097193053,0
"TCGA.DU.7306.01A",0,0,0,0,0.706256506110584,0.293743493889416,0
"TCGA.FG.7636.01A",0,0,0.000319694786078533,0,0.567784391205622,0.4318959140083,0
"TCGA.S9.A7J3.01A",0,0,0,0,0.71996523739026,0.28003476260974,0
"TCGA.DU.A6S7.01A",0,0,0,0,0.556355438381558,0.443644561618442,0
