"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.BC.A10Z.01A",0,0,0,0,0.361052599043597,0.638947400956403,0
"TCGA.DD.AAEK.01A",0,0.00407721154739594,0.33373139111388,0,0.538434704469413,0.0989126005528359,0.024844092316475
"TCGA.G3.A3CK.01A",0,0.00022995812648293,0.335507660183627,0,0.434424645778574,0.229837735911316,0
"TCGA.DD.A1EJ.01A",0,0,0.226667491251257,0,0.202908798915448,0.570423709833295,0
"TCGA.DD.AACU.01A",0,0,0.202489904582963,0,0.423071795375076,0.302654764011807,0.0717835360301535
"TCGA.ZS.A9CE.01A",0,0,0.105579400879449,0,0.424815071684946,0.469605527435605,0
"TCGA.2Y.A9H2.01A",0,0,0.072968948433382,0,0.487534245977258,0.43949680558936,0
"TCGA.CC.5261.01A",0,0,0.127405434409005,0,0.524534300614237,0.0823135667352051,0.265746698241553
"TCGA.DD.AADP.01A",0,0,0.0704206988438462,0,0.486552671904448,0.389396473390877,0.0536301558608286
"TCGA.2Y.A9H4.01A",0,0,0.324389531113699,0,0.268492564834811,0.40711790405149,0
"TCGA.DD.A1EA.01A",0,0,0.424153320459702,0,0.440880159179524,0.134966520360775,0
"TCGA.CC.A3MC.01A",0,0,0.198865997403933,0,0.370696622568974,0.291447635668468,0.138989744358626
"TCGA.FV.A2QR.01A",0,0,0.0907280850812235,0,0.722489860939992,0.159236347204039,0.0275457067747456
"TCGA.EP.A26S.01A",0,0,0.00135720914457872,0,0.522478665832722,0.476164125022699,0
"TCGA.K7.AAU7.01A",0,0,0.0846727894874733,0,0.500590012612662,0.245228781716684,0.169508416183181
"TCGA.G3.A25T.01A",0,0,0.00918906976344761,0,0.512476518370275,0.465818247545568,0.0125161643207092
"TCGA.DD.AADB.01A",0,9.33966526885438e-05,0.278499221117555,0,0.326443370127639,0.394964012102117,0
"TCGA.UB.A7MA.01A",0,0,0,0,0.517041187620262,0.412453951860531,0.0705048605192067
"TCGA.DD.AAD0.01A",0,0,0.0962838691551859,0,0.38443516929304,0.519280961551774,0
"TCGA.BC.4072.01B",0,0,0.200734696458468,0,0.57014322014415,0.229122083397382,0
"TCGA.DD.AACD.01A",0,0,0.416525127898606,0,0.315434736130472,0.268040135970922,0
"TCGA.DD.A3A5.01A",0,0,0.020281727385607,0,0.521031297276596,0.458686975337797,0
"TCGA.ZP.A9D1.01A",0,0,0.120283311285933,0,0.654420750767244,0.107421482830653,0.11787445511617
"TCGA.ZP.A9D0.01A",0,0,0.0255351993982961,0,0.497717671581704,0.47674712902,0
"TCGA.CC.A7IK.01A",0,0,0.0546565071257434,0,0.403197228594523,0.542146264279733,0
"TCGA.WQ.AB4B.01A",0,0,0.253334434955543,0,0.394979093494836,0.270405037478444,0.0812814340711761
"TCGA.FV.A4ZQ.01A",0,0.00496217671463201,0.556816590399031,0,0.120092471912691,0.318128760973646,0
"TCGA.G3.A25S.01A",0,0,0.229992478263663,0,0.100191158098407,0.66981636363793,0
"TCGA.NI.A4U2.01A",0,0,0.00305035467995585,0,0.750216049149027,0.246733596171018,0
"TCGA.RC.A7SK.01A",0,0,0,0,0.452858590798728,0.546751510921502,0.000389898279769668
"TCGA.DD.AADS.01A",0,0,0.454714752396042,0,0.168874867797968,0.37641037980599,0
"TCGA.DD.A73F.01A",0,0.00221556879598361,0.428084973390017,0,0.444117562736838,0.125581895077161,0
"TCGA.DD.A11C.01A",0,0,0.0864697647840513,0,0.763183737343983,0.113938904765876,0.03640759310609
"TCGA.FV.A23B.01A",0,0,0.210619624200365,0,0.512155981777285,0.27722439402235,0
"TCGA.DD.AADD.01A",0,0,0.138271633854429,0,0.228165560830368,0.633562805315204,0
"TCGA.DD.AACO.01A",0,0,0.20151022140404,0,0.255890158523117,0.530601894847633,0.01199772522521
"TCGA.RC.A6M3.01A",0,0,0.0682315872334951,0,0.339763756944088,0.592004655822417,0
"TCGA.DD.AAED.01A",0,0,0.0658273902035031,0,0.259353818208828,0.674818791587669,0
"TCGA.BC.A10X.01A",0,0,0.158274045836479,0,0.618314720623441,0.031371036951421,0.192040196588658
"TCGA.DD.AAVP.01A",0,0,0.150419331306954,0,0.487592734024054,0.361987934668992,0
