"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.C8.A278.01A",0,0,0.114914039613713,0.00471052435634747,0,0.000844705625719542,0.310838853577251,0.568691876826969
"TCGA.A7.A425.01A",0,0,0.0364805209782023,0.0403455790903694,0,0.00101260038575293,0.2788817038906,0.643279595655076
"TCGA.E2.A15H.01A",0,0,0.000466607530483304,0.0237248500790541,0,0.000292949859847958,0.381575663852557,0.593939928678057
"TCGA.A8.A06N.01A",0,0,0.0140720952271196,0.16361975655503,0,5.43801869953658e-05,0.74775920998634,0.0744945580445152
"TCGA.E2.A570.01A",0,0,0,0.00243610660657722,0,0.000640361930108931,0.125679535785121,0.871243995678193
"TCGA.BH.A1FL.01A",0,0,0.0107526262257978,0.00949287329599601,0,0.00257633729831254,0.546281496014847,0.430896667165047
"TCGA.E2.A56Z.01A",0,0,0.013567029473359,0.0536424486485443,0,0.000181141647996862,0.499451171197526,0.433158209032574
"TCGA.E9.A1RI.01A",0,0,0.00116563830220418,0,0,0.000414491898606422,0.125061024554328,0.873358845244861
"TCGA.BH.A0DP.01A",0.0134274127357296,0,0.0237032592141869,0.0113277093193145,0,0.00120775228820388,0.344864956808614,0.605468909633951
"TCGA.AR.A0U3.01A",0,0,0.0219532115555051,0.0130560663871291,0,0,0.588955839191846,0.37603488286552
"TCGA.BH.A18L.01A",0.00207664094738987,0.000774654937289528,0.0166960110586018,0.0962590288391683,0.00181668714517793,0.000438066098978004,0.640728853202193,0.241210057771201
"TCGA.A7.A3J1.01A",0,0,0.0336125060281776,0,0,0.00224857160847261,0.37131078471091,0.592828137652439
"TCGA.AC.A6IW.01A",0.105038513867144,0.0675351318346869,0.21221326962772,0.11924795115206,0,0,0.370613346313426,0.125351787204962
"TCGA.AC.A3YI.01A",0,0,5.9117426378908e-05,0.00698380778563888,0,0.00184630503972984,0.32092752554611,0.670183244202142
"TCGA.D8.A1XG.01A",0,0,0,0.0397302553763211,0,0,0.382778898492812,0.577490846130867
"TCGA.A8.A082.01A",0,0,0.0108932036210144,0.00754525721363468,0,0,0.373861998079697,0.607699541085654
"TCGA.OL.A5RU.01A",0,0.000175258954514958,0.0296950166355146,0.0127596548573561,0,0.00154924758306185,0.509424307860157,0.446396514109396
"TCGA.BH.A0HA.01A",0,0,0.00794969981737498,0.00529806340888051,0,0.00112587908074407,0.317392558685815,0.668233799007185
"TCGA.A2.A3XS.01A",0,0,0.0438761604129511,0.0656006937257337,0,7.30518787871638e-05,0.441146789827039,0.449303304155489
"TCGA.A2.A0ES.01A",0,0,0,0.00265592115189498,0,0.000398677864231185,0.448724988540588,0.548220412443286
"TCGA.B6.A0RN.01A",0,0,0,0,0,0.00132831401925774,0.242258169318921,0.756413516661821
"TCGA.BH.A2L8.01A",0.0518117770220653,0.0174314258436828,0.0947583119804336,0.00286923433385016,0,0.00194493153470458,0.270414640466521,0.560769678818743
"TCGA.E2.A108.01A",0,0,0.0834173045702517,0.00338678757757717,0,0.00368748603123385,0.311799965043346,0.597708456777591
"TCGA.AN.A046.01A",0.11852624488691,0.0217632973759334,0.0416362666327227,0.00535425124076079,0.0100344102234179,4.49902825893417e-06,0.352964656259793,0.449716374352203
"TCGA.E2.A576.01A",0.0575870576588476,0.0542488529925621,0.0125798345905853,0.183008873815126,0.0695200858631008,0.00360998800552549,0.336685205582775,0.282760101491477
"TCGA.A2.A3XX.01A",0,0,0.0458089694791963,0.0480059807094279,0,4.56605470059454e-05,0.363715216406237,0.542424172858133
"TCGA.C8.A137.01A",0,0,0,0.0369564032711508,0,7.51070740090125e-05,0.363961640363148,0.599006849291692
"TCGA.A7.A4SC.01A",0,0,0,0.00653164774992737,0,0.000959119176298574,0.414645705152802,0.577863527920972
"TCGA.E2.A15M.01A",0,0,0.0487477020503558,0,0,0,0.300608728935687,0.650643569013958
"TCGA.A8.A08I.01A",0.00440783314565669,0.00043629907513569,0.324438005183615,0,0,0.000457484375516081,0.391382000027571,0.278878378192506
"TCGA.AC.A2FF.01A",0,0,0.00500809635274542,0,0,0.00138277254019239,0.344736659730851,0.648872471376211
"TCGA.E2.A1L6.01A",0,0,0.00660108492733547,0.00531650696646612,0,0.000246040602288245,0.445076583358641,0.542759784145269
"TCGA.A7.A13E.01B",0,0,0,0.00264228074877533,0,0,0.432344910351757,0.565012808899467
"TCGA.AR.A24S.01A",0,0,0.0752123647028864,0,0,0,0.265165330787091,0.659622304510023
"TCGA.E2.A155.01A",0,0,0.00551412261652696,0.0647346762731736,0,0.000497572749155319,0.54064678967885,0.388606838682294
"TCGA.C8.A12M.01A",0.00790229893249064,0,0,0.0117256030879537,0,0.00121206848915162,0.748421353897588,0.230738675592816
"TCGA.E2.A14W.01A",0,0,0.00830846034018476,0.0706423555563422,0,4.72660481651685e-05,0.38215129797844,0.538850620076868
"TCGA.B6.A0RQ.01A",0,0.00949260729045383,0,0.0922511350445396,0,0.000556658633734696,0.53645272460947,0.361246874421802
"TCGA.EW.A1IW.01A",0,0,0.0065922263142863,0.0115195128102139,0,0.000337629049292197,0.37317597182137,0.608374660004837
"TCGA.A1.A0SM.01A",0,0,0,0,0,0.000315118988163387,0.239206363684134,0.760478517327703
"TCGA.E9.A1R6.01A",0,0,0.00308988470403333,0.0119442049608946,0,0.000683259401961091,0.278958227685679,0.705324423247432
"TCGA.A2.A0CQ.01A",0,0.00534041353319106,0.0666908479780206,0.0378094783440602,0,0.000337401761790695,0.515563771082315,0.374258087300623
"TCGA.OL.A5D7.01A",0.164676836433989,0.100596991555357,0.132782022789397,0.151208020864648,0,0,0.268954391158465,0.181781737198144
"TCGA.D8.A143.01A",0.00451001940545378,0.00026602981725534,0.0137405096909155,0.0722941254860955,0,0.000131241755706325,0.54736605966308,0.361692014181494
"TCGA.C8.A138.01A",0,0,0.0450949199270062,0.0427831870623619,0,0.00161333020243212,0.300234527670736,0.610274035137464
"TCGA.E2.A14Q.01A",0,0,0,0.028547982797226,0,0.000583256252393148,0.444675674290287,0.526193086660094
"TCGA.A2.A0YL.01A",0.0239302711796717,0.0173617993324553,0,0.0119266555018339,0,0.000789617848406529,0.418058058332808,0.527933597804824
"TCGA.PL.A8LY.01A",0.0247021955605843,0.00607700329180885,0,0.145002645488887,0.353110431763759,0,0.388519064971357,0.0825886589236044
"TCGA.GM.A2DK.01A",0,0,0.0393738755276293,0.00827231054137511,0,0.000531548331998097,0.430831668541154,0.520990597057843
"TCGA.B6.A0RO.01A",0,0,6.49605373895941e-05,0.025010201223701,0,0,0.47100501793362,0.50391982030529
"TCGA.D8.A142.01A",0,0,0.0240238760004057,0.0040206097326196,0,0,0.221854894471362,0.750100619795613
"TCGA.C8.A8HP.01A",0,0,0.148639839037047,0.0313558562804942,0,0,0.314417321426243,0.505586983256215
"TCGA.E9.A24A.01A",0,0,0.0199204088724159,0,0,0,0.25893779604573,0.721141795081854
"TCGA.AO.A0JE.01A",0,0,0.0389212459359764,0.0193175329145246,0,0.000307976473260594,0.258657713705307,0.682795530970931
"TCGA.AR.A1AU.01A",0,0,0,0.0118809620463642,0,0.000894903931429768,0.338854590897991,0.648369543124215
"TCGA.E9.A1QZ.01A",0,0,0.0346552090613392,0.00913493266004528,0,0.00173441356405924,0.425031872195137,0.52944357251942
"TCGA.AR.A1AQ.01A",0.00491842902224246,4.56943822525202e-05,0.135809886405657,0.0489119625281093,0,0,0.358777179724767,0.451536847936971
"TCGA.A2.A25A.01A",0,0,0,0.00100478654765521,0,0.00175458585394684,0.437515726036827,0.559724901561571
"TCGA.E2.A10E.01A",0,0,0.00140107164445547,0.00175836880598559,0,6.26159756021261e-05,0.439544626007458,0.557233317566499
"TCGA.C8.A3M7.01A",0,0,0,0.0106841722480923,0,0.000987455573728359,0.626571511140945,0.361756861037235
"TCGA.AQ.A1H3.01A",0,0,0.0129402787766766,0.00190781651418105,0,0.000408010833130298,0.428131424730418,0.556612469145594
"TCGA.E9.A247.01A",0,0,0,0.0715944089196978,0,0.000405309823089139,0.317312164389855,0.610688116867358
"TCGA.AN.A0FF.01A",0,0,0.0303518202521892,0,0,0.000860112770776643,0.371930463881718,0.596857603095317
"TCGA.A2.A0YH.01A",0,0,0.102100498419181,0.000585014483487775,0,0.00128294256315462,0.283433300428734,0.612598244105443
"TCGA.E9.A1RH.01A",0,0,0.0116861036053597,0.0801368592236914,0,0,0.174175511456672,0.734001525714277
"TCGA.AR.A2LE.01A",0.00717084325522091,0,0,0.0341637997776385,0.472625660931662,3.0375145680973e-05,0.309739900204104,0.176269420685693
"TCGA.E9.A1N3.01A",0,0,0,0.0261622796944082,0,0.000221037722375289,0.665857545458263,0.307759137124954
"TCGA.MS.A51U.01A",0,0,0.00129273534660005,0.00657690339820797,0,0.000109604857646054,0.373057921651117,0.618962834746429
"TCGA.A8.A07F.01A",0,0,0.0108196675593671,0,0,0.000766981899527541,0.41453234041389,0.573881010127215
"TCGA.A8.A08A.01A",0,0,0.0457235845838905,0,0,0.000604733468263688,0.258631589153197,0.695040092794649
"TCGA.D8.A1JE.01A",0,0,0.00524771888933674,0,0,0,0.106878366854497,0.887873914256166
"TCGA.LL.A6FR.01A",0,0,0.0250135350016739,0.231153120641584,0,3.61479322922536e-05,0.12241285018396,0.62138434624049
"TCGA.E9.A22D.01A",0.149724818403703,0.0264516587408039,0.20650326333882,0,0,0.00066524762420045,0.234907061055466,0.381747950837006
"TCGA.A2.A0SX.01A",0,0.00214901421198808,0.0789572721560662,0.040759244913971,0,0,0.343751943999179,0.534382524718796
"TCGA.EW.A1PH.01A",0.0014316448452811,0,0.000210238011630247,0.0755098189182643,0,0,0.429684348390119,0.493163949834706
"TCGA.AN.A0FK.01A",0,0,0.00250146586264674,0.0348357465850318,0,0.000170507727204126,0.442885784745145,0.519606495079972
"TCGA.A2.A0CX.01A",0,0,0.0478672482037945,0.0233292770192414,0,0.000439778725671983,0.287943763427217,0.640419932624075
"TCGA.E2.A158.01A",0.0673035289913196,0.00249648610527297,0,0.193602393082242,0.198138601550523,0,0.408514428628805,0.129944561641838
"TCGA.D8.A1X6.01A",0,0.0677752478046891,0.0476529159734573,0.102842866084961,0,9.4194109275662e-06,0.52091870671867,0.260800844007295
"TCGA.EW.A1P7.01A",0.0119386701577578,0.00229386224455349,0.0357616848323877,0.024957651688114,0,0.000409877420847156,0.411067513605629,0.513570740050711
"TCGA.B6.A0IG.01A",0.00431929703188616,0,0.000106288371603341,0.0648868978696805,0,0.001051964957354,0.369556221829087,0.560079329940389
"TCGA.A7.A4SA.01A",0,0,0.0494052858926524,0.00771803883205671,0,0.000468713139481013,0.372536188205322,0.569871773930488
"TCGA.D8.A1JP.01A",0,0,0.0304405448101792,0.00328762965836205,0,0,0.270195278363341,0.696076547168117
"TCGA.C8.A1HN.01A",0,0,0.0357653649306798,0.0741266607849143,0,4.6258230843821e-05,0.35753939662107,0.532522319432492
"TCGA.D8.A1XK.01A",0.000998144677178193,0,0.0864968095624328,0.113893670873717,0,0,0.46849508952491,0.330116285361762
"TCGA.E9.A22A.01A",0,0,0.0294578136591715,0.000815275387779843,0,0.000928457742819382,0.0759184570358488,0.89287999617438
"TCGA.AO.A12H.01A",0.000264336394731136,0.0185012236985372,0.0248956790449312,0.0248693408252296,0.0016288390379095,0.000462316199265168,0.627662226141934,0.301716038657463
"TCGA.D8.A1Y2.01A",0,0,0.140822823489237,0,0,0.000133237173955861,0.189411370505301,0.669632568831506
"TCGA.D8.A1XW.01A",0.0006956066160401,0,0.0791465356922885,0.0169277000126307,0,0,0.522178859550128,0.381051298128913
