"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.55.8508.01A",0,0,0.0907093953906636,0.0532648347270675,0,0,0.317355235154046,0.538670534728223
"TCGA.67.3771.01A",0.00116169294890016,0.00109755422743063,0.272130240481869,0.037558254518864,0,7.07557948106242e-05,0.236540959780334,0.451440542247792
"TCGA.55.A4DG.01A",0.00441501751929501,0.000498590145245885,0.101022099012238,0.0107398994894806,0,0.00102186798399861,0.459002926960268,0.423299598889474
"TCGA.91.7771.01A",0,0,0.159813834578242,0.0119484352488933,0,0,0.44364402189199,0.384593708280875
"TCGA.91.6849.01A",0,0,0.165782530552482,0.0134429893219887,0,0,0.530641748048085,0.290132732077444
"TCGA.64.5781.01A",0.0681184602124376,0.00806803971882336,0.0768225828024651,0.178162480035753,0,0,0.220029748484489,0.448798688746031
"TCGA.44.6146.01B",0,0,0,0,0,0,0.561705986887994,0.438294013112006
"TCGA.97.7552.01A",0.166058703748155,0.140791249210721,0.169862706460152,0.00154837170567392,0,0.00148322093343704,0.320374199603934,0.199881548337926
"TCGA.80.5608.01A",0.00392663937453379,0.000927365592345829,0.111170436001071,0.0620715523471244,0,0.000227288984471529,0.528578980414124,0.293097737286329
"TCGA.91.6829.01A",0,0,0.00893040291524913,0,0,0.000735464634250731,0.120310916800694,0.870023215649806
"TCGA.49.AARE.01A",0,0,0.101023479566684,0.121494338933587,0,0.000483722821855666,0.32605834746931,0.450940111208564
"TCGA.97.A4M1.01A",0,0,0.208179312250965,0.00312073414992755,0,0.00298515211890868,0.532430257842772,0.253284543637427
"TCGA.83.5908.01A",0,0,0.130793225332072,0.0106652751106387,0,0.000269164429551398,0.339795708797811,0.518476626329927
"TCGA.97.8179.01A",0,0,0.0910978547031709,0.0155263678689286,0,0,0.446918907900309,0.446456869527592
"TCGA.64.1680.01A",0,0.0761707395778398,0.0378301940263141,0.129216243293128,0.198849519598203,0.00187690505657814,0.43148884746674,0.124567550981197
"TCGA.73.4670.01A",0,0,0.0663968238666762,0.197171279070535,0,0,0.248318430528307,0.488113466534482
"TCGA.44.3396.01A",0,0,0.194234359228348,0.00394624850762706,0,0.0010602909327658,0.175516238592428,0.625242862738832
"TCGA.80.5611.01A",0,0,0.401255323917628,0.106384889841735,0,0.000486186674329746,0.233189316306604,0.258684283259703
"TCGA.53.7624.01A",0,0,0.0934074406333162,0.0866095537575992,0,0,0.446496724848221,0.373486280760864
"TCGA.91.6835.01A",0,0,0.231250916868355,0,0,0.000559005578952328,0.335280345752813,0.43290973179988
"TCGA.L9.A50W.01A",0.000656342105236456,0,0.149736736578441,0.0200988244520343,0,0.00356786200682251,0.417737372383818,0.408202862473648
"TCGA.86.7713.01A",0.00397047763658551,0.000773244482495796,0.0197668258431225,0.063492752480667,0,4.19876231173566e-05,0.627278912145264,0.284675799788748
"TCGA.50.5044.01A",0,0,0.0895570807595808,0.0599297832860477,0,0.000795485398606373,0.415698511211734,0.434019139344031
"TCGA.97.7941.01A",0,0,0.116256867490362,0.0179843310593612,0,0.00146649939768225,0.513169162746369,0.351123139306226
"TCGA.86.7714.01A",0,0,0.120773253439206,0.0621037930578434,0,0.000408467510358502,0.440847399912305,0.375867086080287
"TCGA.62.8402.01A",0.0271592113672308,0.00360292516323689,0.171568758006793,0.0269923046381896,0,0,0.550112830139842,0.220563970684708
"TCGA.78.7162.01A",0,0,0.086154113064036,0.00215838063813949,0,0.00148261862966731,0.641543769175393,0.268661118492765
"TCGA.49.AAR0.01A",0,0,0.218187895173244,0.0641717430512078,0,0.00100036251385607,0.396650030936561,0.319989968325132
"TCGA.35.4122.01A",0,0,0.388336438943047,0.102573548541228,0,0.000111350183408113,0.266225836405399,0.242752825926918
"TCGA.55.7726.01A",0,0,0.0148057660258739,0.0788587234380649,0,0.000133288473866795,0.181408411687879,0.724793810374315
"TCGA.62.A46Y.01A",0,0,0.286118988014267,0.0962153470556276,0,0.000412860671826359,0.435212693636745,0.182040110621534
"TCGA.55.6980.01A",0,0,0.116362084776953,0.00209231054487669,0,0.000501702259676324,0.255140225331562,0.625903677086932
"TCGA.05.4430.01A",0,0,0.142470779554532,0.0110090593209741,0,0.00196091021651076,0.271871278213899,0.572687972694084
"TCGA.67.3772.01A",0,0.0488002011866603,0.12303053521438,0.0247109488297087,0,0.00148735949930438,0.332007317065287,0.469963638204659
"TCGA.MP.A4SY.01A",0,6.80520993193962e-05,0.0901116234340981,0.0424212117760708,0,0.000146917273672482,0.169028813160055,0.698223382256784
"TCGA.78.7148.01A",0,0,0.0930624755697708,0.0643406006512851,0,2.96757716195857e-05,0.561866843480873,0.280700404526452
"TCGA.35.3615.01A",0,0.0465713566198694,0.0442517386351854,0.114364418453624,0.297300911116531,0.000226712314271777,0.367728327810267,0.129556535050252
"TCGA.55.A493.01A",0,0,0.145506956572359,0.0182280533338994,0,0,0.26031295852551,0.575952031568232
"TCGA.49.6744.01A",0,0,0.183466713852876,3.64708507407186e-05,0,0.00223861030099448,0.318976347603961,0.495281857391428
"TCGA.49.4494.01A",0,0,0.17158752539052,0.164578754688567,0,0.000402959880233472,0.414641970169207,0.248788789871472
"TCGA.78.7143.01A",0,0,0.173762046705266,0.112723594980395,0,0.000168281361060077,0.455848861131845,0.257497215821435
"TCGA.99.AA5R.01A",0.000733609007448625,0.00081003659958661,0.1421340806913,0,0,0.00286556887004175,0.51519594072206,0.338260764109564
"TCGA.55.8085.01A",0,0,0.169518912979311,0.0610169661253877,0,0,0.471616563911847,0.297847556983454
"TCGA.44.8117.01A",0,0,0.0684753479600849,0.0620211821455627,0,0.000537239200319117,0.499623730674385,0.369342500019649
"TCGA.55.8506.01A",0,0,0.119385928524233,0.00246004859049672,0,0.00310576981091954,0.275530361373507,0.599517891700844
"TCGA.NJ.A7XG.01A",0,0.0445601637523763,0.0206435015424664,0.118579020608284,0,0.00124521051976043,0.677980396397179,0.136991707179935
"TCGA.05.4384.01A",0,0,0.100834063759627,0.00686802109898775,0,0.000189814887769054,0.606972157716378,0.285135942537239
"TCGA.64.1679.01A",0,0,0.0505989442988095,0.00774103510455933,0,0.000627321847302637,0.222806838051602,0.718225860697726
"TCGA.73.4666.01A",0,0,0.258044412557054,0.106361018633099,0,0.000149625385379917,0.372854464281858,0.262590479142609
"TCGA.55.8616.01A",0,0.0132037795748668,0.067787285215841,0.101814064971386,0,0.00174852275324115,0.478197672899645,0.33724867458502
"TCGA.38.6178.01A",0,0,0.0346340581075267,0.0139084273186621,0,0.00177964052879621,0.33465504370296,0.615022830342055
"TCGA.93.7348.01A",0,0,0.0436664360390568,0.00259646327928748,0,0.000928047047730638,0.273765295711888,0.679043757922037
"TCGA.55.1594.01A",0,0,0.118234240630432,0.0135525290947201,0,0,0.39903911727114,0.469174113003708
"TCGA.73.4658.01A",0,0,0.169045543732165,0.000234240594490641,0,0.000344954584322269,0.321638225215797,0.508737035873224
"TCGA.80.5607.01A",0.00825971825403814,0.0274792325816011,0.071624686374967,0.0445182317498929,0,0.00201821572634225,0.538568580452253,0.307531334860905
"TCGA.55.8505.01A",0,0,0.0226292194637912,0.0392319851752131,0,0.000572615729026294,0.23080121771166,0.706764961920309
"TCGA.MP.A4T4.01A",0,0,0.159931286425686,0.0131956110312629,0,0.000452328405474984,0.231721518844655,0.594699255292921
"TCGA.49.4506.01A",0.00527413616241674,0.00407518777723709,0.0413957402116591,0.253338349236358,0.522827642808303,0,0.0717447209515632,0.101344222852463
"TCGA.97.8172.01A",0,0,0.103431781336834,0,0,0.00464855460581603,0.395824439553685,0.496095224503665
"TCGA.O1.A52J.01A",0,0,0.457398246663698,0.00448392192860413,0,0.000536720510875782,0.332176686854294,0.205404424042528
"TCGA.78.7537.01A",0,0.0251887835957159,0.0751469810980711,0.0205390020990916,0,0.000774234685738656,0.474498832427385,0.403852166093998
"TCGA.73.4662.01A",0,0,0.126210634280286,0.000146144075251674,0,0.000629894593411842,0.456648276781016,0.416365050270035
"TCGA.62.8398.01A",0,0,0.146665682764926,0.0498602029383062,0,0,0.379472502074643,0.424001612222124
"TCGA.49.AAQV.01A",0.00444915716555905,0.000504251414209061,0.0948335602780994,0.151888334598691,0,0.00107599932895473,0.465064789353759,0.282183907860728
"TCGA.55.8621.01A",0,0,0.155021684730698,0,0,0.00352731402575715,0.398019883940568,0.443431117302976
"TCGA.53.7626.01A",0,0,0.168156221734848,0,0,0,0.433347734558221,0.398496043706931
"TCGA.44.7669.01A",0,0,0.159664372389222,0.0093941631583866,0,0.000181451242894153,0.503311148386367,0.32744886482313
"TCGA.93.8067.01A",0,0,0.0683434639322806,0.087321786899009,0,5.15164930231633e-05,0.485332323850972,0.358950908824715
"TCGA.97.A4M2.01A",0,0,0.332330056155297,0.000821622986159746,0,0.00334390678894319,0.38301436766979,0.28049004639981
"TCGA.05.4425.01A",0,0,0.212431119985123,0.00823597009595921,0,0.00146148482860196,0.225878549271555,0.55199287581876
"TCGA.69.7763.01A",0,0,0.0558477888059179,0.0166161693701121,0,0.000245582497263954,0.476317364704758,0.450973094621948
"TCGA.86.8056.01A",0.00295217876287321,0.000671400745076757,0.14724169231274,0.0122342306063607,0,0.00148930502408868,0.534969097204001,0.30044209534486
"TCGA.50.5931.01A",0,0,0.00555447485189757,0.174657563355713,0,0,0.305414899757844,0.514373062034545
"TCGA.55.8512.01A",0,0,0.0939910607821911,0.0506483511544756,0,0.000489338590992854,0.560739594601929,0.294131654870412
"TCGA.75.7025.01A",0,0,0.0933233367420857,0.0100026129929131,0,0.00152424720269522,0.383482418755719,0.511667384306587
"TCGA.50.5930.01A",0,0,0.0925353509691686,0.0154805387747995,0,1.45931114991103e-05,0.258745392795269,0.633224124349264
"TCGA.75.6214.01A",0,0,0.013605679317164,0.519925654174066,0,0,0.262927048396237,0.203541618112533
"TCGA.L9.A743.01A",0,0,0.177962827273994,0.00305882637208121,0,0.00140875701636563,0.254162564851867,0.563407024485692
"TCGA.50.5939.01A",0,0,0.125491825017795,0.0237765503317993,0,0,0.312657977465849,0.538073647184558
"TCGA.78.7161.01A",0,0,0,0.02852237414996,0,6.64062878763187e-05,0.5922998377189,0.379111381843264
"TCGA.44.3398.01A",0,0,0.179303099821034,0.0430883924427639,0,0.000994315352570662,0.213366283320695,0.563247909062936
"TCGA.97.8547.01A",0,0,0.060617603837043,0,0,0,0.124606247908382,0.814776148254575
"TCGA.91.6840.01A",0,0,0.0574641144087194,0.00543205710275915,0,0.000354912280458585,0.566995643257989,0.369753272950074
"TCGA.55.6986.01A",0,0.159388910273243,0.0866961101764638,0.0719385282440621,0.0497444362088082,0.000518038090825619,0.435010573221442,0.196703403785155
"TCGA.05.4395.01A",0.0434174032875908,0.0234891112550748,0.117450164967735,0.311540103736935,0,0.000110624240552252,0.321421874017189,0.182570718494923
"TCGA.44.7672.01A",0,0,0.147407705954308,0.000455672091619326,0,0.000125737098704263,0.20186035210064,0.650150532754729
"TCGA.44.2662.01B",0,0,0.0459662797895982,0,0,0,0.219836369899213,0.734197350311189
"TCGA.97.8175.01A",0,0,0.217073295904015,0.108155532379545,0,6.50250339117537e-06,0.424198215843071,0.250566453369978
"TCGA.55.8087.01A",0,0.0165657963860672,0.116003234885236,0.0645096005744563,0.00144884125372181,0.00171707665878982,0.465973581103959,0.33378186913777
"TCGA.78.7160.01A",0,0,0.153963856080912,0.00938442557279156,0,0.000104702761571936,0.35535952838345,0.481187487201274
"TCGA.L4.A4E5.01A",0,0,0.0568001306663659,0.0720190898830715,0,0.000130800112248116,0.543760822655085,0.32728915668323
"TCGA.97.A4LX.01A",0,0,0.181767048550083,0,0,0.000809680844853582,0.281111907842734,0.53631136276233
"TCGA.86.8359.01A",0,0,0.056152242413281,0.071594106809708,0,0.000220738300406051,0.401915789721521,0.470117122755083
"TCGA.44.6145.01A",0,0,0.161520774551863,0.0622062466635661,0,0.00127244400877754,0.236485822580684,0.53851471219511
"TCGA.78.7155.01A",0.00493038568976456,0,0.0399572592766403,0.147675545856721,0,8.3297416444993e-05,0.546248099574015,0.261105412186414
"TCGA.55.7816.01A",0,0,0.0972400575448836,0,0,0,0.2631918763629,0.639568066092216
"TCGA.99.8025.01A",0,0,0.0630038176802122,0.0815920354309051,0,0.000210338324632907,0.436390823580914,0.418802984983336
"TCGA.44.A47G.01A",0,0,0.220925315567277,0.00878288860751387,0,0.00135631424234673,0.260542560404091,0.508392921178771
"TCGA.55.8615.01A",0,0.0108838052812698,0.0585894153121227,0.0998385342135461,0,0,0.502162409645747,0.328525835547315
"TCGA.73.7499.01A",0,0,0.224934547088394,0.130913078746096,0,0.000301693752515044,0.327098263189492,0.316752417223504
"TCGA.86.7711.01A",0.000938249845722282,0,0.186848827099769,0.115946690619318,0,0.000171737305751967,0.215920870462639,0.4801736246668
"TCGA.86.8075.01A",0,0,0.042502451358279,0,0,0.00035740413673137,0.170409313550423,0.786730830954567
"TCGA.86.7955.01A",0,0,0.00584960810152111,0.277791133831444,0,0.000332373293472887,0.532013016505771,0.184013868267791
"TCGA.55.8513.01A",0,0.000289221937718738,0.207210671922427,0.00511465608083646,0,0.000844793546381484,0.429515838844872,0.357024817667764
"TCGA.MP.A4TC.01A",0,0,0.0623393098321522,0.00481703937556556,0,0,0.131145814843617,0.801697835948666
"TCGA.05.4420.01A",0,0,0.0509180295099755,0.144215986155033,0,0,0.441005279156905,0.363860705178087
"TCGA.86.8280.01A",0.00313132710251922,0,0.143567797881157,0.00213113521265257,0,0.00233296014156552,0.307705000370445,0.54113177929166
"TCGA.78.7166.01A",0.0215012421342123,0.0146601999496001,0.0388188167612249,0.285381753051032,0,0.000311284864412835,0.451203808821031,0.188122894418487
"TCGA.91.8499.01A",0.0245763341964433,0.00718648421264582,0.109230615850802,0.167514781993531,0,0,0.464968925452738,0.22652285829384
"TCGA.71.6725.01A",0,0,0.0816959690976488,0.160758348559918,0,0,0.605375652016313,0.15217003032612
"TCGA.69.7980.01A",0,0,0.106975800843215,0.000867638367516891,0,0,0.4341051162756,0.458051444513669
"TCGA.L9.A8F4.01A",0.0470768641691912,0.00746027118717288,0.161212207417437,0.0311137216592615,0,9.45537000575953e-05,0.358801654358366,0.394240727508514
"TCGA.05.4433.01A",0.000248610892848915,0.000379204986134085,0.452751001531541,0.00472931062553297,0,0.000402695595787075,0.390236674595306,0.15125250177285
"TCGA.55.A492.01A",0,0,0.0805094914702321,0.16893864095735,0,0.000383664661004139,0.626948262885578,0.123219940025836
"TCGA.73.4675.01A",0,0,0.127332200407325,0.0251597678934842,0,0.000736926929591933,0.264104305569629,0.58266679919997
"TCGA.50.5936.01A",0,0,0.113763330545753,0.044558940136995,0,0.000499254382658451,0.302344164327419,0.538834310607175
"TCGA.44.7662.01A",0,0,0.048611123253513,5.36603661535829e-06,0,0.000471109801166741,0.202193511030176,0.748718889878529
"TCGA.78.7154.01A",0,0,0.0615066651032826,0.128960119495644,0,0.000387991473096076,0.507897064053932,0.301248159874045
"TCGA.05.4244.01A",0,0,0.197780095323259,0.0788915842374267,0,3.31878033714996e-05,0.426850967789469,0.296444164846474
"TCGA.73.7498.01A",0.00325332308482934,0.000163554673552645,0.0861237625275082,0.00170637437255465,0.000648026396754179,0.00132826521497683,0.552890517337493,0.353886176392331
"TCGA.50.5933.01A",0,0,0.12203114176879,2.49962990358728e-06,0,0.000366552852576075,0.259074097521727,0.618525708227003
"TCGA.55.8507.01A",0,0,0.0985445125300435,0.0387998982530811,0,0.00140576026443143,0.421459298031657,0.439790530920787
"TCGA.S2.AA1A.01A",0,0,0.0975524958923677,0,0,0.00213677454338216,0.432227179536072,0.468083550028178
"TCGA.95.7948.01A",0,0.111031990171928,0.0260732313109522,0.0862130137454882,0.139981316245242,0.000340380770798837,0.392555687505417,0.243804380250173
"TCGA.67.3774.01A",0.00451346649706956,0.000368281870869578,0.111946556817474,0,0,0.000360815216527252,0.548990274740104,0.333820604857955
"TCGA.38.4628.01A",0,0,0.22970866108344,0.0397072484036041,0,0.000452520510619907,0.300255805611871,0.429875764390465
"TCGA.50.6595.01A",0,0,0.0475416785892408,0.0261035313301599,0,0,0.240136043647518,0.686218746433081
"TCGA.55.7903.01A",0.0266964380728809,0.0412911101765998,0.134650553357026,0.135631921178345,0,0.00101026130826975,0.474942179220633,0.185777536686245
"TCGA.50.5051.01A",0,0,0.0515544686096886,0.112618452118084,0,0,0.540849452652278,0.29497762661995
"TCGA.86.6851.01A",0,0,0.256984940100087,0.000536713388367812,0,0.000347229907987113,0.358307500826251,0.383823615777307
"TCGA.75.6205.01A",0,0,0.234122779837412,0.0104313974209667,0,0.00372242192078581,0.351696555542353,0.400026845278482
"TCGA.55.8091.01A",0,0,0.12096127571235,0.0024686517475775,0,0.00161229824768267,0.244954262510279,0.630003511782111
