"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.AG.3896.01A",0.0203795046123732,0.0247272045860971,0.0435415066104139,0.316764232417043,0,5.03417912064475e-06,0.329946136120791,0.264636381474161
"TCGA.DC.4745.01A",0.00828389518334267,0.0310613149549346,0.00287836413203244,0.353015049689237,0.164216819088873,0.000186908162527571,0.310356849303416,0.130000799485636
"TCGA.AH.6903.01A",0,0.0151518687490355,0.00156946316072659,0.29783956573772,0,6.58160249951392e-05,0.572527886219228,0.112845400108294
"TCGA.AG.3599.01A",0,0.00163847628204966,0.0920261480405389,0.337311052170064,0,0.000217974504148778,0.423417092618569,0.14538925638463
"TCGA.AG.3581.01A",0.0025454894718543,0.00769911517388395,0.0629444097189664,0.30999095639122,0,0.000285343576856927,0.379516326497688,0.237018359169531
"TCGA.AG.3881.01A",0,0.0334524158323375,0.0849649525106663,0.145068836194499,0,0.000886264550585519,0.407673046477946,0.327954484433966
"TCGA.CL.5917.01A",0,0,0.00232141912443119,0.182684417649022,0,0,0.456033057441142,0.358961105785404
"TCGA.AG.3902.01A",0.0744437820250725,0.103850557218684,0.0846609666918496,0.259792929929767,0,0.000423217801747635,0.352096844342071,0.124731701990809
"TCGA.CI.6624.01C",0,0,0.0689591154852676,0.0433416141904126,0,0.000379493813060787,0.368083515775292,0.519236260735967
"TCGA.AF.2692.01A",0,0,0.0268115784096614,0.127212827774892,0,0.000182775475201548,0.389647088797051,0.456145729543194
"TCGA.DC.6683.01A",0,0,0.0529196784631633,0.208334630638259,0,0.000146600913512689,0.421668494955222,0.316930595029844
"TCGA.DC.6682.01A",0.108488546390492,0.00220968869896666,0,0.383663461421506,0.118731186846247,0,0.303478782568121,0.0834283340746679
"TCGA.F5.6702.01A",0,0,0.0164032341243733,0,0,0,0.0975409880435826,0.886055777832044
"TCGA.AF.4110.01A",0.0613886427708086,0.0274113910152559,0.033204165888399,0.126273734868979,0.0826290372954529,0.000369640115516921,0.348272783611065,0.320450604434523
"TCGA.F5.6861.01A",0,0,0.0264518034623745,0.304436673078336,0,0,0.383295439002343,0.285816084456947
"TCGA.G5.6235.01A",0,0.00694694186875553,0.00709144379868745,0.30943702177192,0,0,0.591160432509103,0.0853641600515332
"TCGA.AG.3999.01A",0.0010922965502304,0.0275657775434004,0.0335947478864287,0.343791155826986,0.0278671750729159,0.000997923684734736,0.324564509541055,0.240526413894249
"TCGA.AG.A02N.01A",0.024148401724838,0,0.0536850906069744,0.383592890706565,0,0.000712459399056648,0.452613815469288,0.0852473420932785
"TCGA.AF.6136.01A",0.0417607332186082,0.00528074040819373,0.0268523007472962,0.256245521914871,0,0.000373432820514223,0.531428239841613,0.138059031048904
"TCGA.AG.3580.01A",0.0125770211676795,0.00218847934693102,0.0646384036023334,0.342173270023425,0,6.9978024682373e-05,0.392266773154457,0.186086074680491
"TCGA.DY.A1H8.01A",0.0600893653018229,0,0,0.470339263941766,0.243674312986263,0,0.200024092863342,0.0258729649068058
"TCGA.AG.A032.01A",0,0,0.0285259746522927,0.295343865423081,0,0.000283114451546405,0.432915823306528,0.242931222166552
"TCGA.EI.6512.01A",0,0,0.0609300533163945,0.248653013173843,0,0.000237021076633621,0.448912073517746,0.241267838915384
"TCGA.AG.3575.01A",0,0.00380081752530881,0.0544265148487786,0.23244792389605,0,0.000137915291471791,0.290878340781825,0.418308487656566
"TCGA.AF.6672.01A",0.0869351722542958,0.00841986895940763,0.0159165345658101,0.202967521084138,0,0.000130893602721954,0.517215036157381,0.168414973376246
"TCGA.EI.6514.01A",1.06704457041187e-05,0.0144872994066401,0.0225652788974352,0.153432144835319,0,0.000111172816738132,0.499694684930603,0.30969874866756
"TCGA.AH.6644.01A",0,0,0.014153918668031,0.0602167886465467,0,0.000479775530420913,0.444677666900105,0.480471850254897
"TCGA.AF.6655.01A",0,0,0.019380470447649,0.0574698858366067,0,0.00012136695879142,0.248560013471837,0.674468263285116
"TCGA.AF.A56K.01A",0.00111052338824288,0.00178505478419797,0.0322348352585166,0.0517400022272821,0,0.000329963556767341,0.457311420560631,0.455488200224362
"TCGA.G5.6641.01A",0,0.0247062540348069,0.0081001968895631,0.308714716524486,0,6.1141959683057e-05,0.617801653268872,0.0406160373225881
"TCGA.DY.A1DG.01A",0.0388550949458766,0.0353000682875268,0.0093176072275342,0.357372018389459,0,0,0.514515942582767,0.0446392685668364
"TCGA.AG.4001.01A",0,0,0.0775511382070691,0.0329501411792987,0,0.000858812607271437,0.270566686327118,0.618073221679243
