"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.V1.A9OF.01A",0.294416981045981,0,0,0,0,0.0450174053103165,0,0.0386792917912807,0,0,0,0.452563130035124,0.169323191817298
"TCGA.ZG.A8QX.01A",0.268314617611158,0,0.000372607495772574,0,0,0.0730418639286087,0,0.00360487970227213,0,0,0.000517067332525372,0.459237618872853,0.194911345056811
"TCGA.YL.A8SC.01A",0.159593980142868,0,0.00111658922313812,0,0,0.0887938175906628,0,0,0.0012339862377099,0,0,0.580035058624215,0.169226568181406
"TCGA.HC.7817.01B",0.13330706397354,0,0.000265926360687354,0,0,0.114697917027532,0,0,0.00148808693316544,0,7.45471760836355e-05,0.511066683423907,0.239099775105084
"TCGA.KC.A7F6.01A",0.214994951763541,0.00031168835606205,0.000298454728521108,0,0,0.132493916547473,0,0.0820601145886365,0.000302990269823102,0,0.000500534579969344,0.386859921041611,0.182177428124362
"TCGA.KK.A7B4.01A",0.2491853532039,0,0.00102731484333878,0,0,0.0827510999917686,0,0.00369287999931498,0.00112062380763007,0,0.000255194832530926,0.487662300937711,0.174305232383805
"TCGA.G9.6366.01A",0.222162296467908,0,0.000545618051259314,0,0,0.0781364612183179,0,0,0.000942374304420389,0,5.55692883876652e-05,0.443684782845506,0.2544728978242
"TCGA.KK.A59X.01A",0.250382544028345,0,0,0,0,0.149353160432368,0,0,0,0,0,0.459155865828787,0.1411084297105
"TCGA.HC.A6AN.01A",0.323552855294986,0,0,0,0,0.187889453128765,0,0.231548833564417,0,0,0.000973066010182874,0.148157739203703,0.107878052797947
"TCGA.G9.6498.01A",0.232623502591609,0,0.0130826714099332,0,0,0.107110205709387,0,0.0433376803049406,0,0,0.00961539822141236,0.36957150291311,0.224659038849608
"TCGA.J4.AATZ.01A",0.166104685123071,0,0.000201939296745911,0,0,0.0429270669866547,0,0,0.000455667966323481,0,4.25158431716441e-05,0.600114537217633,0.1901535875664
"TCGA.EJ.7317.01A",0.295491845847828,0,0,0,0,0.0600884265204225,0,0.00163080258860632,0,0,0,0.399820984023492,0.242967941019651
"TCGA.SU.A7E7.01A",0.164353802555999,0,0.000344678356528817,0,0,0.0396468692781356,0,0.000551064619387603,0,0,0.000787858199641117,0.591958633839503,0.202357093150805
"TCGA.XJ.A83F.01A",0.280722693167539,0,0,0,0,0.155109744596996,0,0.213302667381506,0,0,0.00118039719121278,0.17452330489904,0.175161192763706
"TCGA.2A.AAYO.01A",0.224702148722562,0,0.00547569888015249,0,0.000958121318394075,0.0870835707712162,0,0.0392913718836798,0.000834663710408344,0,0.00427821491947429,0.446500456637839,0.190875753156274
"TCGA.EJ.A46B.01A",0.258118808564772,0,0,0,0,0.0424885879001513,0,0,0,0,0,0.466312607890934,0.233079995644143
"TCGA.QU.A6IN.01A",0.174407947801912,0.442106154958113,0,0,0,0.13251554846603,0,0.208921743323085,0,0,0.0277248192004412,0,0.0143237862504189
"TCGA.KK.A59Z.01A",0.216312348858167,0,0.000113517110678767,0,0,0.107267295534668,0,0.00593998399582164,0,0,0.000106100347194476,0.449083209917873,0.221177544235597
"TCGA.XK.AAJT.01A",0.205900094041643,0,0.000487543858280077,0,0,0.152499794351415,0,0.0173431857670923,0.000682520819582054,0,0.000320251389200591,0.417077594950161,0.205689014822626
"TCGA.EJ.7125.01A",0.19903486716739,0,0,0,0,0.0528930011369652,0,0,0,0,0,0.534884038155737,0.213188093539907
"TCGA.J9.A52C.01A",0.146873516338805,0,0.00180276678251563,0,0,0.12843788141487,0,0,0,0,0,0.526272176640095,0.196613658823714
"TCGA.YL.A8HL.01A",0.192990755391834,0,0,0,0,0.0267729140185637,0,0,0,0,4.74487578305117e-05,0.556344783741482,0.22384409809029
"TCGA.ZG.A9LZ.01A",0.225795567703742,0,0.00265859948578012,0,0,0.104492075514902,0,0.0849061776210644,0,0,0.000302188842934816,0.428275648217626,0.15356974261395
"TCGA.J9.A8CP.01A",0.221737379064897,0,0,0,0,0.126999124056546,0,0,0,2.32660839327984e-05,0.0137982354025342,0.382283547389187,0.255158448002904
"TCGA.FC.A6HD.01A",0.24878527520542,0.461147574826105,0,0,0,0.0740722444390871,0,0.198868367209808,0,0,0.00648146422043036,0,0.0106450740991493
"TCGA.G9.6351.01A",0.263989934227232,0,0.000218300660218939,0,0,0.0562944450606738,0,0,0,0,0.000432355440423781,0.454318541394106,0.224746423217345
"TCGA.EJ.5532.01A",0.206251565667243,0,0,0,0,0.0919590922843792,0,0,0,0,0.000775011170313757,0.432928199473354,0.26808613140471
"TCGA.EJ.5525.01A",0.107471858017126,0,0,0,0,0.24593779011924,0,0.103500081557359,0,0,0,0.343597228170746,0.199493042135529
"TCGA.ZG.A9L9.01A",0.212305769554486,0,0,0,0,0.261519055546685,0,0.0597624173653764,0,0.0359239647365591,0.00706060760928458,0.258419345732557,0.165008839455052
"TCGA.EJ.A65F.01A",0.220876476588979,0.0010600223326053,0.000144537581921388,0,0,0.0849867683756691,0,0,0,0,0.000721460214686356,0.502426505915796,0.189784228990343
"TCGA.2A.A8VX.01A",0.347620402331866,0.0140750592338905,0,0,0,0.121658752199724,0,0.236330463747819,0,0,0.00121209898841781,0.161413623402871,0.117689600095412
"TCGA.KK.A8I4.01A",0.0952970175515305,0,0.00177989228761623,0,0,0.128488780869231,0,0,0.00103403924185593,0,0,0.571540767320357,0.201859502729409
"TCGA.KK.A8IA.01A",0.271098706921636,0,0,0,0,0.104354168027584,0,0.0436931262404183,0,0,0,0.390487811338605,0.190366187471757
"TCGA.Y6.A9XI.01A",0.206167510773739,0,0,0,0,0.0773640305111176,0,0.0593152034308513,0,0,0.000250429962038576,0.475162365438948,0.181740459883305
"TCGA.VN.A88I.01A",0.115124323950758,0,0.000419344380480142,0,0,0.266959589058121,0,0,0,0,0,0.357123365721026,0.260373376889615
"TCGA.M7.A71Z.01A",0.417387130088819,0.0897220742230559,0,0,0,0.0579288416254948,0,0.336490482155311,0,0,0.00130981454645523,0,0.0971616573608643
"TCGA.EJ.A46E.01A",0.162188400238197,0,0.000265306809154812,0,0,0.0384803572401088,0,0,0,0,0.000457367988926925,0.600586844377269,0.198021723346343
"TCGA.CH.5788.01A",0.273400352913675,0,0,0,0,0.0667244194466105,0,0.019796376531469,0.000262035623160394,0,1.00294424007568e-05,0.455358578553559,0.184448207489126
"TCGA.KK.A7AU.01A",0.333041606675848,0,0,0,0,0.0384324836535088,0,0.0937575165896706,0,0.000398029448479251,0.000146122089530325,0.370050054319418,0.164174187223545
"TCGA.EJ.5531.01A",0.132086395716709,0,0.00095424710304421,0,0.000138673396622122,0.0987842182984036,0,0,0,0,0.000854361243920416,0.571941636758228,0.195240467483072
"TCGA.VN.A88K.01A",0.147598615065709,0,0,0,0,0.196091144762757,0,0.066840862436072,0,0,0.000865085107904786,0.408340946237476,0.180263346390081
"TCGA.VN.A88M.01A",0.311094167405053,0.0329443628761701,0,0,0,0.095426994601116,0,0.21716861556306,0,0,0.00788270572891857,0.188797518798686,0.146685635026996
"TCGA.EJ.5506.01A",0.159250680335115,0,0.000272509310908098,0,0,0.0306765055260724,0,0,7.38842666857675e-06,0,6.99329522217947e-05,0.594717651699503,0.215005331749511
"TCGA.XK.AAJU.01A",0.247933775076514,0,0.0380387838155505,0,0,0.0448547660736115,0,0,0,0,0.00216501198098526,0.452541510072709,0.21446615298063
"TCGA.YL.A8SI.01A",0.169062398149729,0,0,0,0,0.148441151381571,0,0.0267219014103089,0,0,0,0.47821076721208,0.177563781846311
"TCGA.G9.6499.01A",0.318362495672828,0,0.000404809780527575,0,0,0.0367676909863738,0,0.0276458022609026,0,0,6.77624101694264e-05,0.413960793160783,0.202790645728415
"TCGA.QU.A6IL.01A",0.255803035979188,0.2314596285578,0,0.000468227225102841,0,0.0929020325854318,0,0.292199694635611,0,0.0195778647426671,0.049298974116635,0.00137792955736066,0.0569126126002042
"TCGA.J4.A67Q.01A",0.26380698026466,0.0407186679744633,0,0.00026104464962523,0,0.288457313649311,0,0.151010960080952,0,0.0606109576236833,0.0439637719227535,0.0170087848970626,0.134161518937489
"TCGA.G9.6361.01A",0.199911252058253,0,0,0,0,0.229262350225943,0,0.0720846725292272,0,0.000113749002044979,0.000411007390366815,0.273514820230901,0.224702148563264
"TCGA.VN.A88L.01A",0.165630263731961,0,0,0,0,0.167791073479219,0,0.00417751765394408,0,0,0.000362281071524357,0.422303667711484,0.239735196351867
"TCGA.KK.A8I9.01A",0.118249330864282,0,0,0,0,0.172990033314751,0,0.0161326981781191,0,0,0,0.495368086213542,0.197259851429306
"TCGA.V1.A9ZG.01A",0.164774367990324,0,0,0,0,0.161240971643067,0,0.000946003329012955,0,0,0,0.455196594710496,0.2178420623271
"TCGA.V1.A9OX.01A",0.282539164813399,0,0.00247249528164376,0,0,0.0743563883314853,0,0.0310425690142409,0,0,0.0012498749516937,0.396205493537548,0.212134014069989
"TCGA.G9.6373.01A",0.236682815589556,0.00414068160246626,0.000657373166958564,0,0,0.187122861952293,0,0.17794146035822,0,0.0150525619397925,0.00353892077987102,0.218002746089225,0.156860578521618
"TCGA.VP.A878.01A",0.125875827706283,0,0,0,0,0.158708237111579,0,0,0,0,0,0.509486384887853,0.205929550294286
"TCGA.YL.A8SB.01A",0.188977906598937,0,0.000667530913980028,0,0,0.120393798655308,0,0,0,0,2.23492548620459e-05,0.467711812459233,0.22222660211768
"TCGA.EJ.A7NN.01A",0.145398592675451,0,0.000424383533878094,0,0,0.0786270960107485,0,0,0.000832455090319509,0,0,0.556423015059669,0.218294457629934
"TCGA.HC.7212.01A",0.171151966527379,0,0,0,0,0.105732925548073,0,0,0,0,0.000559108670629903,0.498818760672493,0.223737238581425
"TCGA.V1.A9O5.01A",0.128428752162641,0,0,0,0,0.0922054891736066,0,0,0,0,0,0.637148587600374,0.142217171063378
"TCGA.HC.A8D0.01A",0.224223806443089,0.0149899490257054,0.0122890583388096,0,0,0.155220752559412,0,0.102669989811195,5.98887626712759e-05,0.0123002971088944,0.00410355118507717,0.302956989916193,0.171185716848953
"TCGA.2A.A8VT.01A",0.150810074441889,0,0.000399791593722839,0,0.000233212582903908,0.0259228937846369,0,0.000977463639838824,0.000772153935069093,0,0,0.608985216773171,0.211899193248769
"TCGA.ZG.A9LB.01A",0.26750213321284,0.166836558679041,0,0,0,0.124044208164296,0,0.142850121074727,0,0.0314303177702325,0.0453195552373733,0.148231491923032,0.0737856139384581
"TCGA.HC.7079.01A",0.0350498290276589,0,0.0260735395268274,0,0,0.0402803794794659,0,0.0162236073632226,0.00660195549274946,0,0,0.745514532546419,0.130256156563657
"TCGA.HC.A6AP.01A",0.243823353594234,0,0,0.00452347589823352,0,0.307512374277032,0,0.304385154586246,0.00329903668028123,0.033161996881692,0.00614329187805919,0.000290435138415208,0.0968608810658066
"TCGA.KC.A4BR.01A",0.151247979999394,0,0.000270170706779185,0,0,0.122022126036959,0,0,0,0,0.00055428239381018,0.508297654231993,0.217607786631065
"TCGA.V1.A9OA.01A",0.228377160661874,0,0.000284341718657441,0,0,0.104198824740162,0,0.0428366537328867,0,0,0.00031920557319566,0.406792303832891,0.217191509740333
"TCGA.EJ.A46H.01A",0.0835044522708892,0,0.000319301859180294,0,0,0.0480325340450963,0,0,0,0,0,0.622819259458582,0.245324452366252
