"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.94.7943.01A",0.394721168173005,0.000542408037041556,0,0.0194276202956897,0,0.262585665667973,0.322723137826291
"TCGA.68.8251.01A",0.0576710290348265,0.00233087306446694,0.000944376750438663,0.0219092186202193,0.000543783900042286,0.480424506698098,0.436176211931908
"TCGA.33.A5GW.01A",0.602260081914655,0,0,0,0,0.0542739830674095,0.343465935017936
"TCGA.85.8070.01A",0.162779443292983,0.00303331157873934,0,0.00415915388246177,0,0.132215667503452,0.697812423742364
"TCGA.85.8479.01A",0.288624855445329,0,0,0,0,0.183072457233825,0.528302687320846
"TCGA.22.5482.01A",0.120123388641725,0,0,0.0200731479588749,9.79251944741554e-05,0.499735154648435,0.359970383556491
"TCGA.21.1077.01A",0.111645325949085,0,0,0.0427958412272828,0,0.469065232376646,0.376493600446986
"TCGA.43.6773.01A",0.0338028270258784,0,0,0.152798386308083,0,0.509516793621715,0.303881993044324
"TCGA.34.8455.01A",0.0874797534550194,0,0.00139265394584388,0.00321554458283603,0.000914031256332597,0.41631687084622,0.490681145913749
"TCGA.85.7950.01A",0,0,0.00269628972556442,0.00745972102785237,0.00151297572018978,0.561040175591288,0.427290837935105
"TCGA.60.2715.01A",0.164771728400812,0,0,0.0830118193064992,0.000328708047288778,0.443452996348071,0.308434747897329
"TCGA.85.A5B5.01A",0.235644969896818,0,0,0.032503279847751,0,0.326391673339405,0.405460076916027
"TCGA.33.4583.01A",0.144041296555837,0.000336384207876479,0.0044868743689637,0.103049738256272,0,0.0900345630425748,0.658051143568476
"TCGA.60.2725.01A",0.0734328990011767,0,0.00489275449349313,0.100253915705323,0,0.411813983615176,0.409606447184831
"TCGA.85.8072.01A",0.222161980801302,0,0,0.0961512955453701,0.000237066416414084,0.195456547865763,0.485993109371151
"TCGA.22.4601.01A",0.329638637584476,0,0,0.0340119866212589,0,0.154141174808644,0.482208200985621
"TCGA.66.2781.01A",0.0969430716612794,0.000355430000687646,0,0.0339613110362999,0.000882301390489915,0.498849458093687,0.369008427817556
"TCGA.22.0940.01A",0.147990408925536,0.00148098618301392,0.00337240799361623,0.0602789165568077,0,0.30951253704904,0.477364743291986
"TCGA.43.6143.01A",0.00262527736070469,0,0,0.0800864449859821,0,0.634661267624678,0.282627010028635
"TCGA.39.5021.01A",0.131883539530767,0,0,0.149790140539925,0,0.330869244069338,0.387457075859971
"TCGA.22.1012.01A",0.237395449213658,0.00239209972883604,0.000260712834613332,0.0264061352349783,0,0.380257060755133,0.353288542232781
"TCGA.33.AASL.01A",0.576134850099302,0,0,0,0,0.0275886281828544,0.396276521717843
